Frequency (Hz)	Level (dB)
0.672913	-50.836166
1.345825	-50.871880
2.018738	-50.751259
2.691650	-50.753006
3.364563	-50.566387
4.037476	-50.411087
4.710388	-50.289028
5.383301	-50.079021
6.056213	-49.939426
6.729126	-49.669704
7.402039	-49.489620
8.074951	-49.320759
8.747864	-48.852100
9.420776	-48.536686
10.093689	-48.196266
10.766602	-48.004799
11.439514	-47.370308
12.112427	-46.878521
12.785339	-46.451000
13.458252	-45.840004
14.131165	-45.241077
14.804077	-44.684353
15.476990	-43.949677
16.149902	-42.849308
16.822815	-42.461147
17.495728	-41.303406
18.168640	-40.320091
18.841553	-38.837666
19.514465	-37.478794
20.187378	-35.338730
20.860291	-33.030716
21.533203	-29.853317
22.206116	-24.034380
22.879028	-8.404409
23.551941	-21.363602
24.224854	-28.635740
24.897766	-31.549799
25.570679	-34.232155
26.243591	-36.577427
26.916504	-38.189716
27.589417	-39.603527
28.262329	-40.831909
28.935242	-41.861809
29.608154	-42.320522
30.281067	-43.732857
30.953979	-44.342602
31.626892	-44.759560
32.299805	-45.574139
32.972717	-45.852081
33.645630	-45.979153
34.318542	-46.826324
34.991455	-47.579956
35.664368	-47.378208
36.337280	-46.999619
37.010193	-47.988506
37.683105	-48.486252
38.356018	-48.519157
39.028931	-47.635281
39.701843	-48.539780
40.374756	-48.337166
41.047668	-48.394253
41.720581	-48.268959
42.393494	-47.559483
43.066406	-46.479759
43.739319	-45.473270
44.412231	-43.437206
45.085144	-38.490181
45.758057	-27.878359
46.430969	-32.853580
47.103882	-40.612171
47.776794	-43.426678
48.449707	-45.748306
49.122620	-47.935413
49.795532	-48.422630
50.468445	-48.541946
51.141357	-48.652874
51.814270	-49.723232
52.487183	-49.701031
53.160095	-49.823002
53.833008	-50.127228
54.505920	-49.080109
55.178833	-48.349133
55.851746	-48.517666
56.524658	-48.382576
57.197571	-49.364864
57.870483	-49.923965
58.543396	-48.656940
59.216309	-48.937023
59.889221	-47.868439
60.562134	-48.461037
61.235046	-49.017418
61.907959	-47.138386
62.580872	-48.200485
63.253784	-47.507889
63.926697	-46.439411
64.599609	-45.701538
65.272522	-44.657619
65.945435	-42.746761
66.618347	-39.365971
67.291260	-36.233459
67.964172	-31.210979
68.637085	-25.115574
69.309998	-25.087038
69.982910	-35.243423
70.655823	-38.742744
71.328735	-41.332878
72.001648	-43.604996
72.674561	-44.199593
73.347473	-45.987362
74.020386	-46.923584
74.693298	-46.984005
75.366211	-47.509342
76.039124	-47.747978
76.712036	-48.854580
77.384949	-47.883820
78.057861	-48.380501
78.730774	-47.904491
79.403687	-49.256241
80.076599	-47.973545
80.749512	-48.569820
81.422424	-48.906891
82.095337	-47.671143
82.768250	-47.698391
83.441162	-48.787560
84.114075	-49.619602
84.786987	-48.556389
85.459900	-48.049583
86.132812	-48.557846
86.805725	-47.861500
87.478638	-49.224003
88.151550	-46.396149
88.824463	-45.315056
89.497375	-44.104008
90.170288	-41.221729
90.843201	-37.884338
91.516113	-33.244083
92.189026	-29.274454
92.861938	-40.754845
93.534851	-43.667110
94.207764	-46.397358
94.880676	-47.427876
95.553589	-47.541912
96.226501	-47.985535
96.899414	-47.523949
97.572327	-48.334129
98.245239	-49.587799
98.918152	-48.071747
99.591064	-48.945686
100.263977	-48.205635
100.936890	-49.229465
101.609802	-48.441166
102.282715	-48.362282
102.955627	-49.359039
103.628540	-48.756172
104.301453	-47.743282
104.974365	-48.875660
105.647278	-48.148796
106.320190	-49.175926
106.993103	-49.605183
107.666016	-47.815479
108.338928	-48.022194
109.011841	-48.491352
109.684753	-48.233894
110.357666	-49.560810
111.030579	-48.515202
111.703491	-48.880749
112.376404	-48.848999
113.049316	-47.999332
113.722229	-47.942184
114.395142	-43.866562
115.068054	-37.359364
115.740967	-45.413715
116.413879	-44.262405
117.086792	-46.575562
117.759705	-47.011189
118.432617	-48.432396
119.105530	-47.983746
119.778442	-49.602440
120.451355	-48.115536
121.124268	-47.387642
121.797180	-48.515606
122.470093	-48.586384
123.143005	-47.949200
123.815918	-47.610451
124.488831	-48.027061
125.161743	-48.734444
125.834656	-48.737000
126.507568	-48.203861
127.180481	-48.344055
127.853394	-47.426079
128.526306	-49.825974
129.199219	-48.322861
129.872131	-47.283829
130.545044	-48.182796
