Frequency (Hz)	Level (dB)
0.672913	-44.885262
1.345825	-44.774506
2.018738	-44.595081
2.691650	-44.354370
3.364563	-44.061996
4.037476	-43.729332
4.710388	-43.368958
5.383301	-42.994236
6.056213	-42.618977
6.729126	-42.257122
7.402039	-41.922558
8.074951	-41.628815
8.747864	-41.388756
9.420776	-41.213974
10.093689	-41.113842
10.766602	-41.093929
11.439514	-41.153542
12.112427	-41.282299
12.785339	-41.456337
13.458252	-41.636379
14.131165	-41.772335
14.804077	-41.818878
15.476990	-41.758698
16.149902	-41.617447
16.822815	-41.455807
17.495728	-41.343121
18.168640	-41.329159
18.841553	-41.423172
19.514465	-41.582005
20.187378	-41.716862
20.860291	-41.738125
21.533203	-41.627403
22.206116	-41.465256
22.879028	-41.372402
23.551941	-41.421486
24.224854	-41.580677
24.897766	-41.716747
25.570679	-41.696384
26.243591	-41.536499
26.916504	-41.402828
27.589417	-41.436852
28.262329	-41.610054
28.935242	-41.726425
29.608154	-41.634918
30.281067	-41.453312
30.953979	-41.422028
31.626892	-41.589714
32.299805	-41.726547
32.972717	-41.620583
33.645630	-41.437023
34.318542	-41.467964
34.991455	-41.672295
35.664368	-41.703976
36.337280	-41.501736
37.010193	-41.436035
37.683105	-41.633972
38.356018	-41.721794
39.028931	-41.518337
39.701843	-41.442791
40.374756	-41.657532
41.047668	-41.706104
41.720581	-41.476768
42.393494	-41.492115
43.066406	-41.723949
43.739319	-41.619827
44.412231	-41.434734
45.085144	-41.631077
45.758057	-41.716282
46.430969	-41.466171
47.103882	-41.546608
47.776794	-41.745964
48.449707	-41.512615
49.122620	-41.504726
49.795532	-41.748737
50.468445	-41.533802
51.141357	-41.498085
51.814270	-41.751751
52.487183	-41.518887
53.160095	-41.523724
53.833008	-41.751629
54.505920	-41.474232
55.178833	-41.591702
55.851746	-41.714111
56.524658	-41.434841
57.197571	-41.696339
57.870483	-41.598946
58.543396	-41.476097
59.216309	-41.752804
59.889221	-41.450058
60.562134	-41.640297
61.235046	-41.622211
61.907959	-41.454479
62.580872	-41.739170
63.253784	-41.412868
63.926697	-41.672760
64.599609	-41.511841
65.272522	-41.512375
65.945435	-41.630962
