Frequency (Hz)	Level (dB)
0.672913	-104.581909
1.345825	-104.359344
2.018738	-104.014465
2.691650	-103.296005
3.364563	-104.088165
4.037476	-99.677986
4.710388	-101.653862
5.383301	-101.104095
6.056213	-99.887474
6.729126	-98.053200
7.402039	-98.122559
8.074951	-98.281555
8.747864	-99.956276
9.420776	-99.822517
10.093689	-97.370522
10.766602	-95.261261
11.439514	-92.368607
12.112427	-94.654587
12.785339	-93.097420
13.458252	-92.207809
14.131165	-95.022110
14.804077	-94.836891
15.476990	-94.122246
16.149902	-94.906479
16.822815	-91.861732
17.495728	-92.304359
18.168640	-93.825241
18.841553	-91.923195
19.514465	-92.743813
20.187378	-94.207382
20.860291	-91.711868
21.533203	-90.883171
22.206116	-90.110725
22.879028	-90.073776
23.551941	-90.025734
24.224854	-89.847542
24.897766	-89.337143
25.570679	-89.059319
26.243591	-91.541435
26.916504	-90.380455
27.589417	-90.180954
28.262329	-88.990097
28.935242	-90.175903
29.608154	-89.472687
30.281067	-90.145477
30.953979	-87.861145
31.626892	-87.686859
32.299805	-87.937462
32.972717	-89.997566
33.645630	-88.414436
34.318542	-89.010597
34.991455	-88.369049
35.664368	-87.532692
36.337280	-88.546127
37.010193	-89.080521
37.683105	-86.986687
38.356018	-87.853058
39.028931	-84.509354
39.701843	-83.869957
40.374756	-88.953880
41.047668	-86.261246
41.720581	-86.288750
42.393494	-87.731583
43.066406	-87.721062
43.739319	-86.283981
44.412231	-86.123215
45.085144	-83.296097
45.758057	-84.498306
46.430969	-86.035294
47.103882	-85.898613
47.776794	-84.070068
48.449707	-87.040649
49.122620	-85.086273
49.795532	-84.940063
50.468445	-83.515503
51.141357	-81.689598
51.814270	-82.183052
52.487183	-81.992973
53.160095	-82.843674
53.833008	-81.223198
54.505920	-87.587143
55.178833	-83.123154
55.851746	-80.617477
56.524658	-85.679962
57.197571	-82.615471
57.870483	-80.094963
58.543396	-81.042938
59.216309	-84.579735
59.889221	-79.419861
60.562134	-81.382812
61.235046	-79.822121
61.907959	-81.651314
62.580872	-80.138954
63.253784	-82.689552
63.926697	-79.538971
64.599609	-79.977753
65.272522	-82.180664
65.945435	-81.318169
66.618347	-81.644478
67.291260	-83.189568
67.964172	-81.547180
68.637085	-85.275925
69.309998	-81.229469
69.982910	-78.917480
70.655823	-79.286102
71.328735	-80.846283
72.001648	-81.820824
72.674561	-82.664482
73.347473	-81.227234
74.020386	-80.705345
74.693298	-79.918930
75.366211	-78.331390
76.039124	-79.725746
76.712036	-79.198891
77.384949	-81.126945
78.057861	-81.619476
78.730774	-81.121536
79.403687	-80.629906
80.076599	-79.293327
80.749512	-81.195183
81.422424	-81.440163
82.095337	-79.590515
82.768250	-79.788177
83.441162	-81.039001
84.114075	-79.724854
84.786987	-78.821014
85.459900	-79.926414
86.132812	-78.081856
86.805725	-80.877274
87.478638	-79.241913
88.151550	-81.906036
88.824463	-80.099007
89.497375	-80.654037
90.170288	-78.914337
90.843201	-81.571777
91.516113	-80.021255
92.189026	-79.918243
92.861938	-80.498596
93.534851	-81.558418
94.207764	-83.807945
94.880676	-79.510178
95.553589	-78.374344
96.226501	-78.283745
96.899414	-76.493202
97.572327	-80.114586
98.245239	-79.568527
98.918152	-79.733177
99.591064	-79.600838
100.263977	-80.708443
100.936890	-80.620735
101.609802	-80.910248
102.282715	-80.168549
102.955627	-78.484688
103.628540	-81.541817
104.301453	-82.735008
104.974365	-80.362984
105.647278	-80.253517
106.320190	-81.287056
106.993103	-77.476097
107.666016	-77.480042
108.338928	-84.616127
109.011841	-80.079628
109.684753	-82.216064
110.357666	-79.028374
111.030579	-83.426392
111.703491	-79.178383
112.376404	-80.197922
113.049316	-78.080376
113.722229	-77.664383
114.395142	-79.242577
115.068054	-77.213737
115.740967	-79.442055
116.413879	-81.552628
117.086792	-80.566177
117.759705	-79.018806
118.432617	-82.432671
119.105530	-81.044266
119.778442	-79.605125
120.451355	-82.124016
121.124268	-81.457748
121.797180	-79.781105
122.470093	-79.908730
123.143005	-81.698883
123.815918	-79.345009
124.488831	-80.134087
125.161743	-79.076225
125.834656	-81.937233
126.507568	-80.740746
