Frequency (Hz)	Level (dB)
0.672913	-47.000843
1.345825	-46.885761
2.018738	-46.879124
2.691650	-46.761372
3.364563	-46.750298
4.037476	-46.578354
4.710388	-46.567509
5.383301	-46.421093
6.056213	-46.310902
6.729126	-46.066017
7.402039	-45.730522
8.074951	-45.592892
8.747864	-45.397507
9.420776	-45.118401
10.093689	-44.851475
10.766602	-44.525181
11.439514	-44.171745
12.112427	-43.759586
12.785339	-43.365929
13.458252	-42.941227
14.131165	-42.450993
14.804077	-41.898403
15.476990	-41.387554
16.149902	-40.750271
16.822815	-40.053150
17.495728	-39.325176
18.168640	-38.497257
18.841553	-37.532269
19.514465	-36.566910
20.187378	-35.395401
20.860291	-33.589970
21.533203	-31.989695
22.206116	-29.698877
22.879028	-26.794685
23.551941	-21.542538
24.224854	-8.986808
24.897766	-15.293617
25.570679	-23.690865
26.243591	-27.595533
26.916504	-30.495649
27.589417	-32.475273
28.262329	-34.403397
28.935242	-35.416542
29.608154	-36.646473
30.281067	-37.783375
30.953979	-38.562008
31.626892	-39.336391
32.299805	-40.105171
32.972717	-40.860428
33.645630	-41.345184
34.318542	-41.913189
34.991455	-42.221783
35.664368	-42.659454
36.337280	-42.880611
37.010193	-43.430103
37.683105	-43.604069
38.356018	-43.645519
39.028931	-43.570503
39.701843	-43.748695
40.374756	-43.698498
41.047668	-43.079361
41.720581	-43.002285
42.393494	-42.532021
43.066406	-42.015831
43.739319	-41.292446
44.412231	-40.421371
45.085144	-38.431042
45.758057	-37.343899
46.430969	-35.177448
47.103882	-32.810452
47.776794	-27.409430
48.449707	-17.835281
49.122620	-14.834628
49.795532	-27.206661
50.468445	-31.524349
51.141357	-34.736271
51.814270	-36.739212
52.487183	-38.466881
53.160095	-39.729103
53.833008	-41.047916
54.505920	-41.989567
55.178833	-42.835079
55.851746	-43.274185
56.524658	-43.964516
57.197571	-44.447178
57.870483	-45.007240
58.543396	-45.512619
59.216309	-45.769211
59.889221	-46.045078
60.562134	-46.404194
61.235046	-46.680420
61.907959	-46.729607
62.580872	-46.944565
63.253784	-46.939266
63.926697	-46.926178
64.599609	-46.998074
65.272522	-46.764198
65.945435	-46.399441
66.618347	-46.456799
67.291260	-46.103195
67.964172	-45.669540
68.637085	-44.976807
69.309998	-43.872299
69.982910	-42.407772
70.655823	-40.663052
71.328735	-38.679836
72.001648	-33.836151
72.674561	-25.326811
73.347473	-18.425596
74.020386	-28.472816
74.693298	-34.525471
75.366211	-38.365582
76.039124	-40.891731
76.712036	-42.356384
77.384949	-43.387386
78.057861	-45.083527
78.730774	-44.936382
79.403687	-46.264774
80.076599	-46.862881
80.749512	-46.360703
81.422424	-47.084068
82.095337	-47.867283
82.768250	-47.649334
83.441162	-47.934193
84.114075	-47.786335
84.786987	-47.782501
85.459900	-47.853943
86.132812	-47.939667
86.805725	-47.650272
87.478638	-47.153023
88.151550	-46.524258
88.824463	-46.382881
89.497375	-45.805660
90.170288	-44.547550
90.843201	-43.978874
91.516113	-44.171673
92.189026	-42.784111
92.861938	-42.662880
93.534851	-40.629448
94.207764	-38.334518
94.880676	-36.690945
95.553589	-34.890762
96.226501	-30.199749
96.899414	-22.812687
97.572327	-16.147381
98.245239	-18.355162
98.918152	-27.803679
99.591064	-32.881535
100.263977	-36.593384
100.936890	-37.993057
101.609802	-39.328972
102.282715	-40.393974
102.955627	-41.874126
103.628540	-43.945889
104.301453	-44.444988
104.974365	-45.371437
105.647278	-45.591686
106.320190	-46.942448
106.993103	-47.742466
107.666016	-48.179867
108.338928	-48.684914
109.011841	-48.704670
109.684753	-49.640160
110.357666	-49.840954
111.030579	-50.173412
111.703491	-50.506519
112.376404	-50.888813
113.049316	-50.751610
113.722229	-50.930088
114.395142	-50.877724
115.068054	-51.698868
115.740967	-49.977570
116.413879	-51.284527
117.086792	-51.125961
117.759705	-51.353592
118.432617	-50.570770
119.105530	-49.278126
119.778442	-48.324505
120.451355	-45.810970
121.124268	-39.940704
121.797180	-33.969265
122.470093	-33.084232
123.143005	-42.955574
123.815918	-48.418018
124.488831	-50.352600
125.161743	-51.391075
125.834656	-51.632221
126.507568	-52.642124
127.180481	-52.895603
127.853394	-53.101990
128.526306	-53.370583
129.199219	-53.115387
129.872131	-52.326729
130.545044	-52.568539
131.217957	-53.054535
131.890869	-53.171150
132.563782	-53.041847
133.236694	-52.737751
133.909607	-52.934525
134.582520	-52.825497
135.255432	-52.049660
135.928345	-52.185200
136.601257	-51.959496
137.274170	-51.550785
137.947083	-50.856461
138.619995	-50.494102
139.292908	-48.554085
139.965820	-47.720959
140.638733	-48.881786
141.311646	-47.533092
141.984558	-47.820347
142.657471	-44.857086
143.330383	-42.337276
144.003296	-40.325970
144.676208	-37.501125
145.349121	-31.025673
146.022034	-24.096106
146.694946	-22.700073
147.367859	-25.880623
148.040771	-33.569191
148.713684	-37.553532
149.386597	-41.057278
150.059509	-42.948006
150.732422	-43.478420
151.405334	-45.894085
152.078247	-46.443893
152.751160	-48.474354
153.424072	-49.156029
154.096985	-49.076431
154.769897	-49.096443
155.442810	-51.148514
156.115723	-51.498512
156.788635	-52.003891
157.461548	-52.345100
158.134460	-53.087669
158.807373	-53.217129
159.480286	-53.351124
160.153198	-54.038330
160.826111	-53.374458
161.499023	-53.259651
162.171936	-53.050152
162.844849	-52.592316
163.517761	-50.258781
164.190674	-50.894226
164.863586	-50.339561
165.536499	-50.313061
166.209412	-50.249966
166.882324	-47.324665
167.555237	-45.696751
168.228149	-42.045071
168.901062	-40.576546
169.573975	-33.959160
170.246887	-27.900883
170.919800	-27.385101
171.592712	-25.997578
172.265625	-34.577862
172.938538	-40.552475
173.611450	-44.986111
174.284363	-45.750668
174.957275	-46.259918
175.630188	-48.633034
176.303101	-50.266140
176.976013	-51.704048
177.648926	-52.142982
178.321838	-52.105961
178.994751	-52.354874
179.667664	-53.703239
180.340576	-54.854877
181.013489	-54.822746
181.686401	-55.081718
182.359314	-54.930836
183.032227	-55.936489
183.705139	-55.787373
184.378052	-56.233047
185.050964	-56.111057
185.723877	-56.680458
186.396790	-56.601261
187.069702	-56.014362
187.742615	-56.444565
188.415527	-55.590145
189.088440	-55.450760
189.761353	-55.938370
190.434265	-56.142277
191.107178	-56.133675
191.780090	-55.051266
192.453003	-53.289700
193.125916	-52.186100
193.798828	-46.145935
194.471741	-40.109222
195.144653	-38.015553
195.817566	-35.606068
196.490479	-39.841732
197.163391	-46.572308
197.836304	-49.671917
198.509216	-51.008781
199.182129	-51.021255
199.855042	-52.317589
200.527954	-55.024529
201.200867	-55.485981
201.873779	-56.648258
202.546692	-56.059723
203.219604	-55.802334
203.892517	-56.712135
204.565430	-57.135933
205.238342	-57.731342
205.911255	-57.630379
206.584167	-57.140594
207.257080	-58.145931
207.929993	-57.430931
208.602905	-57.391129
209.275818	-57.267910
209.948730	-56.905605
210.621643	-57.803226
211.294556	-55.634281
211.967468	-55.070461
212.640381	-52.672527
213.313293	-52.029697
213.986206	-52.568359
214.659119	-52.559055
215.332031	-51.763870
216.004944	-48.694889
216.677856	-45.594982
217.350769	-43.861988
218.023682	-37.573605
218.696594	-32.369965
219.369507	-30.076691
220.042419	-30.158079
220.715332	-29.634256
221.388245	-37.294647
222.061157	-41.636391
222.734070	-45.204887
223.406982	-47.701843
224.079895	-47.064781
224.752808	-49.646946
225.425720	-51.529583
226.098633	-54.012955
226.771545	-54.965916
227.444458	-54.756611
228.117371	-52.965866
228.790283	-55.763577
229.463196	-57.434425
230.136108	-57.614769
230.809021	-58.076439
231.481934	-58.487240
232.154846	-58.649204
232.827759	-58.173843
233.500671	-58.530521
234.173584	-58.101765
234.846497	-59.532494
235.519409	-58.731525
236.192322	-58.050686
236.865234	-57.550922
237.538147	-57.748608
238.211060	-55.136002
238.883972	-58.471462
239.556885	-56.860161
240.229797	-55.619072
240.902710	-53.912521
241.575623	-50.018929
242.248535	-46.183594
242.921448	-41.746449
243.594360	-40.270504
244.267273	-41.507511
244.940186	-38.431740
245.613098	-44.660160
246.286011	-50.937191
246.958923	-54.360752
247.631836	-57.251263
248.304749	-58.379475
