Frequency (Hz)	Level (dB)
0.672913	-99.707405
1.345825	-99.887489
2.018738	-99.366776
2.691650	-99.661308
3.364563	-99.227692
4.037476	-98.348450
4.710388	-98.751389
5.383301	-98.133186
6.056213	-96.409286
6.729126	-94.736717
7.402039	-96.296547
8.074951	-96.862587
8.747864	-96.661354
9.420776	-96.822548
10.093689	-94.689209
10.766602	-92.520050
11.439514	-91.872681
12.112427	-90.694023
12.785339	-92.317841
13.458252	-91.333542
14.131165	-93.482231
14.804077	-91.572495
15.476990	-91.098289
16.149902	-92.476837
16.822815	-91.292038
17.495728	-91.789551
18.168640	-90.865280
18.841553	-90.665520
19.514465	-90.909302
20.187378	-91.433014
20.860291	-90.592545
21.533203	-90.118492
22.206116	-88.561989
22.879028	-88.481445
23.551941	-89.391609
24.224854	-89.144753
24.897766	-88.509613
25.570679	-89.252159
26.243591	-88.703400
26.916504	-86.863968
27.589417	-88.129242
28.262329	-87.255264
28.935242	-88.957520
29.608154	-86.291206
30.281067	-87.358185
30.953979	-86.434486
31.626892	-86.099571
32.299805	-85.981293
32.972717	-86.891403
33.645630	-86.940979
34.318542	-85.961853
34.991455	-86.194466
35.664368	-85.737259
36.337280	-85.156349
37.010193	-85.171394
37.683105	-85.033432
38.356018	-85.280060
39.028931	-84.856880
39.701843	-84.109856
40.374756	-85.084167
41.047668	-83.887421
41.720581	-85.031799
42.393494	-84.496094
43.066406	-85.009010
43.739319	-83.279465
44.412231	-82.590935
45.085144	-81.626411
45.758057	-81.700531
46.430969	-81.916260
47.103882	-83.174599
47.776794	-81.363174
48.449707	-83.249245
49.122620	-82.583969
49.795532	-81.985817
50.468445	-80.793022
51.141357	-80.471626
51.814270	-80.491058
52.487183	-82.440765
53.160095	-80.049026
53.833008	-79.671768
54.505920	-80.735237
55.178833	-80.087791
55.851746	-81.423523
56.524658	-79.723923
57.197571	-79.571381
57.870483	-79.362038
58.543396	-79.046318
59.216309	-79.330055
59.889221	-78.262329
60.562134	-78.881485
61.235046	-79.711578
61.907959	-79.011475
62.580872	-78.596390
63.253784	-78.242149
63.926697	-78.338257
64.599609	-79.127480
65.272522	-80.344261
65.945435	-79.309578
66.618347	-77.499146
67.291260	-79.302765
67.964172	-78.402397
68.637085	-78.759224
69.309998	-78.408669
69.982910	-77.033394
70.655823	-76.782883
71.328735	-77.552750
72.001648	-79.040741
72.674561	-78.158310
73.347473	-77.823105
74.020386	-78.536018
74.693298	-77.636337
75.366211	-76.604820
76.039124	-76.960602
76.712036	-78.622246
77.384949	-79.249283
78.057861	-78.455284
78.730774	-78.708023
79.403687	-77.940132
80.076599	-77.925034
80.749512	-77.917549
81.422424	-77.461304
82.095337	-77.421455
82.768250	-77.297394
83.441162	-78.567764
84.114075	-77.289574
84.786987	-77.546333
85.459900	-77.714249
86.132812	-77.346252
86.805725	-78.690437
87.478638	-78.127693
88.151550	-78.572670
88.824463	-76.862617
89.497375	-77.477570
90.170288	-77.109627
90.843201	-77.392990
91.516113	-77.674133
92.189026	-77.383949
92.861938	-77.982964
93.534851	-76.793953
94.207764	-78.160728
94.880676	-78.178886
95.553589	-78.257370
96.226501	-77.655151
96.899414	-76.615723
97.572327	-77.400116
98.245239	-77.712524
98.918152	-77.813324
99.591064	-77.691910
100.263977	-77.373734
100.936890	-77.357170
101.609802	-78.614037
102.282715	-77.190437
102.955627	-76.267700
