Frequency (Hz)	Level (dB)
0.672913	-93.848526
1.345825	-93.873100
2.018738	-93.883995
2.691650	-93.574463
3.364563	-92.643188
4.037476	-94.324463
4.710388	-93.832512
5.383301	-94.635094
6.056213	-93.031670
6.729126	-94.358887
7.402039	-93.582596
8.074951	-93.996872
8.747864	-93.621376
9.420776	-92.288864
10.093689	-92.149567
10.766602	-91.249550
11.439514	-91.180161
12.112427	-90.610771
12.785339	-92.682838
13.458252	-90.657074
14.131165	-92.488708
14.804077	-91.624519
15.476990	-91.741417
16.149902	-90.860359
16.822815	-92.810951
17.495728	-92.397720
18.168640	-93.838768
18.841553	-92.357780
19.514465	-92.874252
20.187378	-91.165871
20.860291	-90.767807
21.533203	-89.605530
22.206116	-89.078423
22.879028	-90.621490
23.551941	-91.991196
24.224854	-90.091438
24.897766	-89.251747
25.570679	-89.363495
26.243591	-88.782394
26.916504	-88.471268
27.589417	-88.312401
28.262329	-88.674652
28.935242	-87.916809
29.608154	-89.461952
30.281067	-90.178619
30.953979	-91.193596
31.626892	-87.129921
32.299805	-90.842285
32.972717	-89.880646
33.645630	-93.003487
34.318542	-90.028435
34.991455	-89.252388
35.664368	-88.370316
36.337280	-89.671341
37.010193	-87.435341
37.683105	-89.128990
38.356018	-88.060799
39.028931	-89.044693
39.701843	-87.816383
40.374756	-89.521355
41.047668	-87.676613
41.720581	-88.111549
42.393494	-89.039856
43.066406	-90.537247
43.739319	-88.468384
44.412231	-88.806549
45.085144	-85.298996
45.758057	-83.756157
46.430969	-83.818314
47.103882	-87.253906
47.776794	-84.685936
48.449707	-85.720261
49.122620	-87.010910
49.795532	-85.582031
50.468445	-83.391724
51.141357	-84.055183
51.814270	-84.767616
52.487183	-84.121002
53.160095	-83.674652
53.833008	-80.220535
54.505920	-84.460121
55.178833	-82.387085
55.851746	-84.391235
56.524658	-82.610649
57.197571	-82.320724
57.870483	-85.813690
58.543396	-81.962845
59.216309	-83.360977
59.889221	-81.660034
60.562134	-80.334763
61.235046	-83.023804
61.907959	-82.242485
62.580872	-85.330048
63.253784	-81.410713
63.926697	-81.335464
64.599609	-81.559853
65.272522	-82.662201
65.945435	-84.478004
66.618347	-82.538971
67.291260	-82.685684
67.964172	-82.841133
68.637085	-82.174675
69.309998	-81.599815
69.982910	-80.500275
70.655823	-82.179657
71.328735	-79.165298
72.001648	-81.716843
72.674561	-80.850357
73.347473	-79.835594
74.020386	-80.671707
74.693298	-79.209854
75.366211	-78.238800
76.039124	-79.717613
76.712036	-79.645981
77.384949	-83.792290
78.057861	-80.168762
78.730774	-81.297104
79.403687	-78.637703
80.076599	-81.142471
80.749512	-80.173553
81.422424	-81.823341
82.095337	-82.663681
82.768250	-81.291214
83.441162	-78.865013
84.114075	-77.977242
84.786987	-80.065453
85.459900	-80.980942
86.132812	-84.380905
86.805725	-82.838097
87.478638	-80.761024
88.151550	-79.475616
88.824463	-82.771652
89.497375	-82.918320
90.170288	-80.922134
90.843201	-78.104660
91.516113	-82.482185
92.189026	-80.990059
92.861938	-82.571678
93.534851	-79.209473
94.207764	-78.516212
94.880676	-82.253593
95.553589	-81.205551
96.226501	-79.818222
96.899414	-79.689232
97.572327	-78.686722
98.245239	-80.240501
98.918152	-78.719673
99.591064	-80.464149
100.263977	-78.813942
100.936890	-80.107727
101.609802	-78.612297
102.282715	-79.048668
102.955627	-79.697006
103.628540	-79.770462
104.301453	-81.035294
104.974365	-79.248535
105.647278	-79.960464
106.320190	-77.936768
106.993103	-82.349594
107.666016	-78.993805
108.338928	-80.176170
109.011841	-79.338821
109.684753	-78.804916
110.357666	-78.211693
111.030579	-79.408440
111.703491	-80.680000
112.376404	-79.751373
113.049316	-80.091980
113.722229	-78.639114
114.395142	-77.013947
115.068054	-77.684097
115.740967	-78.816124
116.413879	-78.543976
117.086792	-78.291359
117.759705	-80.073738
118.432617	-76.060051
119.105530	-77.103546
119.778442	-74.882607
120.451355	-74.085594
121.124268	-70.243057
121.797180	-76.575279
122.470093	-77.580124
123.143005	-77.977081
123.815918	-78.677406
124.488831	-79.875137
125.161743	-78.776192
125.834656	-76.322983
126.507568	-77.479523
127.180481	-79.489304
127.853394	-76.789230
128.526306	-77.448067
129.199219	-82.063843
129.872131	-77.791222
130.545044	-77.653137
131.217957	-77.337440
131.890869	-79.968285
132.563782	-76.083534
133.236694	-76.880035
133.909607	-75.208420
134.582520	-75.348457
135.255432	-78.196503
135.928345	-79.518936
136.601257	-78.295105
137.274170	-77.198296
137.947083	-75.278038
138.619995	-76.867798
139.292908	-75.196800
139.965820	-77.823647
140.638733	-77.966011
141.311646	-79.904457
141.984558	-76.815765
142.657471	-76.394485
143.330383	-75.369141
144.003296	-78.851624
144.676208	-76.413422
145.349121	-77.629517
146.022034	-77.715538
146.694946	-80.023438
147.367859	-75.406898
148.040771	-77.149223
148.713684	-77.903366
149.386597	-81.611679
150.059509	-76.831551
150.732422	-78.694321
