Frequency (Hz)	Level (dB)
0.672913	-95.690430
1.345825	-95.653534
2.018738	-95.599388
2.691650	-95.513390
3.364563	-95.150520
4.037476	-94.441063
4.710388	-95.206596
5.383301	-95.181244
6.056213	-95.015953
6.729126	-93.857277
7.402039	-94.685471
8.074951	-94.240738
8.747864	-94.170143
9.420776	-93.965500
10.093689	-93.346291
10.766602	-92.373795
11.439514	-92.268990
12.112427	-92.506073
12.785339	-92.356346
13.458252	-92.590508
14.131165	-92.296234
14.804077	-93.249832
15.476990	-91.820206
16.149902	-92.103485
16.822815	-92.688675
17.495728	-91.998238
18.168640	-91.807297
18.841553	-91.293686
19.514465	-91.723961
20.187378	-91.682899
20.860291	-91.079124
21.533203	-92.197800
22.206116	-90.335426
22.879028	-89.688766
23.551941	-90.820686
24.224854	-91.397087
24.897766	-90.174385
25.570679	-89.734108
26.243591	-90.221436
26.916504	-90.170853
27.589417	-90.113312
28.262329	-90.010460
28.935242	-90.733063
29.608154	-87.801315
30.281067	-92.066711
30.953979	-91.363045
31.626892	-90.072212
32.299805	-90.234116
32.972717	-90.247223
33.645630	-89.662659
34.318542	-90.268127
34.991455	-88.576378
35.664368	-89.060074
36.337280	-89.722351
37.010193	-88.644867
37.683105	-88.980904
38.356018	-88.951317
39.028931	-88.718048
39.701843	-88.791039
40.374756	-87.821037
41.047668	-87.492828
41.720581	-88.349342
42.393494	-88.029205
43.066406	-88.140472
43.739319	-87.459206
44.412231	-87.602432
45.085144	-87.470833
45.758057	-85.791595
46.430969	-85.982178
47.103882	-87.721382
47.776794	-85.406151
48.449707	-86.532478
49.122620	-85.696259
49.795532	-85.747032
50.468445	-84.609001
51.141357	-84.461838
51.814270	-84.549515
52.487183	-85.264755
53.160095	-83.664230
53.833008	-83.376808
54.505920	-85.343498
55.178833	-83.987686
55.851746	-84.342735
56.524658	-82.785675
57.197571	-82.434341
57.870483	-82.743027
58.543396	-81.649185
59.216309	-81.140671
59.889221	-81.368248
60.562134	-81.319786
61.235046	-82.128639
61.907959	-82.711761
62.580872	-82.078560
63.253784	-82.692238
63.926697	-82.414085
64.599609	-83.057388
65.272522	-83.261063
65.945435	-83.232185
66.618347	-81.561058
67.291260	-81.788345
67.964172	-81.599899
68.637085	-81.181976
69.309998	-81.336403
69.982910	-79.127937
70.655823	-80.608780
71.328735	-80.387192
72.001648	-82.012062
72.674561	-80.284966
73.347473	-80.550850
74.020386	-80.543365
74.693298	-80.090805
75.366211	-79.038834
76.039124	-79.259361
76.712036	-80.991302
77.384949	-80.799500
78.057861	-80.829636
78.730774	-80.391701
79.403687	-79.836105
80.076599	-80.480568
80.749512	-80.711617
81.422424	-80.209015
82.095337	-79.858215
82.768250	-80.164230
83.441162	-80.954048
84.114075	-79.709999
84.786987	-79.550003
85.459900	-80.868614
86.132812	-80.250748
86.805725	-80.623871
87.478638	-80.133316
88.151550	-80.533638
88.824463	-79.293251
89.497375	-79.373878
90.170288	-80.353943
90.843201	-79.250900
91.516113	-79.664772
92.189026	-78.662247
92.861938	-80.290627
93.534851	-78.123489
94.207764	-79.918022
94.880676	-80.314751
95.553589	-79.661064
96.226501	-79.952888
96.899414	-78.492363
97.572327	-79.317169
98.245239	-79.503075
98.918152	-79.514809
99.591064	-79.594406
100.263977	-79.157990
100.936890	-79.446404
101.609802	-80.363129
102.282715	-79.179977
102.955627	-78.010597
103.628540	-79.209480
104.301453	-80.572968
104.974365	-78.731010
105.647278	-79.972496
106.320190	-79.430717
106.993103	-78.276329
107.666016	-77.977913
108.338928	-80.389702
109.011841	-79.024551
109.684753	-79.123459
110.357666	-78.355515
111.030579	-80.226570
111.703491	-77.739525
112.376404	-78.907791
113.049316	-78.159004
113.722229	-78.298805
114.395142	-77.406349
115.068054	-76.747391
115.740967	-78.419853
116.413879	-80.112404
117.086792	-77.613083
117.759705	-77.810150
118.432617	-78.707703
119.105530	-77.157555
119.778442	-74.649216
120.451355	-73.942253
121.124268	-69.674278
121.797180	-77.043602
122.470093	-77.187370
123.143005	-77.600014
123.815918	-77.475433
124.488831	-77.329269
125.161743	-79.091637
125.834656	-77.927216
126.507568	-78.362488
127.180481	-77.854759
127.853394	-77.887871
128.526306	-78.722847
129.199219	-79.719994
129.872131	-78.338219
130.545044	-77.986946
131.217957	-77.478371
131.890869	-78.295013
132.563782	-76.380836
133.236694	-78.550720
133.909607	-76.483093
134.582520	-76.171371
135.255432	-78.704094
135.928345	-78.300407
136.601257	-78.118622
137.274170	-78.044022
137.947083	-77.494514
138.619995	-76.611710
139.292908	-76.244560
139.965820	-77.638290
140.638733	-77.234901
141.311646	-78.224510
141.984558	-77.540482
142.657471	-77.298088
143.330383	-77.465698
144.003296	-77.449753
144.676208	-76.872543
145.349121	-77.371071
146.022034	-76.555862
146.694946	-76.789757
147.367859	-75.981873
148.040771	-77.700874
148.713684	-76.731026
149.386597	-76.271660
150.059509	-77.035263
150.732422	-78.120644
151.405334	-77.447777
152.078247	-76.941902
152.751160	-77.530975
153.424072	-77.740234
154.096985	-76.775253
154.769897	-77.348122
155.442810	-77.622955
156.115723	-78.235397
156.788635	-77.658966
157.461548	-78.661400
158.134460	-76.986275
158.807373	-77.190643
159.480286	-77.274315
160.153198	-77.067642
160.826111	-76.434837
161.499023	-76.283188
162.171936	-78.163002
162.844849	-77.730087
163.517761	-77.423080
164.190674	-78.736526
164.863586	-77.605698
165.536499	-77.179939
166.209412	-77.092621
166.882324	-76.990761
167.555237	-77.471260
168.228149	-76.508575
168.901062	-76.581474
169.573975	-76.725624
170.246887	-76.851990
170.919800	-77.318901
171.592712	-76.579735
172.265625	-75.968208
172.938538	-77.300255
173.611450	-76.269875
174.284363	-76.026672
174.957275	-75.558670
175.630188	-75.043533
176.303101	-75.027092
176.976013	-76.762383
177.648926	-75.567520
178.321838	-76.361237
178.994751	-77.133583
179.667664	-77.075867
180.340576	-76.132660
181.013489	-75.784531
181.686401	-76.476784
182.359314	-76.415276
183.032227	-75.161903
183.705139	-76.097366
184.378052	-75.115471
185.050964	-74.502632
185.723877	-76.185440
186.396790	-75.471252
187.069702	-76.422684
187.742615	-75.714783
188.415527	-76.558533
189.088440	-76.530037
189.761353	-75.253304
190.434265	-74.528587
191.107178	-74.651833
191.780090	-76.285812
192.453003	-76.773186
193.125916	-76.549934
193.798828	-76.183571
194.471741	-75.368980
195.144653	-75.340141
195.817566	-76.487267
196.490479	-74.906349
197.163391	-74.774925
197.836304	-75.506371
198.509216	-73.816681
199.182129	-74.941406
199.855042	-75.123222
200.527954	-74.899879
201.200867	-74.511726
201.873779	-74.536873
202.546692	-74.532127
203.219604	-74.984947
203.892517	-76.045807
204.565430	-75.515961
205.238342	-76.306793
205.911255	-75.478394
206.584167	-75.070572
207.257080	-75.919762
207.929993	-75.289719
208.602905	-74.030174
209.275818	-74.968597
209.948730	-75.670937
210.621643	-74.715446
211.294556	-73.889854
211.967468	-74.795296
212.640381	-75.037704
213.313293	-73.423279
213.986206	-75.341743
214.659119	-75.528648
215.332031	-73.932983
216.004944	-74.615959
216.677856	-73.328476
217.350769	-73.952782
218.023682	-74.157974
218.696594	-73.717278
219.369507	-73.592529
220.042419	-75.166229
220.715332	-74.690071
221.388245	-74.691200
222.061157	-74.607079
222.734070	-73.974510
223.406982	-73.410667
224.079895	-74.748184
224.752808	-74.915581
225.425720	-73.757385
226.098633	-74.697861
226.771545	-72.334717
227.444458	-73.361916
228.117371	-72.782272
228.790283	-73.330452
229.463196	-73.467697
230.136108	-73.215988
230.809021	-72.846024
231.481934	-73.409225
232.154846	-73.342392
232.827759	-72.835930
233.500671	-73.538673
234.173584	-73.891724
234.846497	-73.083336
235.519409	-73.864540
236.192322	-72.968475
236.865234	-71.697289
237.538147	-73.023903
238.211060	-73.191063
238.883972	-72.660965
239.556885	-72.895905
240.229797	-72.590843
240.902710	-73.322144
241.575623	-73.647453
242.248535	-71.227547
242.921448	-71.856895
243.594360	-71.481422
244.267273	-71.447075
244.940186	-71.479012
245.613098	-72.379349
246.286011	-72.610229
246.958923	-74.046860
247.631836	-71.867432
248.304749	-72.114258
248.977661	-72.509506
249.650574	-72.131721
250.323486	-71.358482
250.996399	-71.612099
251.669312	-72.317039
252.342224	-73.229118
253.015137	-71.769226
253.688049	-72.785431
254.360962	-70.659180
255.033875	-71.404938
255.706787	-71.468117
256.379700	-71.489929
257.052612	-70.682266
257.725525	-70.829979
258.398438	-70.680351
259.071350	-71.026817
259.744263	-71.036461
260.417175	-70.859222
261.090088	-70.397728
261.763000	-70.451675
262.435913	-70.843307
263.108826	-70.645142
263.781738	-69.746849
264.454651	-70.820007
265.127563	-70.236488
265.800476	-70.763000
266.473389	-70.181427
267.146301	-71.048111
267.819214	-70.595787
268.492126	-69.020821
269.165039	-68.882568
269.837952	-71.069107
270.510864	-70.911713
271.183777	-69.156975
271.856689	-70.530098
272.529602	-69.601044
273.202515	-68.857292
273.875427	-70.066742
274.548340	-69.528015
275.221252	-68.511337
275.894165	-69.536400
276.567078	-68.952538
277.239990	-69.129730
277.912903	-67.351608
278.585815	-67.336815
279.258728	-70.258911
279.931641	-69.491570
280.604553	-68.435745
281.277466	-68.253098
281.950378	-68.685379
282.623291	-69.324326
283.296204	-68.443687
283.969116	-68.176323
284.642029	-67.037125
285.314941	-68.224586
285.987854	-68.173927
286.660767	-66.926292
287.333679	-67.178963
288.006592	-68.330185
288.679504	-67.142372
289.352417	-68.221756
290.025330	-66.358925
290.698242	-66.755287
291.371155	-66.729958
292.044067	-66.970589
292.716980	-65.194244
293.389893	-65.349373
294.062805	-66.331863
294.735718	-66.871201
295.408630	-66.745819
296.081543	-66.335419
296.754456	-65.671761
297.427368	-63.759777
298.100281	-65.389214
298.773193	-65.851997
299.446106	-66.161880
300.119019	-64.892426
300.791931	-65.569817
301.464844	-62.865829
302.137756	-64.218796
302.810669	-64.082283
303.483582	-65.192146
304.156494	-64.143913
304.829407	-64.014114
305.502319	-63.854504
306.175232	-63.860241
306.848145	-63.955372
307.521057	-63.738094
308.193970	-62.452103
308.866882	-63.384830
309.539795	-61.875423
310.212708	-63.564114
310.885620	-62.300499
311.558533	-62.940407
312.231445	-63.354996
312.904358	-62.191948
313.577271	-61.545265
