Frequency (Hz)	Level (dB)
0.672913	-87.998192
1.345825	-88.058060
2.018738	-87.975624
2.691650	-88.022377
3.364563	-87.886620
4.037476	-88.020866
4.710388	-87.998474
5.383301	-87.742340
6.056213	-87.506866
6.729126	-87.624382
7.402039	-87.086830
8.074951	-87.476936
8.747864	-87.287323
9.420776	-86.852058
10.093689	-86.345215
10.766602	-87.088974
11.439514	-86.569885
12.112427	-86.832825
12.785339	-86.205612
13.458252	-86.499474
14.131165	-86.062843
14.804077	-86.024979
15.476990	-86.291557
16.149902	-85.913422
16.822815	-86.172745
17.495728	-86.057976
18.168640	-85.525444
18.841553	-85.856354
19.514465	-85.585960
20.187378	-85.998314
20.860291	-85.760376
21.533203	-85.624565
22.206116	-85.763466
22.879028	-86.118797
23.551941	-84.913750
24.224854	-86.229851
24.897766	-84.400230
25.570679	-83.740097
26.243591	-84.369888
26.916504	-84.564484
27.589417	-83.369453
28.262329	-84.782707
28.935242	-83.740807
29.608154	-82.643593
30.281067	-83.972946
30.953979	-82.815231
31.626892	-81.635727
32.299805	-81.870346
32.972717	-81.532486
33.645630	-80.685455
34.318542	-81.895897
34.991455	-80.687317
35.664368	-80.488350
36.337280	-79.360916
37.010193	-79.492523
37.683105	-79.064941
38.356018	-79.200836
39.028931	-78.811722
39.701843	-78.290367
40.374756	-77.974609
41.047668	-77.944405
41.720581	-77.785675
42.393494	-78.672531
43.066406	-77.489815
43.739319	-76.609558
44.412231	-75.500999
45.085144	-75.947037
45.758057	-75.636917
46.430969	-74.943871
47.103882	-76.934212
47.776794	-75.127594
48.449707	-74.340546
49.122620	-74.525185
49.795532	-75.212547
50.468445	-74.023323
51.141357	-74.923782
51.814270	-74.867668
52.487183	-75.093201
53.160095	-73.614288
53.833008	-73.893639
54.505920	-73.378181
55.178833	-73.398491
55.851746	-73.195473
56.524658	-73.848015
57.197571	-73.749344
57.870483	-72.165276
58.543396	-71.669945
59.216309	-69.656708
59.889221	-71.154839
60.562134	-70.773041
61.235046	-71.174110
61.907959	-70.592781
62.580872	-71.275093
63.253784	-71.039078
63.926697	-71.375847
64.599609	-70.974762
65.272522	-71.717911
65.945435	-70.912086
66.618347	-69.966286
67.291260	-70.019890
67.964172	-70.006660
68.637085	-68.867256
69.309998	-67.926056
69.982910	-67.466705
70.655823	-69.004768
71.328735	-69.615021
72.001648	-67.669334
72.674561	-68.469200
73.347473	-67.721474
74.020386	-68.521515
74.693298	-66.268402
75.366211	-67.605377
76.039124	-66.511627
76.712036	-65.692780
77.384949	-66.321999
78.057861	-67.893211
78.730774	-66.281555
79.403687	-66.438667
80.076599	-67.712631
80.749512	-67.036568
81.422424	-67.424644
82.095337	-68.379555
82.768250	-67.868530
83.441162	-67.547371
84.114075	-67.490952
84.786987	-66.590385
85.459900	-66.727676
86.132812	-68.415932
86.805725	-68.441734
87.478638	-67.178627
88.151550	-67.479515
88.824463	-67.031395
89.497375	-66.783195
90.170288	-66.305511
90.843201	-66.733681
91.516113	-65.772690
92.189026	-63.642235
92.861938	-65.314514
93.534851	-63.905758
94.207764	-64.449127
94.880676	-65.544716
95.553589	-66.166473
96.226501	-66.343994
96.899414	-66.871880
97.572327	-65.419380
98.245239	-64.465485
98.918152	-65.054474
99.591064	-64.118538
