Frequency (Hz)	Level (dB)
0.672913	-88.450226
1.345825	-88.480957
2.018738	-88.435959
2.691650	-88.355637
3.364563	-88.518608
4.037476	-88.220978
4.710388	-88.395103
5.383301	-88.369553
6.056213	-88.319733
6.729126	-88.170898
7.402039	-88.266281
8.074951	-88.328827
8.747864	-88.138245
9.420776	-88.195778
10.093689	-87.969521
10.766602	-87.513496
11.439514	-87.845337
12.112427	-88.532661
12.785339	-87.630150
13.458252	-88.155289
14.131165	-88.264877
14.804077	-87.871208
15.476990	-87.491745
16.149902	-87.931953
16.822815	-88.297806
17.495728	-87.858986
18.168640	-87.349159
18.841553	-87.155945
19.514465	-87.476639
20.187378	-87.433830
20.860291	-87.437172
21.533203	-86.920517
22.206116	-87.174561
22.879028	-87.130035
23.551941	-86.246811
24.224854	-87.040100
24.897766	-87.789650
25.570679	-86.468445
26.243591	-86.263550
26.916504	-87.411736
27.589417	-86.927299
28.262329	-86.945404
28.935242	-86.954842
29.608154	-87.410522
30.281067	-87.115723
30.953979	-86.759140
31.626892	-86.798576
32.299805	-86.637718
32.972717	-86.666473
33.645630	-86.445244
34.318542	-87.145920
34.991455	-86.624901
35.664368	-87.199669
36.337280	-86.630501
37.010193	-86.138771
37.683105	-86.340897
38.356018	-86.791542
39.028931	-86.452919
39.701843	-86.284775
40.374756	-85.938522
41.047668	-85.492912
41.720581	-86.203323
42.393494	-86.103951
43.066406	-86.645515
43.739319	-86.341660
44.412231	-86.758446
45.085144	-85.770523
45.758057	-85.835236
46.430969	-86.119522
47.103882	-84.923698
47.776794	-83.847122
48.449707	-85.431152
49.122620	-85.219193
49.795532	-85.288338
50.468445	-85.164368
51.141357	-85.261856
51.814270	-85.252823
52.487183	-85.519096
53.160095	-85.478683
53.833008	-85.146767
54.505920	-84.833839
55.178833	-84.665527
55.851746	-85.127090
56.524658	-83.635796
57.197571	-83.533066
57.870483	-82.907883
58.543396	-80.523972
59.216309	-74.181824
59.889221	-77.438301
60.562134	-75.778358
61.235046	-76.128014
61.907959	-78.026215
62.580872	-78.865654
63.253784	-80.076706
63.926697	-80.023087
64.599609	-80.751991
65.272522	-81.508514
65.945435	-80.755280
66.618347	-79.672478
67.291260	-79.331459
67.964172	-77.392761
68.637085	-74.492111
69.309998	-73.961075
69.982910	-68.488861
70.655823	-72.108017
71.328735	-72.454094
72.001648	-69.638618
72.674561	-71.939209
73.347473	-73.092880
74.020386	-73.956596
74.693298	-72.464691
75.366211	-71.273773
76.039124	-70.018745
76.712036	-69.441521
77.384949	-68.132912
78.057861	-68.860138
78.730774	-68.605164
79.403687	-70.078087
80.076599	-70.479416
80.749512	-72.832260
81.422424	-72.087349
82.095337	-71.097450
82.768250	-71.612633
83.441162	-73.584518
84.114075	-72.703468
84.786987	-73.622780
85.459900	-74.352211
86.132812	-75.209862
86.805725	-76.774757
87.478638	-76.812805
88.151550	-77.268333
88.824463	-74.956215
89.497375	-75.640457
90.170288	-75.805122
90.843201	-73.544792
91.516113	-75.329193
92.189026	-74.561844
92.861938	-68.276329
93.534851	-66.408554
94.207764	-70.100883
94.880676	-74.502769
95.553589	-76.271797
96.226501	-76.158546
96.899414	-75.575836
97.572327	-75.320190
98.245239	-76.012421
98.918152	-73.589371
99.591064	-76.198883
100.263977	-77.240189
100.936890	-75.919136
101.609802	-75.884933
102.282715	-75.394997
102.955627	-75.308571
103.628540	-75.667709
104.301453	-75.806084
104.974365	-73.520164
105.647278	-73.427055
106.320190	-74.538307
106.993103	-72.519173
107.666016	-72.279900
108.338928	-73.361725
109.011841	-71.864616
109.684753	-71.492279
110.357666	-71.342964
111.030579	-69.936676
111.703491	-69.901314
112.376404	-69.074226
113.049316	-68.617722
113.722229	-65.650826
114.395142	-65.540108
115.068054	-62.388992
115.740967	-63.585312
116.413879	-64.227943
117.086792	-61.948536
117.759705	-60.740906
118.432617	-57.754932
119.105530	-55.981728
119.778442	-50.751251
120.451355	-44.682167
121.124268	-43.808304
121.797180	-53.522861
122.470093	-56.929474
123.143005	-59.274853
123.815918	-60.916943
124.488831	-59.790688
125.161743	-60.502640
125.834656	-59.750713
126.507568	-59.607521
127.180481	-62.245384
127.853394	-60.758041
128.526306	-62.451462
129.199219	-63.858604
129.872131	-62.163956
130.545044	-63.015785
131.217957	-62.708290
131.890869	-65.128708
132.563782	-64.376152
133.236694	-66.580727
133.909607	-65.423820
134.582520	-66.655136
135.255432	-70.343407
135.928345	-69.054840
136.601257	-70.704559
137.274170	-69.190491
137.947083	-70.157890
138.619995	-70.049622
139.292908	-70.305069
139.965820	-71.803864
140.638733	-71.910698
141.311646	-72.772484
141.984558	-72.656555
142.657471	-72.015602
143.330383	-73.111145
144.003296	-73.974747
144.676208	-73.607124
145.349121	-74.931892
146.022034	-74.071167
146.694946	-73.839348
147.367859	-73.795036
148.040771	-75.411026
148.713684	-75.361183
149.386597	-74.536629
150.059509	-75.982773
150.732422	-77.006996
151.405334	-76.888451
152.078247	-76.356171
152.751160	-76.728355
153.424072	-78.444679
154.096985	-77.545364
154.769897	-77.324921
155.442810	-77.323067
156.115723	-78.093575
156.788635	-78.126579
157.461548	-78.853752
158.134460	-77.520851
158.807373	-78.263618
159.480286	-78.660690
160.153198	-78.246323
160.826111	-78.025009
161.499023	-78.930214
162.171936	-79.253990
162.844849	-79.679321
163.517761	-79.508438
164.190674	-80.715263
164.863586	-80.355339
165.536499	-79.402115
166.209412	-79.284668
166.882324	-79.587654
167.555237	-80.575233
168.228149	-79.172997
168.901062	-78.771431
169.573975	-80.363922
170.246887	-80.908928
170.919800	-80.504791
171.592712	-80.081688
172.265625	-80.149055
172.938538	-80.614334
173.611450	-80.242798
174.284363	-79.822929
174.957275	-79.435333
175.630188	-80.085732
176.303101	-78.979012
176.976013	-81.823471
177.648926	-79.524025
178.321838	-80.380165
178.994751	-82.290092
179.667664	-81.889893
180.340576	-80.103043
181.013489	-79.852699
181.686401	-81.527000
182.359314	-81.568573
183.032227	-79.582596
183.705139	-80.763954
184.378052	-79.964333
185.050964	-79.291695
185.723877	-81.041039
186.396790	-81.018356
187.069702	-80.922646
187.742615	-80.858124
188.415527	-81.619354
189.088440	-80.998901
189.761353	-80.297310
190.434265	-79.958061
191.107178	-81.105202
191.780090	-82.132530
192.453003	-81.289062
193.125916	-81.042755
193.798828	-81.431412
194.471741	-80.252602
195.144653	-80.394958
195.817566	-81.236809
196.490479	-80.216492
197.163391	-80.366104
197.836304	-80.901169
198.509216	-79.300102
199.182129	-80.137024
199.855042	-80.702454
200.527954	-80.104080
201.200867	-79.962860
201.873779	-80.016640
202.546692	-80.033493
203.219604	-81.745071
203.892517	-80.734512
204.565430	-81.246422
205.238342	-81.334290
205.911255	-80.369850
206.584167	-80.177872
207.257080	-80.879318
207.929993	-80.109955
208.602905	-79.527077
209.275818	-80.559273
209.948730	-80.980835
210.621643	-79.895760
211.294556	-78.095573
211.967468	-79.189186
212.640381	-80.341881
213.313293	-78.477844
213.986206	-79.637924
214.659119	-79.527557
215.332031	-78.667366
