Frequency (Hz)	Level (dB)
0.672913	-84.983414
1.345825	-84.934669
2.018738	-84.940956
2.691650	-84.987022
3.364563	-84.828606
4.037476	-84.691971
4.710388	-84.526001
5.383301	-84.677834
6.056213	-84.672691
6.729126	-83.975952
7.402039	-84.218246
8.074951	-84.657715
8.747864	-84.380867
9.420776	-83.436745
10.093689	-82.605881
10.766602	-81.442169
11.439514	-81.700645
12.112427	-81.581406
12.785339	-80.288986
13.458252	-80.897186
14.131165	-81.413681
14.804077	-81.241058
15.476990	-80.251900
16.149902	-80.389397
16.822815	-79.738083
17.495728	-81.491951
18.168640	-78.210815
18.841553	-77.970200
19.514465	-77.517281
20.187378	-78.604454
20.860291	-76.108856
21.533203	-76.311310
22.206116	-76.240051
22.879028	-75.045280
23.551941	-74.442261
24.224854	-74.226494
24.897766	-76.231697
25.570679	-74.732529
26.243591	-74.863304
26.916504	-75.227310
27.589417	-72.050850
28.262329	-73.075340
28.935242	-72.250832
29.608154	-69.371468
30.281067	-74.473396
30.953979	-73.355232
31.626892	-73.637581
32.299805	-72.418335
32.972717	-72.186554
33.645630	-72.645493
34.318542	-72.808044
34.991455	-72.777588
35.664368	-71.935921
36.337280	-70.242264
37.010193	-70.535492
37.683105	-71.277901
38.356018	-72.195297
39.028931	-70.849510
39.701843	-70.170753
40.374756	-69.585327
41.047668	-69.617470
41.720581	-68.657890
42.393494	-68.999847
43.066406	-68.950752
43.739319	-68.486244
44.412231	-69.752068
45.085144	-69.263145
45.758057	-67.570160
46.430969	-66.006950
47.103882	-68.396843
47.776794	-67.930923
48.449707	-66.384621
49.122620	-66.393234
49.795532	-65.120895
50.468445	-65.096169
51.141357	-63.001770
51.814270	-64.077637
52.487183	-64.589668
53.160095	-62.943287
53.833008	-61.428272
54.505920	-62.071285
55.178833	-62.060947
55.851746	-61.990829
56.524658	-61.190842
57.197571	-60.965832
57.870483	-59.934723
58.543396	-61.291775
59.216309	-59.631275
59.889221	-59.691353
60.562134	-58.454597
61.235046	-58.279457
