Frequency (Hz)	Level (dB)
0.672913	-83.552612
1.345825	-83.416283
2.018738	-83.414551
2.691650	-83.405220
3.364563	-83.560860
4.037476	-83.211288
4.710388	-83.184723
5.383301	-83.057487
6.056213	-82.334534
6.729126	-83.005241
7.402039	-83.048378
8.074951	-83.559219
8.747864	-82.526382
9.420776	-82.300865
10.093689	-82.271042
10.766602	-80.935783
11.439514	-80.141632
12.112427	-80.423943
12.785339	-80.042030
13.458252	-79.972092
14.131165	-79.678185
14.804077	-80.558975
15.476990	-79.302086
16.149902	-78.889824
16.822815	-78.371544
17.495728	-79.002518
18.168640	-78.145660
18.841553	-75.537613
19.514465	-77.791153
20.187378	-77.130348
20.860291	-76.465111
21.533203	-75.335846
22.206116	-75.717583
22.879028	-73.748375
23.551941	-74.344795
24.224854	-75.206459
24.897766	-74.518608
25.570679	-73.438766
26.243591	-72.499954
26.916504	-71.666206
27.589417	-72.081306
28.262329	-72.107811
28.935242	-73.942039
29.608154	-70.097404
30.281067	-72.216835
30.953979	-72.647270
31.626892	-72.799088
32.299805	-73.629471
32.972717	-72.648682
33.645630	-72.377220
34.318542	-72.315292
34.991455	-72.588013
35.664368	-72.919548
36.337280	-70.745544
37.010193	-71.129982
37.683105	-70.768272
38.356018	-71.580963
39.028931	-72.111977
39.701843	-70.336449
40.374756	-69.876305
41.047668	-69.533401
41.720581	-68.209625
42.393494	-67.785301
43.066406	-68.780594
43.739319	-69.048042
44.412231	-68.862389
45.085144	-68.856323
45.758057	-67.747803
46.430969	-66.685684
47.103882	-67.340500
47.776794	-67.873528
48.449707	-67.909813
49.122620	-66.717216
49.795532	-66.915062
50.468445	-65.602036
51.141357	-65.351280
51.814270	-64.273888
52.487183	-64.330544
53.160095	-63.163082
53.833008	-63.361721
54.505920	-60.857288
55.178833	-61.495899
55.851746	-62.118301
56.524658	-60.941692
57.197571	-60.087170
57.870483	-60.814568
58.543396	-61.419994
59.216309	-59.822384
59.889221	-61.141674
60.562134	-60.545204
61.235046	-59.069103
61.907959	-58.851364
62.580872	-56.902622
63.253784	-57.440281
63.926697	-57.165428
64.599609	-60.946369
65.272522	-64.825554
65.945435	-64.053024
66.618347	-61.955784
67.291260	-64.618729
67.964172	-63.722252
68.637085	-62.813900
69.309998	-62.181507
69.982910	-59.665993
70.655823	-58.931324
71.328735	-59.344982
72.001648	-60.518547
72.674561	-58.489399
73.347473	-56.139469
74.020386	-55.861954
74.693298	-55.627701
75.366211	-55.970951
76.039124	-56.305038
76.712036	-57.554043
77.384949	-57.865658
78.057861	-59.226048
78.730774	-59.236687
79.403687	-60.503605
80.076599	-60.806328
