Frequency (Hz)	Level (dB)
0.672913	-87.394646
1.345825	-87.293663
2.018738	-87.391541
2.691650	-87.239052
3.364563	-87.346848
4.037476	-86.709282
4.710388	-87.388115
5.383301	-86.948868
6.056213	-86.533974
6.729126	-85.951080
7.402039	-86.201561
8.074951	-86.063416
8.747864	-86.584404
9.420776	-85.495781
10.093689	-84.306892
10.766602	-83.814537
11.439514	-83.800392
12.112427	-82.585732
12.785339	-83.055794
13.458252	-80.998817
14.131165	-80.944489
14.804077	-81.658768
15.476990	-82.345078
16.149902	-82.148674
16.822815	-82.520256
17.495728	-82.326981
18.168640	-80.332558
18.841553	-78.384308
19.514465	-79.419716
20.187378	-79.709496
20.860291	-79.321609
21.533203	-77.332199
22.206116	-77.113785
22.879028	-74.634407
23.551941	-75.582382
24.224854	-76.475014
24.897766	-76.517334
25.570679	-74.560234
26.243591	-74.739059
26.916504	-75.737617
27.589417	-74.780197
28.262329	-74.722923
28.935242	-75.269547
29.608154	-71.371239
30.281067	-75.273674
30.953979	-74.710320
31.626892	-74.142960
32.299805	-74.750900
32.972717	-73.471428
33.645630	-75.061028
34.318542	-72.832703
34.991455	-73.168358
35.664368	-73.904739
36.337280	-73.268509
37.010193	-71.234299
37.683105	-72.737015
38.356018	-71.937859
39.028931	-72.738571
39.701843	-71.396881
40.374756	-71.709595
41.047668	-71.946373
41.720581	-70.155228
42.393494	-69.461983
43.066406	-69.474213
43.739319	-69.282036
44.412231	-69.969307
45.085144	-69.020401
45.758057	-70.629303
46.430969	-70.613243
47.103882	-70.778412
47.776794	-69.391968
48.449707	-68.851517
49.122620	-67.811394
49.795532	-67.613167
50.468445	-66.084236
51.141357	-65.838669
51.814270	-67.462158
52.487183	-65.877548
53.160095	-65.314301
53.833008	-64.974556
54.505920	-64.341187
55.178833	-64.006905
55.851746	-63.469006
56.524658	-63.379410
57.197571	-61.991066
57.870483	-61.694530
58.543396	-63.870865
59.216309	-61.814137
59.889221	-62.802719
60.562134	-61.263123
61.235046	-60.433254
61.907959	-59.479454
62.580872	-58.326698
63.253784	-59.715549
63.926697	-60.673119
64.599609	-64.213028
65.272522	-64.337845
65.945435	-65.448181
66.618347	-64.601936
67.291260	-64.666740
67.964172	-65.144211
68.637085	-64.636742
69.309998	-63.687859
69.982910	-61.558693
70.655823	-61.651268
71.328735	-62.688869
72.001648	-62.309620
72.674561	-61.299343
73.347473	-59.823029
74.020386	-58.810001
74.693298	-59.313446
75.366211	-58.430222
76.039124	-59.459400
76.712036	-60.980850
77.384949	-60.705891
78.057861	-61.689732
78.730774	-61.453651
79.403687	-61.725670
80.076599	-62.591320
80.749512	-62.793240
81.422424	-62.463104
82.095337	-62.328568
82.768250	-62.864216
83.441162	-60.493740
84.114075	-56.885178
84.786987	-55.871552
85.459900	-55.429523
86.132812	-55.190262
86.805725	-54.491776
87.478638	-56.846058
88.151550	-58.165787
88.824463	-58.914703
89.497375	-56.879074
90.170288	-55.715416
90.843201	-56.319355
91.516113	-57.476437
92.189026	-59.525433
92.861938	-60.452145
93.534851	-59.812920
94.207764	-60.825073
94.880676	-60.742664
95.553589	-60.886414
96.226501	-59.537506
96.899414	-61.555798
97.572327	-61.097794
98.245239	-60.597275
98.918152	-61.073723
99.591064	-59.868069
100.263977	-61.008049
100.936890	-61.114056
101.609802	-60.681595
102.282715	-58.298828
102.955627	-57.600864
103.628540	-55.916145
104.301453	-55.668823
104.974365	-55.459747
105.647278	-54.272022
106.320190	-55.106609
106.993103	-55.617390
107.666016	-55.025352
108.338928	-56.334728
109.011841	-55.518517
109.684753	-56.310974
110.357666	-56.394974
111.030579	-56.847900
111.703491	-54.285503
112.376404	-54.397560
113.049316	-50.889015
113.722229	-45.234722
114.395142	-47.121494
115.068054	-52.620346
115.740967	-53.433857
116.413879	-54.203720
117.086792	-55.221100
117.759705	-53.881901
118.432617	-55.192448
119.105530	-54.933475
119.778442	-51.952126
120.451355	-54.720516
121.124268	-53.898468
121.797180	-56.777431
122.470093	-58.145687
123.143005	-56.790741
123.815918	-58.571911
124.488831	-60.236217
125.161743	-57.953129
125.834656	-58.439915
126.507568	-59.204388
127.180481	-58.593899
127.853394	-57.817886
128.526306	-58.140182
129.199219	-57.890144
129.872131	-59.057861
130.545044	-57.399582
131.217957	-58.495201
131.890869	-59.554356
132.563782	-60.109509
133.236694	-60.666306
133.909607	-60.581387
134.582520	-61.816429
135.255432	-62.347645
135.928345	-63.790733
136.601257	-63.066788
137.274170	-62.489395
137.947083	-63.689587
138.619995	-63.612465
139.292908	-63.962173
139.965820	-61.857296
140.638733	-64.064789
141.311646	-63.384010
141.984558	-64.512421
142.657471	-63.872601
143.330383	-60.957134
144.003296	-61.659824
144.676208	-60.929489
145.349121	-59.750504
146.022034	-60.455708
146.694946	-60.995312
147.367859	-60.937263
148.040771	-61.756527
148.713684	-62.460617
149.386597	-63.496601
150.059509	-63.067810
150.732422	-61.915672
151.405334	-62.507511
152.078247	-64.136635
152.751160	-63.556335
153.424072	-64.782166
154.096985	-64.009598
154.769897	-65.735634
155.442810	-64.994080
156.115723	-65.525978
156.788635	-63.933933
157.461548	-64.493179
158.134460	-63.768475
158.807373	-63.944366
159.480286	-64.502777
160.153198	-65.892494
160.826111	-66.524017
161.499023	-66.293999
162.171936	-66.479507
162.844849	-66.937096
163.517761	-66.145004
164.190674	-67.860474
164.863586	-67.044495
165.536499	-66.442101
166.209412	-66.671043
166.882324	-65.725731
167.555237	-66.667068
168.228149	-67.396210
168.901062	-66.589653
169.573975	-66.292953
170.246887	-67.560463
170.919800	-67.966064
171.592712	-67.321083
172.265625	-67.105194
172.938538	-65.190979
173.611450	-67.299728
174.284363	-67.583694
174.957275	-66.548004
175.630188	-65.263077
176.303101	-64.460693
176.976013	-64.653427
177.648926	-63.688183
178.321838	-62.935692
178.994751	-65.332130
179.667664	-66.639893
180.340576	-66.341110
181.013489	-69.255058
181.686401	-69.039185
182.359314	-69.006012
183.032227	-69.829842
183.705139	-70.723389
184.378052	-70.075363
185.050964	-70.083427
185.723877	-71.163239
186.396790	-70.326630
187.069702	-71.809418
187.742615	-71.374039
188.415527	-72.515762
189.088440	-72.928535
189.761353	-71.234566
190.434265	-72.271156
191.107178	-71.265030
191.780090	-71.079376
192.453003	-72.645950
193.125916	-71.684448
193.798828	-71.735756
194.471741	-70.700287
195.144653	-70.692444
195.817566	-71.308685
196.490479	-70.704750
197.163391	-70.687660
197.836304	-71.504875
198.509216	-70.593864
199.182129	-70.723419
199.855042	-71.332146
200.527954	-71.656944
201.200867	-71.005692
201.873779	-72.170601
202.546692	-71.856651
203.219604	-72.079269
203.892517	-72.624077
204.565430	-71.900063
205.238342	-72.153877
205.911255	-70.334122
206.584167	-70.452965
207.257080	-70.722557
207.929993	-71.269218
208.602905	-70.833527
209.275818	-71.384163
209.948730	-73.394997
210.621643	-69.963669
211.294556	-70.594162
211.967468	-71.081268
212.640381	-70.951805
213.313293	-70.049202
213.986206	-71.483795
214.659119	-72.820389
215.332031	-71.735985
216.004944	-72.498955
216.677856	-71.841591
217.350769	-72.548042
218.023682	-73.620735
218.696594	-72.490479
219.369507	-72.337067
220.042419	-73.332466
220.715332	-72.511391
221.388245	-72.587868
222.061157	-72.819275
222.734070	-72.082489
223.406982	-71.979912
224.079895	-74.097542
224.752808	-74.058708
225.425720	-73.474815
226.098633	-73.569489
226.771545	-71.446136
227.444458	-72.298973
228.117371	-71.470505
228.790283	-72.608246
229.463196	-73.729752
