Frequency (Hz)	Level (dB)
0.672913	-86.228592
1.345825	-86.159615
2.018738	-86.182037
2.691650	-86.187035
3.364563	-86.126083
4.037476	-86.034744
4.710388	-86.042938
5.383301	-85.610069
6.056213	-86.193161
6.729126	-85.396637
7.402039	-85.616287
8.074951	-85.910774
8.747864	-86.241600
9.420776	-84.790749
10.093689	-83.661217
10.766602	-82.562302
11.439514	-80.747955
12.112427	-82.257195
12.785339	-83.173271
13.458252	-82.102440
14.131165	-82.158180
14.804077	-81.590416
15.476990	-81.721230
16.149902	-81.956993
16.822815	-81.885269
17.495728	-82.152100
18.168640	-80.584419
18.841553	-79.637497
19.514465	-79.579689
20.187378	-80.851425
20.860291	-78.217712
21.533203	-77.051033
22.206116	-77.281433
22.879028	-76.219589
23.551941	-77.182159
24.224854	-77.190788
24.897766	-76.969437
25.570679	-76.063301
26.243591	-74.646439
26.916504	-75.734016
27.589417	-75.141586
28.262329	-74.926392
28.935242	-75.004242
29.608154	-71.157120
30.281067	-75.437477
30.953979	-74.926720
31.626892	-73.431946
32.299805	-74.965530
32.972717	-76.365906
33.645630	-74.729996
34.318542	-75.913551
34.991455	-74.291145
35.664368	-73.460037
36.337280	-72.662331
37.010193	-73.542145
37.683105	-74.058807
38.356018	-74.685333
39.028931	-73.035873
39.701843	-73.562393
40.374756	-72.235039
41.047668	-71.372772
41.720581	-71.090607
42.393494	-70.817726
43.066406	-71.053871
43.739319	-70.480499
44.412231	-71.186821
45.085144	-70.112083
45.758057	-70.418686
46.430969	-67.145218
47.103882	-68.408829
47.776794	-69.481178
48.449707	-69.901619
49.122620	-69.650230
49.795532	-67.874062
50.468445	-69.600349
51.141357	-66.736382
51.814270	-66.828079
52.487183	-67.059845
53.160095	-66.059540
53.833008	-64.670776
54.505920	-64.368637
55.178833	-65.162682
55.851746	-62.816563
56.524658	-62.335167
57.197571	-63.768814
57.870483	-64.265182
58.543396	-62.752781
59.216309	-61.657356
59.889221	-61.810783
60.562134	-61.744789
61.235046	-60.554813
61.907959	-59.883846
62.580872	-60.494980
63.253784	-58.413265
63.926697	-61.558426
64.599609	-63.923244
65.272522	-66.485184
65.945435	-65.115189
66.618347	-65.139534
67.291260	-64.157082
67.964172	-63.220882
68.637085	-63.550785
69.309998	-62.494034
69.982910	-61.440483
70.655823	-61.119034
71.328735	-61.595806
72.001648	-61.119946
72.674561	-60.639561
73.347473	-58.824947
74.020386	-56.813335
74.693298	-57.432678
75.366211	-57.928093
76.039124	-59.467072
76.712036	-60.250809
77.384949	-60.360744
78.057861	-60.172073
78.730774	-60.338551
79.403687	-61.608822
80.076599	-62.022530
80.749512	-62.077126
81.422424	-61.279560
82.095337	-63.078285
82.768250	-61.622440
83.441162	-59.372253
84.114075	-57.177765
84.786987	-55.213562
85.459900	-55.884289
86.132812	-53.999119
86.805725	-54.197304
87.478638	-55.987831
88.151550	-58.009506
88.824463	-55.483643
89.497375	-55.803314
90.170288	-54.365925
90.843201	-55.187889
91.516113	-55.303623
92.189026	-56.968784
92.861938	-57.094315
93.534851	-57.379456
94.207764	-59.300331
94.880676	-58.171238
95.553589	-59.312012
96.226501	-58.324203
96.899414	-58.145515
97.572327	-58.442757
98.245239	-58.526081
98.918152	-57.352394
99.591064	-59.293392
100.263977	-58.464294
100.936890	-59.683964
101.609802	-58.429783
102.282715	-56.409462
102.955627	-55.635433
103.628540	-52.757992
104.301453	-52.939438
104.974365	-53.181202
105.647278	-53.210819
106.320190	-53.277508
106.993103	-53.122353
107.666016	-53.336857
108.338928	-56.469990
109.011841	-55.690678
109.684753	-57.546154
110.357666	-58.090424
111.030579	-57.902153
111.703491	-56.021477
112.376404	-57.359383
113.049316	-53.149933
113.722229	-50.319202
114.395142	-49.748196
115.068054	-55.705162
115.740967	-57.320141
116.413879	-59.709019
117.086792	-58.514046
117.759705	-58.977638
118.432617	-57.680695
119.105530	-59.678123
119.778442	-59.191101
120.451355	-59.480907
121.124268	-59.804420
121.797180	-62.385281
122.470093	-62.070679
123.143005	-64.603325
123.815918	-63.947113
124.488831	-63.639614
125.161743	-64.143761
125.834656	-64.228127
126.507568	-63.153103
127.180481	-64.645149
127.853394	-61.648628
128.526306	-62.207073
129.199219	-64.836594
129.872131	-64.746910
130.545044	-62.396210
131.217957	-64.394478
131.890869	-63.513618
132.563782	-64.331459
133.236694	-64.529747
133.909607	-65.684166
134.582520	-65.645119
135.255432	-65.966522
135.928345	-66.556526
136.601257	-67.397171
137.274170	-66.367531
137.947083	-68.836479
138.619995	-68.886162
139.292908	-67.685272
139.965820	-66.917168
140.638733	-69.794342
141.311646	-68.690086
141.984558	-68.064461
142.657471	-67.891182
143.330383	-64.427414
144.003296	-65.749634
144.676208	-65.263374
145.349121	-63.874435
146.022034	-64.711632
146.694946	-64.480362
147.367859	-64.287666
148.040771	-64.186661
148.713684	-65.275063
149.386597	-65.688950
150.059509	-66.613380
150.732422	-67.997101
151.405334	-67.932602
152.078247	-66.885094
152.751160	-67.447334
153.424072	-69.264366
154.096985	-69.020607
154.769897	-68.557571
155.442810	-68.054695
156.115723	-69.328369
156.788635	-68.344093
157.461548	-67.850723
158.134460	-67.820068
158.807373	-68.382050
159.480286	-69.289055
160.153198	-69.370277
160.826111	-71.331619
161.499023	-68.981407
162.171936	-69.437050
162.844849	-69.204575
163.517761	-69.890900
164.190674	-70.137825
164.863586	-69.643829
165.536499	-71.153824
166.209412	-70.827194
166.882324	-72.078239
167.555237	-69.770866
168.228149	-69.235397
168.901062	-69.354095
169.573975	-70.068977
170.246887	-69.830612
170.919800	-71.146202
171.592712	-70.511581
172.265625	-70.224968
172.938538	-68.724091
173.611450	-70.675491
174.284363	-71.481140
174.957275	-70.306793
175.630188	-68.613991
176.303101	-68.823517
176.976013	-67.526489
177.648926	-68.637444
178.321838	-68.222221
178.994751	-68.212807
179.667664	-69.159386
180.340576	-69.815048
181.013489	-70.866661
181.686401	-72.557976
182.359314	-71.652145
183.032227	-72.239586
183.705139	-73.443939
184.378052	-72.979530
185.050964	-72.901108
185.723877	-74.526070
186.396790	-73.462158
187.069702	-74.398987
187.742615	-73.347366
188.415527	-74.861809
189.088440	-74.793579
189.761353	-74.104889
190.434265	-74.019058
191.107178	-73.117035
191.780090	-75.512352
192.453003	-77.091324
193.125916	-74.742111
193.798828	-76.400955
194.471741	-74.957893
195.144653	-73.611153
195.817566	-74.051033
196.490479	-72.667694
197.163391	-72.823662
197.836304	-74.193069
198.509216	-72.045082
199.182129	-73.703201
199.855042	-73.307938
200.527954	-74.130493
201.200867	-74.071747
201.873779	-73.772278
202.546692	-74.182648
203.219604	-73.499069
203.892517	-74.453384
204.565430	-73.013245
205.238342	-74.438431
205.911255	-74.083298
206.584167	-73.182068
207.257080	-74.539177
207.929993	-72.727959
208.602905	-72.162682
209.275818	-72.825783
209.948730	-74.529350
210.621643	-72.252609
211.294556	-73.160706
211.967468	-72.809128
212.640381	-73.746475
213.313293	-73.106300
213.986206	-73.539574
214.659119	-73.286919
215.332031	-74.235603
216.004944	-74.035339
216.677856	-73.340668
217.350769	-74.474670
218.023682	-74.127953
218.696594	-73.456566
219.369507	-73.921829
220.042419	-75.544891
220.715332	-75.186607
221.388245	-75.448204
222.061157	-74.613129
222.734070	-74.186081
223.406982	-74.559280
224.079895	-74.558632
224.752808	-75.421394
225.425720	-75.162216
226.098633	-75.563194
226.771545	-72.261246
227.444458	-72.838844
228.117371	-72.356407
228.790283	-73.551895
229.463196	-73.136765
230.136108	-72.730637
230.809021	-72.747063
231.481934	-72.861496
232.154846	-73.937141
232.827759	-72.364479
233.500671	-74.454773
234.173584	-74.210205
234.846497	-73.162857
235.519409	-74.373940
236.192322	-73.427849
236.865234	-72.201469
237.538147	-73.015762
238.211060	-73.495300
238.883972	-74.341774
239.556885	-72.771721
240.229797	-72.689369
240.902710	-73.427795
241.575623	-73.565323
242.248535	-71.292381
242.921448	-72.678902
243.594360	-72.300842
244.267273	-72.051163
244.940186	-72.231262
245.613098	-73.161133
246.286011	-72.809082
246.958923	-74.413773
247.631836	-72.558617
248.304749	-73.627174
248.977661	-73.678719
249.650574	-72.867035
250.323486	-72.604454
250.996399	-72.620155
251.669312	-72.887260
252.342224	-74.581429
253.015137	-73.058273
253.688049	-73.928200
254.360962	-71.512299
255.033875	-72.192650
255.706787	-72.850533
256.379700	-72.060211
257.052612	-71.277565
257.725525	-71.866554
258.398438	-71.809357
259.071350	-71.769508
259.744263	-71.695030
260.417175	-71.742432
261.090088	-71.079605
261.763000	-70.902061
262.435913	-71.949722
263.108826	-71.344170
263.781738	-71.013741
264.454651	-71.789482
265.127563	-71.399513
265.800476	-72.170311
266.473389	-70.933571
267.146301	-71.815849
267.819214	-72.058044
268.492126	-69.953712
269.165039	-70.106071
269.837952	-71.959846
270.510864	-71.843262
271.183777	-69.940422
271.856689	-70.672440
272.529602	-70.502838
273.202515	-69.172813
273.875427	-70.241318
274.548340	-70.429131
275.221252	-70.003845
275.894165	-70.838966
276.567078	-70.006783
277.239990	-69.809708
277.912903	-68.661690
278.585815	-68.839485
279.258728	-70.833488
279.931641	-70.745422
280.604553	-69.859016
281.277466	-69.118446
281.950378	-69.233101
282.623291	-69.398262
283.296204	-69.415169
283.969116	-68.997719
284.642029	-68.022316
285.314941	-69.145119
285.987854	-68.953789
286.660767	-68.331535
287.333679	-68.128197
288.006592	-69.389351
288.679504	-68.185081
289.352417	-68.815300
290.025330	-67.652023
290.698242	-67.625191
291.371155	-67.481598
292.044067	-67.631538
292.716980	-65.503456
293.389893	-66.065285
294.062805	-67.557236
294.735718	-67.814339
295.408630	-67.639717
296.081543	-66.485313
296.754456	-66.354530
297.427368	-64.772446
298.100281	-65.943520
298.773193	-66.779922
299.446106	-66.270309
300.119019	-65.576439
300.791931	-65.726761
301.464844	-63.505192
302.137756	-64.650772
302.810669	-64.325432
303.483582	-65.384636
304.156494	-64.301041
304.829407	-64.476311
305.502319	-64.121178
306.175232	-63.594959
306.848145	-64.002464
307.521057	-63.874805
308.193970	-62.076374
308.866882	-62.656895
309.539795	-61.372395
310.212708	-63.174831
310.885620	-61.986408
311.558533	-62.136826
312.231445	-62.642540
312.904358	-61.347618
313.577271	-61.333115
314.250183	-60.861633
314.923096	-60.851582
315.596008	-60.882801
316.268921	-60.319996
316.941833	-60.306488
317.614746	-59.293518
318.287659	-59.644913
318.960571	-59.223701
319.633484	-59.324535
320.306396	-59.172020
320.979309	-58.760685
321.652222	-58.058083
322.325134	-58.340286
322.998047	-57.764912
323.670959	-56.788441
324.343872	-57.069019
325.016785	-58.351719
325.689697	-57.335312
326.362610	-57.923901
327.035522	-58.143761
327.708435	-58.499836
328.381348	-57.401886
329.054260	-57.206219
329.727173	-57.562653
330.400085	-58.804173
331.072998	-57.515327
331.745911	-56.701405
332.418823	-58.020897
333.091736	-56.548229
333.764648	-57.263111
