Frequency (Hz)	Level (dB)
0.672913	-82.831032
1.345825	-82.923370
2.018738	-82.792671
2.691650	-82.785530
3.364563	-82.886406
4.037476	-82.372559
4.710388	-82.771553
5.383301	-82.280899
6.056213	-82.678841
6.729126	-82.388641
7.402039	-82.496216
8.074951	-81.710304
8.747864	-82.896255
9.420776	-81.314842
10.093689	-80.611404
10.766602	-78.541870
11.439514	-77.466759
12.112427	-77.738182
12.785339	-78.393295
13.458252	-76.513962
14.131165	-76.254761
14.804077	-77.445366
15.476990	-74.594856
16.149902	-74.667068
16.822815	-73.669243
17.495728	-74.249451
18.168640	-72.639366
18.841553	-73.444771
19.514465	-73.417091
20.187378	-71.433319
20.860291	-71.757141
21.533203	-70.906799
22.206116	-69.554024
22.879028	-69.599976
23.551941	-69.633957
24.224854	-69.928154
24.897766	-68.677956
25.570679	-68.849998
26.243591	-68.382950
26.916504	-67.157471
27.589417	-65.454292
28.262329	-67.154572
28.935242	-66.371201
29.608154	-65.361618
30.281067	-66.450768
30.953979	-66.576057
31.626892	-66.089760
32.299805	-67.069321
32.972717	-64.528709
33.645630	-64.979607
34.318542	-65.693001
34.991455	-65.315094
35.664368	-64.445000
36.337280	-63.597118
37.010193	-65.855286
37.683105	-63.854477
38.356018	-62.450127
39.028931	-64.702835
39.701843	-63.129105
40.374756	-62.189308
41.047668	-62.090599
41.720581	-62.501122
42.393494	-61.835037
43.066406	-61.708511
43.739319	-62.578495
44.412231	-64.308090
45.085144	-61.197651
45.758057	-61.538372
46.430969	-60.852005
47.103882	-60.168633
47.776794	-61.111340
48.449707	-60.809452
49.122620	-60.656265
49.795532	-63.639374
50.468445	-60.895180
51.141357	-60.702442
51.814270	-58.731304
52.487183	-59.164654
53.160095	-58.880562
53.833008	-60.717571
54.505920	-59.506737
55.178833	-58.891819
55.851746	-58.064209
56.524658	-57.792370
57.197571	-59.446140
57.870483	-58.081230
58.543396	-56.990009
59.216309	-58.021347
59.889221	-57.554871
60.562134	-56.161327
61.235046	-56.755962
61.907959	-56.418674
62.580872	-55.353840
63.253784	-56.921539
63.926697	-57.332237
64.599609	-58.066776
65.272522	-58.130161
65.945435	-57.389278
66.618347	-57.693275
67.291260	-56.604816
67.964172	-57.967209
68.637085	-56.458279
69.309998	-55.844139
69.982910	-55.103249
70.655823	-55.612259
71.328735	-55.957417
72.001648	-54.624168
72.674561	-56.097668
73.347473	-54.747791
74.020386	-55.744453
74.693298	-54.209831
75.366211	-52.345608
76.039124	-54.408726
76.712036	-54.643101
77.384949	-54.444176
78.057861	-54.064457
78.730774	-54.664928
79.403687	-54.440769
80.076599	-52.841713
80.749512	-55.132721
81.422424	-53.710815
82.095337	-53.518349
82.768250	-54.120102
83.441162	-53.102917
84.114075	-53.944408
84.786987	-53.051140
85.459900	-54.281975
86.132812	-54.581127
86.805725	-54.115707
87.478638	-52.602108
88.151550	-53.005936
88.824463	-52.975708
89.497375	-53.133656
90.170288	-52.872337
90.843201	-53.564285
91.516113	-52.316799
92.189026	-51.987213
92.861938	-53.469120
93.534851	-54.347332
94.207764	-52.758644
94.880676	-52.531078
95.553589	-52.872856
96.226501	-54.223415
96.899414	-51.701557
97.572327	-52.456440
98.245239	-52.349522
98.918152	-51.042648
99.591064	-52.203236
100.263977	-52.668514
100.936890	-51.885803
101.609802	-52.731747
102.282715	-51.725826
102.955627	-53.850693
103.628540	-52.760853
104.301453	-52.795208
104.974365	-50.938015
105.647278	-51.331348
106.320190	-50.419605
106.993103	-51.194191
107.666016	-49.934223
108.338928	-51.039440
109.011841	-51.397362
109.684753	-51.077301
110.357666	-50.782825
111.030579	-52.292912
111.703491	-50.281147
112.376404	-52.086342
113.049316	-50.399967
113.722229	-49.781963
114.395142	-49.603374
115.068054	-51.772182
115.740967	-50.645874
116.413879	-50.539623
117.086792	-49.435211
117.759705	-49.789478
118.432617	-47.781235
119.105530	-50.363346
119.778442	-51.273243
120.451355	-50.294159
121.124268	-49.874748
121.797180	-51.234547
122.470093	-52.548592
123.143005	-49.732452
123.815918	-51.825077
124.488831	-50.549603
125.161743	-50.786572
125.834656	-52.630711
126.507568	-50.850468
127.180481	-49.672321
127.853394	-51.019810
128.526306	-50.435947
129.199219	-50.668278
129.872131	-51.247265
130.545044	-49.115650
131.217957	-49.805290
131.890869	-49.048065
132.563782	-50.696602
133.236694	-50.913345
133.909607	-51.455269
134.582520	-49.605522
135.255432	-51.216747
135.928345	-49.188263
136.601257	-48.548359
137.274170	-48.721771
137.947083	-48.610100
138.619995	-50.616089
139.292908	-50.075100
139.965820	-49.584003
140.638733	-50.772758
141.311646	-48.767082
141.984558	-50.893421
142.657471	-49.858696
143.330383	-48.085812
144.003296	-50.170990
144.676208	-50.361717
145.349121	-48.283367
146.022034	-48.873589
146.694946	-48.205269
147.367859	-48.692444
148.040771	-48.612289
148.713684	-49.214630
149.386597	-49.224068
150.059509	-49.438446
150.732422	-49.605457
151.405334	-50.432079
152.078247	-50.308136
152.751160	-50.164928
153.424072	-49.183987
154.096985	-49.203510
154.769897	-49.572479
155.442810	-49.905499
156.115723	-49.634949
156.788635	-48.355980
157.461548	-48.861538
158.134460	-50.147007
158.807373	-50.160728
159.480286	-49.765190
160.153198	-49.291401
160.826111	-49.436066
161.499023	-49.573765
162.171936	-49.165375
162.844849	-48.543354
163.517761	-49.411709
164.190674	-50.655346
164.863586	-50.892288
165.536499	-49.948528
166.209412	-47.881531
166.882324	-48.736580
167.555237	-47.836575
168.228149	-47.891006
168.901062	-49.785000
169.573975	-48.359867
170.246887	-48.532036
170.919800	-48.977772
171.592712	-49.938305
172.265625	-50.104294
172.938538	-48.886826
173.611450	-49.253761
174.284363	-47.776798
174.957275	-48.003929
175.630188	-49.647964
176.303101	-48.868832
176.976013	-48.608627
177.648926	-50.200062
178.321838	-48.941986
178.994751	-50.354725
179.667664	-48.961761
180.340576	-49.861286
181.013489	-49.056660
181.686401	-49.656582
182.359314	-48.877270
183.032227	-51.073940
183.705139	-48.938389
184.378052	-49.048027
185.050964	-48.396168
185.723877	-49.105434
186.396790	-50.985527
187.069702	-49.161255
187.742615	-49.313377
188.415527	-49.558460
189.088440	-48.535927
189.761353	-50.221081
190.434265	-48.862545
191.107178	-49.114456
191.780090	-50.166405
192.453003	-50.054565
193.125916	-48.867737
193.798828	-52.250416
194.471741	-50.208736
195.144653	-50.102184
195.817566	-49.997368
196.490479	-47.670433
197.163391	-50.305847
197.836304	-50.113968
198.509216	-48.631950
199.182129	-49.708038
199.855042	-49.445747
200.527954	-49.866890
201.200867	-48.948040
201.873779	-50.616947
202.546692	-51.202114
203.219604	-49.541634
203.892517	-51.829475
204.565430	-49.417980
205.238342	-50.396702
205.911255	-49.961903
206.584167	-50.164680
207.257080	-48.265030
207.929993	-50.077126
208.602905	-50.141735
209.275818	-49.123920
209.948730	-50.577911
210.621643	-47.899792
211.294556	-48.457676
211.967468	-48.899502
212.640381	-49.374111
213.313293	-50.613258
213.986206	-48.010109
214.659119	-50.484295
215.332031	-50.500225
216.004944	-51.323391
216.677856	-50.696716
217.350769	-49.627750
218.023682	-49.843792
218.696594	-50.596756
219.369507	-50.654198
220.042419	-50.322147
220.715332	-50.328083
221.388245	-49.688286
222.061157	-49.481064
222.734070	-49.810268
223.406982	-49.990307
224.079895	-50.212910
