Frequency (Hz)	Level (dB)
0.672913	-86.157646
1.345825	-86.133614
2.018738	-86.217522
2.691650	-86.148552
3.364563	-86.055908
4.037476	-85.898727
4.710388	-85.992950
5.383301	-85.953056
6.056213	-85.182518
6.729126	-85.717583
7.402039	-85.094887
8.074951	-85.300140
8.747864	-86.150581
9.420776	-83.472466
10.093689	-83.901245
10.766602	-82.294380
11.439514	-81.507256
12.112427	-82.996422
12.785339	-82.887352
13.458252	-80.417091
14.131165	-80.674416
14.804077	-82.117455
15.476990	-80.440018
16.149902	-79.712601
16.822815	-80.494148
17.495728	-80.670609
18.168640	-79.641678
18.841553	-77.108337
19.514465	-78.563881
20.187378	-78.223976
20.860291	-76.778702
21.533203	-76.583023
22.206116	-76.885361
22.879028	-75.526253
23.551941	-75.940224
24.224854	-75.746849
24.897766	-74.880165
25.570679	-74.632378
26.243591	-73.499306
26.916504	-73.542068
27.589417	-73.968422
28.262329	-74.587013
28.935242	-74.038628
29.608154	-71.080750
30.281067	-74.042053
30.953979	-73.647781
31.626892	-75.092506
32.299805	-73.838669
32.972717	-73.630089
33.645630	-72.976784
34.318542	-72.581520
34.991455	-72.047661
35.664368	-73.142494
36.337280	-70.535957
37.010193	-71.637047
37.683105	-71.490204
38.356018	-70.722687
39.028931	-71.240639
39.701843	-71.629181
40.374756	-71.004936
41.047668	-69.982025
41.720581	-68.707253
42.393494	-68.771751
43.066406	-68.678284
43.739319	-67.944550
44.412231	-68.244034
45.085144	-69.015900
45.758057	-68.288940
46.430969	-66.922958
47.103882	-67.384369
47.776794	-67.492500
48.449707	-67.348053
49.122620	-67.095474
49.795532	-64.475815
50.468445	-64.715057
51.141357	-63.922512
51.814270	-63.617985
52.487183	-64.864006
53.160095	-64.349266
53.833008	-63.780773
54.505920	-61.696362
55.178833	-62.239891
55.851746	-61.755116
56.524658	-59.640842
57.197571	-61.646584
57.870483	-61.487728
58.543396	-60.590221
59.216309	-59.084118
59.889221	-59.968273
60.562134	-59.002460
61.235046	-57.643932
61.907959	-57.646812
62.580872	-57.382004
63.253784	-55.929024
63.926697	-56.877167
64.599609	-61.751328
65.272522	-62.318985
65.945435	-61.495140
66.618347	-62.681526
67.291260	-60.301373
67.964172	-60.252808
68.637085	-60.884392
69.309998	-59.400597
69.982910	-58.823036
70.655823	-57.445961
71.328735	-57.353424
72.001648	-57.337379
72.674561	-55.874321
73.347473	-54.772083
74.020386	-54.259274
74.693298	-52.970699
75.366211	-52.616726
76.039124	-53.462704
76.712036	-53.581284
77.384949	-53.603939
78.057861	-54.098133
78.730774	-54.945026
79.403687	-55.957359
80.076599	-55.852489
80.749512	-54.390713
81.422424	-55.911423
82.095337	-53.970562
82.768250	-53.867790
83.441162	-51.381878
84.114075	-48.268578
84.786987	-47.888283
85.459900	-48.020813
86.132812	-46.727352
86.805725	-45.951874
87.478638	-47.121681
88.151550	-48.749039
88.824463	-49.135380
89.497375	-47.872238
90.170288	-46.864418
90.843201	-46.619415
91.516113	-49.904705
92.189026	-50.653587
92.861938	-52.696030
93.534851	-51.556259
94.207764	-54.701759
94.880676	-54.428345
95.553589	-55.070759
96.226501	-58.036167
96.899414	-54.598667
97.572327	-57.067242
98.245239	-56.977551
98.918152	-57.207340
99.591064	-57.382954
100.263977	-58.022755
100.936890	-58.765488
101.609802	-59.730488
102.282715	-58.652344
102.955627	-58.157513
103.628540	-58.672588
104.301453	-57.600533
104.974365	-56.722897
105.647278	-56.204784
106.320190	-58.953827
106.993103	-59.992058
107.666016	-59.283382
108.338928	-61.168259
109.011841	-62.527927
109.684753	-61.934185
110.357666	-62.570240
111.030579	-64.692535
111.703491	-62.199070
112.376404	-61.092163
113.049316	-59.613304
113.722229	-55.059113
114.395142	-54.108528
115.068054	-59.692608
115.740967	-61.209778
116.413879	-64.184448
117.086792	-63.021126
117.759705	-64.768921
118.432617	-63.852547
119.105530	-63.326958
119.778442	-63.377110
120.451355	-63.652149
121.124268	-64.951530
121.797180	-64.732132
122.470093	-66.418587
123.143005	-66.500206
123.815918	-66.675041
124.488831	-65.862595
125.161743	-67.312004
125.834656	-65.723274
126.507568	-65.051003
127.180481	-66.209015
127.853394	-66.146988
128.526306	-66.335732
129.199219	-65.943085
129.872131	-67.327171
130.545044	-67.079002
131.217957	-66.089432
131.890869	-65.575111
132.563782	-67.468185
133.236694	-68.209595
133.909607	-68.506279
134.582520	-68.775017
135.255432	-69.193848
135.928345	-70.309830
136.601257	-68.416679
137.274170	-68.626572
137.947083	-70.377594
138.619995	-70.742485
139.292908	-70.219040
139.965820	-68.738510
140.638733	-71.109863
141.311646	-69.331833
141.984558	-68.982903
142.657471	-69.539192
143.330383	-68.575539
144.003296	-68.334763
144.676208	-67.176476
145.349121	-66.138344
146.022034	-66.089027
146.694946	-64.835922
147.367859	-67.530518
148.040771	-68.551987
148.713684	-66.895088
149.386597	-66.502617
150.059509	-67.855629
150.732422	-68.263863
151.405334	-69.193092
152.078247	-67.512978
152.751160	-69.699341
153.424072	-68.562897
154.096985	-68.159378
154.769897	-70.042259
155.442810	-69.532608
156.115723	-69.314468
156.788635	-68.812225
157.461548	-67.175568
158.134460	-68.011894
158.807373	-68.553696
159.480286	-69.067902
160.153198	-69.778374
160.826111	-70.545174
161.499023	-71.158089
162.171936	-71.733696
162.844849	-70.457382
163.517761	-71.785423
164.190674	-70.470627
164.863586	-70.366646
165.536499	-71.103638
166.209412	-70.034180
166.882324	-68.607712
167.555237	-70.566872
168.228149	-71.581902
168.901062	-69.839439
169.573975	-70.602905
170.246887	-70.056961
170.919800	-70.726105
171.592712	-69.746735
172.265625	-71.272438
172.938538	-68.549950
173.611450	-70.911110
174.284363	-71.014946
174.957275	-70.599953
175.630188	-70.566719
176.303101	-68.344322
176.976013	-66.831802
177.648926	-66.250473
178.321838	-66.588127
178.994751	-67.321930
179.667664	-67.131660
180.340576	-69.660881
181.013489	-70.530319
181.686401	-71.325325
182.359314	-71.383934
183.032227	-72.105583
183.705139	-72.441612
184.378052	-74.551521
185.050964	-73.487015
185.723877	-73.721985
186.396790	-73.853020
187.069702	-74.101730
187.742615	-74.501488
188.415527	-75.025558
189.088440	-74.477585
189.761353	-74.807076
190.434265	-76.316460
191.107178	-74.563591
191.780090	-75.123436
192.453003	-74.279472
193.125916	-74.603149
193.798828	-74.114410
194.471741	-73.961472
195.144653	-72.604294
195.817566	-72.799232
196.490479	-72.532677
197.163391	-73.085228
197.836304	-73.531174
198.509216	-72.541542
199.182129	-71.681946
199.855042	-73.315521
200.527954	-72.518929
201.200867	-74.059555
201.873779	-74.259453
202.546692	-72.063850
203.219604	-73.457436
203.892517	-73.435951
204.565430	-72.877831
205.238342	-72.537575
205.911255	-72.001297
206.584167	-72.036964
207.257080	-71.299774
207.929993	-70.646950
208.602905	-71.363693
209.275818	-72.213486
209.948730	-73.192108
210.621643	-72.392395
211.294556	-71.150665
211.967468	-72.136658
212.640381	-70.438515
213.313293	-69.708069
213.986206	-72.984627
214.659119	-72.187637
215.332031	-73.418335
216.004944	-73.349701
216.677856	-73.894966
217.350769	-73.247246
218.023682	-73.438835
218.696594	-73.437241
219.369507	-71.688972
220.042419	-73.717560
220.715332	-71.720322
221.388245	-72.292763
222.061157	-71.671631
222.734070	-72.164192
223.406982	-72.129745
224.079895	-72.788582
224.752808	-72.427490
225.425720	-71.573494
226.098633	-71.909943
226.771545	-72.485939
227.444458	-73.037048
228.117371	-70.817314
228.790283	-72.149757
229.463196	-72.389328
230.136108	-71.298004
230.809021	-72.408150
231.481934	-72.537186
232.154846	-71.415779
232.827759	-70.702011
233.500671	-71.037392
234.173584	-71.341957
234.846497	-72.613388
235.519409	-70.123970
236.192322	-69.000778
236.865234	-70.031799
237.538147	-70.827415
238.211060	-70.318359
238.883972	-71.421501
239.556885	-68.938896
240.229797	-68.453682
240.902710	-70.510582
241.575623	-67.735252
242.248535	-69.543114
242.921448	-70.329376
243.594360	-71.361885
244.267273	-69.149651
244.940186	-70.218590
245.613098	-69.399765
246.286011	-68.687698
246.958923	-68.198997
247.631836	-69.789116
248.304749	-69.206161
248.977661	-68.934357
249.650574	-66.222992
250.323486	-68.392090
250.996399	-69.069763
251.669312	-68.568184
252.342224	-68.124130
253.015137	-67.372017
253.688049	-67.022720
254.360962	-67.401421
255.033875	-67.463684
255.706787	-67.262062
256.379700	-67.966705
257.052612	-67.328552
257.725525	-67.579185
258.398438	-66.310310
259.071350	-66.700623
259.744263	-66.301643
260.417175	-67.086632
261.090088	-66.730011
261.763000	-66.313995
262.435913	-65.117096
263.108826	-63.589291
263.781738	-64.884743
264.454651	-65.296486
265.127563	-64.559074
265.800476	-63.693817
266.473389	-64.409500
267.146301	-64.306610
267.819214	-63.639427
268.492126	-62.687546
269.165039	-61.750328
269.837952	-59.838581
270.510864	-60.405663
271.183777	-61.509609
271.856689	-61.186153
272.529602	-61.617680
273.202515	-60.222187
273.875427	-59.776833
274.548340	-61.723240
275.221252	-60.374805
275.894165	-60.308350
276.567078	-60.629284
277.239990	-59.615574
277.912903	-59.621750
278.585815	-60.959251
279.258728	-61.679970
279.931641	-59.915916
280.604553	-61.392925
281.277466	-61.097549
281.950378	-59.595379
282.623291	-58.502609
283.296204	-58.268337
283.969116	-60.024906
284.642029	-59.652210
285.314941	-60.160824
285.987854	-61.658367
286.660767	-62.183903
287.333679	-62.122700
288.006592	-62.834049
288.679504	-63.597076
289.352417	-63.705875
290.025330	-64.066277
290.698242	-62.906425
291.371155	-63.541965
292.044067	-64.965454
292.716980	-63.672329
293.389893	-64.179062
294.062805	-64.538414
294.735718	-65.030800
295.408630	-66.390259
296.081543	-65.931480
296.754456	-65.317429
297.427368	-66.678177
298.100281	-66.098793
298.773193	-66.945282
299.446106	-67.012230
300.119019	-68.089600
300.791931	-66.675629
301.464844	-66.939507
302.137756	-66.437454
302.810669	-67.250320
303.483582	-67.975082
304.156494	-68.108391
304.829407	-67.078194
305.502319	-67.080772
306.175232	-68.557518
306.848145	-68.927979
307.521057	-67.472343
308.193970	-68.810410
308.866882	-69.007561
309.539795	-70.233940
310.212708	-68.599754
310.885620	-69.967194
311.558533	-69.728394
312.231445	-69.998138
312.904358	-69.521324
313.577271	-70.018250
314.250183	-69.114891
314.923096	-69.800667
315.596008	-69.219742
316.268921	-70.089828
316.941833	-69.901108
317.614746	-69.890068
318.287659	-71.397484
318.960571	-70.649948
319.633484	-71.670525
320.306396	-70.746429
320.979309	-70.958061
321.652222	-71.117813
322.325134	-72.812088
322.998047	-71.375648
323.670959	-72.435890
324.343872	-71.616623
325.016785	-72.491798
325.689697	-73.047226
326.362610	-72.032379
327.035522	-71.849365
327.708435	-72.650574
328.381348	-72.799843
329.054260	-74.147842
329.727173	-73.771194
330.400085	-72.405380
331.072998	-72.815460
331.745911	-73.121170
332.418823	-75.367485
333.091736	-73.167229
333.764648	-72.596092
334.437561	-73.111099
335.110474	-74.365631
335.783386	-73.929825
336.456299	-72.337990
337.129211	-73.622017
337.802124	-73.878036
338.475037	-73.423431
339.147949	-73.766266
339.820862	-73.916527
340.493774	-73.177910
341.166687	-73.775391
341.839600	-73.947525
342.512512	-74.187218
343.185425	-74.234428
343.858337	-74.937698
344.531250	-74.410484
345.204163	-73.917984
345.877075	-74.080284
346.549988	-73.911400
347.222900	-72.986816
347.895813	-73.992455
348.568726	-73.599243
349.241638	-73.040688
349.914551	-73.730240
350.587463	-74.250648
351.260376	-74.006828
351.933289	-74.955307
352.606201	-74.231216
353.279114	-74.030449
353.952026	-75.977661
354.624939	-73.185364
355.297852	-74.087433
355.970764	-74.517342
356.643677	-72.576019
357.316589	-73.285149
357.989502	-72.476189
358.662415	-72.674286
359.335327	-72.564796
360.008240	-71.604980
360.681152	-72.859184
361.354065	-72.529320
362.026978	-72.754776
362.699890	-72.497292
363.372803	-72.592232
364.045715	-73.344231
364.718628	-73.228554
365.391541	-73.713486
366.064453	-74.214363
366.737366	-74.210625
367.410278	-74.092461
368.083191	-74.263519
368.756104	-73.377892
369.429016	-71.248871
370.101929	-72.378571
370.774841	-71.390465
371.447754	-74.433350
372.120667	-74.909317
372.793579	-74.688171
373.466492	-75.954254
374.139404	-75.328323
374.812317	-75.669533
375.485229	-75.660339
376.158142	-75.813354
376.831055	-75.753151
377.503967	-75.437759
378.176880	-76.397072
378.849792	-75.783875
379.522705	-75.102325
380.195618	-75.921608
380.868530	-74.527435
381.541443	-75.159515
382.214355	-75.356049
382.887268	-76.023987
383.560181	-74.689857
384.233093	-76.070488
384.906006	-76.368034
385.578918	-75.910736
386.251831	-77.111069
386.924744	-76.155960
387.597656	-75.196701
388.270569	-75.909645
388.943481	-75.889389
389.616394	-77.306534
390.289307	-77.027443
390.962219	-77.403702
391.635132	-76.637024
392.308044	-76.618149
392.980957	-76.216782
393.653870	-76.091850
394.326782	-75.314713
394.999695	-76.262131
395.672607	-76.757767
396.345520	-74.957253
397.018433	-76.400803
397.691345	-75.924698
398.364258	-75.586601
399.037170	-75.579178
399.710083	-75.891418
400.382996	-75.598526
401.055908	-75.180740
401.728821	-75.801254
402.401733	-76.452225
403.074646	-75.602211
403.747559	-76.112259
404.420471	-76.939873
405.093384	-76.528969
405.766296	-77.666351
406.439209	-75.894730
407.112122	-76.365501
407.785034	-75.170334
408.457947	-75.697922
409.130859	-76.111649
409.803772	-75.285980
410.476685	-74.937569
411.149597	-74.841202
411.822510	-75.569328
412.495422	-75.147263
413.168335	-77.350304
413.841248	-74.302742
414.514160	-75.201149
415.187073	-76.169273
415.859985	-75.144402
416.532898	-75.024551
417.205811	-76.285461
417.878723	-76.530884
418.551636	-74.719345
419.224548	-76.237694
419.897461	-74.431946
420.570374	-74.386230
421.243286	-74.827721
421.916199	-75.769119
422.589111	-75.312294
423.262024	-74.472549
423.934937	-76.075790
424.607849	-75.197449
425.280762	-74.886375
425.953674	-75.075462
426.626587	-74.431541
427.299500	-74.598053
427.972412	-74.528595
428.645325	-74.391518
429.318237	-74.911331
429.991150	-73.513771
430.664062	-74.151428
431.336975	-73.826668
432.009888	-74.287430
432.682800	-74.471794
433.355713	-72.996323
434.028625	-74.580330
434.701538	-74.157516
435.374451	-75.302834
436.047363	-75.633667
436.720276	-74.320740
437.393188	-74.477470
438.066101	-73.761696
438.739014	-73.594582
439.411926	-73.208305
440.084839	-72.493599
440.757751	-72.684769
441.430664	-73.378708
442.103577	-72.732941
442.776489	-72.492592
443.449402	-72.452934
444.122314	-72.600601
444.795227	-72.336319
445.468140	-71.122902
446.141052	-71.722244
446.813965	-72.779709
447.486877	-72.533760
448.159790	-72.287682
448.832703	-71.486832
449.505615	-70.740990
450.178528	-71.406570
450.851440	-71.018623
451.524353	-70.637978
452.197266	-70.460228
452.870178	-71.117561
453.543091	-71.371666
454.216003	-69.606468
454.888916	-70.273285
455.561829	-69.702393
456.234741	-69.364967
456.907654	-70.083282
457.580566	-70.146141
458.253479	-69.798920
458.926392	-70.597420
459.599304	-70.013451
460.272217	-69.284935
460.945129	-67.863472
461.618042	-68.699249
462.290955	-68.098877
462.963867	-67.070084
463.636780	-67.966721
464.309692	-67.019669
464.982605	-67.802132
465.655518	-67.450096
466.328430	-67.346115
467.001343	-67.519867
467.674255	-66.344055
468.347168	-65.444870
469.020081	-65.473236
469.692993	-64.364166
470.365906	-64.450653
471.038818	-65.687813
471.711731	-65.819420
472.384644	-64.816643
473.057556	-64.565834
473.730469	-64.087608
474.403381	-64.097023
475.076294	-63.521122
475.749207	-63.609306
476.422119	-65.052727
477.095032	-62.435139
477.767944	-62.640205
478.440857	-64.127182
479.113770	-64.536179
479.786682	-63.179920
480.459595	-62.589600
481.132507	-62.549564
481.805420	-62.099724
482.478333	-62.268715
483.151245	-62.384640
483.824158	-62.520321
484.497070	-61.856159
485.169983	-63.236248
485.842896	-63.778198
486.515808	-64.065689
487.188721	-63.051941
487.861633	-62.546459
488.534546	-62.890850
489.207458	-62.859398
489.880371	-63.559830
490.553284	-63.970783
491.226196	-64.278648
491.899109	-63.712059
492.572021	-64.890045
493.244934	-64.023514
493.917847	-64.991714
494.590759	-65.110832
495.263672	-65.884911
495.936584	-63.733318
496.609497	-65.580719
497.282410	-66.738441
497.955322	-65.395050
498.628235	-65.867111
499.301147	-64.671761
499.974060	-66.678741
500.646973	-65.145912
501.319885	-67.331703
501.992798	-68.564774
502.665710	-66.766838
503.338623	-66.889870
504.011536	-66.894875
504.684448	-68.253899
505.357361	-68.917572
506.030273	-68.280304
506.703186	-67.874268
507.376099	-68.338898
508.049011	-69.234917
508.721924	-69.366768
509.394836	-68.515968
510.067749	-70.411682
510.740662	-69.496834
511.413574	-70.210518
512.086487	-70.175163
512.759399	-69.205444
513.432312	-69.952278
514.105225	-70.572075
514.778137	-70.864975
515.451050	-71.146774
516.123962	-72.452583
516.796875	-70.993111
517.469788	-72.169708
518.142700	-71.254013
518.815613	-71.436485
519.488525	-72.421715
520.161438	-71.698364
520.834351	-71.892693
521.507263	-71.788528
522.180176	-72.054665
522.853088	-73.357552
523.526001	-71.929070
524.198914	-71.841621
524.871826	-72.401726
525.544739	-73.169250
526.217651	-71.814087
526.890564	-72.752403
527.563477	-72.749321
528.236389	-73.635155
528.909302	-72.538086
529.582214	-72.951134
530.255127	-72.977005
530.928040	-73.782829
531.600952	-73.380508
532.273865	-73.755356
532.946777	-73.823769
533.619690	-74.895027
534.292603	-73.515968
534.965515	-73.052551
535.638428	-73.847046
536.311340	-75.779945
536.984253	-74.843254
537.657166	-74.161842
538.330078	-76.708817
539.002991	-76.162941
539.675903	-75.416801
540.348816	-74.767670
541.021729	-74.894180
541.694641	-74.745827
542.367554	-76.249130
543.040466	-76.404182
543.713379	-75.590721
544.386292	-73.824715
545.059204	-75.944511
545.732117	-76.796165
546.405029	-75.262756
547.077942	-76.515617
547.750854	-75.758858
548.423767	-77.269005
549.096680	-76.452263
549.769592	-76.087509
550.442505	-76.157333
551.115417	-76.191277
551.788330	-76.425095
552.461243	-76.870354
553.134155	-75.038170
553.807068	-76.165291
554.479980	-76.267578
555.152893	-77.137802
555.825806	-77.226349
556.498718	-76.730461
557.171631	-76.988579
557.844543	-75.046646
558.517456	-76.344208
559.190369	-76.864983
559.863281	-77.954514
560.536194	-77.311989
561.209106	-77.317314
561.882019	-76.652222
562.554932	-76.401138
563.227844	-77.988152
563.900757	-78.038887
564.573669	-77.770622
565.246582	-77.536240
565.919495	-76.527008
566.592407	-76.547852
567.265320	-78.074295
567.938232	-77.005981
568.611145	-78.165855
569.284058	-77.135284
569.956970	-76.889755
570.629883	-78.516449
571.302795	-78.107819
571.975708	-78.166924
572.648621	-79.133331
573.321533	-76.941711
573.994446	-76.928261
574.667358	-79.039719
575.340271	-78.521591
576.013184	-79.184303
576.686096	-78.207428
577.359009	-77.743240
578.031921	-78.901627
578.704834	-77.525612
579.377747	-77.641899
580.050659	-78.830338
580.723572	-77.438965
581.396484	-78.581589
582.069397	-78.034340
582.742310	-77.153519
583.415222	-78.015991
584.088135	-79.124062
584.761047	-78.049400
585.433960	-78.658913
586.106873	-79.500793
586.779785	-79.053940
587.452698	-78.386337
588.125610	-78.612503
588.798523	-78.540749
589.471436	-80.342659
590.144348	-78.664314
590.817261	-78.280136
591.490173	-77.660194
592.163086	-77.548424
592.835999	-78.998711
593.508911	-78.827415
594.181824	-77.798462
594.854736	-78.028549
595.527649	-78.315834
596.200562	-78.189034
596.873474	-77.550903
597.546387	-77.442101
598.219299	-78.124855
598.892212	-79.470322
599.565125	-78.967537
600.238037	-78.506950
600.910950	-77.066406
601.583862	-77.753220
602.256775	-78.969086
602.929688	-79.208572
603.602600	-77.197281
604.275513	-77.768150
604.948425	-78.330772
605.621338	-79.870888
606.294250	-78.163925
606.967163	-78.529694
607.640076	-78.003662
608.312988	-78.388596
608.985901	-77.709869
609.658813	-77.032860
610.331726	-78.085304
611.004639	-79.754189
611.677551	-77.530128
612.350464	-77.895828
613.023376	-78.851166
613.696289	-77.756104
614.369202	-77.606339
615.042114	-77.571503
615.715027	-78.215004
616.387939	-78.977890
617.060852	-76.531990
617.733765	-78.328461
618.406677	-77.515327
619.079590	-77.021553
619.752502	-78.420418
620.425415	-76.635269
621.098328	-77.826424
621.771240	-76.511665
622.444153	-77.244865
623.117065	-76.506424
623.789978	-77.058525
624.462891	-76.534698
625.135803	-77.740105
625.808716	-77.948502
626.481628	-77.223923
627.154541	-76.691849
627.827454	-77.588272
628.500366	-78.291176
629.173279	-76.696304
629.846191	-77.435860
630.519104	-77.653259
631.192017	-76.981102
631.864929	-75.718025
632.537842	-77.326363
633.210754	-77.858910
633.883667	-78.379929
634.556580	-77.587166
635.229492	-77.109512
635.902405	-77.381477
636.575317	-77.368576
637.248230	-76.877640
637.921143	-78.025291
638.594055	-76.328575
639.266968	-76.522736
639.939880	-76.823860
640.612793	-76.167061
641.285706	-76.344604
641.958618	-77.905937
642.631531	-76.041519
643.304443	-77.993256
643.977356	-77.877449
644.650269	-75.152794
645.323181	-75.611122
645.996094	-75.390755
646.669006	-74.858047
647.341919	-75.266174
648.014832	-74.573517
648.687744	-75.387833
649.360657	-75.455353
650.033569	-75.723267
650.706482	-74.184975
651.379395	-75.392273
652.052307	-74.989685
652.725220	-74.679863
653.398132	-74.464081
654.071045	-73.887062
654.743958	-74.502609
655.416870	-73.580231
656.089783	-74.283859
656.762695	-75.890831
657.435608	-75.041512
658.108521	-74.371773
658.781433	-72.052002
659.454346	-73.829498
660.127258	-74.021713
660.800171	-72.936874
661.473083	-73.711426
662.145996	-73.428780
662.818909	-73.823631
663.491821	-72.968727
664.164734	-72.834885
664.837646	-72.072609
665.510559	-71.729263
666.183472	-71.341133
666.856384	-71.072693
667.529297	-71.526154
668.202209	-71.262733
668.875122	-70.832443
669.548035	-71.115700
670.220947	-71.476822
670.893860	-70.378777
671.566772	-71.146713
672.239685	-71.207420
672.912598	-70.005455
673.585510	-69.774178
674.258423	-69.900696
674.931335	-69.633324
675.604248	-71.730072
676.277161	-69.712502
676.950073	-71.854828
677.622986	-69.404839
678.295898	-69.846733
678.968811	-69.003761
679.641724	-68.778374
680.314636	-67.607269
680.987549	-67.484459
681.660461	-69.279007
682.333374	-68.426224
683.006287	-67.591621
683.679199	-67.422882
684.352112	-67.049706
685.025024	-66.296982
685.697937	-66.294228
686.370850	-65.065536
687.043762	-66.997185
