Frequency (Hz)	Level (dB)
0.672913	-84.137764
1.345825	-84.109604
2.018738	-84.094627
2.691650	-84.101921
3.364563	-84.049965
4.037476	-84.025337
4.710388	-84.021439
5.383301	-83.903511
6.056213	-83.270134
6.729126	-83.123192
7.402039	-83.679390
8.074951	-83.741219
8.747864	-83.513062
9.420776	-83.310410
10.093689	-83.058952
10.766602	-81.913834
11.439514	-81.945480
12.112427	-81.523651
12.785339	-81.981010
13.458252	-81.076782
14.131165	-82.509865
14.804077	-81.524834
15.476990	-81.034500
16.149902	-81.203568
16.822815	-81.186790
17.495728	-80.386482
18.168640	-79.023148
18.841553	-78.264038
19.514465	-78.927818
20.187378	-78.974686
20.860291	-77.934975
21.533203	-76.841248
22.206116	-76.782387
22.879028	-77.137108
23.551941	-76.549950
24.224854	-76.355843
24.897766	-76.714951
25.570679	-77.122078
26.243591	-74.337746
26.916504	-75.007874
27.589417	-74.205360
28.262329	-73.984711
28.935242	-74.136826
29.608154	-71.531960
30.281067	-74.224121
30.953979	-73.992424
31.626892	-74.270935
32.299805	-75.015945
32.972717	-74.228920
33.645630	-74.576721
34.318542	-73.590698
34.991455	-72.619766
35.664368	-72.934189
36.337280	-71.284836
37.010193	-70.586937
37.683105	-72.335670
38.356018	-72.281151
39.028931	-72.149086
39.701843	-71.216705
40.374756	-71.110016
41.047668	-69.795227
41.720581	-69.711861
42.393494	-68.821983
43.066406	-69.242889
43.739319	-69.759911
44.412231	-68.613350
45.085144	-67.203117
45.758057	-69.533669
46.430969	-66.316093
47.103882	-67.065399
47.776794	-67.364777
48.449707	-66.825607
49.122620	-67.160934
49.795532	-64.783005
50.468445	-64.466972
51.141357	-64.563873
51.814270	-64.040665
52.487183	-64.828636
53.160095	-62.818344
53.833008	-63.037163
54.505920	-62.339645
55.178833	-62.311195
55.851746	-62.224209
56.524658	-60.730797
57.197571	-59.288082
57.870483	-60.720757
58.543396	-59.846523
59.216309	-59.672546
59.889221	-60.370090
60.562134	-58.849003
61.235046	-58.541241
61.907959	-58.515545
62.580872	-56.449944
63.253784	-56.943909
63.926697	-57.777637
64.599609	-60.529800
65.272522	-61.769547
65.945435	-61.163364
66.618347	-60.995598
67.291260	-61.481987
67.964172	-59.538654
68.637085	-59.640938
69.309998	-58.917896
69.982910	-57.437923
70.655823	-56.973625
71.328735	-55.054188
72.001648	-56.784576
72.674561	-55.653217
73.347473	-52.928215
74.020386	-53.010082
74.693298	-53.556698
75.366211	-52.040833
76.039124	-53.740425
76.712036	-54.580940
77.384949	-54.503529
78.057861	-54.242016
78.730774	-55.720150
79.403687	-56.209709
80.076599	-56.864269
80.749512	-54.419117
81.422424	-55.336754
82.095337	-55.493153
82.768250	-55.499950
83.441162	-52.590435
84.114075	-48.523243
84.786987	-47.343544
85.459900	-47.721382
86.132812	-45.666451
86.805725	-45.832088
87.478638	-46.754120
88.151550	-48.285522
88.824463	-49.122360
89.497375	-48.250137
90.170288	-47.168217
90.843201	-48.211777
91.516113	-51.093330
92.189026	-50.276211
92.861938	-51.836380
93.534851	-53.949783
94.207764	-54.281540
94.880676	-54.362564
95.553589	-55.215645
96.226501	-57.152466
96.899414	-56.039692
97.572327	-56.886017
98.245239	-58.807957
98.918152	-57.704796
99.591064	-58.989109
100.263977	-59.922306
100.936890	-60.217014
101.609802	-59.939442
102.282715	-58.422176
102.955627	-58.259838
103.628540	-56.950138
104.301453	-56.460068
104.974365	-55.346020
105.647278	-57.501083
106.320190	-56.975567
106.993103	-57.697319
107.666016	-60.828957
108.338928	-60.737202
109.011841	-61.953053
109.684753	-61.729851
110.357666	-62.289650
111.030579	-63.088551
111.703491	-61.157959
112.376404	-61.673782
113.049316	-58.158745
113.722229	-55.489101
114.395142	-53.655369
115.068054	-58.470383
115.740967	-61.259987
116.413879	-62.725101
117.086792	-63.016506
117.759705	-65.318214
118.432617	-62.603218
119.105530	-64.371658
119.778442	-61.290806
120.451355	-62.263760
121.124268	-63.382240
121.797180	-65.260620
122.470093	-66.955025
123.143005	-67.335144
123.815918	-67.179718
124.488831	-67.206741
125.161743	-67.170509
125.834656	-66.073929
126.507568	-65.900536
127.180481	-66.651886
127.853394	-65.932373
128.526306	-65.777840
129.199219	-65.456879
129.872131	-66.527534
130.545044	-65.941124
131.217957	-65.987640
131.890869	-67.407028
132.563782	-67.031921
133.236694	-68.436096
133.909607	-68.545662
134.582520	-68.537346
135.255432	-69.259758
135.928345	-70.068398
136.601257	-69.797943
137.274170	-69.491409
137.947083	-70.468941
138.619995	-69.612457
139.292908	-70.769470
139.965820	-68.915611
140.638733	-69.746498
141.311646	-70.380287
141.984558	-69.608055
142.657471	-68.240143
143.330383	-67.483658
144.003296	-68.286858
144.676208	-66.480606
145.349121	-65.210335
146.022034	-64.664658
146.694946	-66.680023
147.367859	-66.121696
148.040771	-65.147110
148.713684	-68.651901
149.386597	-67.994141
150.059509	-68.354469
150.732422	-68.494347
151.405334	-67.815559
152.078247	-68.873184
152.751160	-70.662109
153.424072	-68.337151
154.096985	-68.140518
154.769897	-69.718628
155.442810	-69.677727
156.115723	-69.676392
156.788635	-68.624542
157.461548	-68.510689
158.134460	-67.362221
158.807373	-68.053726
159.480286	-69.933304
160.153198	-69.869957
160.826111	-71.909836
161.499023	-70.377632
162.171936	-71.129837
162.844849	-70.537270
163.517761	-70.427727
164.190674	-71.418327
164.863586	-70.896431
165.536499	-70.674446
166.209412	-68.299461
166.882324	-69.881813
167.555237	-71.019798
168.228149	-69.993401
168.901062	-70.835762
169.573975	-70.866081
170.246887	-70.071037
170.919800	-70.192741
171.592712	-70.949730
172.265625	-71.392143
172.938538	-67.919022
173.611450	-71.432823
174.284363	-70.305801
174.957275	-68.787628
175.630188	-68.657967
176.303101	-68.727036
176.976013	-66.343742
177.648926	-67.959106
178.321838	-67.181702
178.994751	-67.711784
179.667664	-69.405418
180.340576	-69.654503
181.013489	-71.072403
181.686401	-71.658379
182.359314	-70.924660
183.032227	-71.550003
183.705139	-72.108940
184.378052	-72.435997
185.050964	-72.229317
185.723877	-71.683853
186.396790	-72.271370
187.069702	-74.315498
187.742615	-73.059280
188.415527	-72.726471
189.088440	-74.210991
189.761353	-74.388000
190.434265	-73.813873
191.107178	-73.108788
191.780090	-72.375671
192.453003	-72.789146
193.125916	-72.879204
193.798828	-73.061493
194.471741	-73.272568
195.144653	-72.147690
195.817566	-72.066177
196.490479	-70.903992
197.163391	-72.053001
197.836304	-71.643913
198.509216	-71.738426
199.182129	-72.058746
199.855042	-73.198044
200.527954	-72.372108
201.200867	-72.376694
201.873779	-72.392281
202.546692	-71.323662
203.219604	-71.198982
203.892517	-72.831512
204.565430	-71.948929
205.238342	-71.439377
205.911255	-71.451164
206.584167	-70.894997
207.257080	-70.723297
207.929993	-71.429260
208.602905	-69.784348
209.275818	-70.959259
209.948730	-71.274979
210.621643	-71.447479
211.294556	-71.001762
211.967468	-71.021004
212.640381	-68.481781
213.313293	-69.820953
213.986206	-70.204384
214.659119	-70.929283
215.332031	-70.170593
216.004944	-70.232231
216.677856	-70.256035
217.350769	-70.837967
218.023682	-71.238686
218.696594	-70.902321
219.369507	-70.415283
220.042419	-70.701050
220.715332	-72.283569
221.388245	-71.135254
222.061157	-70.767937
222.734070	-71.068375
223.406982	-70.949646
224.079895	-71.285271
224.752808	-71.169624
225.425720	-71.010757
226.098633	-70.213577
226.771545	-70.563454
227.444458	-69.585915
228.117371	-69.481895
228.790283	-69.949043
229.463196	-68.672874
230.136108	-68.695557
230.809021	-69.312103
231.481934	-69.025154
232.154846	-68.215485
232.827759	-68.180687
233.500671	-67.570763
234.173584	-67.765625
234.846497	-67.200272
235.519409	-67.682442
236.192322	-68.627510
236.865234	-68.670448
237.538147	-68.316948
238.211060	-68.279701
238.883972	-67.637451
239.556885	-66.649391
240.229797	-65.556877
240.902710	-67.455208
241.575623	-63.756847
242.248535	-67.297989
242.921448	-67.949982
243.594360	-67.863823
244.267273	-67.183510
244.940186	-66.807671
245.613098	-66.167099
246.286011	-66.468452
246.958923	-66.773422
