Frequency (Hz)	Level (dB)
0.672913	-85.487915
1.345825	-85.463348
2.018738	-85.390823
2.691650	-85.428741
3.364563	-85.467522
4.037476	-85.262260
4.710388	-85.331253
5.383301	-85.358307
6.056213	-84.924438
6.729126	-85.010345
7.402039	-84.657570
8.074951	-85.031647
8.747864	-85.025520
9.420776	-84.496887
10.093689	-83.723633
10.766602	-82.617752
11.439514	-81.478111
12.112427	-81.814186
12.785339	-80.484489
13.458252	-80.901703
14.131165	-82.497986
14.804077	-80.813446
15.476990	-80.300873
16.149902	-81.875038
16.822815	-79.768944
17.495728	-80.994133
18.168640	-78.888451
18.841553	-78.500565
19.514465	-79.051468
20.187378	-79.470047
20.860291	-77.878128
21.533203	-78.047951
22.206116	-76.536682
22.879028	-75.066414
23.551941	-75.404068
24.224854	-75.884895
24.897766	-76.197502
25.570679	-74.065819
26.243591	-73.560791
26.916504	-74.518311
27.589417	-73.415703
28.262329	-73.395996
28.935242	-73.491577
29.608154	-72.362617
30.281067	-74.555977
30.953979	-74.157272
31.626892	-75.306435
32.299805	-73.482574
32.972717	-73.673553
33.645630	-74.105995
34.318542	-73.301201
34.991455	-72.914993
35.664368	-71.691010
36.337280	-72.150764
37.010193	-70.615570
37.683105	-71.103882
38.356018	-73.805748
39.028931	-72.618858
39.701843	-70.592308
40.374756	-70.023598
41.047668	-69.558342
41.720581	-69.924469
42.393494	-68.939911
43.066406	-69.315201
43.739319	-68.058319
44.412231	-67.703926
45.085144	-67.872505
45.758057	-68.934784
46.430969	-66.679329
47.103882	-67.738632
47.776794	-67.936104
48.449707	-67.338135
49.122620	-66.076187
49.795532	-64.399551
50.468445	-64.135437
51.141357	-63.647583
51.814270	-65.115997
52.487183	-64.608818
53.160095	-64.749992
53.833008	-62.412003
54.505920	-62.549606
55.178833	-62.636536
55.851746	-61.068527
56.524658	-61.728764
57.197571	-60.062923
57.870483	-60.608475
58.543396	-60.776630
59.216309	-58.003902
59.889221	-58.976292
60.562134	-58.847580
61.235046	-58.667835
61.907959	-57.820740
62.580872	-57.391445
63.253784	-56.555206
63.926697	-58.516922
64.599609	-60.502110
65.272522	-61.680107
65.945435	-60.910831
66.618347	-61.387566
67.291260	-61.213684
67.964172	-61.240429
68.637085	-60.965839
69.309998	-59.872021
69.982910	-58.802597
70.655823	-56.754173
71.328735	-56.821918
72.001648	-56.821251
72.674561	-56.653454
73.347473	-55.337864
74.020386	-54.003719
74.693298	-52.778400
75.366211	-52.579754
76.039124	-54.272358
76.712036	-55.254246
77.384949	-52.975529
78.057861	-54.589729
78.730774	-55.842991
79.403687	-53.347500
80.076599	-54.930153
80.749512	-55.526188
81.422424	-54.891708
82.095337	-55.466537
82.768250	-54.615135
83.441162	-52.261555
84.114075	-48.388607
84.786987	-47.249203
85.459900	-48.913010
86.132812	-47.410244
86.805725	-45.180767
87.478638	-46.783524
88.151550	-48.468468
88.824463	-48.241699
89.497375	-48.161419
90.170288	-48.214981
90.843201	-47.185963
91.516113	-49.413673
92.189026	-51.806683
92.861938	-52.481838
93.534851	-52.894798
94.207764	-54.880138
94.880676	-54.354645
95.553589	-55.175220
96.226501	-55.931091
96.899414	-58.138119
97.572327	-56.374298
98.245239	-56.870163
98.918152	-56.991756
99.591064	-59.247478
100.263977	-59.251408
100.936890	-59.540226
101.609802	-59.330521
102.282715	-58.811443
102.955627	-57.918629
103.628540	-56.857609
104.301453	-56.560944
104.974365	-55.425644
105.647278	-57.144215
106.320190	-57.047039
106.993103	-58.550430
107.666016	-58.451267
108.338928	-59.968437
109.011841	-60.797825
109.684753	-62.380375
110.357666	-62.535675
111.030579	-61.741177
111.703491	-61.260345
112.376404	-61.642128
113.049316	-58.958492
113.722229	-53.955944
114.395142	-54.226559
115.068054	-58.521843
115.740967	-61.387772
116.413879	-63.784134
117.086792	-62.742916
117.759705	-62.870617
118.432617	-63.896099
119.105530	-64.960526
119.778442	-61.241543
120.451355	-62.817150
121.124268	-63.350853
121.797180	-67.048431
122.470093	-66.298660
123.143005	-65.736885
123.815918	-67.484619
124.488831	-68.296844
125.161743	-67.880020
125.834656	-66.125412
126.507568	-66.219460
127.180481	-66.120293
127.853394	-65.764366
128.526306	-65.826492
129.199219	-67.010124
129.872131	-66.877525
130.545044	-65.057472
131.217957	-65.538551
131.890869	-66.397797
132.563782	-67.966446
133.236694	-69.115448
133.909607	-68.619232
134.582520	-68.958366
135.255432	-69.135681
135.928345	-70.945564
136.601257	-71.338280
137.274170	-70.625038
137.947083	-71.569984
138.619995	-71.375214
139.292908	-70.464127
139.965820	-68.934685
140.638733	-71.193413
141.311646	-70.492928
141.984558	-71.931396
142.657471	-68.886925
143.330383	-67.946129
144.003296	-67.720177
144.676208	-66.291649
145.349121	-66.712631
146.022034	-65.402092
146.694946	-64.632683
147.367859	-66.440712
148.040771	-67.576935
148.713684	-67.810410
149.386597	-66.839996
150.059509	-67.123062
150.732422	-68.266075
151.405334	-68.764114
152.078247	-67.993118
152.751160	-69.089615
153.424072	-69.615494
154.096985	-69.010002
154.769897	-70.255043
155.442810	-70.601906
156.115723	-69.414856
156.788635	-67.791435
157.461548	-67.799065
158.134460	-67.578201
