Frequency (Hz)	Level (dB)
0.672913	-80.257660
1.345825	-80.263939
2.018738	-80.266380
2.691650	-80.241272
3.364563	-80.283211
4.037476	-80.299591
4.710388	-80.094978
5.383301	-80.176201
6.056213	-80.059853
6.729126	-79.613892
7.402039	-79.678223
8.074951	-79.676140
8.747864	-79.064613
9.420776	-78.471611
10.093689	-78.621025
10.766602	-78.775398
11.439514	-77.571159
12.112427	-77.171669
12.785339	-76.686295
13.458252	-75.227844
14.131165	-76.397392
14.804077	-74.037796
15.476990	-74.177422
16.149902	-74.998024
16.822815	-74.391396
17.495728	-73.684074
18.168640	-73.224892
18.841553	-73.075226
19.514465	-71.777481
20.187378	-71.491150
20.860291	-70.706444
21.533203	-69.472549
22.206116	-69.281136
22.879028	-68.590172
23.551941	-68.958199
24.224854	-67.943077
24.897766	-68.403313
25.570679	-66.340950
26.243591	-65.773880
26.916504	-67.666023
27.589417	-65.739983
28.262329	-65.834351
28.935242	-63.283497
29.608154	-64.159821
30.281067	-64.772881
30.953979	-63.862728
31.626892	-64.330772
32.299805	-63.548164
32.972717	-62.435047
33.645630	-62.261990
34.318542	-63.898056
34.991455	-62.301342
35.664368	-63.797459
36.337280	-62.185371
37.010193	-61.842361
37.683105	-61.689907
38.356018	-62.218479
39.028931	-61.328701
39.701843	-61.453178
40.374756	-60.267670
41.047668	-60.442841
41.720581	-60.374477
42.393494	-61.000240
43.066406	-60.395901
43.739319	-61.283073
44.412231	-60.510525
45.085144	-58.994034
45.758057	-59.203129
46.430969	-60.199627
47.103882	-59.857460
47.776794	-60.448399
48.449707	-58.895924
49.122620	-58.752983
49.795532	-57.403011
50.468445	-57.155441
51.141357	-57.462345
51.814270	-58.303593
52.487183	-58.145069
53.160095	-56.357948
53.833008	-56.457146
54.505920	-56.666752
55.178833	-56.045200
55.851746	-55.522793
56.524658	-56.248497
57.197571	-55.370804
57.870483	-56.096512
58.543396	-54.711006
59.216309	-54.544167
59.889221	-54.861691
60.562134	-54.019932
61.235046	-54.738811
61.907959	-54.037022
62.580872	-54.202393
63.253784	-53.969410
63.926697	-53.737179
64.599609	-54.208126
65.272522	-54.145336
65.945435	-53.376324
66.618347	-52.232807
67.291260	-53.451180
67.964172	-53.636776
68.637085	-53.311581
69.309998	-51.782101
69.982910	-53.281666
70.655823	-53.585499
71.328735	-53.680649
72.001648	-54.128983
72.674561	-52.554573
73.347473	-52.033909
74.020386	-51.664673
74.693298	-50.831615
75.366211	-51.447975
76.039124	-50.665035
76.712036	-51.570885
77.384949	-53.333839
78.057861	-52.657356
78.730774	-52.603397
79.403687	-52.580177
80.076599	-50.777149
80.749512	-51.556854
81.422424	-52.283909
82.095337	-50.250725
82.768250	-52.268044
83.441162	-51.844769
84.114075	-50.945808
84.786987	-51.576416
85.459900	-51.086784
86.132812	-50.551807
86.805725	-50.547447
87.478638	-50.140182
88.151550	-50.756020
88.824463	-50.388927
89.497375	-51.080704
90.170288	-50.113789
90.843201	-51.209980
91.516113	-52.750187
92.189026	-53.265163
92.861938	-50.294228
93.534851	-51.151527
94.207764	-50.315361
94.880676	-49.782085
95.553589	-50.107262
96.226501	-52.400387
96.899414	-50.113201
97.572327	-51.664062
98.245239	-50.138851
98.918152	-49.537113
99.591064	-47.336956
100.263977	-49.646416
100.936890	-51.232574
101.609802	-50.539459
102.282715	-49.151489
102.955627	-49.453220
103.628540	-50.641392
104.301453	-49.914219
104.974365	-49.386303
105.647278	-49.754654
106.320190	-50.635136
106.993103	-50.970142
107.666016	-49.522873
108.338928	-49.145767
109.011841	-50.689083
109.684753	-49.056690
110.357666	-48.563774
111.030579	-48.585800
111.703491	-49.390808
112.376404	-49.152317
113.049316	-49.365662
113.722229	-48.379906
114.395142	-49.108246
115.068054	-49.098476
115.740967	-49.319935
116.413879	-49.446762
117.086792	-48.602409
117.759705	-48.560169
118.432617	-50.040161
119.105530	-48.650265
119.778442	-48.083473
120.451355	-48.925678
121.124268	-49.404022
121.797180	-47.344944
122.470093	-49.339279
123.143005	-49.894363
123.815918	-50.067173
124.488831	-48.549320
125.161743	-49.396645
125.834656	-48.040070
126.507568	-47.841896
127.180481	-48.777668
127.853394	-49.991905
128.526306	-48.338223
129.199219	-49.074776
129.872131	-48.351364
130.545044	-47.868488
131.217957	-50.043648
131.890869	-48.689571
132.563782	-50.439178
133.236694	-48.642002
133.909607	-48.602795
134.582520	-48.838459
135.255432	-47.886909
135.928345	-48.700710
136.601257	-47.349049
137.274170	-49.115311
137.947083	-48.764179
138.619995	-48.425552
139.292908	-49.369133
139.965820	-48.771172
140.638733	-46.268475
141.311646	-47.434086
141.984558	-47.289001
142.657471	-49.183441
143.330383	-47.465946
144.003296	-47.357304
144.676208	-48.447567
145.349121	-49.879158
146.022034	-48.607143
146.694946	-47.926826
147.367859	-48.652546
148.040771	-47.578018
148.713684	-47.426914
149.386597	-49.932507
150.059509	-48.916264
150.732422	-49.266304
151.405334	-48.579956
152.078247	-49.582420
152.751160	-48.425800
153.424072	-47.635155
154.096985	-47.420368
154.769897	-49.414093
155.442810	-48.730061
156.115723	-48.795753
156.788635	-47.895111
157.461548	-48.771023
158.134460	-48.114372
158.807373	-48.413639
159.480286	-47.498203
160.153198	-47.881275
160.826111	-47.175983
161.499023	-49.075203
162.171936	-49.366600
162.844849	-48.399456
163.517761	-48.909138
164.190674	-49.242355
164.863586	-49.767643
165.536499	-48.586620
166.209412	-48.869854
166.882324	-49.031731
167.555237	-49.337894
168.228149	-47.208675
168.901062	-47.580334
169.573975	-47.513885
170.246887	-48.746635
170.919800	-48.446903
171.592712	-48.348866
172.265625	-47.259415
172.938538	-49.470909
173.611450	-49.370277
174.284363	-47.507557
174.957275	-48.153114
175.630188	-47.813656
176.303101	-47.878632
176.976013	-48.651169
177.648926	-48.179539
178.321838	-49.882832
178.994751	-49.328434
179.667664	-49.052601
180.340576	-47.756077
181.013489	-48.530563
181.686401	-49.379387
182.359314	-48.741058
183.032227	-49.708969
183.705139	-48.865673
184.378052	-47.480099
185.050964	-47.896748
185.723877	-47.537403
186.396790	-48.044647
187.069702	-47.778774
187.742615	-50.180202
188.415527	-48.225952
189.088440	-50.244164
189.761353	-48.466171
190.434265	-49.315777
191.107178	-49.326336
191.780090	-49.379089
192.453003	-47.858418
193.125916	-46.913460
193.798828	-48.573193
194.471741	-48.495171
195.144653	-47.705418
195.817566	-48.925488
196.490479	-48.165176
197.163391	-50.327408
197.836304	-49.901730
198.509216	-48.034004
199.182129	-48.229134
199.855042	-48.576256
200.527954	-48.204655
201.200867	-47.708485
201.873779	-48.444057
202.546692	-49.502213
203.219604	-50.075367
203.892517	-49.577789
204.565430	-48.817810
205.238342	-48.252209
205.911255	-47.326523
206.584167	-48.328999
207.257080	-48.854427
207.929993	-49.600121
208.602905	-49.732822
209.275818	-50.123669
209.948730	-50.500206
210.621643	-49.560406
211.294556	-49.463684
211.967468	-50.346436
212.640381	-50.136353
213.313293	-48.541702
213.986206	-49.753681
214.659119	-49.288757
215.332031	-49.561394
216.004944	-49.507671
216.677856	-48.765842
217.350769	-50.303967
218.023682	-49.722828
218.696594	-48.505184
219.369507	-48.316330
220.042419	-49.601643
220.715332	-51.088486
221.388245	-49.499916
222.061157	-50.253494
222.734070	-49.178230
223.406982	-49.871910
224.079895	-50.072464
224.752808	-50.130730
225.425720	-49.411186
