Frequency (Hz)	Level (dB)
0.672913	-79.067635
1.345825	-79.058006
2.018738	-79.053795
2.691650	-79.071190
3.364563	-79.032326
4.037476	-79.028831
4.710388	-78.956589
5.383301	-78.928261
6.056213	-78.749115
6.729126	-78.752220
7.402039	-78.369835
8.074951	-78.699715
8.747864	-78.371208
9.420776	-78.159904
10.093689	-77.233017
10.766602	-76.749146
11.439514	-76.658905
12.112427	-75.694168
12.785339	-76.470490
13.458252	-76.325554
14.131165	-76.034386
14.804077	-75.260780
15.476990	-73.868561
16.149902	-74.475266
16.822815	-73.219894
17.495728	-73.165848
18.168640	-72.103111
18.841553	-72.359703
19.514465	-70.915855
20.187378	-70.472092
20.860291	-71.676163
21.533203	-70.490891
22.206116	-69.308029
22.879028	-69.265610
23.551941	-69.786446
24.224854	-67.784935
24.897766	-68.249367
25.570679	-67.993500
26.243591	-67.861610
26.916504	-66.427231
27.589417	-65.732033
28.262329	-65.869102
28.935242	-66.494774
29.608154	-64.565384
30.281067	-64.465042
30.953979	-65.082916
31.626892	-65.377426
32.299805	-63.739300
32.972717	-63.617764
33.645630	-62.337719
34.318542	-62.606613
34.991455	-62.098518
35.664368	-62.536015
36.337280	-61.172649
37.010193	-62.242870
37.683105	-63.631866
38.356018	-62.191032
39.028931	-61.414646
39.701843	-61.622261
40.374756	-59.512508
41.047668	-60.858082
41.720581	-61.311165
42.393494	-60.500351
43.066406	-59.836006
43.739319	-61.052212
44.412231	-60.634258
45.085144	-59.277927
45.758057	-59.743862
46.430969	-58.712444
47.103882	-59.131611
47.776794	-59.038681
48.449707	-58.578960
49.122620	-58.021549
49.795532	-58.876690
50.468445	-58.423416
51.141357	-57.046612
51.814270	-56.301998
52.487183	-57.809978
53.160095	-56.324722
53.833008	-56.040783
54.505920	-57.132225
55.178833	-56.609608
55.851746	-56.602680
56.524658	-55.615891
57.197571	-55.075817
57.870483	-54.587330
58.543396	-56.858799
59.216309	-55.391350
59.889221	-54.675781
60.562134	-54.909004
61.235046	-54.074532
61.907959	-54.525074
62.580872	-54.460632
63.253784	-53.275539
63.926697	-53.580479
64.599609	-54.419716
65.272522	-54.954464
65.945435	-53.591629
66.618347	-53.883957
67.291260	-53.728477
67.964172	-53.602539
68.637085	-54.084003
69.309998	-52.617695
69.982910	-53.491047
70.655823	-53.870239
71.328735	-53.591125
72.001648	-52.516338
72.674561	-51.838516
73.347473	-51.926815
74.020386	-51.794605
74.693298	-52.778271
75.366211	-52.595646
76.039124	-52.144341
76.712036	-51.950836
77.384949	-52.316746
78.057861	-51.401970
78.730774	-52.510109
79.403687	-52.025120
80.076599	-52.766617
80.749512	-51.912163
81.422424	-51.733032
82.095337	-52.414692
82.768250	-52.084339
83.441162	-51.481247
84.114075	-52.326653
84.786987	-51.360348
85.459900	-51.249294
86.132812	-50.790199
86.805725	-51.498466
87.478638	-50.496838
88.151550	-51.967911
88.824463	-53.264584
89.497375	-50.543224
90.170288	-50.666763
90.843201	-50.930771
91.516113	-51.370605
92.189026	-50.666954
92.861938	-50.838402
93.534851	-50.943230
94.207764	-50.515926
94.880676	-51.032448
95.553589	-49.377899
96.226501	-50.480804
96.899414	-49.908237
97.572327	-50.459435
98.245239	-49.134712
98.918152	-50.696495
99.591064	-50.518791
100.263977	-49.252365
100.936890	-50.793987
101.609802	-49.406387
102.282715	-50.261044
102.955627	-48.898643
103.628540	-49.192516
104.301453	-49.201786
104.974365	-48.108879
105.647278	-49.471073
106.320190	-50.385483
106.993103	-50.120399
107.666016	-49.511456
108.338928	-50.045490
109.011841	-50.223671
109.684753	-50.023121
110.357666	-50.193890
111.030579	-49.665161
111.703491	-50.247082
112.376404	-49.046001
113.049316	-49.525425
113.722229	-49.000664
114.395142	-48.861225
115.068054	-48.968784
115.740967	-48.514328
116.413879	-49.204018
117.086792	-50.089363
117.759705	-49.772522
118.432617	-49.677528
119.105530	-49.839565
119.778442	-49.601383
120.451355	-48.174576
121.124268	-48.871361
121.797180	-49.175152
122.470093	-49.453350
123.143005	-49.908371
123.815918	-48.615669
124.488831	-48.917656
125.161743	-48.844059
125.834656	-50.523407
126.507568	-48.725006
127.180481	-49.060566
127.853394	-48.909107
128.526306	-49.572258
129.199219	-48.904457
129.872131	-49.282516
130.545044	-48.577957
131.217957	-49.076653
131.890869	-49.252064
132.563782	-47.730061
133.236694	-48.104439
133.909607	-48.774036
134.582520	-48.138214
135.255432	-50.407211
135.928345	-49.013889
136.601257	-48.911427
137.274170	-48.210594
137.947083	-49.526131
138.619995	-48.338696
139.292908	-47.820488
139.965820	-48.856701
140.638733	-48.892292
141.311646	-49.618996
141.984558	-48.729534
142.657471	-48.686741
143.330383	-50.948483
144.003296	-48.905251
144.676208	-49.430710
145.349121	-48.192158
146.022034	-48.461872
146.694946	-47.998215
147.367859	-48.371082
148.040771	-48.075161
148.713684	-47.467735
149.386597	-48.524563
150.059509	-49.905071
150.732422	-48.643467
151.405334	-48.945976
152.078247	-49.701115
152.751160	-48.224148
153.424072	-47.264168
154.096985	-49.397861
154.769897	-48.701023
155.442810	-48.380699
156.115723	-48.466145
156.788635	-48.213623
157.461548	-47.876331
158.134460	-47.975483
158.807373	-48.897678
159.480286	-48.855595
160.153198	-48.813213
160.826111	-50.429379
161.499023	-47.850021
162.171936	-49.619087
162.844849	-49.226261
163.517761	-47.698647
164.190674	-49.544353
164.863586	-48.711651
165.536499	-49.223286
166.209412	-49.024242
166.882324	-47.997997
167.555237	-48.662018
168.228149	-48.961300
168.901062	-48.346405
169.573975	-47.825642
170.246887	-49.254959
170.919800	-47.719139
171.592712	-47.503075
172.265625	-47.287693
172.938538	-47.496910
173.611450	-47.273357
174.284363	-49.343555
174.957275	-47.708233
175.630188	-47.272392
176.303101	-48.677090
176.976013	-49.002281
177.648926	-48.272556
178.321838	-48.383514
178.994751	-48.987514
179.667664	-50.068623
180.340576	-49.568802
181.013489	-49.035576
181.686401	-48.836288
182.359314	-50.778111
183.032227	-49.974594
183.705139	-48.869152
184.378052	-49.409634
185.050964	-47.748974
185.723877	-48.938839
186.396790	-47.897472
187.069702	-47.656727
187.742615	-48.865993
188.415527	-49.529694
189.088440	-47.917328
189.761353	-48.281521
190.434265	-49.299679
191.107178	-48.873043
191.780090	-48.361675
192.453003	-49.217411
193.125916	-49.232384
193.798828	-49.154976
194.471741	-48.217922
195.144653	-49.410507
195.817566	-49.301884
196.490479	-49.301071
197.163391	-47.934822
197.836304	-48.687279
198.509216	-50.045853
199.182129	-49.728676
199.855042	-49.803703
200.527954	-48.222958
201.200867	-50.403194
201.873779	-48.938568
202.546692	-48.832497
203.219604	-50.241734
203.892517	-48.842640
204.565430	-48.901947
205.238342	-49.246029
205.911255	-48.954773
206.584167	-49.253166
207.257080	-48.958900
207.929993	-49.154942
208.602905	-48.390156
209.275818	-49.937763
209.948730	-49.538795
210.621643	-49.497501
211.294556	-49.059929
211.967468	-49.513741
212.640381	-49.251846
213.313293	-48.887352
213.986206	-49.283760
214.659119	-48.696671
215.332031	-49.056122
216.004944	-49.675926
216.677856	-49.498398
217.350769	-51.021206
218.023682	-50.357769
218.696594	-49.522461
219.369507	-49.012444
220.042419	-50.995010
220.715332	-50.298019
221.388245	-50.053127
222.061157	-48.740654
222.734070	-50.801201
223.406982	-49.307037
224.079895	-49.058659
224.752808	-50.214455
225.425720	-50.314316
226.098633	-49.979752
226.771545	-50.055805
227.444458	-49.210033
228.117371	-50.271137
228.790283	-49.201675
229.463196	-49.985851
230.136108	-49.736122
230.809021	-50.585434
231.481934	-50.720753
232.154846	-49.953568
232.827759	-50.430305
233.500671	-52.066193
234.173584	-49.901279
234.846497	-49.842888
235.519409	-48.887825
236.192322	-49.697319
236.865234	-48.973614
237.538147	-50.226265
238.211060	-50.045895
238.883972	-50.170685
239.556885	-49.629055
240.229797	-49.651096
240.902710	-50.616371
241.575623	-49.908997
242.248535	-48.836243
242.921448	-50.097973
243.594360	-50.370674
244.267273	-49.439564
244.940186	-49.976398
245.613098	-50.300602
246.286011	-49.655704
246.958923	-50.256760
247.631836	-50.991371
248.304749	-49.461838
248.977661	-49.986652
249.650574	-49.809879
250.323486	-50.893589
250.996399	-49.792450
251.669312	-49.996433
252.342224	-51.412704
253.015137	-49.567089
253.688049	-49.347107
254.360962	-49.027821
