Frequency (Hz)	Level (dB)
0.672913	-83.818123
1.345825	-83.795235
2.018738	-83.701569
2.691650	-83.878136
3.364563	-83.858437
4.037476	-83.066322
4.710388	-83.647194
5.383301	-83.519066
6.056213	-83.377136
6.729126	-83.037910
7.402039	-83.490494
8.074951	-83.765594
8.747864	-83.463043
9.420776	-84.122627
10.093689	-83.216797
10.766602	-83.604515
11.439514	-80.957359
12.112427	-81.479721
12.785339	-81.687889
13.458252	-80.785820
14.131165	-81.879860
14.804077	-80.754684
15.476990	-79.186043
16.149902	-79.377426
16.822815	-79.507164
17.495728	-80.773010
18.168640	-81.141083
18.841553	-76.194771
19.514465	-76.900421
20.187378	-77.816124
20.860291	-77.226326
21.533203	-76.087044
22.206116	-75.843140
22.879028	-74.305031
23.551941	-77.821533
24.224854	-75.489944
24.897766	-74.656387
25.570679	-76.610535
26.243591	-78.504448
26.916504	-75.429192
27.589417	-73.920456
28.262329	-73.506233
28.935242	-75.468086
29.608154	-71.342506
30.281067	-77.492027
30.953979	-75.526314
31.626892	-75.975197
32.299805	-74.635048
32.972717	-72.263512
33.645630	-75.806686
34.318542	-75.552689
34.991455	-72.630188
35.664368	-72.791016
36.337280	-71.302422
37.010193	-71.966385
37.683105	-73.210541
38.356018	-71.433640
39.028931	-73.902092
39.701843	-71.460648
40.374756	-71.166122
41.047668	-70.344032
41.720581	-70.999626
42.393494	-70.351059
43.066406	-69.046524
43.739319	-67.665062
44.412231	-68.140579
45.085144	-70.897110
45.758057	-66.876633
46.430969	-64.737419
47.103882	-67.413162
47.776794	-67.779213
48.449707	-64.565414
49.122620	-71.038078
49.795532	-65.382690
50.468445	-65.103310
51.141357	-62.269203
51.814270	-61.226665
52.487183	-64.748444
53.160095	-62.085320
53.833008	-62.861279
54.505920	-62.755131
55.178833	-60.770603
55.851746	-62.322166
56.524658	-59.846283
57.197571	-57.956844
57.870483	-59.502274
58.543396	-58.498253
59.216309	-57.850609
59.889221	-61.195896
60.562134	-60.748158
61.235046	-59.077991
