Frequency (Hz)	Level (dB)
0.672913	-90.923660
1.345825	-90.983810
2.018738	-90.999176
2.691650	-90.892639
3.364563	-90.606522
4.037476	-89.981483
4.710388	-90.493889
5.383301	-90.126701
6.056213	-90.449997
6.729126	-88.806137
7.402039	-89.709183
8.074951	-89.459190
8.747864	-89.259674
9.420776	-88.499908
10.093689	-86.602928
10.766602	-85.786018
11.439514	-84.520622
12.112427	-84.128067
12.785339	-84.185280
13.458252	-83.413376
14.131165	-84.696541
14.804077	-83.360863
15.476990	-83.721764
16.149902	-82.674034
16.822815	-82.606865
17.495728	-83.086540
18.168640	-80.337387
18.841553	-80.546936
19.514465	-80.184708
20.187378	-81.960327
20.860291	-79.328667
21.533203	-77.839417
22.206116	-77.501465
22.879028	-76.798012
23.551941	-77.442139
24.224854	-78.141747
24.897766	-77.629379
25.570679	-76.357834
26.243591	-75.674759
26.916504	-74.575912
27.589417	-74.895805
28.262329	-74.651283
28.935242	-75.948372
29.608154	-71.507751
30.281067	-77.102104
30.953979	-75.851395
31.626892	-76.296455
32.299805	-75.422699
32.972717	-74.617493
33.645630	-74.905518
34.318542	-74.269081
34.991455	-73.122810
35.664368	-74.276398
36.337280	-74.578110
37.010193	-73.125984
37.683105	-73.805565
38.356018	-73.616127
39.028931	-74.148224
39.701843	-73.440521
40.374756	-71.923820
41.047668	-71.457741
41.720581	-71.364868
42.393494	-71.368408
43.066406	-71.405312
43.739319	-70.739830
44.412231	-71.260674
45.085144	-70.576714
45.758057	-70.769386
46.430969	-68.482445
47.103882	-69.958023
47.776794	-70.185547
48.449707	-69.464134
49.122620	-68.271118
49.795532	-67.934151
50.468445	-67.793655
51.141357	-66.441200
51.814270	-66.500565
52.487183	-66.827980
53.160095	-65.824783
53.833008	-64.930351
54.505920	-66.431801
55.178833	-65.671844
55.851746	-65.536568
56.524658	-64.931053
57.197571	-63.775528
57.870483	-64.955032
58.543396	-64.699219
59.216309	-63.486591
59.889221	-63.974411
60.562134	-62.903015
61.235046	-62.413921
61.907959	-61.143177
62.580872	-61.133808
63.253784	-62.259918
63.926697	-61.970047
64.599609	-65.895180
65.272522	-66.763290
65.945435	-66.963554
66.618347	-67.237999
67.291260	-66.182655
67.964172	-67.887077
68.637085	-66.466072
69.309998	-65.791107
69.982910	-63.926952
70.655823	-64.396111
71.328735	-63.802856
72.001648	-64.151222
72.674561	-63.734138
73.347473	-61.811218
74.020386	-61.269360
74.693298	-61.614563
75.366211	-61.412704
76.039124	-62.574638
76.712036	-63.728210
77.384949	-63.192581
78.057861	-64.538750
78.730774	-65.179001
79.403687	-64.563400
80.076599	-66.070358
80.749512	-66.194405
81.422424	-68.234367
82.095337	-66.852264
82.768250	-65.335678
83.441162	-64.520439
84.114075	-62.863148
84.786987	-59.768063
85.459900	-60.322773
86.132812	-60.499367
86.805725	-59.699013
87.478638	-59.648903
88.151550	-62.028481
88.824463	-61.909233
89.497375	-61.100853
90.170288	-60.826801
90.843201	-61.065559
91.516113	-63.069378
92.189026	-65.027641
92.861938	-65.235886
93.534851	-63.620220
94.207764	-67.300163
94.880676	-66.240204
95.553589	-67.002853
96.226501	-66.471603
96.899414	-66.447319
97.572327	-67.256714
98.245239	-66.228065
98.918152	-66.755119
99.591064	-67.959320
100.263977	-68.712250
100.936890	-67.988609
101.609802	-66.223854
102.282715	-66.838570
102.955627	-64.334373
103.628540	-63.041080
104.301453	-63.294594
104.974365	-63.077682
105.647278	-62.061527
106.320190	-62.245590
106.993103	-63.300228
107.666016	-64.620750
108.338928	-63.972023
109.011841	-65.793678
109.684753	-64.419907
110.357666	-66.501984
111.030579	-66.320496
111.703491	-64.058823
112.376404	-64.403915
113.049316	-62.083488
113.722229	-56.116150
114.395142	-54.817795
115.068054	-60.945301
115.740967	-64.068863
116.413879	-64.142609
117.086792	-62.973156
117.759705	-63.368122
118.432617	-60.923916
119.105530	-62.721233
119.778442	-62.190964
120.451355	-64.297890
121.124268	-62.944012
121.797180	-64.320869
122.470093	-64.388062
123.143005	-63.429310
123.815918	-65.645889
124.488831	-65.408379
125.161743	-65.623428
125.834656	-63.539597
126.507568	-62.518417
127.180481	-63.262074
127.853394	-61.315079
128.526306	-62.515781
129.199219	-62.386848
129.872131	-61.645691
130.545044	-61.326530
131.217957	-62.707977
