Frequency (Hz)	Level (dB)
0.672913	-92.409622
1.345825	-92.346329
2.018738	-92.237007
2.691650	-92.259293
3.364563	-91.852005
4.037476	-92.006294
4.710388	-91.729500
5.383301	-91.878418
6.056213	-90.761726
6.729126	-90.232025
7.402039	-91.330269
8.074951	-91.234108
8.747864	-90.853165
9.420776	-88.916534
10.093689	-88.477646
10.766602	-86.061333
11.439514	-84.954552
12.112427	-85.572708
12.785339	-85.335602
13.458252	-84.624573
14.131165	-84.237015
14.804077	-83.224991
15.476990	-83.287102
16.149902	-84.553444
16.822815	-82.160370
17.495728	-81.633636
18.168640	-80.643181
18.841553	-78.201973
19.514465	-80.117706
20.187378	-79.775970
20.860291	-77.598030
21.533203	-77.793541
22.206116	-76.046997
22.879028	-74.134407
23.551941	-74.861206
24.224854	-73.133110
24.897766	-70.519028
25.570679	-69.091187
26.243591	-70.637802
26.916504	-69.768074
27.589417	-73.924057
28.262329	-71.377327
28.935242	-71.587471
29.608154	-70.969917
30.281067	-73.865524
30.953979	-74.699577
31.626892	-73.183144
32.299805	-75.483521
32.972717	-75.264702
33.645630	-74.380882
34.318542	-74.604698
34.991455	-74.437202
35.664368	-73.608818
36.337280	-73.464989
37.010193	-73.445709
37.683105	-73.128082
38.356018	-75.299278
39.028931	-73.138390
39.701843	-72.620506
40.374756	-72.468826
41.047668	-72.901894
41.720581	-70.948341
42.393494	-70.051697
43.066406	-70.479950
43.739319	-71.062187
44.412231	-70.374565
45.085144	-69.617989
45.758057	-71.288551
46.430969	-69.996483
47.103882	-71.454460
47.776794	-71.082458
48.449707	-71.331955
49.122620	-69.742638
49.795532	-67.675079
50.468445	-67.232826
51.141357	-67.670227
51.814270	-67.595093
52.487183	-67.141533
53.160095	-67.287636
53.833008	-67.499519
54.505920	-65.366432
55.178833	-66.343742
55.851746	-65.981377
56.524658	-65.825333
57.197571	-65.370880
57.870483	-66.713379
58.543396	-65.917183
59.216309	-66.219116
59.889221	-66.370819
60.562134	-66.285782
61.235046	-65.525429
61.907959	-61.416721
62.580872	-60.760578
63.253784	-65.042969
63.926697	-63.952339
64.599609	-64.906143
65.272522	-68.460686
65.945435	-68.265717
66.618347	-67.223366
67.291260	-67.394722
67.964172	-67.197510
68.637085	-67.928970
69.309998	-65.269691
69.982910	-65.203079
70.655823	-67.489197
71.328735	-69.230522
72.001648	-65.459106
72.674561	-63.626862
73.347473	-64.254929
74.020386	-64.849014
74.693298	-62.959030
75.366211	-65.444855
76.039124	-64.514374
76.712036	-64.950096
77.384949	-65.948990
78.057861	-64.542694
78.730774	-67.626518
79.403687	-66.026253
80.076599	-66.703209
80.749512	-66.308548
81.422424	-66.443878
82.095337	-66.202644
