Frequency (Hz)	Level (dB)
0.672913	-87.911903
1.345825	-87.845970
2.018738	-87.876854
2.691650	-87.801323
3.364563	-87.901260
4.037476	-87.567978
4.710388	-87.886955
5.383301	-87.865715
6.056213	-87.411797
6.729126	-87.591888
7.402039	-87.270081
8.074951	-87.431313
8.747864	-87.124718
9.420776	-86.901360
10.093689	-86.922508
10.766602	-86.129013
11.439514	-85.372696
12.112427	-85.475632
12.785339	-85.662003
13.458252	-84.954330
14.131165	-85.152466
14.804077	-84.873604
15.476990	-84.383034
16.149902	-85.417068
16.822815	-84.915672
17.495728	-83.888313
18.168640	-83.089111
18.841553	-83.222076
19.514465	-82.852783
20.187378	-83.025833
20.860291	-83.450783
21.533203	-81.927811
22.206116	-80.989632
22.879028	-78.472107
23.551941	-79.433380
24.224854	-79.636955
24.897766	-79.748795
25.570679	-80.253014
26.243591	-79.592995
26.916504	-79.965218
27.589417	-79.248947
28.262329	-78.688278
28.935242	-77.967506
29.608154	-74.582657
30.281067	-77.749039
30.953979	-77.794144
31.626892	-77.112343
32.299805	-77.432808
32.972717	-77.783218
33.645630	-77.517845
34.318542	-76.669510
34.991455	-75.559059
35.664368	-77.931427
36.337280	-75.173752
37.010193	-75.437469
37.683105	-75.567932
38.356018	-76.113304
39.028931	-75.658012
39.701843	-74.999275
40.374756	-73.638916
41.047668	-74.470795
41.720581	-73.250671
42.393494	-72.956100
43.066406	-73.142578
43.739319	-72.529884
44.412231	-71.534859
45.085144	-72.085930
45.758057	-72.870712
46.430969	-70.193893
47.103882	-72.953712
47.776794	-72.224419
48.449707	-72.372223
49.122620	-70.313446
49.795532	-68.455765
50.468445	-69.306877
51.141357	-68.922714
51.814270	-69.713875
52.487183	-68.191956
53.160095	-69.006889
53.833008	-67.427162
54.505920	-67.733406
55.178833	-66.192963
55.851746	-66.864777
56.524658	-65.408867
57.197571	-65.748428
57.870483	-65.498215
58.543396	-65.386810
59.216309	-64.075577
59.889221	-65.500168
60.562134	-63.709137
61.235046	-63.394951
61.907959	-64.234642
62.580872	-61.880028
63.253784	-61.856087
63.926697	-62.767159
64.599609	-66.304268
65.272522	-69.643837
65.945435	-69.620346
66.618347	-66.882278
67.291260	-67.477158
67.964172	-68.880867
68.637085	-67.743576
69.309998	-66.277733
69.982910	-65.023460
70.655823	-63.836540
71.328735	-63.013725
72.001648	-65.069832
72.674561	-63.451344
73.347473	-62.443638
74.020386	-61.933945
74.693298	-60.612709
75.366211	-61.314445
76.039124	-62.294250
76.712036	-63.448063
77.384949	-62.757477
78.057861	-63.704887
78.730774	-64.331665
79.403687	-65.141823
80.076599	-65.656548
80.749512	-67.619591
81.422424	-65.408669
82.095337	-65.708244
82.768250	-64.792198
83.441162	-63.821823
84.114075	-60.710953
84.786987	-59.760975
85.459900	-60.908775
86.132812	-58.298515
86.805725	-57.204643
87.478638	-60.318130
88.151550	-60.702808
88.824463	-61.100643
89.497375	-60.744644
90.170288	-58.757954
90.843201	-59.836914
91.516113	-61.054440
92.189026	-63.898514
92.861938	-64.567413
93.534851	-62.763741
94.207764	-65.868820
94.880676	-64.975021
95.553589	-63.397339
96.226501	-64.913963
96.899414	-66.183502
97.572327	-64.944244
98.245239	-65.777100
98.918152	-65.086395
99.591064	-65.804489
100.263977	-65.922379
100.936890	-65.170631
101.609802	-64.013542
102.282715	-61.397911
102.955627	-61.894043
103.628540	-60.667305
104.301453	-60.001842
104.974365	-58.832054
105.647278	-58.656136
106.320190	-58.893734
106.993103	-60.130592
107.666016	-59.569550
108.338928	-61.189819
109.011841	-61.756561
109.684753	-61.196720
110.357666	-61.365414
111.030579	-59.821983
