Frequency (Hz)	Level (dB)
0.672913	-84.525970
1.345825	-84.358398
2.018738	-84.148033
2.691650	-84.715401
3.364563	-83.917496
4.037476	-84.495598
4.710388	-84.991020
5.383301	-85.208076
6.056213	-83.464493
6.729126	-84.256332
7.402039	-85.991196
8.074951	-83.268105
8.747864	-86.015427
9.420776	-82.870079
10.093689	-87.620575
10.766602	-82.492645
11.439514	-87.274933
12.112427	-82.421173
12.785339	-83.155396
13.458252	-80.718842
14.131165	-79.548119
14.804077	-83.304016
15.476990	-81.363686
16.149902	-92.346375
16.822815	-75.399658
17.495728	-80.046066
18.168640	-86.102386
18.841553	-75.992722
19.514465	-78.477882
20.187378	-80.065147
20.860291	-75.525658
21.533203	-86.954895
22.206116	-83.242073
22.879028	-75.635178
23.551941	-82.782394
24.224854	-75.014900
24.897766	-82.300270
25.570679	-84.751884
26.243591	-85.548309
26.916504	-80.396538
27.589417	-84.045662
28.262329	-78.123650
28.935242	-76.625053
29.608154	-72.405098
30.281067	-77.950516
30.953979	-79.302521
31.626892	-81.045357
32.299805	-79.778793
32.972717	-77.859161
33.645630	-75.214539
34.318542	-71.429489
34.991455	-76.303711
35.664368	-88.407242
36.337280	-73.790802
37.010193	-69.248894
37.683105	-80.161377
38.356018	-89.121742
39.028931	-69.875496
39.701843	-69.858025
40.374756	-69.766655
41.047668	-83.591011
41.720581	-72.452438
42.393494	-77.116516
43.066406	-67.299927
43.739319	-68.313179
44.412231	-70.275368
45.085144	-65.659294
45.758057	-67.311943
46.430969	-73.611015
47.103882	-67.261658
47.776794	-70.128983
48.449707	-80.273445
49.122620	-65.197639
49.795532	-72.508423
50.468445	-75.131889
51.141357	-73.551506
51.814270	-82.926933
52.487183	-72.105736
53.160095	-73.696152
53.833008	-68.725281
54.505920	-74.185310
55.178833	-58.729504
55.851746	-70.131943
56.524658	-61.489693
57.197571	-70.015198
57.870483	-76.801781
58.543396	-68.844208
59.216309	-64.312576
59.889221	-60.752335
60.562134	-62.192593
61.235046	-64.466278
61.907959	-70.484894
62.580872	-74.851128
63.253784	-78.234932
63.926697	-67.908188
64.599609	-75.082367
65.272522	-68.181412
65.945435	-69.013298
66.618347	-65.524399
67.291260	-64.543198
67.964172	-66.600121
68.637085	-61.793343
69.309998	-69.965958
69.982910	-63.175480
70.655823	-67.393028
71.328735	-66.132210
72.001648	-59.136326
72.674561	-67.479492
73.347473	-64.399200
74.020386	-62.279026
74.693298	-61.100903
75.366211	-65.948990
76.039124	-61.986832
76.712036	-69.748184
77.384949	-63.960339
78.057861	-63.584671
78.730774	-67.794212
79.403687	-67.544876
80.076599	-63.359119
80.749512	-68.414543
81.422424	-59.700577
82.095337	-62.107746
82.768250	-64.409889
83.441162	-60.174416
84.114075	-58.363300
84.786987	-63.031906
85.459900	-53.501118
86.132812	-60.365013
86.805725	-70.880524
87.478638	-66.628166
88.151550	-57.313274
88.824463	-60.506351
89.497375	-71.641502
90.170288	-63.349728
90.843201	-61.410881
91.516113	-63.896942
92.189026	-69.643021
92.861938	-77.760971
93.534851	-57.456524
94.207764	-69.076408
94.880676	-57.402817
95.553589	-61.026958
96.226501	-60.657520
96.899414	-63.226501
97.572327	-73.589218
98.245239	-60.947071
98.918152	-73.489365
99.591064	-73.685104
100.263977	-65.875046
100.936890	-70.519417
101.609802	-57.508488
102.282715	-58.882587
102.955627	-65.922791
103.628540	-73.245789
104.301453	-57.413776
104.974365	-66.686882
105.647278	-57.204491
106.320190	-66.697441
106.993103	-54.481388
107.666016	-68.039841
108.338928	-61.630352
109.011841	-57.960239
109.684753	-58.419029
110.357666	-70.893105
111.030579	-61.463154
111.703491	-59.712944
112.376404	-53.626431
113.049316	-64.672020
113.722229	-57.254425
114.395142	-62.086506
115.068054	-58.242920
115.740967	-56.728825
116.413879	-66.783821
117.086792	-57.222408
117.759705	-63.052792
118.432617	-77.171768
119.105530	-54.115711
119.778442	-65.272308
120.451355	-62.223110
121.124268	-76.030647
121.797180	-74.007690
122.470093	-59.445995
123.143005	-67.173752
123.815918	-61.645451
124.488831	-58.459465
125.161743	-60.219799
125.834656	-60.191956
126.507568	-60.546806
127.180481	-68.587326
127.853394	-59.484627
128.526306	-52.535328
129.199219	-65.215187
129.872131	-64.833199
130.545044	-58.517303
131.217957	-61.712921
131.890869	-55.849930
132.563782	-57.360558
133.236694	-53.877483
133.909607	-65.078430
134.582520	-56.037857
135.255432	-58.610214
135.928345	-61.480179
136.601257	-52.325439
137.274170	-50.783909
137.947083	-53.777489
138.619995	-61.140472
139.292908	-57.581211
139.965820	-54.774590
140.638733	-57.410820
141.311646	-57.642029
141.984558	-62.913609
142.657471	-65.780472
143.330383	-53.741455
144.003296	-51.937450
144.676208	-55.686752
145.349121	-59.233860
146.022034	-52.097019
146.694946	-59.436588
147.367859	-80.478783
148.040771	-54.543056
148.713684	-56.351830
149.386597	-51.896523
150.059509	-56.900440
150.732422	-57.736759
151.405334	-65.021927
152.078247	-60.350132
152.751160	-52.883965
153.424072	-68.357452
154.096985	-54.060020
154.769897	-59.604008
155.442810	-53.808952
156.115723	-60.193645
156.788635	-59.782234
157.461548	-72.426849
158.134460	-62.557049
158.807373	-56.237648
159.480286	-55.055687
160.153198	-55.299286
160.826111	-52.797092
161.499023	-57.183414
162.171936	-61.291092
162.844849	-51.313259
163.517761	-56.599670
164.190674	-52.359940
164.863586	-57.909584
165.536499	-58.177246
166.209412	-72.344078
166.882324	-60.903393
167.555237	-54.204193
168.228149	-64.793327
168.901062	-60.455181
169.573975	-71.675591
170.246887	-59.246735
170.919800	-61.119972
171.592712	-78.658691
172.265625	-62.849468
172.938538	-72.545753
173.611450	-64.057243
174.284363	-54.910442
174.957275	-58.939873
175.630188	-68.585823
176.303101	-57.314159
176.976013	-56.452507
177.648926	-57.265747
178.321838	-63.345226
178.994751	-58.020367
179.667664	-55.504776
180.340576	-56.160934
181.013489	-60.208878
181.686401	-54.711525
182.359314	-68.716965
183.032227	-60.180241
183.705139	-65.051620
184.378052	-54.773975
185.050964	-62.469669
185.723877	-73.416695
186.396790	-60.581306
187.069702	-58.710503
187.742615	-56.018394
188.415527	-62.629990
189.088440	-58.776741
189.761353	-68.058319
190.434265	-63.414402
191.107178	-59.180153
191.780090	-55.059196
192.453003	-67.716309
193.125916	-57.455948
193.798828	-59.454681
194.471741	-74.148659
195.144653	-58.517147
195.817566	-59.733109
196.490479	-64.684669
197.163391	-64.497513
197.836304	-66.231499
198.509216	-72.860893
199.182129	-57.325897
199.855042	-58.536491
200.527954	-64.348778
201.200867	-63.607899
201.873779	-68.146431
202.546692	-73.136642
203.219604	-59.034168
203.892517	-65.430939
204.565430	-57.973595
205.238342	-58.657425
205.911255	-55.059677
206.584167	-61.941311
207.257080	-59.147190
207.929993	-62.945992
208.602905	-61.985237
209.275818	-61.399689
209.948730	-57.033195
210.621643	-63.540699
211.294556	-56.401413
211.967468	-69.934082
212.640381	-68.961884
213.313293	-67.025192
213.986206	-59.072445
214.659119	-55.347305
215.332031	-59.521004
216.004944	-70.016777
216.677856	-66.034340
217.350769	-62.550270
218.023682	-70.552528
218.696594	-64.750305
219.369507	-57.211651
220.042419	-69.144615
220.715332	-63.290615
221.388245	-54.837734
222.061157	-59.086555
