Frequency (Hz)	Level (dB)
0.672913	-89.211082
1.345825	-89.181297
2.018738	-89.190369
2.691650	-89.073494
3.364563	-89.043976
4.037476	-88.846748
4.710388	-89.011215
5.383301	-89.062889
6.056213	-88.906898
6.729126	-88.535477
7.402039	-88.818420
8.074951	-89.088005
8.747864	-88.866638
9.420776	-88.344101
10.093689	-87.358665
10.766602	-86.761826
11.439514	-85.618637
12.112427	-85.341316
12.785339	-85.914253
13.458252	-88.100098
14.131165	-86.969017
14.804077	-85.318130
15.476990	-85.402466
16.149902	-84.569260
16.822815	-85.797638
17.495728	-84.954140
18.168640	-83.765450
18.841553	-81.826218
19.514465	-82.971611
20.187378	-83.820267
20.860291	-82.215591
21.533203	-81.413544
22.206116	-81.819504
22.879028	-79.432861
23.551941	-79.333565
24.224854	-81.676308
24.897766	-81.295471
25.570679	-79.845161
26.243591	-77.553246
26.916504	-80.043686
27.589417	-78.230278
28.262329	-77.823654
28.935242	-79.414520
29.608154	-76.249634
30.281067	-80.083580
30.953979	-78.453140
31.626892	-78.175209
32.299805	-77.658989
32.972717	-77.732628
33.645630	-77.683319
34.318542	-77.289955
34.991455	-77.220802
35.664368	-77.094513
36.337280	-75.851868
37.010193	-76.516113
37.683105	-74.939774
38.356018	-76.638153
39.028931	-76.585953
39.701843	-75.213089
40.374756	-75.041412
41.047668	-74.648720
41.720581	-73.041672
42.393494	-74.040703
43.066406	-74.950020
43.739319	-74.080032
44.412231	-74.304878
45.085144	-72.356804
45.758057	-73.390511
46.430969	-71.040367
47.103882	-72.857643
47.776794	-72.883583
48.449707	-71.792671
49.122620	-71.493149
49.795532	-70.309830
50.468445	-69.055145
51.141357	-68.962349
51.814270	-68.805115
52.487183	-69.781754
53.160095	-68.904915
53.833008	-68.586479
54.505920	-67.841454
55.178833	-66.728386
55.851746	-68.032280
56.524658	-66.027939
57.197571	-68.435722
57.870483	-66.249771
58.543396	-65.618591
59.216309	-64.882050
59.889221	-64.333282
60.562134	-64.845490
61.235046	-63.436680
61.907959	-65.053589
62.580872	-64.830368
63.253784	-62.697929
63.926697	-63.426006
64.599609	-66.715782
65.272522	-67.727318
65.945435	-68.074135
66.618347	-67.974236
67.291260	-66.963318
67.964172	-67.887482
68.637085	-68.116013
69.309998	-66.856834
69.982910	-65.406227
70.655823	-64.300789
71.328735	-64.523590
72.001648	-64.808586
72.674561	-64.189186
73.347473	-62.727940
74.020386	-61.295559
74.693298	-63.024117
75.366211	-61.248650
76.039124	-62.800003
76.712036	-62.549938
77.384949	-64.588715
78.057861	-65.372673
78.730774	-64.274834
79.403687	-65.464378
80.076599	-65.603073
80.749512	-66.073395
81.422424	-66.160294
82.095337	-66.225655
82.768250	-66.726395
83.441162	-64.646965
84.114075	-61.837791
84.786987	-60.549454
85.459900	-59.315155
86.132812	-58.624924
86.805725	-59.050743
87.478638	-60.642281
88.151550	-63.691463
88.824463	-61.762901
89.497375	-61.333961
90.170288	-60.550182
90.843201	-61.706783
91.516113	-62.880871
92.189026	-63.309521
92.861938	-64.855301
93.534851	-62.430500
94.207764	-65.910240
94.880676	-65.113876
95.553589	-65.420143
96.226501	-65.087997
96.899414	-64.788879
97.572327	-65.182037
98.245239	-66.148048
98.918152	-65.432121
99.591064	-67.137421
100.263977	-67.221558
100.936890	-65.524986
101.609802	-64.456711
102.282715	-62.583630
102.955627	-62.871521
103.628540	-60.853481
104.301453	-60.082569
104.974365	-59.479755
105.647278	-58.268608
106.320190	-60.012650
106.993103	-60.784870
107.666016	-60.849987
108.338928	-61.664043
109.011841	-61.183823
109.684753	-61.970615
110.357666	-61.217232
111.030579	-61.755894
111.703491	-59.614410
112.376404	-59.132145
113.049316	-56.882996
113.722229	-50.732121
114.395142	-49.948921
115.068054	-54.920372
115.740967	-57.078510
116.413879	-58.040497
117.086792	-56.785091
117.759705	-58.727654
118.432617	-57.266727
119.105530	-57.237610
119.778442	-57.586201
120.451355	-56.444305
121.124268	-56.734203
121.797180	-57.367748
122.470093	-58.018353
123.143005	-58.374393
123.815918	-58.851608
124.488831	-59.179668
125.161743	-57.970768
125.834656	-57.038841
126.507568	-54.558311
127.180481	-55.651245
127.853394	-55.786446
128.526306	-56.072563
129.199219	-56.356361
129.872131	-56.118763
130.545044	-55.183727
131.217957	-55.851574
131.890869	-55.696541
132.563782	-57.006828
133.236694	-56.691902
133.909607	-55.707596
134.582520	-57.544621
135.255432	-59.885433
135.928345	-60.087418
136.601257	-59.679024
137.274170	-59.659119
137.947083	-59.734550
138.619995	-61.857372
139.292908	-61.056782
139.965820	-59.598095
140.638733	-61.893776
141.311646	-61.777191
141.984558	-61.943447
142.657471	-61.391380
143.330383	-59.735756
144.003296	-59.783566
144.676208	-59.608028
145.349121	-59.680328
146.022034	-58.501297
146.694946	-57.244762
147.367859	-57.227524
148.040771	-60.430302
148.713684	-60.335930
149.386597	-59.726498
150.059509	-61.080463
150.732422	-61.157429
151.405334	-61.992146
152.078247	-61.967815
152.751160	-62.300297
153.424072	-63.683647
154.096985	-63.927383
154.769897	-62.873760
155.442810	-63.888981
156.115723	-63.596653
156.788635	-63.367954
157.461548	-61.850494
158.134460	-61.876740
158.807373	-65.290054
159.480286	-63.782028
160.153198	-65.793045
160.826111	-65.440369
161.499023	-65.750458
162.171936	-66.538490
162.844849	-66.133804
163.517761	-66.144554
164.190674	-66.225372
164.863586	-66.939964
165.536499	-66.774521
166.209412	-66.618431
166.882324	-65.638596
167.555237	-66.268738
168.228149	-67.430130
168.901062	-66.188881
169.573975	-67.313911
170.246887	-67.503296
170.919800	-65.815269
171.592712	-66.208977
172.265625	-67.412254
172.938538	-64.740280
173.611450	-68.700226
174.284363	-67.443840
174.957275	-67.457870
175.630188	-66.339600
176.303101	-64.385101
176.976013	-64.424614
177.648926	-64.846260
178.321838	-64.897758
178.994751	-65.061691
179.667664	-66.908432
180.340576	-66.299454
181.013489	-69.444214
181.686401	-69.486847
182.359314	-70.648598
183.032227	-70.360825
183.705139	-72.100525
184.378052	-72.598755
185.050964	-71.780540
185.723877	-73.156960
186.396790	-72.688309
187.069702	-72.534172
187.742615	-73.806404
188.415527	-74.093712
189.088440	-75.069496
189.761353	-75.019020
190.434265	-74.251526
191.107178	-73.755646
191.780090	-74.094528
192.453003	-73.755356
193.125916	-74.912163
193.798828	-73.879234
194.471741	-73.195198
195.144653	-73.288162
195.817566	-73.568794
196.490479	-72.414688
197.163391	-72.487534
197.836304	-72.401588
198.509216	-71.798996
199.182129	-73.132423
199.855042	-72.014465
200.527954	-73.350494
201.200867	-74.293106
201.873779	-73.716194
202.546692	-72.933716
203.219604	-72.875557
203.892517	-73.377594
204.565430	-73.015442
205.238342	-73.588722
205.911255	-73.485298
206.584167	-72.004288
207.257080	-72.596153
207.929993	-72.919991
208.602905	-72.502907
209.275818	-74.340416
209.948730	-72.849739
210.621643	-73.613083
211.294556	-72.541565
211.967468	-73.038033
212.640381	-70.579369
213.313293	-72.077209
213.986206	-74.160362
214.659119	-73.496262
215.332031	-73.022751
216.004944	-74.736710
216.677856	-74.632240
217.350769	-75.025398
218.023682	-75.355156
218.696594	-73.800407
219.369507	-74.251419
220.042419	-74.411285
220.715332	-75.409348
221.388245	-75.684212
222.061157	-75.383156
222.734070	-75.449440
223.406982	-75.312241
224.079895	-76.124435
224.752808	-75.961227
225.425720	-74.797974
226.098633	-75.895927
226.771545	-75.570343
227.444458	-75.097435
228.117371	-75.221336
228.790283	-75.750336
229.463196	-75.261749
230.136108	-75.496338
230.809021	-74.601524
