Frequency (Hz)	Level (dB)
0.672913	-86.415733
1.345825	-86.380035
2.018738	-86.401527
2.691650	-86.386749
3.364563	-86.290382
4.037476	-86.234406
4.710388	-86.267151
5.383301	-86.141708
6.056213	-86.187675
6.729126	-85.820786
7.402039	-85.969368
8.074951	-85.993286
8.747864	-85.713310
9.420776	-85.296738
10.093689	-85.121368
10.766602	-85.304268
11.439514	-84.041458
12.112427	-84.350266
12.785339	-83.757027
13.458252	-83.136147
14.131165	-84.097847
14.804077	-83.193024
15.476990	-82.388733
16.149902	-82.159393
16.822815	-82.868759
17.495728	-82.668495
18.168640	-81.838142
18.841553	-80.800514
19.514465	-81.138481
20.187378	-81.267342
20.860291	-78.390915
21.533203	-79.009033
22.206116	-79.154312
22.879028	-76.408470
23.551941	-77.367172
24.224854	-76.521790
24.897766	-78.183174
25.570679	-76.999847
26.243591	-76.044075
26.916504	-76.266998
27.589417	-75.639534
28.262329	-75.585915
28.935242	-75.775063
29.608154	-71.046135
30.281067	-74.514015
30.953979	-74.697052
31.626892	-73.722855
32.299805	-75.185410
32.972717	-74.815849
33.645630	-73.011536
34.318542	-73.961662
34.991455	-73.090202
35.664368	-73.230148
36.337280	-69.672348
37.010193	-70.593521
37.683105	-71.981720
38.356018	-71.247101
39.028931	-71.013878
39.701843	-69.149162
40.374756	-70.013741
41.047668	-67.723930
41.720581	-67.185829
42.393494	-66.375374
43.066406	-66.557159
43.739319	-64.536842
44.412231	-65.282043
45.085144	-65.749763
45.758057	-65.850334
46.430969	-62.577145
47.103882	-62.659016
47.776794	-62.578804
48.449707	-62.377739
49.122620	-60.990379
49.795532	-59.200947
50.468445	-57.613159
51.141357	-57.324333
51.814270	-56.548851
52.487183	-56.911800
53.160095	-54.285217
53.833008	-54.325817
54.505920	-53.087933
55.178833	-52.698589
55.851746	-53.127117
56.524658	-51.808952
57.197571	-51.828762
57.870483	-51.469963
58.543396	-51.572769
59.216309	-51.735081
59.889221	-53.250744
60.562134	-51.975834
61.235046	-53.024574
61.907959	-52.785976
62.580872	-51.471489
63.253784	-51.409843
63.926697	-52.240002
64.599609	-57.425953
65.272522	-59.334660
65.945435	-58.220524
66.618347	-58.777771
67.291260	-59.761818
67.964172	-61.304848
68.637085	-59.650520
69.309998	-59.996666
69.982910	-59.548637
70.655823	-60.383186
71.328735	-59.517876
72.001648	-60.940990
72.674561	-59.982872
73.347473	-58.392479
74.020386	-58.680679
74.693298	-58.395382
75.366211	-60.094296
76.039124	-60.029247
76.712036	-60.902313
77.384949	-63.467155
78.057861	-64.673164
78.730774	-65.471451
79.403687	-66.140305
80.076599	-66.369072
80.749512	-65.708420
81.422424	-66.343605
82.095337	-67.911064
82.768250	-66.220367
83.441162	-64.164459
84.114075	-62.825729
84.786987	-60.695889
85.459900	-63.545635
86.132812	-61.232353
86.805725	-60.856602
87.478638	-63.340523
88.151550	-64.804512
88.824463	-64.675377
89.497375	-64.392471
90.170288	-64.424355
90.843201	-64.716240
91.516113	-66.026627
92.189026	-68.545685
92.861938	-68.206200
93.534851	-68.613571
94.207764	-71.049988
94.880676	-71.195763
95.553589	-70.093689
96.226501	-71.575005
96.899414	-70.990883
97.572327	-72.187447
98.245239	-72.728188
98.918152	-70.792282
99.591064	-72.299408
100.263977	-73.014244
100.936890	-72.535187
101.609802	-72.413368
102.282715	-70.918671
102.955627	-70.810066
103.628540	-68.501175
104.301453	-69.712357
104.974365	-68.928368
105.647278	-69.024483
106.320190	-70.063164
106.993103	-69.601959
