Frequency (Hz)	Level (dB)
0.672913	-84.910423
1.345825	-84.982048
2.018738	-85.029343
2.691650	-84.911011
3.364563	-84.954369
4.037476	-85.005836
4.710388	-84.839165
5.383301	-85.070450
6.056213	-84.589027
6.729126	-84.920876
7.402039	-84.449890
8.074951	-84.403221
8.747864	-84.261063
9.420776	-83.516129
10.093689	-83.448326
10.766602	-82.790375
11.439514	-81.809105
12.112427	-84.037743
12.785339	-81.760208
13.458252	-81.805473
14.131165	-80.883698
14.804077	-79.713036
15.476990	-80.109116
16.149902	-79.241402
16.822815	-78.733253
17.495728	-79.433929
18.168640	-80.659492
18.841553	-77.332947
19.514465	-80.019768
20.187378	-78.685204
20.860291	-76.883781
21.533203	-75.922081
22.206116	-74.997055
22.879028	-74.747864
23.551941	-72.390762
24.224854	-72.650536
24.897766	-74.326683
25.570679	-72.761772
26.243591	-71.485359
26.916504	-71.282318
27.589417	-71.675819
28.262329	-70.351715
28.935242	-71.890846
29.608154	-68.884415
30.281067	-70.222725
30.953979	-69.106819
31.626892	-67.107079
32.299805	-69.030006
32.972717	-68.971756
33.645630	-65.596245
34.318542	-65.539497
34.991455	-65.770065
35.664368	-66.055336
36.337280	-64.181160
37.010193	-65.054840
37.683105	-63.894001
38.356018	-64.160088
39.028931	-65.864143
39.701843	-65.182198
40.374756	-64.647209
41.047668	-63.366131
41.720581	-63.790428
42.393494	-65.141228
43.066406	-63.565117
43.739319	-63.722675
44.412231	-63.578716
45.085144	-61.684849
45.758057	-61.385769
46.430969	-62.496841
47.103882	-62.087029
47.776794	-60.316135
48.449707	-59.313595
49.122620	-59.269108
49.795532	-60.338844
50.468445	-58.465313
51.141357	-58.681065
51.814270	-60.031021
52.487183	-58.512672
53.160095	-58.233093
53.833008	-55.850876
54.505920	-57.112930
55.178833	-57.619068
55.851746	-58.012184
56.524658	-57.655361
57.197571	-56.649864
57.870483	-57.781761
58.543396	-58.371181
59.216309	-57.384773
59.889221	-55.007591
60.562134	-54.663425
61.235046	-56.825714
61.907959	-56.101803
62.580872	-53.732307
63.253784	-54.201614
63.926697	-55.891899
64.599609	-57.522247
65.272522	-57.006523
65.945435	-54.433208
66.618347	-57.050152
67.291260	-56.306934
67.964172	-55.396130
68.637085	-56.787495
69.309998	-55.934334
69.982910	-56.418556
70.655823	-55.005390
71.328735	-56.889229
72.001648	-56.154015
72.674561	-56.478096
73.347473	-54.039848
74.020386	-55.742325
74.693298	-55.191673
75.366211	-55.336407
76.039124	-57.169437
76.712036	-55.077511
77.384949	-57.797283
78.057861	-56.870899
78.730774	-57.625019
79.403687	-55.502281
80.076599	-57.750114
80.749512	-57.346630
81.422424	-55.069778
82.095337	-55.217224
82.768250	-57.536358
83.441162	-58.701115
84.114075	-55.738598
84.786987	-55.669121
85.459900	-55.925903
86.132812	-56.169132
86.805725	-55.766624
87.478638	-57.668396
88.151550	-57.313736
88.824463	-53.990135
89.497375	-57.143486
90.170288	-56.664928
90.843201	-56.856510
91.516113	-58.676079
92.189026	-57.441647
92.861938	-56.315769
93.534851	-57.542515
94.207764	-57.728863
94.880676	-58.631420
95.553589	-57.709694
96.226501	-58.287537
96.899414	-57.736279
97.572327	-59.079723
98.245239	-56.752106
98.918152	-57.894493
99.591064	-58.755966
100.263977	-57.958214
100.936890	-57.947968
101.609802	-57.494900
102.282715	-57.972435
102.955627	-57.055447
103.628540	-59.760830
104.301453	-56.364372
104.974365	-56.450275
105.647278	-57.568714
106.320190	-57.222443
106.993103	-56.092308
107.666016	-55.540768
108.338928	-57.769272
109.011841	-59.584305
109.684753	-58.019806
110.357666	-58.221127
111.030579	-58.497311
111.703491	-57.618862
112.376404	-57.763172
113.049316	-57.668068
113.722229	-57.849533
114.395142	-56.690369
115.068054	-58.937714
115.740967	-55.605808
116.413879	-58.179729
117.086792	-57.291183
117.759705	-57.154839
118.432617	-59.437546
119.105530	-57.965290
119.778442	-57.725544
120.451355	-58.369408
121.124268	-59.070213
121.797180	-58.104443
122.470093	-57.034359
123.143005	-57.851452
123.815918	-58.351452
124.488831	-58.552238
125.161743	-58.478756
125.834656	-57.743958
126.507568	-56.646683
127.180481	-58.475410
127.853394	-58.004158
128.526306	-57.855927
129.199219	-56.810745
129.872131	-57.699589
130.545044	-57.648956
131.217957	-55.767155
131.890869	-57.913612
132.563782	-56.977783
133.236694	-59.323330
133.909607	-57.299889
134.582520	-57.288193
135.255432	-60.731400
135.928345	-58.853783
136.601257	-58.445610
137.274170	-58.370411
137.947083	-59.192474
138.619995	-60.282280
139.292908	-56.859577
139.965820	-58.008820
140.638733	-58.208817
141.311646	-57.322262
141.984558	-57.658894
142.657471	-59.430626
143.330383	-58.413174
144.003296	-58.621155
144.676208	-56.172565
145.349121	-58.453632
146.022034	-57.287106
146.694946	-59.282440
147.367859	-57.596180
148.040771	-57.480518
148.713684	-57.253819
149.386597	-57.600811
150.059509	-58.186005
150.732422	-58.923588
151.405334	-57.246830
152.078247	-58.070618
152.751160	-57.305202
153.424072	-57.614059
154.096985	-56.750156
154.769897	-57.691662
155.442810	-56.983330
156.115723	-58.053974
156.788635	-58.519264
157.461548	-56.984291
158.134460	-57.007698
158.807373	-56.820408
159.480286	-55.708260
160.153198	-58.209435
160.826111	-56.224419
161.499023	-58.533794
162.171936	-56.907040
162.844849	-58.180790
163.517761	-58.423450
164.190674	-58.378456
164.863586	-58.178581
165.536499	-57.229244
166.209412	-57.635433
166.882324	-56.905945
167.555237	-57.210258
168.228149	-57.099632
168.901062	-56.676201
169.573975	-55.731319
170.246887	-58.783257
170.919800	-58.841213
171.592712	-55.996132
172.265625	-55.995071
172.938538	-57.462738
173.611450	-57.399567
174.284363	-56.920185
174.957275	-57.981632
175.630188	-57.851330
176.303101	-58.516884
176.976013	-57.657516
177.648926	-56.683205
178.321838	-57.476887
178.994751	-56.605755
179.667664	-56.986290
180.340576	-58.624084
181.013489	-59.538654
181.686401	-59.192673
182.359314	-60.064186
183.032227	-59.784969
183.705139	-59.741077
184.378052	-59.389324
185.050964	-60.209183
185.723877	-60.043644
186.396790	-61.410458
187.069702	-60.081295
187.742615	-61.350487
188.415527	-60.631706
189.088440	-60.893688
189.761353	-60.128864
190.434265	-59.499264
191.107178	-61.569931
191.780090	-60.810802
192.453003	-59.893055
193.125916	-58.001270
193.798828	-60.405342
194.471741	-59.820480
195.144653	-59.011402
195.817566	-60.361038
196.490479	-64.764435
197.163391	-61.365063
197.836304	-61.184807
198.509216	-61.461063
199.182129	-61.434654
199.855042	-61.955772
200.527954	-61.149075
201.200867	-61.772537
201.873779	-61.606888
202.546692	-60.615322
203.219604	-61.883690
203.892517	-61.942455
204.565430	-60.829884
205.238342	-62.526379
