Frequency (Hz)	Level (dB)
0.672913	-88.459938
1.345825	-88.375465
2.018738	-88.413643
2.691650	-88.401199
3.364563	-88.206184
4.037476	-88.189018
4.710388	-88.339073
5.383301	-88.485130
6.056213	-87.595123
6.729126	-87.662918
7.402039	-87.963844
8.074951	-87.710724
8.747864	-87.607788
9.420776	-87.322357
10.093689	-87.495506
10.766602	-85.327812
11.439514	-86.388733
12.112427	-85.143265
12.785339	-86.106277
13.458252	-84.449005
14.131165	-84.735039
14.804077	-85.077972
15.476990	-85.039246
16.149902	-85.280045
16.822815	-83.218857
17.495728	-83.615471
18.168640	-81.958801
18.841553	-80.708015
19.514465	-81.843300
20.187378	-80.607529
20.860291	-80.471725
21.533203	-79.378181
22.206116	-78.450897
22.879028	-77.567711
23.551941	-76.580078
24.224854	-77.563797
24.897766	-78.678772
25.570679	-78.264839
26.243591	-75.509964
26.916504	-76.242538
27.589417	-75.346191
28.262329	-75.751915
28.935242	-74.846489
29.608154	-71.938904
30.281067	-76.968513
30.953979	-76.079483
31.626892	-75.211426
32.299805	-74.425987
32.972717	-74.181313
33.645630	-73.791786
34.318542	-74.803185
34.991455	-72.734825
35.664368	-72.351288
36.337280	-70.379387
37.010193	-71.443932
37.683105	-71.547661
38.356018	-72.995178
39.028931	-72.527237
39.701843	-70.806496
40.374756	-70.099709
41.047668	-68.529213
41.720581	-66.798882
42.393494	-66.944977
43.066406	-64.969833
43.739319	-65.430115
44.412231	-65.117165
45.085144	-65.956100
45.758057	-65.275810
46.430969	-62.293045
47.103882	-64.665504
47.776794	-64.243004
48.449707	-61.466045
49.122620	-59.298676
49.795532	-58.988995
50.468445	-56.803261
51.141357	-57.724621
51.814270	-59.338703
52.487183	-56.554050
53.160095	-53.625282
53.833008	-55.212433
54.505920	-54.906525
55.178833	-55.331158
55.851746	-52.825741
56.524658	-51.561924
57.197571	-53.754059
57.870483	-52.695988
58.543396	-51.978928
59.216309	-50.445087
59.889221	-50.669769
60.562134	-54.293701
61.235046	-52.895481
61.907959	-52.445953
62.580872	-52.086834
63.253784	-50.831657
63.926697	-54.101921
64.599609	-56.775307
65.272522	-58.422142
65.945435	-59.612129
66.618347	-59.542831
67.291260	-61.634403
67.964172	-61.009869
68.637085	-61.391422
69.309998	-59.871593
69.982910	-61.032043
70.655823	-59.005127
71.328735	-59.919266
72.001648	-61.757946
72.674561	-58.642006
73.347473	-58.176296
74.020386	-60.062962
74.693298	-56.981995
75.366211	-59.118805
76.039124	-59.953312
76.712036	-62.066013
77.384949	-61.272659
78.057861	-63.315605
78.730774	-64.502472
79.403687	-66.729012
80.076599	-64.927422
80.749512	-65.162445
81.422424	-66.976791
82.095337	-66.993469
82.768250	-68.091743
83.441162	-66.829033
84.114075	-62.801601
84.786987	-60.303551
85.459900	-63.541981
86.132812	-62.180054
86.805725	-61.538383
87.478638	-62.770500
88.151550	-65.796799
88.824463	-64.415527
89.497375	-62.430542
90.170288	-66.431335
90.843201	-65.428192
91.516113	-67.420715
92.189026	-69.150742
92.861938	-69.652481
93.534851	-68.144539
94.207764	-71.072495
94.880676	-69.280396
95.553589	-70.513985
96.226501	-69.971672
96.899414	-71.847122
97.572327	-71.414146
98.245239	-72.722565
98.918152	-73.402504
99.591064	-72.420998
100.263977	-72.996811
100.936890	-71.667786
101.609802	-73.323097
102.282715	-70.185913
102.955627	-68.647247
103.628540	-70.521919
104.301453	-68.924660
104.974365	-68.946754
105.647278	-70.720131
106.320190	-70.781616
106.993103	-71.767952
107.666016	-73.448853
108.338928	-70.092720
109.011841	-73.027893
109.684753	-73.144241
110.357666	-72.964043
111.030579	-72.178207
111.703491	-73.634148
112.376404	-70.130486
113.049316	-68.567917
113.722229	-66.609344
114.395142	-63.697590
115.068054	-69.038605
115.740967	-69.454956
116.413879	-71.731506
117.086792	-72.869308
117.759705	-73.491013
118.432617	-71.474983
119.105530	-72.232094
119.778442	-69.394875
120.451355	-68.828926
121.124268	-68.153015
121.797180	-72.556900
122.470093	-72.549324
123.143005	-73.435425
123.815918	-74.091660
124.488831	-75.425400
125.161743	-73.433578
125.834656	-71.897278
126.507568	-73.201729
127.180481	-71.842323
127.853394	-70.827103
128.526306	-71.434990
129.199219	-70.372437
129.872131	-72.968513
130.545044	-72.415955
131.217957	-71.779053
131.890869	-72.336952
132.563782	-73.340187
133.236694	-70.284149
133.909607	-72.206123
134.582520	-72.442108
135.255432	-74.035812
135.928345	-73.422318
136.601257	-73.738396
137.274170	-72.056091
137.947083	-73.958008
138.619995	-74.136040
139.292908	-73.437340
139.965820	-69.595215
140.638733	-72.174454
141.311646	-73.347298
141.984558	-73.718536
142.657471	-71.301872
143.330383	-70.503242
144.003296	-69.720917
