Frequency (Hz)	Level (dB)
0.672913	-86.548203
1.345825	-86.580101
2.018738	-86.487823
2.691650	-86.657967
3.364563	-86.547577
4.037476	-86.470451
4.710388	-86.634552
5.383301	-86.307167
6.056213	-86.353920
6.729126	-85.721687
7.402039	-85.779243
8.074951	-85.702087
8.747864	-85.843399
9.420776	-85.017868
10.093689	-85.429131
10.766602	-84.245834
11.439514	-83.561584
12.112427	-83.027176
12.785339	-82.945900
13.458252	-82.411934
14.131165	-83.078949
14.804077	-82.061218
15.476990	-81.506851
16.149902	-81.884270
16.822815	-80.508583
17.495728	-80.822220
18.168640	-79.570358
18.841553	-78.848114
19.514465	-80.609001
20.187378	-81.192863
20.860291	-79.091354
21.533203	-78.264107
22.206116	-78.221115
22.879028	-75.822182
23.551941	-75.873299
24.224854	-77.136261
24.897766	-77.359673
25.570679	-75.704414
26.243591	-77.237190
26.916504	-76.718636
27.589417	-74.862991
28.262329	-74.279755
28.935242	-75.696983
29.608154	-71.995178
30.281067	-74.867996
30.953979	-74.116188
31.626892	-74.043938
32.299805	-73.264168
32.972717	-73.765442
33.645630	-73.135757
34.318542	-72.359001
34.991455	-72.534492
35.664368	-71.803421
36.337280	-71.602913
37.010193	-71.587753
37.683105	-70.829674
38.356018	-70.984535
39.028931	-70.370613
39.701843	-70.207443
40.374756	-67.520576
41.047668	-67.309120
41.720581	-66.792427
42.393494	-65.817307
43.066406	-66.139465
43.739319	-65.445213
44.412231	-63.875832
45.085144	-64.122879
45.758057	-63.624260
46.430969	-62.772133
47.103882	-63.143784
47.776794	-62.778358
48.449707	-61.419357
49.122620	-61.291100
49.795532	-59.501259
50.468445	-58.422447
51.141357	-57.306465
51.814270	-56.949150
52.487183	-56.857800
53.160095	-56.293781
53.833008	-54.409271
54.505920	-52.929657
55.178833	-54.909122
55.851746	-52.647724
56.524658	-53.219910
57.197571	-52.185528
57.870483	-53.078499
58.543396	-53.329681
59.216309	-51.527981
59.889221	-51.024185
60.562134	-51.567547
61.235046	-53.235188
61.907959	-50.198578
62.580872	-50.833317
63.253784	-51.420353
63.926697	-53.906517
64.599609	-56.587902
65.272522	-58.973049
65.945435	-59.517719
66.618347	-58.386639
67.291260	-59.156017
67.964172	-61.852955
68.637085	-61.562374
69.309998	-60.728252
69.982910	-60.541439
70.655823	-59.373451
71.328735	-59.083714
72.001648	-61.086712
72.674561	-60.038338
73.347473	-58.485104
74.020386	-58.765610
74.693298	-58.411247
75.366211	-59.707615
76.039124	-60.040466
76.712036	-61.894096
77.384949	-61.803905
78.057861	-62.758034
78.730774	-65.123932
79.403687	-66.826668
80.076599	-65.942261
80.749512	-65.756912
81.422424	-65.794899
82.095337	-65.625755
82.768250	-65.898750
83.441162	-65.283203
84.114075	-62.402660
84.786987	-60.764137
85.459900	-63.723469
86.132812	-60.704849
86.805725	-61.113346
87.478638	-63.547592
88.151550	-64.329582
88.824463	-65.262085
89.497375	-64.956749
90.170288	-63.489922
90.843201	-63.812180
91.516113	-65.840218
92.189026	-66.851715
92.861938	-68.173927
93.534851	-69.128181
