Frequency (Hz)	Level (dB)
0.672913	-84.949463
1.345825	-84.877678
2.018738	-84.863892
2.691650	-84.774429
3.364563	-84.395561
4.037476	-84.339058
4.710388	-84.601860
5.383301	-83.936493
6.056213	-83.334328
6.729126	-82.834259
7.402039	-83.456871
8.074951	-82.415108
8.747864	-81.949684
9.420776	-81.396339
10.093689	-80.467865
10.766602	-77.496300
11.439514	-77.761513
12.112427	-76.628136
12.785339	-76.741829
13.458252	-76.546219
14.131165	-75.995865
14.804077	-75.332138
15.476990	-73.751701
16.149902	-73.329353
16.822815	-72.806595
17.495728	-72.937469
18.168640	-72.150322
18.841553	-71.739799
19.514465	-71.531761
20.187378	-70.492439
20.860291	-69.818520
21.533203	-69.945473
22.206116	-68.961533
22.879028	-68.370277
23.551941	-67.076248
24.224854	-67.441841
24.897766	-67.458199
25.570679	-66.963524
26.243591	-65.915985
26.916504	-64.951736
27.589417	-65.447189
28.262329	-66.962524
28.935242	-65.707909
29.608154	-66.003227
30.281067	-64.269295
30.953979	-64.345650
31.626892	-64.722115
32.299805	-64.734444
32.972717	-64.688507
33.645630	-63.575283
34.318542	-63.765038
34.991455	-62.470829
35.664368	-63.768433
36.337280	-61.474281
37.010193	-63.475815
37.683105	-62.852722
38.356018	-63.061211
39.028931	-63.291340
39.701843	-62.449516
40.374756	-61.349220
41.047668	-62.296700
41.720581	-63.017616
42.393494	-61.266438
43.066406	-60.426964
43.739319	-62.210678
44.412231	-60.546204
45.085144	-60.399654
45.758057	-60.283302
46.430969	-58.614079
47.103882	-61.015022
47.776794	-62.403973
48.449707	-60.202454
49.122620	-60.895790
49.795532	-60.265949
50.468445	-60.821011
51.141357	-59.741867
51.814270	-59.914600
52.487183	-58.133457
53.160095	-58.990902
53.833008	-58.280228
54.505920	-59.533176
55.178833	-58.275314
55.851746	-57.897263
56.524658	-58.187492
57.197571	-58.946945
57.870483	-57.731262
58.543396	-58.679314
59.216309	-59.168659
59.889221	-59.050316
60.562134	-57.525700
61.235046	-56.306538
61.907959	-57.943283
62.580872	-56.733269
63.253784	-56.351730
63.926697	-56.678539
64.599609	-57.784164
65.272522	-58.530571
65.945435	-59.775097
66.618347	-60.377331
67.291260	-58.685471
67.964172	-58.289783
68.637085	-59.557858
69.309998	-58.027237
69.982910	-57.720654
70.655823	-58.336010
71.328735	-57.679260
72.001648	-57.347385
72.674561	-58.648151
73.347473	-57.217228
74.020386	-55.939114
74.693298	-55.997215
75.366211	-56.301918
76.039124	-56.862705
76.712036	-57.933250
77.384949	-56.874516
78.057861	-59.143318
78.730774	-57.125916
79.403687	-57.995197
80.076599	-58.099174
80.749512	-58.387581
81.422424	-57.611359
82.095337	-58.760189
82.768250	-58.576946
83.441162	-57.660912
84.114075	-56.387955
84.786987	-56.085899
85.459900	-56.519699
86.132812	-56.527237
86.805725	-56.748714
87.478638	-56.261337
88.151550	-57.239002
88.824463	-58.056862
89.497375	-57.317287
90.170288	-56.683170
90.843201	-57.728035
91.516113	-58.505264
92.189026	-58.254005
92.861938	-58.451244
93.534851	-58.990288
94.207764	-58.745029
94.880676	-58.774891
95.553589	-59.775311
96.226501	-58.302994
96.899414	-57.237885
97.572327	-59.503330
98.245239	-57.752094
98.918152	-58.972321
99.591064	-59.240913
100.263977	-58.847374
100.936890	-59.862591
101.609802	-58.413979
102.282715	-57.721947
102.955627	-58.364754
103.628540	-59.305176
104.301453	-59.060696
104.974365	-59.441536
105.647278	-58.221596
106.320190	-58.277462
106.993103	-58.725864
107.666016	-58.136749
108.338928	-59.428493
109.011841	-59.431660
109.684753	-58.266621
110.357666	-58.366611
111.030579	-58.863735
111.703491	-59.428341
112.376404	-59.291077
113.049316	-58.609673
113.722229	-55.209663
114.395142	-54.465919
115.068054	-57.053841
115.740967	-58.014935
116.413879	-57.581760
117.086792	-58.838890
117.759705	-59.512901
118.432617	-60.317757
119.105530	-60.234993
119.778442	-58.733082
120.451355	-59.530621
121.124268	-57.773609
121.797180	-57.802570
122.470093	-58.656799
123.143005	-59.189240
123.815918	-57.861073
124.488831	-59.533382
125.161743	-60.167370
125.834656	-59.069252
126.507568	-59.557629
127.180481	-58.920277
127.853394	-58.705193
128.526306	-59.381317
129.199219	-58.385674
129.872131	-58.935390
130.545044	-58.757023
131.217957	-59.242363
131.890869	-59.017044
132.563782	-60.319874
133.236694	-59.725231
133.909607	-60.888138
134.582520	-61.059273
135.255432	-60.933655
135.928345	-60.068535
136.601257	-60.507927
137.274170	-59.385700
137.947083	-60.786343
138.619995	-61.049530
139.292908	-59.753365
139.965820	-60.346199
140.638733	-61.126858
141.311646	-60.552227
141.984558	-60.030849
142.657471	-60.354206
143.330383	-61.026260
144.003296	-60.257832
144.676208	-60.376072
145.349121	-59.870575
146.022034	-58.935741
146.694946	-58.647617
147.367859	-60.003525
148.040771	-59.794823
148.713684	-59.018715
149.386597	-60.657539
150.059509	-60.983456
