Frequency (Hz)	Level (dB)
0.672913	-92.689301
1.345825	-92.709961
2.018738	-92.680740
2.691650	-92.734314
3.364563	-92.944565
4.037476	-91.669594
4.710388	-92.873322
5.383301	-91.594666
6.056213	-90.079445
6.729126	-90.349510
7.402039	-90.152313
8.074951	-90.064720
8.747864	-89.503578
9.420776	-88.128510
10.093689	-87.741974
10.766602	-86.532066
11.439514	-84.742058
12.112427	-85.493874
12.785339	-85.015091
13.458252	-82.560555
14.131165	-83.547279
14.804077	-82.992409
15.476990	-83.115150
16.149902	-81.577026
16.822815	-81.294899
17.495728	-83.259972
18.168640	-81.738358
18.841553	-79.158615
19.514465	-82.375328
20.187378	-80.825401
20.860291	-80.553223
21.533203	-80.112816
22.206116	-77.703308
22.879028	-76.831779
23.551941	-77.479729
24.224854	-77.389458
24.897766	-77.890846
25.570679	-75.759689
26.243591	-76.789917
26.916504	-77.209045
27.589417	-75.345512
28.262329	-75.872849
28.935242	-76.249100
29.608154	-73.977814
30.281067	-77.565811
30.953979	-75.213623
31.626892	-75.196121
32.299805	-75.957573
32.972717	-75.829185
33.645630	-76.025658
34.318542	-75.103104
34.991455	-73.552734
35.664368	-74.853523
36.337280	-74.260391
37.010193	-75.268333
37.683105	-74.572006
38.356018	-74.516243
39.028931	-74.929901
39.701843	-74.341438
40.374756	-74.357788
41.047668	-73.833954
41.720581	-72.450157
42.393494	-71.917656
43.066406	-73.392273
43.739319	-72.446373
44.412231	-72.553276
45.085144	-72.426003
45.758057	-72.512222
46.430969	-71.264748
47.103882	-72.692642
47.776794	-71.128700
48.449707	-71.074188
49.122620	-69.900711
49.795532	-68.355103
50.468445	-68.312355
51.141357	-67.752113
51.814270	-69.334183
52.487183	-68.379921
53.160095	-67.908272
53.833008	-68.142197
54.505920	-67.256546
55.178833	-66.056145
55.851746	-66.684273
56.524658	-64.504646
57.197571	-65.549934
57.870483	-64.419540
58.543396	-65.306465
59.216309	-64.455727
59.889221	-64.235512
60.562134	-63.962822
61.235046	-63.448349
61.907959	-63.369740
62.580872	-62.047874
63.253784	-61.806881
63.926697	-64.226471
64.599609	-66.524620
65.272522	-68.327240
65.945435	-68.700073
66.618347	-67.488129
67.291260	-69.124176
67.964172	-68.112709
68.637085	-67.330780
69.309998	-66.343231
69.982910	-65.776192
70.655823	-64.397804
71.328735	-63.367512
72.001648	-64.804634
72.674561	-63.909729
73.347473	-63.080036
74.020386	-63.084419
74.693298	-63.012516
75.366211	-63.617420
76.039124	-62.577316
76.712036	-62.680534
77.384949	-64.431480
78.057861	-65.083702
78.730774	-64.677635
79.403687	-66.404930
80.076599	-66.291176
80.749512	-65.785255
81.422424	-66.219780
82.095337	-66.041931
82.768250	-66.361412
83.441162	-62.975792
84.114075	-63.344921
84.786987	-61.606323
85.459900	-62.754940
86.132812	-61.494995
86.805725	-60.865025
87.478638	-62.441025
88.151550	-63.064487
88.824463	-61.868217
89.497375	-61.393177
90.170288	-61.887459
90.843201	-61.475956
91.516113	-62.076351
92.189026	-62.880878
92.861938	-64.033295
93.534851	-63.369350
94.207764	-62.910332
94.880676	-65.352028
95.553589	-66.481850
96.226501	-65.881584
96.899414	-66.130524
97.572327	-65.635094
98.245239	-66.077866
98.918152	-64.063896
99.591064	-63.733940
100.263977	-63.832001
100.936890	-64.048035
101.609802	-63.525620
102.282715	-64.390053
102.955627	-63.454914
103.628540	-61.806515
104.301453	-60.013294
104.974365	-61.735020
105.647278	-61.509148
106.320190	-61.629608
106.993103	-61.285446
107.666016	-61.226280
108.338928	-62.600189
109.011841	-61.949406
109.684753	-63.564072
110.357666	-63.137856
111.030579	-62.638115
111.703491	-61.619568
112.376404	-61.045555
113.049316	-59.173103
113.722229	-57.852928
114.395142	-57.796993
115.068054	-59.984776
115.740967	-60.704533
116.413879	-61.685238
117.086792	-60.842903
117.759705	-59.137466
118.432617	-59.774090
119.105530	-61.445396
119.778442	-57.709778
120.451355	-58.879677
121.124268	-60.803757
121.797180	-61.213757
122.470093	-64.451355
123.143005	-62.711807
123.815918	-61.438980
124.488831	-61.599220
125.161743	-61.317062
125.834656	-61.774971
126.507568	-61.464577
127.180481	-61.596443
127.853394	-61.096611
128.526306	-62.220161
129.199219	-62.446980
129.872131	-62.546272
130.545044	-61.081966
131.217957	-62.262783
131.890869	-60.889729
132.563782	-61.873753
133.236694	-62.460274
133.909607	-62.773670
134.582520	-63.580940
135.255432	-63.237312
135.928345	-63.736050
136.601257	-62.227104
137.274170	-62.489559
137.947083	-63.397045
138.619995	-64.335579
139.292908	-63.267258
139.965820	-64.137169
140.638733	-62.932472
141.311646	-63.895756
141.984558	-63.567059
142.657471	-63.312649
143.330383	-63.056496
144.003296	-62.605694
144.676208	-62.960182
145.349121	-64.512802
146.022034	-62.042080
146.694946	-60.941452
147.367859	-63.425072
148.040771	-62.336128
148.713684	-62.096119
149.386597	-62.610847
150.059509	-63.193069
150.732422	-63.927105
151.405334	-64.131279
152.078247	-63.445885
152.751160	-65.924973
153.424072	-64.024002
154.096985	-64.536041
154.769897	-66.426010
155.442810	-65.861618
156.115723	-65.644829
156.788635	-64.708969
157.461548	-63.939087
158.134460	-65.510857
158.807373	-65.421844
159.480286	-65.833397
160.153198	-66.427490
160.826111	-66.078476
161.499023	-66.636185
162.171936	-65.391930
162.844849	-66.090340
163.517761	-65.823608
164.190674	-66.642403
164.863586	-66.898911
165.536499	-66.112404
166.209412	-67.677856
166.882324	-65.145073
167.555237	-66.555786
168.228149	-67.177414
168.901062	-66.332359
169.573975	-68.055153
170.246887	-67.383789
170.919800	-67.367149
171.592712	-67.991066
172.265625	-68.895821
172.938538	-64.589653
173.611450	-68.223129
174.284363	-68.181465
174.957275	-67.110130
175.630188	-67.913177
176.303101	-68.290924
176.976013	-66.513603
177.648926	-67.386589
178.321838	-67.735359
178.994751	-69.683853
179.667664	-69.639938
180.340576	-69.719162
181.013489	-68.580978
181.686401	-70.149155
182.359314	-69.048225
183.032227	-70.656281
183.705139	-69.785553
184.378052	-70.000877
185.050964	-70.644218
185.723877	-69.701874
186.396790	-70.427734
187.069702	-70.565697
187.742615	-70.536919
188.415527	-70.764549
189.088440	-69.992233
189.761353	-71.585800
190.434265	-71.685547
191.107178	-72.056992
191.780090	-71.934334
192.453003	-71.531013
193.125916	-70.970139
193.798828	-71.038544
194.471741	-70.758080
195.144653	-70.642448
195.817566	-72.790421
196.490479	-73.001991
197.163391	-72.221817
197.836304	-71.596573
198.509216	-71.750137
199.182129	-70.395012
199.855042	-73.086975
200.527954	-71.786255
201.200867	-71.491234
201.873779	-72.625656
202.546692	-72.316788
203.219604	-72.132721
203.892517	-72.185966
204.565430	-71.813606
205.238342	-73.674103
205.911255	-71.794678
206.584167	-72.492966
207.257080	-72.047958
207.929993	-73.318214
208.602905	-73.605133
209.275818	-73.307716
209.948730	-72.355782
210.621643	-74.256859
211.294556	-73.082672
211.967468	-73.030655
212.640381	-73.697914
213.313293	-72.510002
213.986206	-73.531082
214.659119	-73.912132
215.332031	-73.230621
216.004944	-73.591896
216.677856	-73.568222
217.350769	-74.177338
218.023682	-74.012047
218.696594	-74.056999
219.369507	-73.651855
220.042419	-74.353989
220.715332	-72.244492
221.388245	-73.025826
222.061157	-75.102837
222.734070	-73.640160
223.406982	-74.013412
224.079895	-74.084534
224.752808	-74.475029
225.425720	-73.256065
226.098633	-73.943985
226.771545	-74.643265
227.444458	-73.543404
228.117371	-74.046753
228.790283	-73.743065
229.463196	-75.157860
230.136108	-74.706924
230.809021	-74.944649
231.481934	-75.494453
232.154846	-75.612404
232.827759	-75.428009
233.500671	-75.024811
234.173584	-75.418839
234.846497	-75.819405
235.519409	-75.059776
236.192322	-74.571159
236.865234	-75.132828
237.538147	-75.502563
238.211060	-74.457680
238.883972	-75.484154
239.556885	-74.365425
240.229797	-74.592270
240.902710	-74.676796
241.575623	-74.802887
242.248535	-75.387497
242.921448	-74.531914
243.594360	-75.045067
244.267273	-75.062424
244.940186	-75.727859
245.613098	-75.465782
246.286011	-74.772263
246.958923	-76.147095
247.631836	-76.540672
248.304749	-74.886200
248.977661	-75.318733
249.650574	-74.857170
250.323486	-75.183510
250.996399	-76.710075
251.669312	-76.838196
252.342224	-76.333542
253.015137	-74.454285
253.688049	-74.855484
254.360962	-74.980530
255.033875	-76.949120
255.706787	-75.196655
256.379700	-76.578735
257.052612	-76.353142
257.725525	-75.653206
258.398438	-74.871071
259.071350	-75.716476
259.744263	-76.313042
260.417175	-76.915260
261.090088	-77.531761
261.763000	-76.872047
262.435913	-76.683502
263.108826	-74.660149
263.781738	-76.482681
264.454651	-77.272980
265.127563	-75.899429
265.800476	-76.986473
266.473389	-77.705948
267.146301	-77.044777
267.819214	-77.362518
268.492126	-76.495575
269.165039	-76.187103
269.837952	-75.444809
270.510864	-76.526108
271.183777	-77.433380
271.856689	-76.917900
272.529602	-77.523407
273.202515	-76.288162
273.875427	-76.185791
274.548340	-78.652252
275.221252	-77.107689
275.894165	-77.379997
276.567078	-77.596313
