Frequency (Hz)	Level (dB)
0.672913	-88.963829
1.345825	-88.937111
2.018738	-88.923386
2.691650	-88.990219
3.364563	-88.799629
4.037476	-88.772163
4.710388	-88.598122
5.383301	-88.322052
6.056213	-88.294594
6.729126	-88.045845
7.402039	-88.616066
8.074951	-88.165726
8.747864	-87.935745
9.420776	-87.734451
10.093689	-87.064392
10.766602	-85.837578
11.439514	-84.242058
12.112427	-85.278023
12.785339	-84.828728
13.458252	-81.953529
14.131165	-84.671806
14.804077	-83.237267
15.476990	-82.993126
16.149902	-82.274414
16.822815	-82.415993
17.495728	-82.370323
18.168640	-81.024933
18.841553	-79.580109
19.514465	-80.401062
20.187378	-82.307999
20.860291	-79.218216
21.533203	-78.875359
22.206116	-80.723396
22.879028	-75.919067
23.551941	-76.643585
24.224854	-77.575005
24.897766	-77.861664
25.570679	-78.731453
26.243591	-77.689774
26.916504	-77.608704
27.589417	-76.880722
28.262329	-78.138908
28.935242	-78.394279
29.608154	-75.060875
30.281067	-77.484032
30.953979	-76.488228
31.626892	-76.097565
32.299805	-76.284386
32.972717	-76.858757
33.645630	-75.984886
34.318542	-76.825554
34.991455	-75.465691
35.664368	-74.912033
36.337280	-76.095055
37.010193	-74.233673
37.683105	-74.408920
38.356018	-75.589699
39.028931	-74.122803
39.701843	-73.373741
40.374756	-73.868637
41.047668	-74.274544
41.720581	-71.842041
42.393494	-71.916283
43.066406	-72.026535
43.739319	-72.046768
44.412231	-72.452324
45.085144	-72.178154
45.758057	-72.140320
46.430969	-70.127266
47.103882	-72.389389
47.776794	-72.397705
48.449707	-72.793175
49.122620	-71.230690
49.795532	-68.919243
50.468445	-69.208763
51.141357	-68.262161
51.814270	-70.440468
52.487183	-68.469772
53.160095	-69.324043
53.833008	-67.454758
54.505920	-66.890854
55.178833	-67.472549
55.851746	-65.572708
56.524658	-64.449509
57.197571	-64.665703
57.870483	-63.822819
58.543396	-65.406456
59.216309	-65.562294
59.889221	-65.373199
60.562134	-64.112572
61.235046	-64.888138
61.907959	-63.887909
62.580872	-62.128662
63.253784	-62.762379
