Frequency (Hz)	Level (dB)
0.672913	-89.197205
1.345825	-89.283318
2.018738	-89.300758
2.691650	-89.227844
3.364563	-89.280899
4.037476	-88.405266
4.710388	-89.054466
5.383301	-89.096100
6.056213	-88.522377
6.729126	-87.648933
7.402039	-87.807892
8.074951	-88.363663
8.747864	-88.497307
9.420776	-87.653152
10.093689	-86.530205
10.766602	-85.307457
11.439514	-84.911163
12.112427	-85.074089
12.785339	-85.101280
13.458252	-82.524353
14.131165	-84.561005
14.804077	-84.125465
15.476990	-83.032410
16.149902	-83.787231
16.822815	-83.447289
17.495728	-83.953651
18.168640	-82.185295
18.841553	-80.600067
19.514465	-81.670349
20.187378	-80.833298
20.860291	-80.413803
21.533203	-79.080925
22.206116	-78.480927
22.879028	-77.323860
23.551941	-77.512306
24.224854	-77.212296
24.897766	-76.135979
25.570679	-77.371666
26.243591	-75.436913
26.916504	-77.265297
27.589417	-77.048355
28.262329	-75.573341
28.935242	-76.961288
29.608154	-74.275368
30.281067	-75.543404
30.953979	-76.318001
31.626892	-75.592171
32.299805	-75.059822
32.972717	-77.147469
33.645630	-76.786636
34.318542	-76.308678
34.991455	-74.386940
35.664368	-74.620079
36.337280	-74.638222
37.010193	-73.770370
37.683105	-73.753830
38.356018	-74.692619
39.028931	-75.647980
39.701843	-74.670998
40.374756	-74.482597
41.047668	-74.037285
41.720581	-72.190331
42.393494	-71.955177
43.066406	-73.312035
43.739319	-72.493103
44.412231	-70.646423
45.085144	-72.669609
45.758057	-71.547440
46.430969	-69.605766
47.103882	-71.939079
47.776794	-72.945488
48.449707	-71.618645
49.122620	-71.327225
49.795532	-68.981628
50.468445	-68.265266
51.141357	-68.696693
51.814270	-68.570679
52.487183	-68.775444
53.160095	-67.528915
53.833008	-66.716171
54.505920	-66.966209
55.178833	-66.349503
55.851746	-66.352676
56.524658	-65.256783
57.197571	-65.236450
57.870483	-64.506317
58.543396	-64.991058
59.216309	-64.655441
59.889221	-65.103386
60.562134	-64.326897
61.235046	-64.289024
61.907959	-62.584263
62.580872	-62.032669
63.253784	-63.835552
63.926697	-64.406860
64.599609	-66.655533
65.272522	-68.640259
65.945435	-68.205292
66.618347	-67.294022
67.291260	-68.107841
67.964172	-68.136238
68.637085	-67.008934
69.309998	-66.716064
