Frequency (Hz)	Level (dB)
0.672913	-89.346962
1.345825	-89.353806
2.018738	-89.365242
2.691650	-89.245689
3.364563	-89.250427
4.037476	-88.747017
4.710388	-88.958099
5.383301	-89.019417
6.056213	-88.747101
6.729126	-87.086555
7.402039	-88.226585
8.074951	-88.640892
8.747864	-88.529579
9.420776	-87.381844
10.093689	-86.469734
10.766602	-84.182739
11.439514	-83.043373
12.112427	-82.750656
12.785339	-83.389435
13.458252	-82.113998
14.131165	-84.741890
14.804077	-82.459221
15.476990	-83.112755
16.149902	-83.024040
16.822815	-81.720818
17.495728	-82.603096
18.168640	-80.341522
18.841553	-79.718857
19.514465	-79.954010
20.187378	-80.000938
20.860291	-79.800652
21.533203	-78.413017
22.206116	-78.947899
22.879028	-75.622047
23.551941	-75.656021
24.224854	-76.113457
24.897766	-76.966919
25.570679	-75.540581
26.243591	-75.937248
26.916504	-76.080803
27.589417	-74.808868
28.262329	-75.123123
28.935242	-75.596756
29.608154	-72.286674
30.281067	-75.279045
30.953979	-74.724449
31.626892	-74.574646
32.299805	-76.005806
32.972717	-76.616142
33.645630	-76.539177
34.318542	-76.137589
34.991455	-75.360512
35.664368	-75.830078
36.337280	-74.641556
37.010193	-74.081139
37.683105	-75.262955
38.356018	-74.235863
39.028931	-72.972969
39.701843	-73.054451
40.374756	-74.567833
41.047668	-72.581734
41.720581	-73.141685
42.393494	-72.936661
43.066406	-71.810097
43.739319	-72.111435
44.412231	-71.726456
45.085144	-72.006325
45.758057	-72.170364
46.430969	-70.560333
47.103882	-73.156281
47.776794	-71.872482
48.449707	-71.088440
49.122620	-70.505592
49.795532	-69.546425
50.468445	-68.796715
51.141357	-67.596893
51.814270	-69.629440
52.487183	-68.461784
53.160095	-68.912338
53.833008	-67.094795
54.505920	-66.980339
55.178833	-66.649986
55.851746	-67.550049
56.524658	-65.508095
57.197571	-65.768471
57.870483	-65.308846
58.543396	-64.723724
59.216309	-64.011147
59.889221	-64.939888
60.562134	-63.325287
61.235046	-63.178841
61.907959	-61.646297
62.580872	-61.756783
63.253784	-62.789223
63.926697	-64.425980
64.599609	-67.176537
65.272522	-70.103523
65.945435	-69.586243
66.618347	-68.525261
67.291260	-68.653877
67.964172	-69.354813
68.637085	-66.801819
69.309998	-65.923355
69.982910	-65.210670
70.655823	-64.810234
71.328735	-65.019905
72.001648	-64.252998
72.674561	-62.694008
73.347473	-63.477829
74.020386	-62.833946
74.693298	-63.961353
75.366211	-63.163734
76.039124	-64.353615
76.712036	-63.552872
77.384949	-64.078178
78.057861	-64.809105
78.730774	-65.783607
79.403687	-66.004379
80.076599	-67.053986
80.749512	-66.523033
81.422424	-67.507988
82.095337	-66.327278
82.768250	-65.693703
83.441162	-64.768143
84.114075	-62.743267
84.786987	-62.252773
85.459900	-61.179317
86.132812	-61.005867
86.805725	-61.148598
87.478638	-60.179211
88.151550	-61.188728
88.824463	-62.880657
89.497375	-61.769249
90.170288	-59.839855
90.843201	-61.942795
91.516113	-62.173668
92.189026	-62.752094
92.861938	-62.933186
93.534851	-64.596107
94.207764	-65.159004
94.880676	-65.052559
95.553589	-64.468803
96.226501	-65.274612
96.899414	-64.924492
97.572327	-64.475914
98.245239	-65.514847
98.918152	-65.746918
99.591064	-64.182144
100.263977	-64.290230
100.936890	-64.047150
101.609802	-64.567772
102.282715	-62.468258
102.955627	-61.599838
103.628540	-60.969246
104.301453	-61.061459
104.974365	-59.981735
105.647278	-60.120537
106.320190	-59.877911
106.993103	-60.681007
107.666016	-61.732224
108.338928	-62.805847
109.011841	-61.132683
109.684753	-61.604767
110.357666	-63.236008
111.030579	-62.862759
111.703491	-61.697006
112.376404	-59.637722
113.049316	-59.132614
113.722229	-55.913342
114.395142	-56.224449
115.068054	-57.567650
115.740967	-59.986420
116.413879	-60.333042
117.086792	-61.506706
117.759705	-60.937061
118.432617	-60.673790
119.105530	-61.059376
119.778442	-60.470352
120.451355	-61.775955
121.124268	-60.587528
121.797180	-60.222015
122.470093	-60.012402
123.143005	-61.553288
123.815918	-61.845856
124.488831	-62.205917
125.161743	-62.310616
125.834656	-61.485119
126.507568	-60.799500
127.180481	-60.898979
127.853394	-61.533955
128.526306	-60.257248
129.199219	-61.062695
129.872131	-61.816807
130.545044	-60.345539
131.217957	-60.443268
131.890869	-60.667683
132.563782	-59.740940
133.236694	-60.791035
133.909607	-60.304321
134.582520	-61.186157
135.255432	-62.233677
135.928345	-61.961338
136.601257	-62.174278
137.274170	-62.061337
137.947083	-61.945595
138.619995	-62.296383
139.292908	-62.064411
139.965820	-61.838676
140.638733	-62.128681
141.311646	-61.682358
141.984558	-61.596233
142.657471	-62.359116
143.330383	-61.740746
144.003296	-61.773548
144.676208	-61.582642
145.349121	-61.681011
146.022034	-61.889954
146.694946	-61.589901
147.367859	-62.415119
148.040771	-62.369202
148.713684	-62.029884
149.386597	-62.225559
150.059509	-63.593697
150.732422	-63.199860
151.405334	-63.539989
152.078247	-63.823669
152.751160	-62.870720
153.424072	-63.681484
154.096985	-63.384136
154.769897	-63.521458
155.442810	-62.771610
156.115723	-62.315311
156.788635	-62.147842
157.461548	-63.787460
158.134460	-62.351902
158.807373	-62.555389
159.480286	-62.788120
160.153198	-64.155602
160.826111	-63.873749
161.499023	-63.682629
162.171936	-63.776558
162.844849	-65.411736
163.517761	-65.028114
164.190674	-63.373600
164.863586	-63.927887
165.536499	-64.254845
166.209412	-64.011971
166.882324	-63.950863
167.555237	-64.726631
168.228149	-63.957973
168.901062	-64.635994
169.573975	-64.406525
170.246887	-64.012154
170.919800	-65.018333
171.592712	-64.958054
172.265625	-65.407562
172.938538	-64.419731
173.611450	-65.816055
174.284363	-65.460197
174.957275	-65.431633
175.630188	-66.068764
176.303101	-65.729675
176.976013	-65.435287
177.648926	-65.477943
178.321838	-65.219398
178.994751	-65.146278
179.667664	-66.054146
180.340576	-66.349068
181.013489	-65.551582
181.686401	-65.807899
182.359314	-65.275711
183.032227	-66.210869
183.705139	-66.457588
184.378052	-66.137825
185.050964	-66.161255
185.723877	-66.710442
186.396790	-66.354660
187.069702	-66.534775
187.742615	-66.509796
188.415527	-67.067612
189.088440	-67.215591
189.761353	-67.176643
190.434265	-66.404419
191.107178	-66.841133
191.780090	-66.804977
192.453003	-66.834534
193.125916	-66.779739
193.798828	-66.761841
194.471741	-66.582809
195.144653	-66.781860
195.817566	-67.715767
196.490479	-67.386909
197.163391	-67.083801
197.836304	-66.803284
198.509216	-66.616798
199.182129	-66.670715
199.855042	-67.566536
200.527954	-67.721863
201.200867	-67.375313
201.873779	-66.845978
202.546692	-66.727921
203.219604	-67.073410
203.892517	-68.026016
204.565430	-68.368561
205.238342	-67.960747
205.911255	-67.634254
206.584167	-67.434624
207.257080	-67.434212
207.929993	-67.406776
208.602905	-67.524498
209.275818	-68.111656
209.948730	-67.225288
210.621643	-67.930672
211.294556	-68.007652
211.967468	-67.751587
212.640381	-67.553543
213.313293	-67.110054
213.986206	-67.172714
214.659119	-67.218468
215.332031	-66.946899
216.004944	-67.383369
216.677856	-67.603416
217.350769	-67.457863
218.023682	-67.815681
218.696594	-68.016060
219.369507	-68.677505
220.042419	-69.017471
220.715332	-68.921791
221.388245	-69.221672
222.061157	-69.241180
222.734070	-69.483185
223.406982	-69.029724
224.079895	-69.713966
224.752808	-69.497185
225.425720	-69.233620
226.098633	-69.235352
226.771545	-69.580811
227.444458	-68.683861
228.117371	-68.366585
228.790283	-68.311562
229.463196	-67.995209
230.136108	-68.205429
230.809021	-67.657074
231.481934	-67.768417
232.154846	-67.889030
232.827759	-67.795090
233.500671	-67.928162
234.173584	-68.140373
234.846497	-68.368690
235.519409	-68.528374
236.192322	-69.344856
236.865234	-68.984024
237.538147	-69.034027
238.211060	-68.708069
238.883972	-68.335182
239.556885	-68.172310
240.229797	-68.129982
240.902710	-68.212769
241.575623	-68.308914
242.248535	-68.750862
242.921448	-69.107422
243.594360	-68.638313
244.267273	-68.684830
244.940186	-68.341492
245.613098	-68.570892
246.286011	-68.329712
246.958923	-68.820969
247.631836	-69.057922
248.304749	-69.158859
248.977661	-68.521744
249.650574	-68.474113
250.323486	-68.461555
250.996399	-68.929115
251.669312	-69.380295
252.342224	-69.088493
253.015137	-68.802422
253.688049	-68.768173
254.360962	-69.019165
255.033875	-69.368301
255.706787	-69.395264
256.379700	-68.956711
257.052612	-68.957588
257.725525	-69.127731
258.398438	-69.205811
259.071350	-69.004044
259.744263	-68.908989
260.417175	-69.325584
261.090088	-69.535194
261.763000	-69.043045
262.435913	-68.980446
263.108826	-69.229881
263.781738	-69.438347
264.454651	-69.049545
265.127563	-68.808945
265.800476	-69.275452
266.473389	-69.138481
267.146301	-68.987099
267.819214	-69.150604
268.492126	-69.178543
269.165039	-69.088661
269.837952	-69.377892
270.510864	-69.554413
271.183777	-69.091476
271.856689	-68.787193
272.529602	-69.149025
273.202515	-69.139038
273.875427	-69.321983
274.548340	-69.623192
275.221252	-69.075172
275.894165	-68.923027
276.567078	-69.187576
277.239990	-69.021591
277.912903	-69.608177
278.585815	-69.513390
279.258728	-69.336777
279.931641	-69.497391
280.604553	-68.978775
281.277466	-68.720284
281.950378	-69.281898
282.623291	-68.344139
283.296204	-68.110092
283.969116	-69.594246
284.642029	-69.571495
285.314941	-69.955070
285.987854	-69.311127
286.660767	-69.341789
287.333679	-68.990700
288.006592	-68.747536
288.679504	-68.741745
289.352417	-68.543945
290.025330	-68.808350
290.698242	-68.626144
291.371155	-69.158234
292.044067	-68.979080
292.716980	-69.458084
293.389893	-69.458046
294.062805	-69.893784
294.735718	-70.067253
295.408630	-70.376938
296.081543	-70.130844
296.754456	-70.573967
297.427368	-70.434280
298.100281	-70.586151
298.773193	-70.642113
299.446106	-70.378212
300.119019	-70.279922
300.791931	-70.232971
301.464844	-69.883324
302.137756	-69.707634
302.810669	-69.197823
303.483582	-69.474831
304.156494	-68.954964
304.829407	-69.139778
305.502319	-68.544617
306.175232	-69.005180
306.848145	-68.488800
307.521057	-68.775070
308.193970	-68.955017
308.866882	-68.913216
309.539795	-69.604324
310.212708	-69.386765
310.885620	-69.992027
311.558533	-69.549072
312.231445	-69.780563
312.904358	-69.620789
313.577271	-68.994484
314.250183	-69.330055
314.923096	-68.751831
315.596008	-69.144508
316.268921	-69.507408
316.941833	-69.456352
317.614746	-69.820541
318.287659	-69.583878
318.960571	-69.022644
319.633484	-69.361198
320.306396	-69.107727
320.979309	-69.169044
321.652222	-69.784569
322.325134	-69.398834
322.998047	-69.210297
323.670959	-69.334763
324.343872	-69.003105
325.016785	-69.038162
325.689697	-69.606506
326.362610	-69.336815
327.035522	-68.961723
327.708435	-69.059891
328.381348	-69.221840
329.054260	-69.019844
329.727173	-69.319366
330.400085	-69.271896
331.072998	-69.048698
331.745911	-69.169571
332.418823	-69.497726
333.091736	-69.401115
333.764648	-68.881577
334.437561	-69.109871
335.110474	-69.445358
335.783386	-69.314407
336.456299	-68.954857
337.129211	-69.283096
337.802124	-69.347809
338.475037	-69.227455
339.147949	-68.995834
339.820862	-69.157410
340.493774	-69.181999
341.166687	-69.404808
341.839600	-69.188766
342.512512	-68.900467
343.185425	-68.885017
343.858337	-69.081100
344.531250	-69.494690
345.204163	-69.052467
345.877075	-68.816727
346.549988	-68.727005
347.222900	-68.878380
347.895813	-69.244308
348.568726	-69.408791
349.241638	-69.227982
349.914551	-68.691017
350.587463	-68.593903
351.260376	-68.619095
351.933289	-69.055893
352.606201	-69.541977
353.279114	-69.205254
353.952026	-69.185883
354.624939	-68.903122
355.297852	-68.534660
355.970764	-68.387909
356.643677	-68.574379
357.316589	-68.887230
357.989502	-68.867973
358.662415	-69.396248
359.335327	-69.495811
360.008240	-69.061028
360.681152	-68.549164
361.354065	-68.585724
362.026978	-68.290245
362.699890	-68.222870
363.372803	-67.986702
364.045715	-67.892250
364.718628	-68.149796
365.391541	-68.411217
366.064453	-68.139885
366.737366	-68.476181
367.410278	-68.757385
368.083191	-69.077797
368.756104	-68.931717
369.429016	-69.346794
370.101929	-69.254967
370.774841	-69.889351
371.447754	-69.385605
372.120667	-70.072311
372.793579	-69.697289
373.466492	-70.099167
374.139404	-69.723038
374.812317	-69.344246
375.485229	-69.182114
376.158142	-69.086174
376.831055	-68.780586
377.503967	-68.636368
378.176880	-68.218590
378.849792	-68.058807
379.522705	-67.712273
380.195618	-67.815865
380.868530	-67.480034
381.541443	-67.487175
382.214355	-67.573792
382.887268	-67.691704
383.560181	-68.131073
384.233093	-68.141731
384.906006	-68.548050
385.578918	-68.813026
386.251831	-68.478989
386.924744	-68.680649
387.597656	-68.164604
388.270569	-67.869095
388.943481	-67.667862
389.616394	-67.580002
390.289307	-67.896790
390.962219	-68.018478
391.635132	-68.390221
392.308044	-68.446251
392.980957	-68.012421
393.653870	-67.773285
394.326782	-67.499786
394.999695	-67.640068
395.672607	-68.047676
396.345520	-68.238091
397.018433	-67.997261
397.691345	-67.997139
398.364258	-67.446434
399.037170	-67.461357
399.710083	-67.979546
400.382996	-68.294250
401.055908	-67.775635
401.728821	-67.557472
402.401733	-67.490776
403.074646	-67.615303
403.747559	-67.833633
404.420471	-67.958565
405.093384	-67.381645
405.766296	-67.172279
406.439209	-67.782372
407.112122	-67.950142
407.785034	-67.311768
408.457947	-67.055588
409.130859	-67.645966
409.803772	-67.988449
410.476685	-67.244087
411.149597	-66.898132
411.822510	-67.462166
412.495422	-67.786888
413.168335	-67.189163
413.841248	-66.845085
414.514160	-67.468018
