Frequency (Hz)	Level (dB)
0.672913	-90.233597
1.345825	-90.250427
2.018738	-90.111176
2.691650	-89.925400
3.364563	-89.849548
4.037476	-89.580742
4.710388	-89.848602
5.383301	-89.378143
6.056213	-89.367928
6.729126	-88.482765
7.402039	-88.991432
8.074951	-89.918335
8.747864	-89.509674
9.420776	-87.610237
10.093689	-86.478806
10.766602	-84.335060
11.439514	-83.932152
12.112427	-84.143044
12.785339	-84.621078
13.458252	-82.223404
14.131165	-85.142563
14.804077	-84.071945
15.476990	-84.588013
16.149902	-82.939964
16.822815	-81.925888
17.495728	-84.066933
18.168640	-80.360222
18.841553	-79.771858
19.514465	-80.159554
20.187378	-79.440117
20.860291	-79.239861
21.533203	-78.798714
22.206116	-77.666382
22.879028	-75.356056
23.551941	-76.257896
24.224854	-76.131233
24.897766	-76.226303
25.570679	-77.091423
26.243591	-75.206009
26.916504	-75.367592
27.589417	-76.781441
28.262329	-74.860863
28.935242	-75.539482
29.608154	-72.938255
30.281067	-76.043526
30.953979	-76.503670
31.626892	-74.648621
32.299805	-77.675415
32.972717	-77.084587
33.645630	-75.863235
34.318542	-75.936630
34.991455	-74.577827
35.664368	-73.469376
36.337280	-73.069382
37.010193	-73.644875
37.683105	-75.277031
38.356018	-74.987038
39.028931	-73.961159
39.701843	-73.132858
40.374756	-73.736824
41.047668	-72.908531
41.720581	-72.466095
42.393494	-72.320564
43.066406	-73.013351
43.739319	-71.822479
44.412231	-71.093788
45.085144	-72.182976
45.758057	-72.831215
46.430969	-70.102135
47.103882	-71.160164
47.776794	-71.132111
48.449707	-70.659439
49.122620	-71.241768
49.795532	-69.188728
50.468445	-68.615509
51.141357	-68.648178
51.814270	-69.610039
52.487183	-67.979012
53.160095	-66.982330
53.833008	-66.231514
54.505920	-65.727219
55.178833	-64.759903
55.851746	-65.559280
56.524658	-63.947186
57.197571	-64.389114
57.870483	-63.827358
58.543396	-64.288734
59.216309	-63.908379
59.889221	-65.033714
60.562134	-64.053719
61.235046	-63.146557
61.907959	-62.024929
62.580872	-62.498592
63.253784	-62.252880
63.926697	-63.704273
64.599609	-66.254745
65.272522	-68.175339
65.945435	-68.539841
66.618347	-68.325310
67.291260	-69.945305
67.964172	-68.170670
68.637085	-66.394775
69.309998	-67.322754
69.982910	-66.128593
70.655823	-64.850189
71.328735	-65.265144
72.001648	-65.490494
72.674561	-64.495796
73.347473	-64.424934
74.020386	-62.195011
74.693298	-60.731209
75.366211	-63.177895
76.039124	-63.152931
76.712036	-64.765808
77.384949	-65.064888
78.057861	-64.540459
78.730774	-65.819740
79.403687	-66.543205
80.076599	-65.603477
80.749512	-65.866402
81.422424	-66.505615
82.095337	-66.141563
82.768250	-66.449028
83.441162	-65.253014
84.114075	-63.296333
84.786987	-61.028042
85.459900	-61.200294
86.132812	-60.971153
86.805725	-61.589127
87.478638	-60.133781
88.151550	-63.056877
88.824463	-62.408833
89.497375	-60.708374
90.170288	-60.900116
90.843201	-62.145626
91.516113	-63.346439
92.189026	-65.063766
92.861938	-67.866791
93.534851	-64.812515
94.207764	-67.158592
94.880676	-65.778908
95.553589	-65.592728
96.226501	-66.796707
96.899414	-66.536713
97.572327	-66.138153
98.245239	-66.548988
98.918152	-65.304237
99.591064	-65.259491
100.263977	-64.834816
100.936890	-65.670372
101.609802	-65.656898
102.282715	-64.335854
102.955627	-63.724636
103.628540	-61.177460
104.301453	-63.778912
104.974365	-61.342010
105.647278	-61.600132
106.320190	-61.588097
106.993103	-61.476830
107.666016	-61.447708
108.338928	-62.679466
109.011841	-63.619625
109.684753	-64.083237
110.357666	-63.375851
111.030579	-64.755997
111.703491	-62.395233
112.376404	-62.447887
113.049316	-59.701199
113.722229	-54.777771
114.395142	-55.826328
115.068054	-58.526337
115.740967	-60.923656
116.413879	-63.289639
117.086792	-62.668598
117.759705	-63.161060
118.432617	-61.399284
119.105530	-61.465977
119.778442	-63.126591
120.451355	-61.423832
121.124268	-61.371124
121.797180	-62.389385
122.470093	-61.041161
123.143005	-62.188198
123.815918	-63.308132
124.488831	-63.057266
125.161743	-63.453938
125.834656	-63.663784
126.507568	-63.681450
127.180481	-62.399250
127.853394	-62.647842
128.526306	-62.573421
129.199219	-62.893036
129.872131	-62.744850
130.545044	-61.433727
131.217957	-62.087307
131.890869	-62.775383
132.563782	-62.261055
133.236694	-63.942661
133.909607	-63.119854
134.582520	-61.827370
135.255432	-64.860062
135.928345	-65.279266
136.601257	-64.081177
137.274170	-64.813751
137.947083	-64.114639
138.619995	-64.500206
139.292908	-65.114479
139.965820	-65.363754
140.638733	-65.253448
141.311646	-66.254654
141.984558	-64.625168
142.657471	-64.381424
143.330383	-63.527451
144.003296	-63.561375
144.676208	-62.730583
