Frequency (Hz)	Level (dB)
0.672913	-26.751825
1.345825	-27.545536
2.018738	-28.633287
2.691650	-27.470076
3.364563	-26.220659
4.037476	-27.274193
4.710388	-26.280920
5.383301	-26.923389
6.056213	-26.576241
6.729126	-25.837378
7.402039	-27.260038
8.074951	-27.973972
8.747864	-26.670584
9.420776	-28.640944
10.093689	-27.100397
10.766602	-27.343904
11.439514	-29.189426
12.112427	-28.451609
12.785339	-27.729370
13.458252	-27.031200
14.131165	-27.474955
14.804077	-28.257334
15.476990	-28.020519
16.149902	-28.369781
16.822815	-29.663872
17.495728	-28.128572
18.168640	-29.239170
18.841553	-31.267315
19.514465	-29.255722
20.187378	-28.434189
20.860291	-28.429220
21.533203	-29.196692
22.206116	-29.474760
22.879028	-29.289230
23.551941	-29.368896
24.224854	-30.114605
24.897766	-30.545641
25.570679	-29.812569
26.243591	-28.632305
26.916504	-31.199240
27.589417	-31.583353
28.262329	-30.720690
28.935242	-30.646112
29.608154	-31.100307
30.281067	-30.172663
30.953979	-30.943439
31.626892	-31.034876
32.299805	-31.604301
32.972717	-31.176912
33.645630	-31.314812
34.318542	-31.658937
34.991455	-31.014582
35.664368	-32.469357
36.337280	-31.801546
37.010193	-32.886086
37.683105	-31.813293
38.356018	-32.810070
39.028931	-33.082710
39.701843	-32.881027
40.374756	-32.824112
41.047668	-33.241741
41.720581	-32.839214
42.393494	-33.916420
43.066406	-33.508194
43.739319	-34.621128
44.412231	-33.744549
45.085144	-32.767635
45.758057	-33.845070
46.430969	-33.563324
47.103882	-35.006744
47.776794	-34.653812
48.449707	-32.555664
49.122620	-32.989223
49.795532	-34.275673
50.468445	-33.211712
51.141357	-33.108742
51.814270	-34.744381
52.487183	-34.369518
53.160095	-35.266342
53.833008	-35.327942
54.505920	-34.737667
55.178833	-34.865879
55.851746	-35.080551
56.524658	-34.735420
57.197571	-34.764713
57.870483	-35.200058
58.543396	-35.667423
59.216309	-35.649002
59.889221	-36.018478
60.562134	-35.911911
61.235046	-36.034946
61.907959	-36.277672
62.580872	-35.522278
63.253784	-36.596947
63.926697	-35.562695
64.599609	-36.294304
65.272522	-35.805000
65.945435	-36.527863
66.618347	-36.913551
67.291260	-35.999413
67.964172	-36.836155
68.637085	-36.229572
69.309998	-37.059143
69.982910	-36.623348
70.655823	-35.602402
71.328735	-37.094753
72.001648	-37.243221
72.674561	-36.984985
73.347473	-38.001728
74.020386	-36.562542
74.693298	-37.693871
75.366211	-37.555367
76.039124	-37.541969
76.712036	-37.230553
77.384949	-38.448933
78.057861	-39.223873
78.730774	-38.391277
79.403687	-38.216812
80.076599	-37.312485
80.749512	-38.270008
81.422424	-37.673138
82.095337	-37.998978
82.768250	-39.587063
83.441162	-37.999969
84.114075	-37.230953
84.786987	-38.368690
85.459900	-38.843262
86.132812	-38.018856
86.805725	-37.983345
87.478638	-38.959312
88.151550	-39.172436
88.824463	-38.750877
89.497375	-37.351509
90.170288	-38.919621
90.843201	-40.009041
91.516113	-37.940037
92.189026	-38.576778
92.861938	-40.001564
93.534851	-40.616104
94.207764	-38.266884
94.880676	-39.110001
95.553589	-38.590351
96.226501	-39.002300
96.899414	-38.936260
97.572327	-40.309620
98.245239	-40.672855
98.918152	-38.969501
99.591064	-40.515041
100.263977	-39.151939
100.936890	-39.881870
101.609802	-41.477211
102.282715	-39.668095
102.955627	-40.165871
103.628540	-39.393383
104.301453	-38.926182
104.974365	-39.529125
105.647278	-39.433971
106.320190	-40.243847
106.993103	-40.619274
