Frequency (Hz)	Level (dB)
0.672913	-90.755707
1.345825	-90.684608
2.018738	-90.646767
2.691650	-90.668518
3.364563	-90.544006
4.037476	-89.792419
4.710388	-90.332481
5.383301	-89.995735
6.056213	-89.385475
6.729126	-87.612343
7.402039	-88.579468
8.074951	-88.743134
8.747864	-87.290482
9.420776	-87.264236
10.093689	-86.670181
10.766602	-84.497093
11.439514	-84.677574
12.112427	-84.054451
12.785339	-82.888939
13.458252	-81.308647
14.131165	-83.754654
14.804077	-83.249023
15.476990	-81.996994
16.149902	-81.586472
16.822815	-82.069923
17.495728	-81.084694
18.168640	-79.996048
18.841553	-79.305786
19.514465	-79.552101
20.187378	-80.201012
20.860291	-78.803818
21.533203	-77.923096
22.206116	-76.233200
22.879028	-75.674698
23.551941	-75.480743
24.224854	-75.306236
24.897766	-75.223457
25.570679	-75.058823
26.243591	-74.455978
26.916504	-75.120918
27.589417	-75.016136
28.262329	-74.089790
28.935242	-74.449020
29.608154	-72.691490
30.281067	-74.232513
30.953979	-74.078369
31.626892	-72.748955
32.299805	-75.662003
32.972717	-74.033195
33.645630	-72.809700
34.318542	-74.746986
34.991455	-73.153702
35.664368	-72.207924
36.337280	-72.551094
37.010193	-72.707764
37.683105	-72.416306
38.356018	-71.548904
39.028931	-72.910515
39.701843	-72.843124
40.374756	-71.019791
41.047668	-71.837341
41.720581	-69.781281
42.393494	-70.367668
43.066406	-69.459496
43.739319	-69.284172
44.412231	-69.905899
45.085144	-69.105949
45.758057	-69.462547
46.430969	-68.115509
47.103882	-68.586945
47.776794	-68.314964
48.449707	-68.342499
49.122620	-67.650108
49.795532	-66.861336
50.468445	-66.444977
51.141357	-65.164528
51.814270	-64.464760
52.487183	-65.568489
53.160095	-64.324677
53.833008	-64.292786
54.505920	-64.371063
55.178833	-64.748291
55.851746	-63.550720
56.524658	-62.403831
57.197571	-62.014778
57.870483	-62.980999
58.543396	-61.804390
59.216309	-61.637280
59.889221	-63.668728
60.562134	-60.297966
61.235046	-60.791023
61.907959	-61.131691
62.580872	-59.082733
63.253784	-59.530762
63.926697	-61.009953
64.599609	-63.175503
65.272522	-66.609413
65.945435	-64.634354
66.618347	-64.213753
67.291260	-63.941639
67.964172	-64.997299
68.637085	-63.950890
69.309998	-63.164291
69.982910	-61.820286
70.655823	-61.399876
71.328735	-61.016811
72.001648	-61.351986
72.674561	-60.773041
73.347473	-59.149117
74.020386	-58.373730
74.693298	-59.120079
75.366211	-59.815037
76.039124	-60.104763
76.712036	-59.820026
77.384949	-59.736847
78.057861	-60.221874
78.730774	-61.874832
79.403687	-62.336117
80.076599	-60.897308
80.749512	-61.420673
81.422424	-60.720921
82.095337	-61.388115
82.768250	-62.062809
83.441162	-60.845398
84.114075	-58.893646
84.786987	-57.241150
85.459900	-58.734673
86.132812	-57.414406
86.805725	-56.179924
87.478638	-57.216991
88.151550	-56.832912
88.824463	-57.270428
89.497375	-57.865520
90.170288	-57.114391
90.843201	-57.187729
91.516113	-57.788162
92.189026	-58.575935
92.861938	-59.097755
93.534851	-59.306572
94.207764	-59.597900
94.880676	-60.485737
95.553589	-60.377087
96.226501	-60.736244
96.899414	-61.232208
97.572327	-58.342197
98.245239	-58.906006
98.918152	-59.977154
99.591064	-60.897350
100.263977	-57.871243
100.936890	-59.589584
101.609802	-59.301395
102.282715	-58.995277
102.955627	-59.431480
103.628540	-58.424591
104.301453	-57.124748
104.974365	-56.196026
105.647278	-56.958820
106.320190	-57.970531
106.993103	-57.511894
107.666016	-58.884663
108.338928	-58.980827
109.011841	-58.914654
109.684753	-59.573956
110.357666	-59.059505
111.030579	-59.298687
111.703491	-58.048340
112.376404	-58.967785
113.049316	-55.539841
113.722229	-53.527748
114.395142	-55.076626
115.068054	-57.077053
115.740967	-59.489052
116.413879	-59.747280
117.086792	-58.979069
117.759705	-58.801239
118.432617	-59.209270
119.105530	-59.783054
119.778442	-58.586384
120.451355	-60.535023
121.124268	-60.434643
121.797180	-60.189518
122.470093	-62.231937
123.143005	-60.750607
123.815918	-61.640667
124.488831	-61.611328
125.161743	-61.085308
125.834656	-61.266499
126.507568	-61.020996
127.180481	-62.060802
127.853394	-60.331520
128.526306	-60.013672
129.199219	-60.478680
129.872131	-62.220150
130.545044	-60.114254
