Frequency (Hz)	Level (dB)
0.672913	-89.853928
1.345825	-89.866554
2.018738	-89.815094
2.691650	-89.673798
3.364563	-89.277573
4.037476	-89.227875
4.710388	-89.422981
5.383301	-89.242714
6.056213	-88.916412
6.729126	-88.448410
7.402039	-88.932373
8.074951	-89.269012
8.747864	-88.305923
9.420776	-87.915627
10.093689	-87.031990
10.766602	-84.906517
11.439514	-83.822495
12.112427	-85.192139
12.785339	-84.404343
13.458252	-82.202568
14.131165	-84.126465
14.804077	-82.880302
15.476990	-84.460075
16.149902	-82.660278
16.822815	-82.600708
17.495728	-81.738953
18.168640	-80.683510
18.841553	-79.466057
19.514465	-80.183632
20.187378	-79.972099
20.860291	-77.788055
21.533203	-78.972473
22.206116	-78.680145
22.879028	-75.963112
23.551941	-76.823799
24.224854	-77.775452
24.897766	-78.362862
25.570679	-76.270325
26.243591	-74.164696
26.916504	-74.838043
27.589417	-73.983398
28.262329	-75.534698
28.935242	-76.718597
29.608154	-73.468094
30.281067	-76.440758
30.953979	-74.898010
31.626892	-74.134232
32.299805	-75.025917
32.972717	-75.284668
33.645630	-74.432724
34.318542	-74.974838
34.991455	-73.672348
35.664368	-73.957291
36.337280	-73.691467
37.010193	-73.441010
37.683105	-72.576866
38.356018	-72.694542
39.028931	-73.632660
39.701843	-73.278419
40.374756	-72.969612
41.047668	-71.730179
41.720581	-72.282509
42.393494	-70.901016
43.066406	-70.498352
43.739319	-69.699951
44.412231	-71.606377
45.085144	-71.634308
45.758057	-71.457771
46.430969	-68.569794
47.103882	-71.148087
47.776794	-69.145462
48.449707	-68.789551
49.122620	-67.914665
49.795532	-67.647842
50.468445	-66.390900
51.141357	-66.568298
51.814270	-66.633598
52.487183	-65.627602
53.160095	-66.204529
53.833008	-64.695625
54.505920	-64.584335
55.178833	-64.383186
55.851746	-63.900051
56.524658	-63.062641
57.197571	-62.617306
57.870483	-61.908371
58.543396	-62.338047
59.216309	-62.159416
59.889221	-63.277935
60.562134	-62.601410
61.235046	-62.051918
61.907959	-61.490303
62.580872	-58.331669
63.253784	-58.987720
63.926697	-61.772518
64.599609	-62.762917
65.272522	-65.481125
65.945435	-66.275749
66.618347	-65.666794
67.291260	-65.170883
67.964172	-65.495903
68.637085	-65.553894
69.309998	-63.141521
69.982910	-61.777493
70.655823	-59.370914
71.328735	-61.096939
72.001648	-62.164619
72.674561	-60.376469
73.347473	-60.348545
74.020386	-58.390869
74.693298	-58.126202
75.366211	-59.277267
76.039124	-59.357075
76.712036	-59.593395
77.384949	-62.158981
78.057861	-61.969364
78.730774	-63.089378
79.403687	-62.865459
80.076599	-63.130116
80.749512	-63.914928
81.422424	-62.945629
82.095337	-63.634926
82.768250	-63.469761
83.441162	-60.927437
84.114075	-58.812790
84.786987	-56.472965
85.459900	-58.181728
86.132812	-57.388374
86.805725	-56.607441
87.478638	-57.765587
88.151550	-57.824226
88.824463	-58.576191
89.497375	-58.901020
90.170288	-59.986465
90.843201	-57.471554
91.516113	-58.063839
92.189026	-59.302490
92.861938	-60.097878
93.534851	-59.881699
94.207764	-63.065422
94.880676	-62.335773
95.553589	-62.323730
96.226501	-63.146408
96.899414	-61.975979
97.572327	-62.871311
98.245239	-62.626335
98.918152	-61.424503
99.591064	-62.759918
100.263977	-62.440250
100.936890	-63.544292
101.609802	-61.382660
102.282715	-60.781197
102.955627	-59.812408
103.628540	-59.185558
104.301453	-58.648296
104.974365	-59.375263
105.647278	-58.922920
106.320190	-57.771927
106.993103	-58.234680
107.666016	-58.746475
108.338928	-60.483505
109.011841	-60.045349
109.684753	-60.273483
110.357666	-61.697388
111.030579	-61.109467
111.703491	-60.265026
112.376404	-60.201630
113.049316	-57.462986
113.722229	-54.815865
114.395142	-55.235149
115.068054	-59.778343
115.740967	-59.935993
116.413879	-62.209755
117.086792	-61.423206
117.759705	-59.632954
118.432617	-62.081211
119.105530	-62.876141
119.778442	-59.706654
120.451355	-60.417381
121.124268	-62.327168
121.797180	-63.370174
122.470093	-62.987034
123.143005	-63.824902
123.815918	-64.759712
124.488831	-64.923676
125.161743	-65.109497
125.834656	-64.536247
126.507568	-64.983192
127.180481	-64.565544
127.853394	-63.585278
128.526306	-62.733807
129.199219	-64.519844
129.872131	-64.867485
130.545044	-64.830544
131.217957	-64.382881
131.890869	-65.659203
132.563782	-64.962959
133.236694	-65.023857
133.909607	-65.860878
134.582520	-65.813934
135.255432	-66.175537
135.928345	-67.397667
136.601257	-67.087173
137.274170	-67.249039
137.947083	-68.024796
138.619995	-68.056664
139.292908	-67.463783
139.965820	-67.132339
140.638733	-66.973434
141.311646	-66.428139
141.984558	-67.678139
142.657471	-66.984680
143.330383	-66.161133
144.003296	-64.628410
144.676208	-65.544174
145.349121	-64.270828
146.022034	-64.872086
146.694946	-64.593430
147.367859	-65.060112
148.040771	-65.684280
148.713684	-64.617493
149.386597	-65.281715
150.059509	-67.345802
150.732422	-67.944199
151.405334	-68.841621
152.078247	-67.307152
152.751160	-67.658272
153.424072	-67.537415
154.096985	-67.366348
154.769897	-68.452774
155.442810	-67.532120
156.115723	-67.388443
156.788635	-67.213005
157.461548	-67.033508
158.134460	-66.120270
158.807373	-67.262665
159.480286	-67.706154
160.153198	-68.890053
160.826111	-67.839249
161.499023	-67.922035
162.171936	-69.539230
162.844849	-69.319832
163.517761	-68.104347
164.190674	-69.108849
164.863586	-68.729340
165.536499	-69.782410
166.209412	-68.885818
166.882324	-68.690331
167.555237	-68.879387
168.228149	-68.325928
168.901062	-67.910515
169.573975	-69.548141
170.246887	-69.003082
170.919800	-69.385719
171.592712	-69.169792
172.265625	-70.211288
172.938538	-68.415375
173.611450	-69.886780
174.284363	-71.122841
174.957275	-69.734711
175.630188	-68.951988
176.303101	-68.877480
176.976013	-67.396393
177.648926	-67.988617
178.321838	-69.516907
178.994751	-69.698593
179.667664	-69.631653
180.340576	-69.647263
181.013489	-70.431984
181.686401	-71.115860
182.359314	-71.321922
183.032227	-71.590210
183.705139	-72.168549
184.378052	-71.836853
185.050964	-71.644341
185.723877	-70.944740
186.396790	-72.530846
187.069702	-71.285583
187.742615	-71.583351
188.415527	-71.408920
189.088440	-72.262535
189.761353	-72.087463
190.434265	-72.130768
191.107178	-71.612335
191.780090	-72.703781
192.453003	-72.808968
193.125916	-73.154625
193.798828	-72.873238
194.471741	-72.039932
195.144653	-72.011124
195.817566	-72.689011
196.490479	-72.244164
197.163391	-71.945786
197.836304	-72.874207
198.509216	-72.654709
199.182129	-71.948235
199.855042	-72.490677
200.527954	-72.442711
201.200867	-72.504257
201.873779	-72.294685
202.546692	-72.952133
203.219604	-72.839996
203.892517	-73.213142
204.565430	-72.872383
205.238342	-72.201607
205.911255	-73.348961
206.584167	-72.875870
207.257080	-72.314690
