Frequency (Hz)	Level (dB)
0.672913	-88.874062
1.345825	-88.843704
2.018738	-88.768181
2.691650	-88.744606
3.364563	-88.748726
4.037476	-88.302811
4.710388	-88.639694
5.383301	-88.254738
6.056213	-87.490898
6.729126	-87.893333
7.402039	-88.509308
8.074951	-88.206520
8.747864	-88.229485
9.420776	-87.118111
10.093689	-87.165398
10.766602	-84.937904
11.439514	-83.951363
12.112427	-83.604897
12.785339	-83.610443
13.458252	-82.236176
14.131165	-83.294151
14.804077	-84.166878
15.476990	-82.552803
16.149902	-81.990318
16.822815	-81.294052
17.495728	-81.453445
18.168640	-81.206268
18.841553	-80.076744
19.514465	-80.127281
20.187378	-79.275200
20.860291	-78.745369
21.533203	-78.279961
22.206116	-77.138268
22.879028	-75.591057
23.551941	-77.436790
24.224854	-76.420151
24.897766	-76.239883
25.570679	-75.387535
26.243591	-76.274406
26.916504	-75.150948
27.589417	-75.089989
28.262329	-75.490364
28.935242	-75.978676
29.608154	-72.137619
30.281067	-75.119492
30.953979	-75.056580
31.626892	-72.274422
32.299805	-74.784081
32.972717	-74.701500
33.645630	-74.461426
34.318542	-74.470230
34.991455	-74.159767
35.664368	-74.462700
36.337280	-73.104698
37.010193	-73.271530
37.683105	-72.082008
38.356018	-72.293015
39.028931	-73.180069
39.701843	-71.810875
40.374756	-70.671440
41.047668	-69.759300
41.720581	-70.596512
42.393494	-69.117035
43.066406	-69.398468
43.739319	-70.022125
44.412231	-69.783356
45.085144	-69.455750
45.758057	-70.564476
46.430969	-68.559845
47.103882	-69.707451
47.776794	-69.461037
48.449707	-69.159706
49.122620	-68.394394
49.795532	-67.998917
50.468445	-66.781631
51.141357	-66.834450
51.814270	-66.379959
52.487183	-65.964447
53.160095	-65.563698
53.833008	-64.969955
54.505920	-64.980865
55.178833	-64.002625
55.851746	-63.095600
56.524658	-61.608601
57.197571	-62.604954
57.870483	-61.613300
58.543396	-62.296764
59.216309	-62.312073
59.889221	-62.160213
60.562134	-61.620338
61.235046	-60.428307
61.907959	-59.982090
62.580872	-59.041142
63.253784	-58.640949
63.926697	-61.008327
64.599609	-64.545547
65.272522	-66.537003
65.945435	-66.103294
66.618347	-64.825745
67.291260	-65.736221
67.964172	-65.621574
68.637085	-64.529526
69.309998	-62.553337
69.982910	-63.322315
70.655823	-61.251717
71.328735	-62.186111
72.001648	-62.356956
72.674561	-60.647003
73.347473	-60.715836
74.020386	-60.447655
74.693298	-58.995583
75.366211	-58.815338
76.039124	-60.696198
76.712036	-60.537575
77.384949	-60.804398
78.057861	-60.799389
78.730774	-62.204414
79.403687	-63.928913
80.076599	-64.241287
80.749512	-63.391293
81.422424	-63.907028
82.095337	-64.211472
82.768250	-62.934124
83.441162	-62.808311
84.114075	-59.838055
84.786987	-57.710381
85.459900	-58.744404
86.132812	-56.331276
86.805725	-56.938946
87.478638	-57.392799
88.151550	-58.029934
88.824463	-57.826008
89.497375	-59.078968
90.170288	-56.740505
90.843201	-57.597824
91.516113	-59.235298
92.189026	-61.121552
92.861938	-61.373917
93.534851	-61.587654
94.207764	-62.473103
94.880676	-61.944305
95.553589	-62.093086
96.226501	-61.357456
96.899414	-63.018093
97.572327	-62.602402
98.245239	-62.942757
98.918152	-64.057892
99.591064	-63.935539
100.263977	-62.405319
100.936890	-63.538677
101.609802	-61.986107
102.282715	-61.003323
102.955627	-59.942223
103.628540	-59.713261
104.301453	-59.590519
104.974365	-58.616928
105.647278	-57.173378
106.320190	-58.988365
106.993103	-59.241482
107.666016	-60.848835
108.338928	-60.760994
109.011841	-61.087135
109.684753	-61.281162
110.357666	-61.763348
111.030579	-61.545280
111.703491	-60.386684
112.376404	-59.650917
113.049316	-57.317039
113.722229	-53.831902
114.395142	-56.349930
115.068054	-59.126591
115.740967	-61.657558
116.413879	-62.288818
117.086792	-61.757233
117.759705	-62.851326
118.432617	-62.361000
119.105530	-63.219208
119.778442	-61.018780
120.451355	-61.848637
121.124268	-61.453728
121.797180	-63.112667
122.470093	-65.271133
123.143005	-63.914207
123.815918	-66.447235
124.488831	-65.565727
125.161743	-65.279358
125.834656	-65.786125
126.507568	-64.783806
127.180481	-65.392754
127.853394	-64.060577
128.526306	-64.973381
129.199219	-66.017372
129.872131	-64.575371
130.545044	-63.418259
131.217957	-64.216621
131.890869	-63.935658
132.563782	-62.983364
133.236694	-66.664040
133.909607	-66.512039
134.582520	-67.117615
135.255432	-67.817596
135.928345	-67.646179
136.601257	-68.445084
137.274170	-67.741600
137.947083	-68.718712
138.619995	-69.410896
139.292908	-69.779533
139.965820	-69.962517
140.638733	-70.918770
141.311646	-69.515770
141.984558	-67.684677
142.657471	-67.606796
143.330383	-67.793282
144.003296	-65.155945
144.676208	-66.047386
145.349121	-65.579597
146.022034	-64.675194
146.694946	-64.919144
147.367859	-65.307983
148.040771	-66.273979
148.713684	-66.854500
149.386597	-67.353897
150.059509	-67.503571
150.732422	-67.098145
151.405334	-69.752777
