Frequency (Hz)	Level (dB)
0.672913	-48.764153
1.345825	-48.745041
2.018738	-48.713383
2.691650	-48.669479
3.364563	-48.613735
4.037476	-48.546665
4.710388	-48.468880
5.383301	-48.381073
6.056213	-48.284012
6.729126	-48.178547
7.402039	-48.065571
8.074951	-47.946030
8.747864	-47.820896
9.420776	-47.691181
10.093689	-47.557903
10.766602	-47.422100
11.439514	-47.284801
12.112427	-47.147041
12.785339	-47.009830
13.458252	-46.874180
14.131165	-46.741062
14.804077	-46.611427
15.476990	-46.486198
16.149902	-46.366249
16.822815	-46.252419
17.495728	-46.145493
18.168640	-46.046196
18.841553	-45.955196
19.514465	-45.873081
20.187378	-45.800365
20.860291	-45.737465
21.533203	-45.684696
22.206116	-45.642254
22.879028	-45.610218
23.551941	-45.588512
24.224854	-45.576908
24.897766	-45.575012
25.570679	-45.582245
26.243591	-45.597839
26.916504	-45.620838
27.589417	-45.650085
28.262329	-45.684250
28.935242	-45.721844
29.608154	-45.761246
30.281067	-45.800766
30.953979	-45.838696
31.626892	-45.873379
32.299805	-45.903309
32.972717	-45.927189
33.645630	-45.944042
34.318542	-45.953255
34.991455	-45.954651
35.664368	-45.948494
36.337280	-45.935501
37.010193	-45.916801
37.683105	-45.893867
38.356018	-45.868454
39.028931	-45.842461
39.701843	-45.817848
40.374756	-45.796494
41.047668	-45.780087
41.720581	-45.769978
42.393494	-45.767082
43.066406	-45.771755
43.739319	-45.783718
44.412231	-45.801983
45.085144	-45.824875
45.758057	-45.850082
46.430969	-45.874832
47.103882	-45.896164
47.776794	-45.911282
48.449707	-45.917988
49.122620	-45.915104
49.795532	-45.902763
50.468445	-45.882553
51.141357	-45.857395
51.814270	-45.831177
52.487183	-45.808193
53.160095	-45.792454
53.833008	-45.786999
54.505920	-45.793293
55.178833	-45.810799
55.851746	-45.836838
56.524658	-45.866817
57.197571	-45.894920
57.870483	-45.915188
58.543396	-45.922897
59.216309	-45.915859
59.889221	-45.895233
60.562134	-45.865532
61.235046	-45.833691
61.907959	-45.807491
62.580872	-45.793697
63.253784	-45.796329
63.926697	-45.815487
64.599609	-45.846947
65.272522	-45.882805
65.945435	-45.913235
66.618347	-45.929211
67.291260	-45.925461
67.964172	-45.902599
68.637085	-45.867325
69.309998	-45.830551
69.982910	-45.804028
70.655823	-45.796680
71.328735	-45.811657
72.001648	-45.844975
72.674561	-45.886143
73.347473	-45.921059
74.020386	-45.936859
74.693298	-45.927105
75.366211	-45.894943
76.039124	-45.852406
76.712036	-45.815857
77.384949	-45.799759
78.057861	-45.811134
78.730774	-45.846527
79.403687	-45.892513
80.076599	-45.930214
80.749512	-45.943024
81.422424	-45.924644
82.095337	-45.882870
82.768250	-45.836452
83.441162	-45.806583
84.114075	-45.807423
84.786987	-45.839630
85.459900	-45.889240
86.132812	-45.932869
86.805725	-45.948517
87.478638	-45.927544
88.151550	-45.880371
88.824463	-45.831440
89.497375	-45.806400
90.170288	-45.819027
90.843201	-45.863892
91.516113	-45.917866
92.189026	-45.951118
92.861938	-45.944027
93.534851	-45.900162
94.207764	-45.845081
94.880676	-45.811161
95.553589	-45.818855
96.226501	-45.864883
96.899414	-45.922714
97.572327	-45.956654
98.245239	-45.944397
98.918152	-45.893391
99.591064	-45.836807
100.263977	-45.811592
100.936890	-45.834934
101.609802	-45.892948
102.282715	-45.947559
102.955627	-45.960617
103.628540	-45.922173
104.301453	-45.859547
104.974365	-45.817566
105.647278	-45.826649
106.320190	-45.881676
106.993103	-45.943726
107.666016	-45.966049
108.338928	-45.930706
109.011841	-45.865028
109.684753	-45.820175
110.357666	-45.831371
111.030579	-45.891376
111.703491	-45.953815
112.376404	-45.967430
113.049316	-45.920151
113.722229	-45.851730
114.395142	-45.819668
115.068054	-45.851521
115.740967	-45.922138
116.413879	-45.971306
117.086792	-45.954708
117.759705	-45.886944
118.432617	-45.829273
119.105530	-45.833729
119.778442	-45.897785
120.451355	-45.964287
121.124268	-45.970375
121.797180	-45.909599
122.470093	-45.840672
123.143005	-45.829796
123.815918	-45.888626
124.488831	-45.961769
125.161743	-45.976215
125.834656	-45.916588
126.507568	-45.844097
127.180481	-45.832653
127.853394	-45.895153
128.526306	-45.968945
129.199219	-45.975780
129.872131	-45.907711
130.545044	-45.838646
131.217957	-45.843033
131.890869	-45.917747
132.563782	-45.982529
133.236694	-45.964062
133.909607	-45.883167
134.582520	-45.832172
135.255432	-45.869267
135.928345	-45.954273
136.601257	-45.988953
137.274170	-45.931274
137.947083	-45.850628
138.619995	-45.843220
139.292908	-45.919273
