Frequency (Hz)	Level (dB)
0.672913	-93.094025
1.345825	-93.061630
2.018738	-93.094032
2.691650	-92.856163
3.364563	-92.621994
4.037476	-91.926140
4.710388	-92.353149
5.383301	-91.951126
6.056213	-91.230515
6.729126	-91.795486
7.402039	-91.076576
8.074951	-91.156830
8.747864	-89.575592
9.420776	-89.329247
10.093689	-88.322685
10.766602	-85.982666
11.439514	-85.109184
12.112427	-84.555878
12.785339	-84.120209
13.458252	-83.754333
14.131165	-84.921669
14.804077	-86.148727
15.476990	-83.912033
16.149902	-83.420975
16.822815	-83.717216
17.495728	-82.547676
18.168640	-82.259598
18.841553	-80.016075
19.514465	-80.196930
20.187378	-81.419594
20.860291	-79.258240
21.533203	-79.853874
22.206116	-79.581718
22.879028	-77.049484
23.551941	-77.384514
24.224854	-79.438919
24.897766	-79.166115
25.570679	-77.317192
26.243591	-76.927132
26.916504	-76.062538
27.589417	-75.838089
28.262329	-76.706520
28.935242	-76.990067
29.608154	-74.659599
30.281067	-75.912468
30.953979	-75.358627
31.626892	-76.952011
32.299805	-76.114716
32.972717	-76.193604
33.645630	-75.405373
34.318542	-75.595261
34.991455	-74.996033
35.664368	-75.879921
36.337280	-74.896309
37.010193	-73.925926
37.683105	-74.858009
38.356018	-75.826965
39.028931	-75.651581
39.701843	-73.412697
40.374756	-73.677238
41.047668	-72.973732
41.720581	-72.460533
42.393494	-72.207794
43.066406	-71.922714
43.739319	-73.753250
44.412231	-72.729210
45.085144	-72.842102
45.758057	-72.583992
46.430969	-69.639046
47.103882	-72.179558
47.776794	-72.681053
48.449707	-72.460121
49.122620	-71.226730
49.795532	-71.029907
50.468445	-69.906090
51.141357	-70.054733
51.814270	-69.669609
52.487183	-69.023811
53.160095	-68.098457
53.833008	-66.839722
54.505920	-66.576851
55.178833	-67.576027
55.851746	-65.703377
56.524658	-65.891106
57.197571	-65.328705
57.870483	-64.516808
58.543396	-65.142227
59.216309	-65.079643
59.889221	-64.642960
60.562134	-64.324440
61.235046	-63.653610
61.907959	-63.820240
62.580872	-63.043755
63.253784	-62.800377
63.926697	-65.118401
64.599609	-66.353249
65.272522	-70.476250
65.945435	-69.364456
66.618347	-69.040398
67.291260	-67.900002
67.964172	-68.648666
68.637085	-69.049927
69.309998	-67.350121
69.982910	-66.007660
70.655823	-65.488831
71.328735	-65.548653
72.001648	-67.714088
72.674561	-64.488762
73.347473	-63.343979
74.020386	-63.681698
74.693298	-63.256058
75.366211	-63.328552
76.039124	-65.174744
76.712036	-66.115211
77.384949	-66.914635
78.057861	-66.318916
78.730774	-67.863876
79.403687	-67.777130
80.076599	-68.062935
80.749512	-68.528732
81.422424	-70.190292
82.095337	-69.459396
82.768250	-69.936058
83.441162	-67.481606
84.114075	-64.684227
84.786987	-62.850758
85.459900	-63.913570
86.132812	-62.789009
86.805725	-62.376778
87.478638	-64.106911
88.151550	-64.694946
88.824463	-64.930611
89.497375	-62.509918
90.170288	-63.143700
90.843201	-63.085423
91.516113	-64.642982
92.189026	-66.383514
92.861938	-66.748482
93.534851	-67.792221
94.207764	-69.539337
94.880676	-70.182487
95.553589	-69.244019
96.226501	-70.342941
96.899414	-70.079239
97.572327	-69.803108
98.245239	-68.227043
98.918152	-68.769478
99.591064	-67.853653
100.263977	-66.788887
100.936890	-67.490791
101.609802	-68.097427
102.282715	-68.570389
102.955627	-66.874802
103.628540	-65.563217
104.301453	-65.623955
104.974365	-65.686073
105.647278	-64.175873
106.320190	-67.035469
106.993103	-66.274986
107.666016	-67.318649
108.338928	-67.256142
109.011841	-66.751579
109.684753	-67.356560
110.357666	-67.643425
111.030579	-67.652779
111.703491	-67.302032
112.376404	-65.061829
113.049316	-64.433685
113.722229	-59.848190
114.395142	-60.739662
115.068054	-64.097832
115.740967	-67.149719
116.413879	-66.674103
117.086792	-67.121193
117.759705	-67.121552
118.432617	-66.005760
119.105530	-65.363731
119.778442	-65.817429
120.451355	-66.250977
121.124268	-65.879692
121.797180	-66.476837
122.470093	-66.785561
123.143005	-66.692055
123.815918	-68.066788
124.488831	-67.436310
125.161743	-66.538452
125.834656	-67.077827
126.507568	-65.806328
127.180481	-65.822777
127.853394	-65.166283
128.526306	-66.594376
129.199219	-67.083466
129.872131	-67.282585
130.545044	-65.648483
131.217957	-65.337196
131.890869	-66.181625
132.563782	-66.213631
133.236694	-66.509758
133.909607	-66.933350
134.582520	-65.935173
135.255432	-67.051262
135.928345	-67.370506
136.601257	-67.216927
137.274170	-68.322647
137.947083	-67.222885
138.619995	-68.138794
139.292908	-67.164909
139.965820	-67.691010
140.638733	-67.754341
141.311646	-68.614075
141.984558	-66.645081
142.657471	-65.731117
143.330383	-66.163460
144.003296	-65.390617
144.676208	-66.128830
145.349121	-64.457047
146.022034	-63.666008
146.694946	-62.186756
147.367859	-63.381809
148.040771	-63.812946
148.713684	-64.794258
149.386597	-64.626335
150.059509	-66.271347
150.732422	-66.365143
151.405334	-65.224281
152.078247	-64.748802
152.751160	-66.017838
153.424072	-64.922134
154.096985	-64.187981
154.769897	-65.841927
155.442810	-66.017258
156.115723	-65.700089
156.788635	-65.155807
157.461548	-64.443924
158.134460	-64.389992
158.807373	-64.421608
159.480286	-64.998672
160.153198	-66.283943
160.826111	-66.749557
161.499023	-65.992706
162.171936	-65.490395
162.844849	-64.751472
163.517761	-63.657978
164.190674	-65.495155
164.863586	-66.883240
165.536499	-66.392067
166.209412	-66.795593
166.882324	-65.490265
167.555237	-66.164467
168.228149	-65.686630
168.901062	-65.098343
169.573975	-66.226166
170.246887	-66.142937
170.919800	-67.255386
171.592712	-66.736488
172.265625	-67.818657
172.938538	-64.007820
173.611450	-65.967804
174.284363	-65.695053
174.957275	-64.685471
175.630188	-65.228043
176.303101	-64.346390
176.976013	-64.928123
177.648926	-65.144455
178.321838	-64.366020
178.994751	-66.903709
179.667664	-66.148026
180.340576	-66.187485
181.013489	-66.257797
181.686401	-66.732681
182.359314	-66.695084
183.032227	-68.466057
183.705139	-68.020798
184.378052	-68.280731
185.050964	-67.707825
185.723877	-67.505310
186.396790	-67.796112
187.069702	-69.111359
187.742615	-69.332947
188.415527	-68.744652
189.088440	-68.041771
189.761353	-69.223106
190.434265	-69.318512
191.107178	-69.171432
191.780090	-69.954338
192.453003	-68.669670
193.125916	-70.090691
193.798828	-70.251602
194.471741	-70.429779
195.144653	-69.833504
195.817566	-71.443306
196.490479	-70.563042
197.163391	-70.460999
197.836304	-69.624756
198.509216	-69.107086
199.182129	-68.847984
199.855042	-69.904671
200.527954	-70.229614
201.200867	-69.987350
201.873779	-71.413239
202.546692	-70.975761
203.219604	-69.529465
203.892517	-69.786438
204.565430	-70.336685
205.238342	-71.166595
205.911255	-69.019424
206.584167	-71.270393
207.257080	-69.207909
207.929993	-70.093803
208.602905	-70.639252
209.275818	-70.629456
209.948730	-70.175919
210.621643	-72.286659
211.294556	-70.770615
211.967468	-72.008842
212.640381	-72.189285
213.313293	-71.898056
213.986206	-69.609604
214.659119	-72.156517
215.332031	-72.217949
216.004944	-71.963989
216.677856	-72.052673
217.350769	-72.596054
218.023682	-72.793259
218.696594	-72.442810
219.369507	-71.980705
220.042419	-73.575729
220.715332	-71.638878
221.388245	-71.698486
222.061157	-73.012115
222.734070	-72.654861
223.406982	-72.158241
224.079895	-73.658409
224.752808	-72.930885
225.425720	-71.585182
226.098633	-71.693832
226.771545	-73.215866
227.444458	-73.493652
228.117371	-73.547890
228.790283	-72.986038
229.463196	-74.446236
230.136108	-73.879097
230.809021	-73.376328
231.481934	-73.617638
232.154846	-74.132545
232.827759	-74.401764
233.500671	-73.666199
234.173584	-73.540215
234.846497	-74.609993
235.519409	-74.790466
236.192322	-73.781342
236.865234	-73.132790
237.538147	-74.647491
238.211060	-73.395866
238.883972	-73.565552
239.556885	-72.868233
240.229797	-72.721954
240.902710	-73.805359
241.575623	-73.495598
242.248535	-74.149612
242.921448	-74.984932
243.594360	-75.228912
244.267273	-73.569763
244.940186	-74.064102
245.613098	-74.047318
246.286011	-74.270248
246.958923	-74.478401
247.631836	-76.003456
248.304749	-74.967644
248.977661	-74.636948
249.650574	-74.634811
250.323486	-75.102295
250.996399	-76.319557
251.669312	-74.580353
252.342224	-74.526566
253.015137	-73.917213
253.688049	-74.914421
254.360962	-75.055931
255.033875	-76.570648
255.706787	-74.627289
256.379700	-75.608345
257.052612	-75.809731
257.725525	-75.120438
258.398438	-75.092171
259.071350	-75.620033
259.744263	-76.526756
260.417175	-76.653259
261.090088	-76.097038
261.763000	-76.400078
262.435913	-76.396957
263.108826	-75.562477
263.781738	-76.691513
264.454651	-77.341782
265.127563	-76.718277
265.800476	-76.471077
266.473389	-77.648254
267.146301	-77.723755
267.819214	-78.250793
268.492126	-76.577469
269.165039	-75.738518
269.837952	-76.392403
270.510864	-76.417946
271.183777	-76.655296
271.856689	-77.256126
272.529602	-76.717117
273.202515	-76.535843
273.875427	-76.955231
274.548340	-79.089622
275.221252	-77.165581
275.894165	-77.060677
276.567078	-78.266647
277.239990	-77.100792
277.912903	-77.699989
278.585815	-78.060150
279.258728	-78.280479
279.931641	-76.899277
280.604553	-78.882782
281.277466	-78.485329
281.950378	-77.479118
282.623291	-73.957787
283.296204	-70.975243
283.969116	-77.643639
284.642029	-75.988174
285.314941	-76.874603
285.987854	-78.013191
286.660767	-77.663017
287.333679	-78.781609
288.006592	-78.953590
288.679504	-79.060120
289.352417	-79.701767
290.025330	-79.665787
290.698242	-78.463257
291.371155	-79.048805
292.044067	-80.201546
292.716980	-78.683838
293.389893	-78.195282
294.062805	-78.897652
294.735718	-78.935150
295.408630	-80.749763
296.081543	-80.031647
296.754456	-78.058640
297.427368	-79.133575
298.100281	-78.422279
298.773193	-79.558533
299.446106	-79.283195
300.119019	-79.068176
300.791931	-79.204872
301.464844	-79.039886
302.137756	-78.249153
302.810669	-79.273003
303.483582	-79.347496
304.156494	-79.168427
304.829407	-78.011803
305.502319	-79.155891
306.175232	-79.158958
306.848145	-80.067558
307.521057	-78.668327
308.193970	-80.309990
308.866882	-80.123756
309.539795	-80.895424
310.212708	-80.001717
310.885620	-80.299171
311.558533	-80.090973
312.231445	-79.971054
312.904358	-81.260361
313.577271	-80.275482
314.250183	-79.275551
314.923096	-79.942863
315.596008	-79.732857
316.268921	-79.832748
316.941833	-79.668633
317.614746	-80.597923
318.287659	-80.892448
318.960571	-78.990364
319.633484	-80.634674
320.306396	-79.540672
320.979309	-80.032578
321.652222	-79.765076
322.325134	-80.284737
322.998047	-80.841835
323.670959	-80.961395
324.343872	-79.935226
325.016785	-81.034592
325.689697	-82.181335
326.362610	-80.792862
327.035522	-79.327019
327.708435	-81.345795
328.381348	-80.311279
329.054260	-81.320892
329.727173	-81.477066
330.400085	-79.978439
331.072998	-81.498085
331.745911	-81.153450
332.418823	-82.182205
