Frequency (Hz)	Level (dB)
0.672913	-98.027359
1.345825	-98.101265
2.018738	-97.747643
2.691650	-97.452034
3.364563	-96.991592
4.037476	-95.541115
4.710388	-97.270691
5.383301	-94.936714
6.056213	-93.824005
6.729126	-92.444023
7.402039	-92.518440
8.074951	-93.784584
8.747864	-91.062592
9.420776	-91.425247
10.093689	-88.563217
10.766602	-87.433456
11.439514	-85.695656
12.112427	-85.903519
12.785339	-84.889168
13.458252	-83.129242
14.131165	-85.057747
14.804077	-84.558365
15.476990	-86.048805
16.149902	-85.879204
16.822815	-84.393326
17.495728	-83.791336
18.168640	-81.280472
18.841553	-82.409737
19.514465	-79.147446
20.187378	-80.661453
20.860291	-78.501343
21.533203	-79.796890
22.206116	-79.086884
22.879028	-79.162361
23.551941	-77.526199
24.224854	-79.946907
24.897766	-76.769348
25.570679	-78.765633
26.243591	-78.117210
26.916504	-76.028893
27.589417	-74.398712
28.262329	-76.944511
28.935242	-76.243614
29.608154	-75.800415
30.281067	-76.707748
30.953979	-78.422119
31.626892	-77.135269
32.299805	-77.749268
32.972717	-74.963760
33.645630	-72.675797
34.318542	-75.584747
34.991455	-75.339966
35.664368	-78.519402
36.337280	-75.430176
37.010193	-72.289520
37.683105	-74.379150
38.356018	-76.258171
39.028931	-74.315430
39.701843	-71.178970
40.374756	-73.468666
41.047668	-71.797981
41.720581	-70.895767
42.393494	-72.132439
43.066406	-73.486801
43.739319	-73.296577
44.412231	-73.388863
45.085144	-73.439529
45.758057	-72.352631
46.430969	-70.821838
47.103882	-75.007225
47.776794	-72.726234
48.449707	-72.102501
49.122620	-70.081421
49.795532	-71.793953
50.468445	-70.595894
51.141357	-69.094048
51.814270	-69.667267
52.487183	-68.407928
53.160095	-68.148201
53.833008	-66.872009
54.505920	-66.060341
55.178833	-67.384384
55.851746	-65.784172
56.524658	-64.210869
57.197571	-65.411407
57.870483	-65.352119
58.543396	-65.328217
59.216309	-64.597198
59.889221	-65.197350
60.562134	-66.676300
61.235046	-65.419678
61.907959	-66.204613
62.580872	-62.348671
63.253784	-63.262894
63.926697	-64.488785
64.599609	-67.681595
65.272522	-70.185333
65.945435	-67.446220
66.618347	-69.633316
67.291260	-66.910194
67.964172	-69.763603
68.637085	-72.389702
69.309998	-69.981667
69.982910	-65.426964
70.655823	-65.354370
71.328735	-67.880615
72.001648	-66.088783
72.674561	-65.565536
73.347473	-65.105995
74.020386	-63.733734
74.693298	-64.711617
75.366211	-63.113918
76.039124	-64.831360
76.712036	-68.755348
77.384949	-64.930832
78.057861	-65.146240
78.730774	-66.286804
79.403687	-66.126259
80.076599	-68.697639
80.749512	-69.453171
81.422424	-67.660767
82.095337	-67.999580
82.768250	-68.940567
83.441162	-68.111382
84.114075	-65.371468
84.786987	-60.630157
85.459900	-62.712315
86.132812	-63.957844
86.805725	-62.399872
87.478638	-66.172523
88.151550	-65.735611
88.824463	-66.047409
89.497375	-64.071518
90.170288	-62.206688
90.843201	-63.423431
91.516113	-63.792931
92.189026	-66.118813
92.861938	-65.366402
93.534851	-68.998138
94.207764	-69.220154
94.880676	-73.670662
95.553589	-70.583054
96.226501	-70.668709
96.899414	-70.595299
97.572327	-68.319267
98.245239	-68.328735
98.918152	-70.174316
99.591064	-66.319817
100.263977	-69.297684
100.936890	-68.044319
101.609802	-70.151604
102.282715	-68.047607
102.955627	-66.592850
103.628540	-64.498741
104.301453	-63.785198
104.974365	-65.195045
105.647278	-63.815140
106.320190	-66.592407
106.993103	-65.179771
107.666016	-67.094810
108.338928	-65.638062
109.011841	-65.456146
109.684753	-67.228943
110.357666	-66.628716
111.030579	-68.203690
111.703491	-66.907349
112.376404	-63.948071
113.049316	-63.314705
113.722229	-60.021294
114.395142	-62.287563
115.068054	-64.421745
115.740967	-68.442368
116.413879	-70.126915
117.086792	-68.561043
117.759705	-68.753578
118.432617	-67.376488
119.105530	-69.027283
119.778442	-69.013779
120.451355	-64.276672
121.124268	-67.146744
121.797180	-66.758141
122.470093	-67.893913
123.143005	-67.104851
123.815918	-69.111336
124.488831	-66.669586
125.161743	-65.471138
125.834656	-67.614044
126.507568	-64.079079
127.180481	-66.422150
127.853394	-65.863358
128.526306	-65.617706
129.199219	-67.519684
129.872131	-64.610123
130.545044	-63.480667
131.217957	-65.893562
131.890869	-67.821022
132.563782	-66.384766
133.236694	-66.955688
133.909607	-66.270317
134.582520	-64.278984
135.255432	-64.931725
135.928345	-66.751610
136.601257	-66.622055
137.274170	-67.713898
137.947083	-67.094505
138.619995	-67.876518
139.292908	-65.118835
139.965820	-66.400536
140.638733	-69.792717
141.311646	-71.158012
141.984558	-68.858170
142.657471	-65.052193
143.330383	-63.398685
144.003296	-64.697151
144.676208	-64.337532
145.349121	-62.855522
146.022034	-63.564598
146.694946	-62.548397
147.367859	-63.379639
148.040771	-65.734779
148.713684	-62.809502
149.386597	-63.954853
150.059509	-66.209091
150.732422	-66.583199
151.405334	-65.448738
152.078247	-64.304749
