Frequency (Hz)	Level (dB)
0.672913	-92.849968
1.345825	-92.861549
2.018738	-92.799332
2.691650	-92.503723
3.364563	-92.456955
4.037476	-91.491180
4.710388	-92.326454
5.383301	-91.422554
6.056213	-91.188141
6.729126	-91.622665
7.402039	-91.016632
8.074951	-91.751373
8.747864	-90.855194
9.420776	-90.307053
10.093689	-89.405128
10.766602	-87.204117
11.439514	-84.792076
12.112427	-85.031036
12.785339	-86.420326
13.458252	-84.475883
14.131165	-87.044144
14.804077	-86.531792
15.476990	-85.509964
16.149902	-83.561676
16.822815	-84.694115
17.495728	-85.263512
18.168640	-83.365402
18.841553	-81.248817
19.514465	-82.360451
20.187378	-82.321144
20.860291	-80.966072
21.533203	-80.325859
22.206116	-78.994331
22.879028	-77.678551
23.551941	-78.122269
24.224854	-79.032059
24.897766	-79.944855
25.570679	-78.488831
26.243591	-77.555252
26.916504	-79.082787
27.589417	-76.830544
28.262329	-76.288902
28.935242	-77.433571
29.608154	-74.388092
30.281067	-77.966003
30.953979	-77.007362
31.626892	-77.496765
32.299805	-77.725250
32.972717	-76.544930
33.645630	-75.749138
34.318542	-75.707321
34.991455	-75.367630
35.664368	-75.082863
36.337280	-75.364990
37.010193	-74.866394
37.683105	-73.480721
38.356018	-75.458008
39.028931	-75.532249
39.701843	-73.557739
40.374756	-72.921021
41.047668	-74.511215
41.720581	-73.241463
42.393494	-73.067497
43.066406	-73.216965
43.739319	-71.359108
44.412231	-71.089729
45.085144	-73.374489
45.758057	-73.564285
46.430969	-71.149200
47.103882	-71.703392
47.776794	-71.151184
48.449707	-72.019165
49.122620	-71.589661
49.795532	-69.996750
50.468445	-68.851860
51.141357	-68.437508
51.814270	-68.683495
52.487183	-69.641342
53.160095	-68.119942
53.833008	-67.154343
54.505920	-66.954552
55.178833	-67.624802
55.851746	-65.849091
56.524658	-65.840164
57.197571	-65.806313
57.870483	-65.989922
58.543396	-66.359062
59.216309	-65.759521
59.889221	-65.766808
60.562134	-63.817547
61.235046	-63.746517
61.907959	-62.835598
62.580872	-61.753426
63.253784	-62.273247
63.926697	-65.592705
64.599609	-66.772522
65.272522	-69.216591
65.945435	-69.652069
66.618347	-70.165657
67.291260	-69.416504
67.964172	-69.442032
68.637085	-69.285431
69.309998	-67.788727
69.982910	-66.371132
70.655823	-66.258476
71.328735	-65.750008
72.001648	-67.359245
72.674561	-66.074036
73.347473	-65.494301
74.020386	-64.557137
74.693298	-63.268795
75.366211	-64.583290
76.039124	-65.665833
76.712036	-65.698883
77.384949	-66.784424
78.057861	-67.191673
78.730774	-66.519829
79.403687	-68.476608
80.076599	-67.215385
80.749512	-69.179810
81.422424	-69.154205
82.095337	-69.833008
82.768250	-68.764236
83.441162	-67.647629
84.114075	-64.611366
84.786987	-63.364365
85.459900	-64.295364
86.132812	-62.604366
86.805725	-62.431335
87.478638	-65.455772
88.151550	-64.613892
88.824463	-66.023506
89.497375	-64.836990
90.170288	-64.330872
90.843201	-63.208637
91.516113	-63.879059
92.189026	-65.781235
92.861938	-66.976425
93.534851	-68.127151
94.207764	-69.299141
94.880676	-69.046303
95.553589	-68.934868
96.226501	-70.285393
96.899414	-69.645485
97.572327	-68.732750
98.245239	-69.679749
98.918152	-69.979805
99.591064	-70.892357
100.263977	-68.989555
100.936890	-69.580589
101.609802	-70.610863
102.282715	-69.136856
