Frequency (Hz)	Level (dB)
0.672913	-93.236664
1.345825	-93.233688
2.018738	-93.135208
2.691650	-93.111275
3.364563	-92.738770
4.037476	-91.404762
4.710388	-92.126442
5.383301	-91.784569
6.056213	-90.870087
6.729126	-92.811295
7.402039	-91.336708
8.074951	-93.193573
8.747864	-91.555992
9.420776	-92.096573
10.093689	-90.570541
10.766602	-87.430397
11.439514	-83.426186
12.112427	-85.314445
12.785339	-87.197647
13.458252	-83.443657
14.131165	-87.162209
14.804077	-85.024574
15.476990	-86.090187
16.149902	-84.515404
16.822815	-83.038879
17.495728	-85.441681
18.168640	-82.420517
18.841553	-80.651360
19.514465	-84.127525
20.187378	-81.889320
20.860291	-79.617851
21.533203	-81.133728
22.206116	-79.804260
22.879028	-79.542717
23.551941	-78.128441
24.224854	-77.501846
24.897766	-80.000549
25.570679	-78.297272
26.243591	-77.534019
26.916504	-77.884201
27.589417	-76.051910
28.262329	-78.973732
28.935242	-76.269150
29.608154	-74.710815
30.281067	-77.369942
30.953979	-77.615692
31.626892	-77.162743
32.299805	-78.778313
32.972717	-75.992905
33.645630	-74.786545
34.318542	-75.380157
34.991455	-74.708023
35.664368	-74.611259
36.337280	-74.394608
37.010193	-74.100586
37.683105	-74.330368
38.356018	-75.043739
39.028931	-76.076042
39.701843	-76.524498
40.374756	-74.686050
41.047668	-73.981590
41.720581	-74.615112
42.393494	-72.499496
43.066406	-74.133644
43.739319	-72.058167
44.412231	-73.385330
45.085144	-74.170868
45.758057	-72.948563
46.430969	-70.356651
47.103882	-74.205887
47.776794	-72.139893
48.449707	-73.990257
49.122620	-72.894508
49.795532	-69.946884
50.468445	-68.776566
51.141357	-69.354843
51.814270	-68.354996
52.487183	-69.311203
53.160095	-69.275406
53.833008	-68.272110
54.505920	-67.321579
55.178833	-66.581932
55.851746	-64.424507
56.524658	-66.893326
57.197571	-66.877129
57.870483	-64.886894
58.543396	-65.105278
59.216309	-66.591118
59.889221	-65.218224
60.562134	-64.504349
61.235046	-63.402431
61.907959	-63.642403
62.580872	-61.195534
63.253784	-61.833523
63.926697	-67.333435
64.599609	-68.016029
65.272522	-70.812157
65.945435	-71.458908
66.618347	-70.014183
67.291260	-71.027786
67.964172	-68.492615
68.637085	-70.812874
69.309998	-69.417572
69.982910	-66.928322
70.655823	-64.818993
71.328735	-67.590927
72.001648	-68.107361
72.674561	-64.303741
73.347473	-66.854576
74.020386	-65.332626
74.693298	-60.618263
75.366211	-64.230911
76.039124	-66.184288
76.712036	-67.038773
77.384949	-67.509499
78.057861	-66.248909
78.730774	-67.760330
79.403687	-68.659851
80.076599	-67.669495
80.749512	-70.166122
81.422424	-70.837578
82.095337	-69.955795
82.768250	-67.631828
83.441162	-67.553215
84.114075	-67.431625
84.786987	-64.161293
85.459900	-64.461166
86.132812	-61.931152
86.805725	-67.787743
87.478638	-65.767609
88.151550	-65.442513
88.824463	-66.652664
89.497375	-65.205742
90.170288	-65.263313
90.843201	-62.852196
91.516113	-65.462151
92.189026	-65.169090
92.861938	-65.846153
93.534851	-66.941483
94.207764	-67.725815
94.880676	-68.288628
95.553589	-67.519386
96.226501	-69.624901
96.899414	-73.406158
97.572327	-68.479645
98.245239	-68.313393
98.918152	-70.478012
99.591064	-70.937187
100.263977	-66.688133
100.936890	-69.326370
101.609802	-70.174339
102.282715	-69.496498
102.955627	-66.259407
103.628540	-68.960342
104.301453	-67.433258
104.974365	-66.951981
105.647278	-65.520485
106.320190	-66.300842
106.993103	-65.906319
107.666016	-68.460464
108.338928	-69.403618
109.011841	-71.982117
109.684753	-68.433342
110.357666	-66.455704
111.030579	-66.418037
111.703491	-67.919395
112.376404	-65.181335
113.049316	-63.012936
113.722229	-58.729229
114.395142	-56.864738
115.068054	-63.202160
115.740967	-67.458801
116.413879	-68.690407
117.086792	-65.723381
117.759705	-66.849831
118.432617	-66.605507
119.105530	-70.349915
119.778442	-68.119316
120.451355	-68.685883
121.124268	-66.318245
121.797180	-66.306877
122.470093	-64.406097
123.143005	-67.763588
123.815918	-69.701851
124.488831	-67.125984
125.161743	-69.148666
125.834656	-70.985779
126.507568	-68.654457
127.180481	-67.364655
127.853394	-64.023193
128.526306	-64.789627
129.199219	-67.608879
129.872131	-67.807594
130.545044	-65.911591
131.217957	-67.846680
131.890869	-68.507896
132.563782	-67.915009
133.236694	-65.663574
133.909607	-67.990822
134.582520	-67.024132
135.255432	-68.962563
135.928345	-69.639450
136.601257	-70.587563
137.274170	-68.301254
137.947083	-67.747971
138.619995	-65.619225
139.292908	-70.224434
139.965820	-66.905792
140.638733	-72.518990
141.311646	-66.383430
141.984558	-63.428402
142.657471	-64.323349
143.330383	-66.306519
144.003296	-65.532486
144.676208	-67.152176
145.349121	-64.680237
146.022034	-64.369087
146.694946	-61.832600
147.367859	-62.698322
148.040771	-64.676178
148.713684	-67.099113
149.386597	-64.534134
150.059509	-63.901051
150.732422	-63.937874
151.405334	-63.837101
152.078247	-64.348763
152.751160	-66.582451
153.424072	-66.559586
154.096985	-66.187408
154.769897	-65.008057
155.442810	-64.501640
156.115723	-65.132256
156.788635	-63.694637
157.461548	-63.819115
158.134460	-65.269775
158.807373	-66.675819
159.480286	-66.232834
160.153198	-66.493584
160.826111	-63.114239
161.499023	-62.881607
162.171936	-66.816978
162.844849	-66.534294
163.517761	-69.727867
164.190674	-65.269920
164.863586	-63.416054
165.536499	-66.820061
166.209412	-67.470528
166.882324	-65.863831
167.555237	-63.499649
168.228149	-65.867271
168.901062	-70.043709
169.573975	-64.974304
170.246887	-68.231773
170.919800	-66.649376
171.592712	-62.878563
172.265625	-66.867447
172.938538	-60.914913
173.611450	-65.110405
174.284363	-67.251961
174.957275	-63.691311
175.630188	-62.815155
176.303101	-63.166569
176.976013	-67.037735
177.648926	-66.038750
178.321838	-64.536331
178.994751	-64.110123
179.667664	-69.242714
180.340576	-64.935989
181.013489	-65.398193
181.686401	-68.495819
182.359314	-67.496017
183.032227	-65.775139
183.705139	-67.554306
184.378052	-68.094009
185.050964	-66.081978
185.723877	-66.134460
186.396790	-68.659187
187.069702	-67.671097
187.742615	-65.771759
188.415527	-69.823677
189.088440	-67.658157
189.761353	-68.153061
190.434265	-68.704735
191.107178	-67.531975
191.780090	-66.822960
192.453003	-70.811867
193.125916	-71.984489
193.798828	-71.499168
194.471741	-67.786598
195.144653	-69.543953
195.817566	-72.758865
