Frequency (Hz)	Level (dB)
0.672913	-93.363914
1.345825	-93.307915
2.018738	-93.340393
2.691650	-93.252907
3.364563	-93.102531
4.037476	-92.756775
4.710388	-92.591385
5.383301	-92.807510
6.056213	-92.243195
6.729126	-90.153534
7.402039	-91.513138
8.074951	-91.604576
8.747864	-90.385010
9.420776	-89.800659
10.093689	-88.771133
10.766602	-86.930519
11.439514	-87.469322
12.112427	-86.817467
12.785339	-86.208748
13.458252	-85.508850
14.131165	-85.992447
14.804077	-84.529137
15.476990	-85.596405
16.149902	-85.741547
16.822815	-84.155640
17.495728	-83.909569
18.168640	-82.920006
18.841553	-81.092361
19.514465	-81.259239
20.187378	-81.690025
20.860291	-80.994995
21.533203	-81.471710
22.206116	-81.064247
22.879028	-79.870811
23.551941	-81.279854
24.224854	-79.529594
24.897766	-79.462746
25.570679	-78.667610
26.243591	-78.036041
26.916504	-77.444382
27.589417	-77.407959
28.262329	-78.060844
28.935242	-80.154396
29.608154	-76.782990
30.281067	-77.513405
30.953979	-76.925583
31.626892	-75.731850
32.299805	-78.983429
32.972717	-78.070892
33.645630	-77.242035
34.318542	-78.089615
34.991455	-77.094681
35.664368	-77.063568
36.337280	-74.835114
37.010193	-75.492645
37.683105	-74.982544
38.356018	-76.328888
39.028931	-75.941521
39.701843	-76.484222
40.374756	-77.267509
41.047668	-75.480354
41.720581	-74.263680
42.393494	-73.668282
43.066406	-74.145645
43.739319	-73.439293
44.412231	-72.508278
45.085144	-73.344757
45.758057	-73.988960
46.430969	-72.431808
47.103882	-74.317711
47.776794	-73.749596
48.449707	-72.395226
49.122620	-70.920731
49.795532	-70.531982
50.468445	-71.290535
51.141357	-70.007401
51.814270	-69.713684
52.487183	-70.114632
53.160095	-69.964409
53.833008	-68.628036
54.505920	-68.629036
55.178833	-68.059319
55.851746	-67.844910
56.524658	-66.228745
57.197571	-66.786530
57.870483	-66.576141
58.543396	-65.741409
59.216309	-66.098694
59.889221	-65.937241
60.562134	-66.146889
61.235046	-65.515915
61.907959	-63.486816
62.580872	-63.611420
63.253784	-63.299213
63.926697	-64.649681
64.599609	-68.680412
65.272522	-70.193886
65.945435	-69.503311
66.618347	-69.565422
67.291260	-70.694550
67.964172	-68.760246
68.637085	-69.013443
69.309998	-67.567711
69.982910	-67.348396
70.655823	-65.254128
71.328735	-64.782700
72.001648	-66.232964
72.674561	-66.156166
73.347473	-63.747097
74.020386	-63.308289
74.693298	-63.946007
75.366211	-63.204819
76.039124	-65.409920
76.712036	-67.392090
77.384949	-66.047188
78.057861	-67.141075
78.730774	-66.943176
79.403687	-67.585495
80.076599	-68.307182
80.749512	-67.527382
81.422424	-68.625702
82.095337	-67.757042
82.768250	-68.273994
83.441162	-68.332741
84.114075	-65.771599
84.786987	-63.267632
85.459900	-63.633305
86.132812	-63.098339
86.805725	-61.248745
87.478638	-64.186951
88.151550	-64.224709
88.824463	-63.625694
89.497375	-63.365147
90.170288	-64.028595
90.843201	-63.671707
91.516113	-65.904526
92.189026	-65.360664
92.861938	-66.006966
93.534851	-65.783455
94.207764	-66.831139
94.880676	-67.086380
95.553589	-67.036163
96.226501	-68.231583
96.899414	-68.450119
97.572327	-66.182266
