Frequency (Hz)	Level (dB)
0.672913	-92.215187
1.345825	-92.267609
2.018738	-92.164803
2.691650	-92.156006
3.364563	-92.107155
4.037476	-91.649040
4.710388	-91.885750
5.383301	-91.806557
6.056213	-91.493065
6.729126	-90.627472
7.402039	-91.250938
8.074951	-91.503563
8.747864	-91.078522
9.420776	-90.639221
10.093689	-89.634972
10.766602	-88.843239
11.439514	-87.837029
12.112427	-87.582741
12.785339	-87.449333
13.458252	-86.234734
14.131165	-88.883728
14.804077	-87.223030
15.476990	-87.435837
16.149902	-86.969162
16.822815	-86.342392
17.495728	-87.206024
18.168640	-85.224686
18.841553	-84.591972
19.514465	-83.791527
20.187378	-83.805199
20.860291	-83.717873
21.533203	-82.315300
22.206116	-82.731705
22.879028	-80.958725
23.551941	-80.553963
24.224854	-81.383629
24.897766	-81.462532
25.570679	-80.236076
26.243591	-79.817924
26.916504	-78.356171
27.589417	-79.308060
28.262329	-79.610046
28.935242	-80.415375
29.608154	-77.095818
30.281067	-78.615097
30.953979	-78.513153
31.626892	-77.710594
32.299805	-80.276283
32.972717	-78.281784
33.645630	-77.160080
34.318542	-79.067146
34.991455	-77.528030
35.664368	-77.673172
36.337280	-76.239540
37.010193	-77.283112
37.683105	-76.079674
38.356018	-76.853531
39.028931	-77.832756
39.701843	-78.480331
40.374756	-76.447601
41.047668	-75.657410
41.720581	-76.351120
42.393494	-74.527908
43.066406	-75.076836
43.739319	-73.811676
44.412231	-73.889397
45.085144	-74.588417
45.758057	-73.985565
46.430969	-72.743317
47.103882	-73.322517
47.776794	-73.136192
48.449707	-73.260811
49.122620	-73.749771
49.795532	-72.679123
50.468445	-71.450775
51.141357	-70.871414
51.814270	-71.055595
52.487183	-70.182518
53.160095	-69.315422
53.833008	-70.592262
54.505920	-68.495750
55.178833	-66.474174
55.851746	-70.159584
56.524658	-67.523178
57.197571	-67.473251
57.870483	-66.219872
58.543396	-67.904800
59.216309	-66.547707
59.889221	-67.209961
60.562134	-67.198608
61.235046	-66.941429
61.907959	-64.142899
62.580872	-63.693691
63.253784	-64.243370
63.926697	-66.861320
64.599609	-68.585327
65.272522	-70.537941
65.945435	-69.940033
66.618347	-69.443825
67.291260	-71.171814
67.964172	-69.751831
68.637085	-70.047333
69.309998	-68.415169
69.982910	-67.403259
70.655823	-66.471085
71.328735	-65.047646
72.001648	-66.751442
72.674561	-65.802078
73.347473	-64.924812
74.020386	-64.767838
74.693298	-64.074028
75.366211	-64.300163
76.039124	-65.691620
76.712036	-66.838272
77.384949	-67.158928
78.057861	-66.793304
78.730774	-67.074364
79.403687	-67.133812
80.076599	-68.971352
80.749512	-67.699646
81.422424	-68.740616
82.095337	-67.018402
82.768250	-68.286530
83.441162	-66.417130
84.114075	-64.308701
84.786987	-63.980812
85.459900	-63.557121
86.132812	-62.121468
86.805725	-60.860504
87.478638	-64.010101
88.151550	-64.740410
88.824463	-63.981197
89.497375	-62.740372
90.170288	-62.006298
90.843201	-63.941444
91.516113	-64.236679
92.189026	-64.861778
92.861938	-65.855988
93.534851	-65.182770
94.207764	-68.039246
94.880676	-66.506348
95.553589	-67.129807
96.226501	-66.494804
96.899414	-64.846306
97.572327	-66.609230
98.245239	-66.558464
98.918152	-66.156647
99.591064	-66.324341
100.263977	-66.414925
100.936890	-65.917885
101.609802	-65.768478
102.282715	-65.279648
102.955627	-63.979042
103.628540	-63.193100
104.301453	-63.815990
104.974365	-62.942108
105.647278	-62.497265
106.320190	-63.170094
106.993103	-63.478027
107.666016	-62.665451
108.338928	-63.579502
109.011841	-64.289825
109.684753	-63.466152
110.357666	-63.260292
111.030579	-64.558929
111.703491	-63.209084
112.376404	-62.915565
113.049316	-60.958000
113.722229	-57.440720
114.395142	-58.623825
115.068054	-60.941120
115.740967	-62.822380
116.413879	-61.699692
117.086792	-62.231586
117.759705	-62.782955
118.432617	-62.362041
119.105530	-60.576180
119.778442	-59.699471
120.451355	-61.446365
121.124268	-61.285419
121.797180	-62.220665
122.470093	-61.264816
123.143005	-61.451263
123.815918	-62.634693
124.488831	-62.157177
125.161743	-61.404114
125.834656	-62.186489
126.507568	-61.152431
127.180481	-60.192394
127.853394	-61.475960
128.526306	-61.216476
129.199219	-60.001827
129.872131	-61.152119
130.545044	-59.903999
131.217957	-60.284359
131.890869	-59.372780
132.563782	-59.878952
133.236694	-59.621220
133.909607	-60.501080
134.582520	-62.308868
135.255432	-60.968750
135.928345	-60.628365
136.601257	-61.223232
137.274170	-60.607983
137.947083	-60.633209
138.619995	-60.294415
139.292908	-60.580120
139.965820	-60.210503
140.638733	-60.379467
141.311646	-60.253242
141.984558	-59.387997
142.657471	-59.736969
143.330383	-59.474823
144.003296	-58.702991
144.676208	-60.506020
145.349121	-59.553459
146.022034	-59.101028
146.694946	-60.067696
147.367859	-58.701992
148.040771	-60.126064
148.713684	-60.338650
149.386597	-61.495426
150.059509	-59.352356
150.732422	-59.677086
151.405334	-61.596310
152.078247	-60.422039
152.751160	-60.796268
153.424072	-60.575218
154.096985	-59.911526
154.769897	-60.857445
155.442810	-59.390789
156.115723	-59.747700
156.788635	-59.213131
157.461548	-60.204079
158.134460	-60.502686
158.807373	-59.904041
159.480286	-59.537846
160.153198	-61.126118
160.826111	-61.278099
161.499023	-61.165718
162.171936	-61.020561
162.844849	-62.153969
163.517761	-61.567844
164.190674	-61.613132
164.863586	-61.346565
165.536499	-61.517212
166.209412	-61.344296
166.882324	-61.491268
167.555237	-62.096596
168.228149	-61.904385
168.901062	-63.426426
169.573975	-62.457294
170.246887	-61.361610
170.919800	-61.979946
171.592712	-62.035103
172.265625	-61.775757
172.938538	-61.438816
173.611450	-62.286972
174.284363	-61.486816
174.957275	-60.914486
175.630188	-61.284496
176.303101	-61.564999
176.976013	-61.674644
177.648926	-62.311878
178.321838	-62.936317
178.994751	-62.327377
179.667664	-63.139954
180.340576	-62.317307
181.013489	-63.091228
181.686401	-63.007118
182.359314	-63.231567
183.032227	-63.313496
183.705139	-63.344894
184.378052	-63.305210
185.050964	-63.078110
185.723877	-63.398354
186.396790	-63.692169
187.069702	-63.573315
187.742615	-63.903969
188.415527	-63.801617
189.088440	-63.729408
189.761353	-63.650280
190.434265	-64.013710
191.107178	-63.971272
191.780090	-63.687950
192.453003	-63.824284
193.125916	-64.110657
193.798828	-64.090759
194.471741	-64.257126
195.144653	-64.309120
195.817566	-64.826904
196.490479	-64.677467
197.163391	-64.263351
197.836304	-64.205482
198.509216	-64.104721
199.182129	-64.421532
199.855042	-65.030869
200.527954	-64.628716
201.200867	-64.422134
201.873779	-64.569618
202.546692	-64.586617
203.219604	-65.031631
203.892517	-64.595360
204.565430	-64.671249
205.238342	-64.962151
205.911255	-64.631943
206.584167	-64.632484
207.257080	-65.079178
207.929993	-64.464867
208.602905	-64.989838
209.275818	-65.210243
209.948730	-65.190514
210.621643	-65.767990
211.294556	-65.198547
211.967468	-65.088814
212.640381	-64.625229
213.313293	-64.343842
213.986206	-65.152138
214.659119	-64.712875
215.332031	-65.123207
216.004944	-64.872314
216.677856	-64.968613
217.350769	-65.211433
218.023682	-65.635742
218.696594	-65.602448
219.369507	-65.949066
220.042419	-66.128548
220.715332	-66.495598
221.388245	-66.599396
222.061157	-66.459717
222.734070	-67.264114
223.406982	-67.205246
224.079895	-67.134544
224.752808	-67.058540
225.425720	-67.293594
226.098633	-66.958725
226.771545	-66.612320
227.444458	-66.486435
228.117371	-66.609718
228.790283	-66.387466
229.463196	-65.782417
230.136108	-65.563751
230.809021	-65.333351
231.481934	-65.667862
232.154846	-65.400620
232.827759	-65.579857
233.500671	-65.438599
234.173584	-65.731392
234.846497	-66.375755
235.519409	-66.871292
236.192322	-66.671936
236.865234	-66.984604
237.538147	-67.157822
238.211060	-66.801674
238.883972	-66.424103
239.556885	-66.110786
240.229797	-65.966415
240.902710	-66.253357
241.575623	-66.406204
242.248535	-66.796440
242.921448	-66.904610
243.594360	-67.219513
244.267273	-66.698578
244.940186	-66.754646
245.613098	-66.521645
246.286011	-66.488884
246.958923	-67.035751
247.631836	-66.896484
248.304749	-67.061172
248.977661	-66.584641
249.650574	-66.639008
250.323486	-66.436348
250.996399	-66.933174
251.669312	-67.249512
252.342224	-66.618462
253.015137	-66.617073
253.688049	-67.021469
254.360962	-66.791840
255.033875	-67.153503
255.706787	-66.956116
256.379700	-66.578827
257.052612	-67.027542
257.725525	-67.419922
258.398438	-67.284912
259.071350	-66.909760
259.744263	-67.109573
260.417175	-67.598511
261.090088	-67.326202
261.763000	-66.846344
262.435913	-66.944618
263.108826	-67.554306
263.781738	-67.450119
264.454651	-67.121964
265.127563	-67.303406
265.800476	-67.785774
266.473389	-67.653915
267.146301	-67.360451
267.819214	-67.641792
268.492126	-67.576813
269.165039	-67.218590
269.837952	-67.517952
270.510864	-67.808899
271.183777	-67.342964
271.856689	-67.519333
272.529602	-68.086472
273.202515	-67.243408
273.875427	-67.601288
274.548340	-68.054062
275.221252	-67.455063
275.894165	-67.547798
276.567078	-67.763680
277.239990	-67.531479
277.912903	-67.991425
278.585815	-67.997643
279.258728	-67.586708
279.931641	-67.805847
280.604553	-67.623749
281.277466	-67.422165
281.950378	-67.817734
282.623291	-67.139793
283.296204	-67.488266
283.969116	-68.075890
284.642029	-68.086296
285.314941	-68.303215
285.987854	-67.755196
286.660767	-68.000801
287.333679	-67.428680
288.006592	-67.274933
288.679504	-67.236404
289.352417	-67.095032
290.025330	-67.489311
290.698242	-67.144417
291.371155	-67.855240
292.044067	-67.554642
292.716980	-68.340958
293.389893	-68.193428
294.062805	-68.495323
294.735718	-68.610199
295.408630	-69.126862
296.081543	-68.989273
296.754456	-69.276169
297.427368	-69.091599
298.100281	-69.067596
298.773193	-69.131073
299.446106	-69.361694
300.119019	-69.240341
300.791931	-69.021805
301.464844	-68.571861
302.137756	-68.610069
302.810669	-68.344826
303.483582	-68.115280
304.156494	-67.773338
304.829407	-67.897209
305.502319	-67.367104
306.175232	-67.672096
306.848145	-67.308601
307.521057	-67.595680
308.193970	-67.614403
308.866882	-67.873688
309.539795	-68.606377
310.212708	-68.438202
310.885620	-68.915848
311.558533	-68.406181
312.231445	-68.666161
312.904358	-68.404327
313.577271	-67.999184
314.250183	-68.190804
314.923096	-67.813545
315.596008	-68.186089
316.268921	-68.653877
316.941833	-68.312332
317.614746	-68.716400
318.287659	-68.393028
318.960571	-68.087639
319.633484	-68.293114
320.306396	-68.120071
320.979309	-68.337120
321.652222	-68.951897
322.325134	-68.550072
322.998047	-68.310394
323.670959	-68.614655
324.343872	-68.247932
325.016785	-68.480751
325.689697	-68.897736
326.362610	-68.725571
327.035522	-68.308395
327.708435	-68.508247
328.381348	-68.523857
329.054260	-68.613060
329.727173	-68.719383
330.400085	-68.667328
331.072998	-68.256149
331.745911	-68.450630
332.418823	-68.995262
333.091736	-68.723007
333.764648	-68.054726
334.437561	-68.331818
335.110474	-69.068298
335.783386	-68.947861
336.456299	-68.248337
337.129211	-68.510696
337.802124	-68.829384
338.475037	-68.757195
339.147949	-68.307159
339.820862	-68.478180
340.493774	-68.750641
341.166687	-68.714531
341.839600	-68.646561
342.512512	-68.532875
343.185425	-68.391006
343.858337	-68.675529
344.531250	-69.052925
345.204163	-68.882149
345.877075	-68.468994
346.549988	-68.613548
347.222900	-68.828285
347.895813	-68.966003
348.568726	-69.428673
349.241638	-69.161545
349.914551	-68.337212
350.587463	-68.554581
351.260376	-68.454422
351.933289	-68.806274
352.606201	-69.174271
353.279114	-69.241341
353.952026	-69.167244
354.624939	-68.680038
355.297852	-68.309181
355.970764	-68.293846
356.643677	-68.182114
357.316589	-68.576942
357.989502	-68.923965
358.662415	-69.066574
359.335327	-69.669785
360.008240	-68.841003
360.681152	-68.693474
361.354065	-68.597961
362.026978	-68.219109
362.699890	-68.224411
363.372803	-68.031960
364.045715	-68.111588
364.718628	-67.895035
365.391541	-68.004501
366.064453	-68.452095
366.737366	-68.600014
367.410278	-68.872101
368.083191	-69.163239
368.756104	-69.380608
369.429016	-69.680130
370.101929	-69.856720
370.774841	-69.913467
371.447754	-70.314323
372.120667	-70.168137
372.793579	-70.119736
373.466492	-70.217079
374.139404	-70.069740
374.812317	-69.919624
375.485229	-69.749046
376.158142	-69.507744
376.831055	-69.251633
377.503967	-68.931358
378.176880	-68.662918
378.849792	-68.732918
379.522705	-68.259300
380.195618	-68.166222
380.868530	-68.172302
381.541443	-68.065025
382.214355	-68.358902
382.887268	-68.411552
383.560181	-68.762733
384.233093	-68.995377
384.906006	-69.185394
385.578918	-69.252701
386.251831	-69.398430
386.924744	-69.194725
387.597656	-68.971336
388.270569	-68.616600
388.943481	-68.357544
389.616394	-68.505821
390.289307	-68.890366
390.962219	-69.104446
391.635132	-69.345551
392.308044	-69.400787
392.980957	-69.020119
393.653870	-68.848724
394.326782	-68.592896
394.999695	-68.665306
395.672607	-69.073189
396.345520	-69.305511
397.018433	-69.004761
397.691345	-68.876266
398.364258	-68.589920
399.037170	-68.744591
399.710083	-69.198807
400.382996	-69.308960
401.055908	-68.976013
401.728821	-68.735428
402.401733	-68.729767
403.074646	-69.021767
403.747559	-69.151878
404.420471	-69.097382
405.093384	-68.651031
405.766296	-68.691032
406.439209	-69.158180
407.112122	-69.185661
407.785034	-68.623299
408.457947	-68.481522
409.130859	-69.032120
409.803772	-69.269608
410.476685	-68.762825
411.149597	-68.697327
411.822510	-69.012886
412.495422	-69.165894
413.168335	-68.723610
413.841248	-68.618690
414.514160	-69.090729
415.187073	-69.092667
415.859985	-68.755470
416.532898	-68.840767
417.205811	-68.903809
417.878723	-68.790268
418.551636	-69.092590
419.224548	-69.309723
419.897461	-68.726006
420.570374	-68.542076
421.243286	-68.980408
421.916199	-68.973679
422.589111	-68.907875
423.262024	-69.141685
423.934937	-68.590149
424.607849	-68.625351
425.280762	-68.949913
425.953674	-68.607376
426.626587	-69.069374
427.299500	-69.315125
427.972412	-68.812790
428.645325	-68.983856
429.318237	-68.524223
429.991150	-68.288780
430.664062	-68.677628
431.336975	-68.647865
432.009888	-68.952728
