Frequency (Hz)	Level (dB)
0.672913	-91.955345
1.345825	-91.928391
2.018738	-91.873184
2.691650	-91.962830
3.364563	-91.946373
4.037476	-91.592125
4.710388	-91.657280
5.383301	-91.074615
6.056213	-91.388451
6.729126	-90.802269
7.402039	-90.772179
8.074951	-91.223793
8.747864	-91.119881
9.420776	-90.466766
10.093689	-89.390030
10.766602	-88.089226
11.439514	-87.425911
12.112427	-88.058617
12.785339	-87.647194
13.458252	-87.797157
14.131165	-88.086067
14.804077	-88.166954
15.476990	-86.044472
16.149902	-86.653404
16.822815	-86.289825
17.495728	-86.522179
18.168640	-85.556206
18.841553	-82.627853
19.514465	-83.565826
20.187378	-85.745193
20.860291	-82.444016
21.533203	-82.875931
22.206116	-81.745575
22.879028	-80.306000
23.551941	-80.900848
24.224854	-80.700706
24.897766	-80.038795
25.570679	-80.800690
26.243591	-79.732491
26.916504	-78.411469
27.589417	-80.882858
28.262329	-78.332619
28.935242	-79.284447
29.608154	-77.359375
30.281067	-79.836548
30.953979	-77.972366
31.626892	-78.816643
32.299805	-79.202469
32.972717	-79.460190
33.645630	-79.005440
34.318542	-78.236443
34.991455	-77.950485
35.664368	-77.531433
36.337280	-78.223587
37.010193	-76.150261
37.683105	-77.356529
38.356018	-76.472572
39.028931	-76.024979
39.701843	-76.357780
40.374756	-77.527916
41.047668	-75.428368
41.720581	-75.598701
42.393494	-75.622444
43.066406	-75.692581
43.739319	-74.866486
44.412231	-74.476456
45.085144	-74.655800
45.758057	-75.338799
46.430969	-73.390831
47.103882	-75.084679
47.776794	-73.698875
48.449707	-73.257355
49.122620	-73.958221
49.795532	-73.701279
50.468445	-70.438461
51.141357	-71.447853
51.814270	-71.221146
52.487183	-70.978149
53.160095	-70.223907
53.833008	-70.147804
54.505920	-69.206223
55.178833	-69.220467
55.851746	-67.523415
56.524658	-66.081871
57.197571	-67.350220
57.870483	-66.843719
58.543396	-66.990807
59.216309	-66.221512
59.889221	-67.622757
60.562134	-67.191124
61.235046	-64.390198
61.907959	-66.248276
62.580872	-62.944401
63.253784	-64.355537
63.926697	-65.506805
64.599609	-68.864815
65.272522	-70.743126
65.945435	-70.662636
66.618347	-69.497551
67.291260	-70.704414
67.964172	-72.138596
68.637085	-69.570129
69.309998	-68.463394
69.982910	-66.069817
70.655823	-66.430321
71.328735	-67.268227
72.001648	-67.418259
72.674561	-66.260300
73.347473	-65.081238
74.020386	-64.398468
74.693298	-62.645138
75.366211	-65.406609
76.039124	-65.525665
76.712036	-67.037292
77.384949	-67.548004
78.057861	-67.678581
78.730774	-69.048607
79.403687	-69.480797
80.076599	-68.043709
80.749512	-70.099678
81.422424	-68.532944
82.095337	-68.047798
82.768250	-69.358734
83.441162	-66.414619
84.114075	-67.054504
84.786987	-63.508118
85.459900	-65.066582
86.132812	-62.454983
86.805725	-62.221924
87.478638	-64.572662
88.151550	-65.402794
88.824463	-64.476395
89.497375	-63.912292
90.170288	-64.217216
90.843201	-63.212193
91.516113	-65.696762
92.189026	-65.510361
92.861938	-67.098862
93.534851	-66.789116
94.207764	-69.140846
94.880676	-68.578789
95.553589	-68.144775
96.226501	-69.122597
96.899414	-67.984581
97.572327	-68.429932
98.245239	-67.677094
98.918152	-69.320847
99.591064	-67.868683
100.263977	-67.125626
100.936890	-68.327225
101.609802	-68.247581
102.282715	-64.910156
102.955627	-65.482872
103.628540	-64.645782
104.301453	-64.842331
104.974365	-63.820786
105.647278	-64.746628
106.320190	-63.798649
106.993103	-64.361862
107.666016	-65.298370
108.338928	-65.102158
109.011841	-65.644264
109.684753	-65.739952
110.357666	-66.069077
111.030579	-64.796700
111.703491	-65.171227
112.376404	-63.994339
113.049316	-61.660904
113.722229	-57.343449
114.395142	-60.050507
115.068054	-62.189491
115.740967	-62.720764
116.413879	-64.412033
117.086792	-63.546124
117.759705	-62.442814
118.432617	-62.907486
119.105530	-61.444214
119.778442	-60.321598
120.451355	-61.679588
121.124268	-61.909164
121.797180	-64.853233
122.470093	-64.736992
123.143005	-64.740616
123.815918	-64.457306
124.488831	-64.828651
125.161743	-64.765541
125.834656	-64.846321
126.507568	-62.965702
127.180481	-62.741245
127.853394	-62.422897
128.526306	-62.539074
129.199219	-63.643784
129.872131	-62.534893
130.545044	-62.544067
131.217957	-62.353477
131.890869	-62.643887
132.563782	-62.230316
133.236694	-63.891407
133.909607	-62.716522
134.582520	-63.507565
135.255432	-63.950825
135.928345	-64.088295
136.601257	-64.460533
137.274170	-63.488293
137.947083	-65.396683
138.619995	-63.882946
139.292908	-63.191341
139.965820	-63.549095
140.638733	-64.643768
141.311646	-64.830009
141.984558	-62.823978
142.657471	-63.139702
