Frequency (Hz)	Level (dB)
0.672913	-90.727486
1.345825	-90.680794
2.018738	-90.612152
2.691650	-90.620377
3.364563	-90.796265
4.037476	-90.022896
4.710388	-90.303421
5.383301	-90.040703
6.056213	-90.177383
6.729126	-88.588875
7.402039	-89.181358
8.074951	-88.782516
8.747864	-88.387131
9.420776	-88.110321
10.093689	-87.451157
10.766602	-85.508667
11.439514	-84.917244
12.112427	-84.722618
12.785339	-83.633591
13.458252	-82.563377
14.131165	-84.073654
14.804077	-83.631310
15.476990	-83.807526
16.149902	-82.474464
16.822815	-82.418633
17.495728	-82.407433
18.168640	-81.607048
18.841553	-79.392601
19.514465	-80.558434
20.187378	-81.039848
20.860291	-80.176399
21.533203	-79.890816
22.206116	-77.638580
22.879028	-77.361282
23.551941	-78.814247
24.224854	-76.377205
24.897766	-76.872002
25.570679	-75.600990
26.243591	-76.946396
26.916504	-75.922081
27.589417	-75.428802
28.262329	-75.130119
28.935242	-76.366798
29.608154	-73.893768
30.281067	-76.115913
30.953979	-74.615875
31.626892	-74.856949
32.299805	-74.616852
32.972717	-75.192825
33.645630	-75.148666
34.318542	-74.962189
34.991455	-73.123962
35.664368	-73.592377
36.337280	-73.395325
37.010193	-71.609596
37.683105	-72.821671
38.356018	-72.339699
39.028931	-72.749451
39.701843	-70.915802
40.374756	-70.775703
41.047668	-70.632355
41.720581	-69.004219
42.393494	-69.818573
43.066406	-71.728035
43.739319	-70.175369
44.412231	-68.819405
45.085144	-68.286186
45.758057	-69.291626
46.430969	-66.595749
47.103882	-68.671379
47.776794	-67.381187
48.449707	-67.405685
49.122620	-66.253693
49.795532	-65.842789
50.468445	-63.994644
51.141357	-63.914867
51.814270	-65.028084
52.487183	-64.292595
53.160095	-62.696041
53.833008	-63.335709
54.505920	-61.502136
55.178833	-62.445080
55.851746	-59.363285
56.524658	-60.362789
57.197571	-61.790020
57.870483	-59.617870
58.543396	-61.707428
59.216309	-59.319351
59.889221	-59.454674
60.562134	-57.509769
61.235046	-58.126045
61.907959	-56.807133
62.580872	-56.746292
63.253784	-54.144596
63.926697	-56.199100
64.599609	-60.317463
65.272522	-60.987953
65.945435	-60.365898
66.618347	-60.917931
67.291260	-59.845787
67.964172	-59.878624
68.637085	-59.199913
69.309998	-58.866203
69.982910	-57.907501
70.655823	-56.478806
71.328735	-57.716995
72.001648	-57.777584
72.674561	-55.932053
73.347473	-56.757313
74.020386	-55.420761
74.693298	-55.279533
75.366211	-57.121162
76.039124	-55.951088
76.712036	-56.665409
77.384949	-57.984959
78.057861	-59.677834
78.730774	-58.755684
79.403687	-59.231930
80.076599	-59.691998
80.749512	-59.053478
81.422424	-60.692513
82.095337	-59.478596
82.768250	-61.399994
83.441162	-59.289146
84.114075	-59.193016
84.786987	-57.383526
85.459900	-56.682060
86.132812	-56.500580
86.805725	-55.485195
87.478638	-58.129005
88.151550	-58.909473
88.824463	-58.809753
89.497375	-59.981983
90.170288	-58.114346
90.843201	-59.365784
91.516113	-59.011917
92.189026	-60.198353
92.861938	-60.558544
93.534851	-62.074963
94.207764	-60.957733
94.880676	-62.893272
95.553589	-63.343555
96.226501	-63.155087
96.899414	-63.205631
97.572327	-62.312492
98.245239	-63.010883
98.918152	-62.834717
99.591064	-62.276558
100.263977	-61.491405
100.936890	-62.432621
101.609802	-61.787792
102.282715	-62.305943
102.955627	-63.984364
103.628540	-63.636631
104.301453	-62.054371
104.974365	-62.517635
105.647278	-62.188179
106.320190	-62.963085
106.993103	-63.379810
107.666016	-62.919643
108.338928	-63.345161
109.011841	-65.179710
109.684753	-65.078918
110.357666	-63.600727
111.030579	-64.826340
111.703491	-64.528275
112.376404	-62.667595
113.049316	-61.946991
113.722229	-61.603378
114.395142	-61.903248
115.068054	-62.636177
115.740967	-64.697784
116.413879	-65.154205
117.086792	-64.998123
117.759705	-65.119293
118.432617	-64.596794
119.105530	-65.612267
119.778442	-65.503960
120.451355	-66.349312
121.124268	-66.216751
121.797180	-64.882446
122.470093	-66.231216
123.143005	-64.896004
123.815918	-66.355820
124.488831	-66.238571
125.161743	-65.853027
125.834656	-66.190208
126.507568	-65.810730
127.180481	-67.165092
127.853394	-66.427551
128.526306	-64.520401
129.199219	-65.952980
129.872131	-66.423767
130.545044	-65.104073
131.217957	-66.748055
131.890869	-65.642532
132.563782	-66.702675
133.236694	-67.228607
133.909607	-66.755455
134.582520	-67.099258
135.255432	-67.740089
135.928345	-66.637733
136.601257	-65.986603
137.274170	-67.069107
137.947083	-67.122154
138.619995	-68.666557
139.292908	-66.745087
139.965820	-67.678795
140.638733	-66.722862
141.311646	-68.172943
141.984558	-67.670242
142.657471	-67.160851
143.330383	-67.030914
144.003296	-67.487556
144.676208	-66.794815
145.349121	-66.588966
146.022034	-67.158386
146.694946	-66.221703
147.367859	-66.893578
148.040771	-66.865219
148.713684	-68.388672
149.386597	-67.539635
150.059509	-67.807129
150.732422	-67.372269
151.405334	-67.225426
152.078247	-67.431282
152.751160	-69.482010
153.424072	-68.589973
154.096985	-67.976280
154.769897	-67.470932
155.442810	-67.096367
156.115723	-66.891212
156.788635	-67.776199
157.461548	-67.284569
158.134460	-67.782982
158.807373	-66.821907
159.480286	-67.328796
160.153198	-67.076088
160.826111	-68.246925
161.499023	-68.143242
162.171936	-67.646179
162.844849	-68.554428
163.517761	-67.714668
164.190674	-69.416786
164.863586	-69.318924
165.536499	-68.500908
166.209412	-68.657616
166.882324	-66.724136
167.555237	-69.051521
168.228149	-68.298637
168.901062	-67.415115
169.573975	-70.107719
170.246887	-67.997276
170.919800	-67.983620
171.592712	-68.241631
172.265625	-68.701462
172.938538	-68.126518
173.611450	-67.668388
174.284363	-67.833015
174.957275	-67.780045
175.630188	-68.464302
176.303101	-68.257637
176.976013	-68.782036
177.648926	-69.219269
178.321838	-66.697235
178.994751	-68.389381
179.667664	-68.573334
180.340576	-68.628090
181.013489	-68.553268
181.686401	-68.657639
182.359314	-68.279198
183.032227	-69.858650
183.705139	-68.531677
184.378052	-68.949593
185.050964	-68.657036
185.723877	-68.216011
186.396790	-68.780190
187.069702	-69.206635
187.742615	-68.457283
188.415527	-68.945992
189.088440	-68.323204
189.761353	-68.902710
190.434265	-69.271156
191.107178	-69.509491
191.780090	-69.626083
192.453003	-68.731621
193.125916	-69.190964
193.798828	-69.277016
194.471741	-68.915504
195.144653	-68.803055
195.817566	-69.698235
196.490479	-70.151283
197.163391	-69.768631
197.836304	-68.942726
198.509216	-68.563148
199.182129	-67.416443
199.855042	-69.824524
200.527954	-68.471336
201.200867	-68.535294
201.873779	-69.488373
202.546692	-68.394165
203.219604	-68.545166
203.892517	-68.858429
204.565430	-67.850861
205.238342	-69.820061
205.911255	-68.282257
206.584167	-69.001007
207.257080	-68.760803
207.929993	-68.754807
208.602905	-69.396690
209.275818	-68.893135
209.948730	-68.005081
210.621643	-69.184128
211.294556	-68.334785
211.967468	-69.069550
212.640381	-68.956772
213.313293	-68.270203
213.986206	-68.577377
214.659119	-68.703331
215.332031	-68.701706
216.004944	-67.737457
216.677856	-68.014931
217.350769	-68.396385
218.023682	-68.815903
218.696594	-69.068382
219.369507	-68.731209
220.042419	-68.935112
220.715332	-66.937897
221.388245	-67.041176
222.061157	-68.461006
222.734070	-67.788383
223.406982	-67.722412
224.079895	-67.827255
224.752808	-67.595451
225.425720	-66.320068
226.098633	-67.173500
226.771545	-68.139214
227.444458	-67.292496
228.117371	-67.452820
228.790283	-67.497299
229.463196	-69.103271
230.136108	-68.136673
230.809021	-67.855118
231.481934	-68.125153
232.154846	-67.730225
232.827759	-68.150772
233.500671	-67.680565
234.173584	-68.101234
234.846497	-69.040222
235.519409	-67.301208
236.192322	-66.759476
236.865234	-67.029732
237.538147	-68.145279
238.211060	-66.356537
238.883972	-67.244133
239.556885	-66.335197
240.229797	-67.038452
240.902710	-66.210190
241.575623	-62.444263
242.248535	-65.162849
242.921448	-66.548615
243.594360	-66.971962
244.267273	-65.901031
244.940186	-66.863235
245.613098	-66.684608
246.286011	-66.035461
246.958923	-66.760986
247.631836	-67.594040
248.304749	-66.446503
248.977661	-66.498505
249.650574	-65.693008
250.323486	-65.873184
250.996399	-66.805229
251.669312	-66.909950
252.342224	-66.510216
253.015137	-64.648987
253.688049	-65.851395
254.360962	-65.685532
255.033875	-66.248108
255.706787	-65.657806
256.379700	-65.935066
257.052612	-66.063286
257.725525	-65.249489
258.398438	-64.332581
259.071350	-65.317238
259.744263	-65.556122
260.417175	-65.858635
261.090088	-65.772110
261.763000	-65.562340
262.435913	-64.438965
263.108826	-62.934071
263.781738	-64.573738
264.454651	-65.503807
265.127563	-63.802269
265.800476	-64.706161
266.473389	-64.681602
267.146301	-64.917740
267.819214	-64.675941
268.492126	-63.518909
269.165039	-63.475960
269.837952	-62.822544
270.510864	-62.965843
271.183777	-63.579315
271.856689	-63.782719
272.529602	-63.919907
273.202515	-62.949413
273.875427	-63.320007
274.548340	-64.915039
275.221252	-63.148357
275.894165	-62.798363
276.567078	-63.253254
277.239990	-62.363598
277.912903	-62.692802
278.585815	-63.131187
279.258728	-63.004433
279.931641	-61.227562
280.604553	-62.687019
281.277466	-62.885303
281.950378	-61.531712
282.623291	-61.531116
283.296204	-61.089195
283.969116	-61.198280
284.642029	-59.463974
285.314941	-59.715588
285.987854	-60.573711
286.660767	-60.364487
287.333679	-61.013134
288.006592	-60.515903
288.679504	-60.909569
289.352417	-60.921814
290.025330	-61.086765
290.698242	-59.486141
291.371155	-59.881840
292.044067	-60.723682
292.716980	-58.852543
293.389893	-59.284855
294.062805	-59.553860
294.735718	-59.285225
295.408630	-60.882698
296.081543	-60.388676
296.754456	-58.101906
297.427368	-59.401817
298.100281	-58.668644
298.773193	-59.008434
299.446106	-59.426353
300.119019	-59.049564
300.791931	-58.785408
301.464844	-58.809406
302.137756	-58.414570
302.810669	-59.393723
303.483582	-58.751022
304.156494	-58.964409
304.829407	-57.809284
305.502319	-58.834389
306.175232	-59.167240
306.848145	-60.402489
307.521057	-58.508358
308.193970	-59.893410
308.866882	-60.548050
309.539795	-60.906334
310.212708	-59.770699
310.885620	-59.896454
311.558533	-59.791016
312.231445	-59.569080
312.904358	-59.813248
313.577271	-59.554588
314.250183	-58.588501
314.923096	-59.007969
315.596008	-58.024658
316.268921	-59.113544
316.941833	-58.718639
317.614746	-59.334660
318.287659	-58.825176
318.960571	-58.452438
319.633484	-59.466007
320.306396	-58.297291
320.979309	-59.399700
321.652222	-58.876614
322.325134	-59.974514
322.998047	-60.006527
323.670959	-60.401592
324.343872	-59.768501
325.016785	-60.766815
325.689697	-61.330616
326.362610	-60.478947
327.035522	-59.688271
327.708435	-61.021217
328.381348	-60.906147
329.054260	-61.547508
329.727173	-61.617550
330.400085	-60.761139
331.072998	-61.649181
331.745911	-62.361607
332.418823	-63.747253
333.091736	-62.313049
333.764648	-61.791935
334.437561	-62.317505
335.110474	-63.324379
335.783386	-63.168415
336.456299	-62.291145
337.129211	-63.408936
337.802124	-62.490826
338.475037	-63.018005
339.147949	-62.424706
339.820862	-62.828545
340.493774	-62.495819
341.166687	-63.519848
341.839600	-63.161613
342.512512	-63.273987
343.185425	-64.406303
343.858337	-65.182571
344.531250	-64.724960
345.204163	-63.866642
345.877075	-65.443695
346.549988	-64.211678
347.222900	-64.073463
347.895813	-66.037209
348.568726	-65.665520
349.241638	-64.784813
349.914551	-65.389618
350.587463	-65.672966
351.260376	-66.073273
351.933289	-66.708946
352.606201	-65.797302
353.279114	-66.742142
353.952026	-67.076515
354.624939	-66.241501
355.297852	-66.712372
355.970764	-67.319801
356.643677	-66.990990
357.316589	-66.204857
357.989502	-67.050133
