Frequency (Hz)	Level (dB)
0.672913	-89.010742
1.345825	-89.004166
2.018738	-89.072258
2.691650	-88.968735
3.364563	-88.915947
4.037476	-88.821304
4.710388	-88.715218
5.383301	-88.684540
6.056213	-88.351852
6.729126	-87.816681
7.402039	-88.623497
8.074951	-88.495415
8.747864	-88.139587
9.420776	-88.125153
10.093689	-86.842918
10.766602	-85.933800
11.439514	-86.342598
12.112427	-84.420662
12.785339	-83.798264
13.458252	-82.411743
14.131165	-85.500038
14.804077	-85.336082
15.476990	-85.422813
16.149902	-83.810928
16.822815	-83.950882
17.495728	-84.865593
18.168640	-80.936691
18.841553	-80.501778
19.514465	-80.977814
20.187378	-82.291206
20.860291	-80.958359
21.533203	-80.676323
22.206116	-80.291321
22.879028	-77.720146
23.551941	-76.886688
24.224854	-77.668076
24.897766	-76.596481
25.570679	-76.726059
26.243591	-77.317436
26.916504	-77.084152
27.589417	-77.529022
28.262329	-76.109322
28.935242	-77.422195
29.608154	-73.840218
30.281067	-76.939171
30.953979	-76.106117
31.626892	-73.513184
32.299805	-75.427544
32.972717	-75.282845
33.645630	-75.154610
34.318542	-75.601913
34.991455	-74.003632
35.664368	-74.079689
36.337280	-75.318771
37.010193	-73.867722
37.683105	-72.390884
38.356018	-72.695801
39.028931	-72.732796
39.701843	-72.068176
40.374756	-73.225357
41.047668	-71.556725
41.720581	-70.197830
42.393494	-69.292160
43.066406	-70.327415
43.739319	-71.856819
44.412231	-70.525383
45.085144	-70.195480
45.758057	-69.430695
46.430969	-67.593460
47.103882	-69.230522
47.776794	-69.324265
48.449707	-68.072021
49.122620	-67.398880
49.795532	-66.245338
50.468445	-65.892578
51.141357	-64.907700
51.814270	-65.848801
52.487183	-64.484749
53.160095	-64.315544
53.833008	-62.323441
54.505920	-63.454659
55.178833	-63.129128
55.851746	-62.242298
56.524658	-59.928829
57.197571	-60.325760
57.870483	-61.158970
58.543396	-59.391346
59.216309	-60.521244
59.889221	-59.652851
60.562134	-59.400799
61.235046	-59.625977
61.907959	-57.195320
62.580872	-57.431286
63.253784	-56.173481
63.926697	-58.262856
64.599609	-61.901413
65.272522	-62.739769
65.945435	-63.083462
66.618347	-63.954670
67.291260	-62.777679
67.964172	-62.337643
68.637085	-60.243282
69.309998	-59.908356
69.982910	-58.850510
70.655823	-59.805649
71.328735	-58.039494
72.001648	-58.675694
72.674561	-58.027538
73.347473	-57.598110
74.020386	-57.524551
74.693298	-56.851395
75.366211	-57.097927
76.039124	-57.724895
76.712036	-59.300926
77.384949	-60.802433
78.057861	-60.489971
78.730774	-60.629822
79.403687	-62.709240
80.076599	-61.892776
80.749512	-62.957787
81.422424	-63.358421
82.095337	-62.788364
82.768250	-62.747421
83.441162	-60.863430
84.114075	-59.653645
84.786987	-58.557243
85.459900	-59.059620
86.132812	-59.303585
86.805725	-58.358715
87.478638	-58.710705
88.151550	-59.834633
88.824463	-62.079124
89.497375	-60.838051
90.170288	-59.502621
90.843201	-59.031708
91.516113	-61.174118
92.189026	-64.799583
92.861938	-64.028999
93.534851	-64.073967
94.207764	-66.526352
94.880676	-67.443001
95.553589	-66.087547
96.226501	-65.700409
96.899414	-67.144882
97.572327	-68.918709
98.245239	-68.331123
98.918152	-68.197784
99.591064	-68.875061
100.263977	-67.663315
100.936890	-69.090576
101.609802	-69.281288
102.282715	-67.804825
102.955627	-66.526825
103.628540	-65.585342
104.301453	-65.696609
104.974365	-65.456230
105.647278	-65.201538
106.320190	-64.858597
106.993103	-66.954453
107.666016	-67.697746
108.338928	-68.187782
109.011841	-69.236923
109.684753	-69.480522
110.357666	-69.286041
111.030579	-68.842979
111.703491	-69.613792
112.376404	-67.352821
113.049316	-63.745148
113.722229	-61.886139
114.395142	-63.829330
115.068054	-67.123116
115.740967	-68.772522
116.413879	-69.121536
117.086792	-69.510162
117.759705	-70.378326
118.432617	-69.886780
119.105530	-69.890739
119.778442	-69.342651
120.451355	-69.492737
121.124268	-68.675629
121.797180	-69.892319
122.470093	-70.938217
123.143005	-71.523193
123.815918	-72.219543
124.488831	-72.364326
125.161743	-72.765862
125.834656	-71.681076
126.507568	-71.315094
127.180481	-70.986313
127.853394	-70.117882
128.526306	-71.941856
129.199219	-72.505852
129.872131	-71.905212
130.545044	-71.573288
131.217957	-72.900246
131.890869	-72.393097
132.563782	-72.142570
133.236694	-73.460754
133.909607	-72.841576
134.582520	-73.869720
135.255432	-74.526543
135.928345	-73.869843
136.601257	-74.824303
137.274170	-74.394073
137.947083	-74.716934
138.619995	-75.438217
139.292908	-74.755013
139.965820	-74.013954
140.638733	-73.443115
141.311646	-75.038841
141.984558	-73.198830
142.657471	-73.705887
143.330383	-72.347633
144.003296	-72.249702
144.676208	-72.384453
145.349121	-72.408333
146.022034	-71.435539
146.694946	-72.451653
147.367859	-71.291588
148.040771	-71.991905
148.713684	-72.281807
149.386597	-73.113968
150.059509	-72.994621
150.732422	-72.647789
151.405334	-74.512100
152.078247	-73.016563
152.751160	-74.199509
153.424072	-73.804695
154.096985	-73.587151
154.769897	-73.013992
155.442810	-72.380440
156.115723	-74.541069
156.788635	-72.792053
157.461548	-73.312782
158.134460	-72.247688
158.807373	-72.798233
159.480286	-73.793564
160.153198	-74.111778
160.826111	-74.454010
161.499023	-73.899323
162.171936	-73.986816
162.844849	-73.860443
163.517761	-73.896111
164.190674	-74.342918
164.863586	-73.883759
165.536499	-74.079231
166.209412	-73.258331
166.882324	-73.648132
167.555237	-74.001892
168.228149	-73.790977
168.901062	-73.959084
169.573975	-73.379501
170.246887	-74.130241
170.919800	-74.789619
171.592712	-74.976288
172.265625	-74.970940
172.938538	-72.383904
173.611450	-74.528969
174.284363	-74.704857
174.957275	-73.587044
175.630188	-73.274712
176.303101	-72.964645
176.976013	-72.807320
177.648926	-72.543076
178.321838	-73.263504
178.994751	-74.547913
179.667664	-74.247253
180.340576	-74.569313
181.013489	-74.424477
181.686401	-74.839172
182.359314	-74.784584
183.032227	-75.090683
183.705139	-74.532120
184.378052	-74.121880
185.050964	-74.761177
185.723877	-74.718689
186.396790	-74.752968
187.069702	-74.908295
187.742615	-75.147217
188.415527	-75.306534
189.088440	-75.703362
189.761353	-75.321953
190.434265	-75.060410
191.107178	-75.184273
191.780090	-74.819420
192.453003	-75.483238
193.125916	-75.989296
193.798828	-75.388992
194.471741	-75.253845
195.144653	-75.349373
195.817566	-75.706223
196.490479	-75.080299
197.163391	-74.868706
197.836304	-74.120560
198.509216	-74.446014
199.182129	-74.566658
199.855042	-75.072182
200.527954	-74.537712
201.200867	-75.132050
201.873779	-74.379898
202.546692	-74.135330
203.219604	-74.453011
203.892517	-74.111343
204.565430	-74.443077
205.238342	-73.983795
205.911255	-73.901794
206.584167	-73.828926
207.257080	-74.216667
207.929993	-74.317902
208.602905	-74.468315
209.275818	-73.288071
209.948730	-74.870842
210.621643	-74.470314
211.294556	-74.119591
211.967468	-73.968712
212.640381	-73.485977
213.313293	-72.734619
213.986206	-72.893753
214.659119	-73.453613
215.332031	-73.677811
216.004944	-73.355820
216.677856	-73.594177
217.350769	-73.336128
218.023682	-74.495956
218.696594	-74.083374
219.369507	-74.983253
220.042419	-74.219284
220.715332	-75.183662
221.388245	-74.083885
222.061157	-74.871056
222.734070	-74.536865
223.406982	-75.179863
224.079895	-75.095139
224.752808	-75.468330
225.425720	-74.575462
226.098633	-74.977379
226.771545	-74.233528
227.444458	-74.314888
228.117371	-73.193100
228.790283	-74.049393
229.463196	-72.771576
230.136108	-72.913712
230.809021	-72.527390
231.481934	-72.332878
232.154846	-72.404671
232.827759	-71.968613
233.500671	-72.951630
