Frequency (Hz)	Level (dB)
0.672913	-85.842201
1.345825	-85.858948
2.018738	-85.835434
2.691650	-85.905472
3.364563	-85.939522
4.037476	-85.624481
4.710388	-85.747658
5.383301	-85.722343
6.056213	-85.588890
6.729126	-84.887657
7.402039	-85.493057
8.074951	-85.348442
8.747864	-85.231842
9.420776	-85.161392
10.093689	-84.672302
10.766602	-83.597000
11.439514	-82.688499
12.112427	-83.953979
12.785339	-83.038971
13.458252	-82.910843
14.131165	-82.565994
14.804077	-82.293159
15.476990	-82.286285
16.149902	-82.485832
16.822815	-82.610771
17.495728	-81.348473
18.168640	-80.891716
18.841553	-80.124527
19.514465	-79.835556
20.187378	-81.051491
20.860291	-79.697105
21.533203	-78.376038
22.206116	-78.685913
22.879028	-76.175499
23.551941	-78.338043
24.224854	-76.806755
24.897766	-76.187241
25.570679	-76.014984
26.243591	-75.947189
26.916504	-77.046989
27.589417	-75.184418
28.262329	-74.542854
28.935242	-77.200066
29.608154	-72.387169
30.281067	-75.062485
30.953979	-76.200981
31.626892	-74.046669
32.299805	-75.208542
32.972717	-73.960052
33.645630	-74.095215
34.318542	-73.693733
34.991455	-73.250389
35.664368	-74.079590
36.337280	-72.662033
37.010193	-70.280701
37.683105	-72.263870
38.356018	-71.730530
39.028931	-72.169548
39.701843	-70.993217
40.374756	-70.185249
41.047668	-69.536713
41.720581	-69.931915
42.393494	-70.529099
43.066406	-70.211617
43.739319	-68.695885
44.412231	-68.803375
45.085144	-68.086540
45.758057	-68.573692
46.430969	-66.172096
47.103882	-68.061012
47.776794	-68.293571
48.449707	-67.318420
49.122620	-65.710106
49.795532	-66.698563
50.468445	-64.752853
51.141357	-64.317612
51.814270	-64.538269
52.487183	-64.869377
53.160095	-62.302711
53.833008	-62.916443
54.505920	-62.937088
55.178833	-61.346069
55.851746	-60.943729
56.524658	-59.085266
57.197571	-60.185173
57.870483	-60.188786
58.543396	-58.603504
59.216309	-58.610493
59.889221	-59.634781
60.562134	-58.444557
61.235046	-57.173317
61.907959	-56.040325
62.580872	-56.269901
63.253784	-56.598595
63.926697	-57.251190
64.599609	-59.083389
65.272522	-62.143047
65.945435	-60.187962
66.618347	-60.642509
67.291260	-61.127220
67.964172	-62.946484
68.637085	-61.093151
69.309998	-60.161770
69.982910	-59.252731
70.655823	-56.955524
71.328735	-58.399769
72.001648	-58.146221
72.674561	-57.626381
73.347473	-56.337341
74.020386	-56.856754
74.693298	-56.099899
75.366211	-56.303387
76.039124	-57.122040
76.712036	-59.273376
77.384949	-58.617512
78.057861	-59.106823
78.730774	-60.055210
79.403687	-60.733761
80.076599	-61.274803
80.749512	-62.102917
81.422424	-60.635117
82.095337	-62.120777
82.768250	-63.404331
83.441162	-59.577873
84.114075	-58.249187
84.786987	-56.529484
85.459900	-59.143177
86.132812	-57.520905
86.805725	-56.240685
87.478638	-57.993767
88.151550	-59.896191
88.824463	-60.223347
89.497375	-60.065128
90.170288	-58.569538
90.843201	-59.001408
91.516113	-61.380177
92.189026	-63.184910
92.861938	-65.214317
93.534851	-63.812664
94.207764	-66.536087
94.880676	-65.982338
95.553589	-66.762810
96.226501	-67.782806
96.899414	-66.821205
97.572327	-67.831596
98.245239	-67.954079
98.918152	-68.976074
99.591064	-68.863647
100.263977	-67.705528
100.936890	-68.108475
101.609802	-67.473763
102.282715	-67.338570
102.955627	-67.630081
103.628540	-65.356781
104.301453	-65.726402
104.974365	-65.557739
105.647278	-64.117470
106.320190	-66.128922
106.993103	-65.994629
107.666016	-66.110191
108.338928	-67.317719
109.011841	-69.169945
109.684753	-68.756828
110.357666	-70.137749
111.030579	-68.728516
111.703491	-67.775665
112.376404	-67.921761
113.049316	-65.814217
113.722229	-62.646130
114.395142	-62.042366
115.068054	-65.370392
115.740967	-68.763382
116.413879	-70.024605
117.086792	-69.389778
117.759705	-69.095963
118.432617	-70.518456
119.105530	-69.960289
119.778442	-70.039452
120.451355	-70.618797
