Frequency (Hz)	Level (dB)
0.672913	-44.844883
1.345825	-46.611126
2.018738	-45.781147
2.691650	-45.490349
3.364563	-45.591660
4.037476	-45.265472
4.710388	-46.722408
5.383301	-46.614323
6.056213	-45.471989
6.729126	-45.906086
7.402039	-45.729061
8.074951	-46.187675
8.747864	-46.140732
9.420776	-45.115524
10.093689	-46.073521
10.766602	-46.176353
11.439514	-46.666309
12.112427	-46.425373
12.785339	-45.138081
13.458252	-47.030380
14.131165	-45.397720
14.804077	-47.370388
15.476990	-47.120613
16.149902	-46.333385
16.822815	-45.657551
17.495728	-45.859802
18.168640	-45.242344
18.841553	-45.244061
19.514465	-47.846577
20.187378	-46.652100
20.860291	-46.383183
21.533203	-45.771622
22.206116	-46.131149
22.879028	-45.287060
23.551941	-45.322895
24.224854	-46.456280
24.897766	-46.680546
25.570679	-45.837692
26.243591	-45.433491
26.916504	-46.298943
27.589417	-46.610706
28.262329	-45.727684
28.935242	-45.673157
29.608154	-47.418968
30.281067	-44.758427
30.953979	-45.360157
31.626892	-45.572601
32.299805	-46.482849
32.972717	-45.803623
33.645630	-45.275082
34.318542	-45.946308
34.991455	-46.010551
35.664368	-45.745159
36.337280	-46.130394
37.010193	-44.528927
37.683105	-45.385509
38.356018	-46.594185
39.028931	-46.331657
39.701843	-47.305016
40.374756	-46.026131
41.047668	-46.370689
41.720581	-45.908085
42.393494	-44.486656
43.066406	-45.301998
43.739319	-46.802261
44.412231	-46.157364
45.085144	-46.969585
45.758057	-45.855171
46.430969	-45.840225
47.103882	-45.639782
47.776794	-46.547226
48.449707	-46.383907
49.122620	-45.877071
49.795532	-45.974369
50.468445	-45.227619
51.141357	-44.670052
51.814270	-46.842350
52.487183	-47.813370
53.160095	-46.136845
53.833008	-46.281986
54.505920	-47.379353
55.178833	-45.527916
55.851746	-45.876644
56.524658	-47.393772
57.197571	-46.579170
57.870483	-46.364643
58.543396	-45.013050
59.216309	-45.073273
59.889221	-46.385399
60.562134	-46.169140
61.235046	-45.926991
61.907959	-45.033833
62.580872	-45.613659
63.253784	-45.663269
63.926697	-45.372250
64.599609	-46.081142
65.272522	-46.238255
65.945435	-46.925152
66.618347	-44.872379
67.291260	-46.558807
67.964172	-45.691250
68.637085	-46.014687
69.309998	-45.091217
69.982910	-44.985374
70.655823	-46.831116
71.328735	-46.098827
72.001648	-46.304199
72.674561	-45.457268
73.347473	-45.570499
74.020386	-45.655972
74.693298	-45.466049
75.366211	-45.385197
76.039124	-44.832363
76.712036	-46.057072
77.384949	-45.532154
78.057861	-46.000473
78.730774	-46.112473
79.403687	-45.286800
80.076599	-45.285500
80.749512	-46.735519
81.422424	-45.699993
82.095337	-45.500912
82.768250	-46.085590
83.441162	-45.959347
84.114075	-46.725651
84.786987	-46.623150
85.459900	-48.006294
86.132812	-46.395641
86.805725	-45.449001
87.478638	-45.871418
88.151550	-44.767681
88.824463	-46.326515
89.497375	-45.473408
90.170288	-45.696709
90.843201	-45.946529
91.516113	-44.462749
92.189026	-45.239151
92.861938	-45.640961
93.534851	-45.971882
94.207764	-46.895996
94.880676	-45.328300
95.553589	-45.394592
96.226501	-45.486206
96.899414	-46.336391
97.572327	-44.921047
98.245239	-46.682129
98.918152	-45.652599
99.591064	-46.480019
100.263977	-46.182220
100.936890	-45.654648
101.609802	-44.790401
102.282715	-45.490276
102.955627	-45.960114
103.628540	-45.504681
104.301453	-45.547100
104.974365	-46.908684
105.647278	-46.554951
106.320190	-45.561378
106.993103	-44.617023
107.666016	-44.775387
108.338928	-46.356834
109.011841	-45.894226
109.684753	-45.079025
110.357666	-45.803265
111.030579	-45.132977
111.703491	-47.356846
112.376404	-46.492798
113.049316	-45.950344
113.722229	-46.018311
114.395142	-46.545868
115.068054	-45.253937
115.740967	-45.754192
116.413879	-45.296169
117.086792	-45.586452
117.759705	-45.902851
118.432617	-46.240414
119.105530	-45.816223
119.778442	-45.443447
120.451355	-44.981274
121.124268	-45.659016
121.797180	-45.830578
122.470093	-46.556183
123.143005	-46.377064
123.815918	-45.736275
124.488831	-45.465923
125.161743	-46.171574
125.834656	-46.026093
126.507568	-45.824123
127.180481	-46.221172
127.853394	-45.622971
128.526306	-46.411766
129.199219	-45.396030
129.872131	-45.339966
130.545044	-46.597744
131.217957	-45.577202
131.890869	-46.829205
132.563782	-44.266441
133.236694	-44.240105
133.909607	-44.759426
134.582520	-46.179012
135.255432	-45.087471
135.928345	-45.126656
136.601257	-44.506699
137.274170	-45.328823
137.947083	-45.792030
138.619995	-45.386009
139.292908	-45.354912
139.965820	-45.809948
140.638733	-43.833328
141.311646	-45.144089
141.984558	-45.947277
142.657471	-45.428265
143.330383	-46.288792
144.003296	-45.945820
144.676208	-46.180027
145.349121	-45.751793
146.022034	-46.585548
146.694946	-45.345837
147.367859	-44.677567
148.040771	-46.040752
148.713684	-45.865448
149.386597	-45.086918
150.059509	-45.658894
150.732422	-45.440510
151.405334	-45.554665
152.078247	-44.833168
152.751160	-44.567051
153.424072	-46.306202
154.096985	-45.032013
154.769897	-45.729183
155.442810	-46.876499
156.115723	-45.718258
156.788635	-45.896477
157.461548	-46.062759
158.134460	-46.117416
158.807373	-45.767559
159.480286	-45.480930
160.153198	-45.641087
160.826111	-44.707253
161.499023	-45.533962
162.171936	-46.063740
162.844849	-46.046101
163.517761	-45.039944
164.190674	-45.334286
164.863586	-45.342934
165.536499	-47.098854
166.209412	-46.378189
166.882324	-47.001431
167.555237	-46.400970
168.228149	-46.251465
168.901062	-44.650166
169.573975	-45.073021
170.246887	-46.105824
170.919800	-45.938187
171.592712	-46.657452
172.265625	-45.562695
172.938538	-46.315769
173.611450	-46.353992
174.284363	-45.987015
174.957275	-46.045460
175.630188	-45.902294
176.303101	-46.223961
176.976013	-46.409019
177.648926	-45.278500
178.321838	-45.240036
178.994751	-45.934288
179.667664	-44.893471
180.340576	-46.531551
181.013489	-46.152798
181.686401	-46.244682
182.359314	-46.900066
183.032227	-45.179932
183.705139	-45.836773
184.378052	-44.238831
185.050964	-45.695557
185.723877	-45.419464
186.396790	-45.776131
187.069702	-45.160656
187.742615	-45.710194
188.415527	-45.609604
189.088440	-45.612713
189.761353	-45.973934
190.434265	-45.999390
191.107178	-46.354031
191.780090	-47.573532
192.453003	-45.519424
193.125916	-45.633701
193.798828	-45.474457
194.471741	-46.426296
195.144653	-45.555565
195.817566	-45.196323
196.490479	-45.789646
197.163391	-45.099915
197.836304	-46.361160
198.509216	-46.043522
199.182129	-45.242126
199.855042	-45.111057
200.527954	-46.036388
201.200867	-45.364239
201.873779	-45.293526
202.546692	-45.338127
203.219604	-45.993942
203.892517	-45.111828
204.565430	-45.428963
205.238342	-45.412434
205.911255	-46.022938
206.584167	-45.487270
207.257080	-46.516754
207.929993	-46.959824
208.602905	-45.908314
209.275818	-45.374676
209.948730	-45.944778
210.621643	-46.257107
211.294556	-46.310867
211.967468	-45.352615
212.640381	-46.656811
213.313293	-45.609848
213.986206	-46.325497
214.659119	-45.254120
215.332031	-46.362873
216.004944	-46.284698
216.677856	-46.855652
217.350769	-47.068893
218.023682	-47.053856
218.696594	-45.799122
219.369507	-46.416416
220.042419	-47.113625
220.715332	-44.794056
221.388245	-45.661938
222.061157	-47.658443
222.734070	-47.749752
223.406982	-45.839401
224.079895	-44.676964
224.752808	-46.255959
225.425720	-46.293056
226.098633	-45.375694
226.771545	-46.450661
227.444458	-46.231281
228.117371	-46.838501
228.790283	-45.559093
229.463196	-44.995335
230.136108	-44.976051
230.809021	-46.283241
231.481934	-46.433041
232.154846	-46.300713
232.827759	-46.649292
233.500671	-46.001328
234.173584	-46.224163
234.846497	-45.875214
235.519409	-46.415565
236.192322	-46.119118
236.865234	-47.063560
237.538147	-45.959492
238.211060	-45.279804
238.883972	-46.215664
239.556885	-46.833584
240.229797	-45.438156
240.902710	-46.306221
241.575623	-45.853611
242.248535	-47.486019
242.921448	-46.460255
243.594360	-45.414909
244.267273	-46.848743
244.940186	-46.718540
245.613098	-46.083393
246.286011	-45.936760
246.958923	-45.818642
247.631836	-45.839256
248.304749	-44.823345
248.977661	-46.331989
249.650574	-46.799793
250.323486	-46.581459
250.996399	-46.205772
251.669312	-45.993343
252.342224	-45.818104
253.015137	-46.313709
253.688049	-45.618137
254.360962	-46.033985
255.033875	-46.518673
255.706787	-45.389805
256.379700	-45.739166
257.052612	-45.615528
257.725525	-47.089005
258.398438	-46.578953
259.071350	-45.936264
259.744263	-46.963364
260.417175	-47.208202
261.090088	-46.967968
261.763000	-44.572750
262.435913	-46.508873
263.108826	-45.642731
263.781738	-45.610409
264.454651	-46.469418
265.127563	-45.851234
265.800476	-46.771381
266.473389	-46.662388
267.146301	-46.232494
267.819214	-45.471214
268.492126	-45.263790
269.165039	-45.088863
269.837952	-45.605911
270.510864	-46.100338
271.183777	-46.608486
271.856689	-46.419205
272.529602	-46.659790
273.202515	-45.984852
273.875427	-45.807468
274.548340	-45.623440
275.221252	-45.563133
275.894165	-45.468216
276.567078	-45.642303
277.239990	-45.707195
277.912903	-46.512688
278.585815	-44.627312
279.258728	-44.533783
279.931641	-46.357140
280.604553	-46.750668
281.277466	-45.097416
281.950378	-46.013153
282.623291	-47.000553
283.296204	-44.364548
283.969116	-46.293472
284.642029	-45.691219
285.314941	-45.073662
285.987854	-47.178547
286.660767	-45.716946
287.333679	-45.664379
288.006592	-46.259987
288.679504	-46.761909
289.352417	-45.185909
290.025330	-46.360649
290.698242	-46.401302
291.371155	-45.952534
292.044067	-46.182037
292.716980	-44.826633
293.389893	-45.720814
294.062805	-44.079914
294.735718	-45.886066
295.408630	-46.427921
296.081543	-46.092789
296.754456	-45.196392
297.427368	-46.797092
298.100281	-46.021355
298.773193	-45.868828
299.446106	-44.665176
300.119019	-45.881546
300.791931	-45.337147
301.464844	-46.193665
302.137756	-46.902802
302.810669	-45.917885
303.483582	-45.803291
304.156494	-45.798752
304.829407	-45.621910
305.502319	-47.096241
306.175232	-46.447498
306.848145	-46.017303
307.521057	-46.304043
308.193970	-44.668427
308.866882	-45.865383
309.539795	-46.069126
310.212708	-45.554245
310.885620	-46.436634
311.558533	-46.980888
312.231445	-46.156746
312.904358	-45.718006
313.577271	-45.124348
314.250183	-46.143082
314.923096	-46.673016
315.596008	-46.761143
316.268921	-45.866737
316.941833	-46.839546
317.614746	-45.060287
318.287659	-46.258656
318.960571	-45.570728
319.633484	-44.880882
320.306396	-45.394920
320.979309	-45.912868
321.652222	-45.728252
322.325134	-45.904724
322.998047	-45.276379
323.670959	-46.670097
324.343872	-45.980572
325.016785	-46.452999
325.689697	-46.413082
326.362610	-46.783955
327.035522	-45.202267
327.708435	-46.318157
328.381348	-47.679836
329.054260	-46.849483
329.727173	-46.941711
330.400085	-46.241474
331.072998	-46.503002
331.745911	-45.102207
332.418823	-45.552105
333.091736	-46.612949
333.764648	-45.049831
334.437561	-45.433529
335.110474	-47.113789
335.783386	-45.909149
336.456299	-45.636333
337.129211	-45.512459
337.802124	-45.352833
338.475037	-46.749069
339.147949	-47.121868
339.820862	-45.662182
340.493774	-45.833370
341.166687	-46.116581
341.839600	-47.521263
342.512512	-44.664467
343.185425	-45.903934
343.858337	-46.898827
344.531250	-45.399960
345.204163	-46.670692
345.877075	-46.625504
346.549988	-46.016655
347.222900	-45.187458
347.895813	-45.707924
348.568726	-45.217354
349.241638	-43.964127
349.914551	-44.973625
350.587463	-46.245705
351.260376	-45.141785
351.933289	-44.672195
352.606201	-45.163521
353.279114	-45.771152
353.952026	-46.413593
354.624939	-44.961834
355.297852	-46.041607
355.970764	-46.218510
356.643677	-45.229641
357.316589	-45.854862
357.989502	-46.252861
358.662415	-46.055328
359.335327	-46.294716
360.008240	-45.486111
360.681152	-46.439663
361.354065	-46.193676
362.026978	-45.513344
362.699890	-45.467297
363.372803	-45.608303
364.045715	-46.442684
364.718628	-45.770802
365.391541	-45.866684
366.064453	-45.993683
366.737366	-46.243141
367.410278	-46.387314
368.083191	-45.222317
368.756104	-45.814098
369.429016	-46.006752
370.101929	-44.735027
370.774841	-44.712933
371.447754	-46.191666
372.120667	-45.920635
372.793579	-45.820026
373.466492	-45.961548
374.139404	-46.517509
374.812317	-45.366951
375.485229	-45.628216
376.158142	-46.092514
376.831055	-46.365738
377.503967	-46.735020
378.176880	-46.018681
378.849792	-45.428787
379.522705	-45.969543
380.195618	-44.939518
380.868530	-45.567844
381.541443	-45.259781
382.214355	-46.037121
382.887268	-45.523808
383.560181	-46.596222
384.233093	-45.399284
384.906006	-46.210159
385.578918	-46.763195
386.251831	-46.621361
386.924744	-46.650566
387.597656	-45.842068
388.270569	-46.429714
388.943481	-45.345627
389.616394	-46.299755
390.289307	-45.554485
390.962219	-46.644390
391.635132	-46.762486
392.308044	-45.627625
392.980957	-46.250286
393.653870	-46.688755
394.326782	-45.483433
394.999695	-47.455231
395.672607	-45.187126
396.345520	-46.123405
397.018433	-45.243587
397.691345	-45.853863
398.364258	-44.323895
399.037170	-45.812977
399.710083	-46.838341
400.382996	-45.237434
401.055908	-45.374722
401.728821	-45.141438
402.401733	-45.977371
403.074646	-45.315716
403.747559	-45.941147
404.420471	-46.106579
405.093384	-45.467537
405.766296	-45.207153
406.439209	-45.731136
407.112122	-46.031918
407.785034	-46.607738
408.457947	-46.104980
409.130859	-45.417946
409.803772	-46.298477
410.476685	-47.344925
411.149597	-45.700329
411.822510	-45.884018
412.495422	-46.186768
413.168335	-46.000690
413.841248	-45.913288
414.514160	-45.913597
415.187073	-46.500736
415.859985	-45.592735
416.532898	-45.863609
417.205811	-45.364029
417.878723	-45.830833
418.551636	-46.523399
419.224548	-46.126942
419.897461	-46.716644
420.570374	-46.746361
421.243286	-46.660511
421.916199	-45.115219
422.589111	-44.686352
423.262024	-46.279747
423.934937	-46.198578
424.607849	-45.761917
425.280762	-46.765800
425.953674	-46.273022
426.626587	-45.773991
427.299500	-44.578934
427.972412	-46.764343
428.645325	-45.417896
429.318237	-46.620449
429.991150	-47.116497
430.664062	-45.043346
431.336975	-46.309967
432.009888	-45.806282
432.682800	-45.156639
433.355713	-45.784660
434.028625	-44.759335
434.701538	-45.654652
435.374451	-45.843369
436.047363	-46.393940
436.720276	-45.609871
437.393188	-46.910183
438.066101	-46.113125
438.739014	-45.233685
439.411926	-45.975307
440.084839	-47.178585
440.757751	-45.891857
441.430664	-45.735073
442.103577	-44.336319
442.776489	-45.701134
443.449402	-45.405624
444.122314	-47.095928
444.795227	-45.940685
445.468140	-45.901268
446.141052	-45.512638
446.813965	-46.273655
447.486877	-45.355412
448.159790	-46.672787
448.832703	-46.583214
449.505615	-46.173779
450.178528	-45.372665
450.851440	-44.297771
451.524353	-46.249012
452.197266	-46.023003
452.870178	-44.907043
453.543091	-45.181122
454.216003	-44.800468
454.888916	-45.245617
455.561829	-46.381344
456.234741	-44.862473
456.907654	-45.056999
457.580566	-45.470013
458.253479	-46.394047
458.926392	-46.386368
459.599304	-45.966446
460.272217	-46.624229
460.945129	-45.417919
461.618042	-45.769188
462.290955	-46.488792
462.963867	-46.344742
463.636780	-45.974915
464.309692	-46.428825
464.982605	-46.057755
465.655518	-46.197701
466.328430	-44.762032
467.001343	-46.485252
467.674255	-46.271309
468.347168	-47.278992
469.020081	-45.766773
469.692993	-45.617676
470.365906	-46.529430
471.038818	-45.895756
471.711731	-45.635139
472.384644	-45.690742
473.057556	-45.824894
473.730469	-44.897900
474.403381	-46.140850
475.076294	-46.436169
475.749207	-45.646851
476.422119	-45.115131
477.095032	-46.716930
