Frequency (Hz)	Level (dB)
0.672913	-93.860916
1.345825	-93.899597
2.018738	-93.679008
2.691650	-93.710358
3.364563	-93.231544
4.037476	-92.931427
4.710388	-93.051689
5.383301	-92.773300
6.056213	-91.352425
6.729126	-91.199661
7.402039	-91.010559
8.074951	-91.065651
8.747864	-89.852608
9.420776	-90.056824
10.093689	-88.023560
10.766602	-86.556854
11.439514	-85.641006
12.112427	-85.451843
12.785339	-84.880440
13.458252	-82.661636
14.131165	-84.952316
14.804077	-83.928795
15.476990	-84.634491
16.149902	-83.162544
16.822815	-83.780960
17.495728	-83.082504
18.168640	-81.492973
18.841553	-80.727966
19.514465	-81.654770
20.187378	-80.632996
20.860291	-81.117264
21.533203	-79.482712
22.206116	-79.273972
22.879028	-77.327721
23.551941	-77.768753
24.224854	-77.683586
24.897766	-78.366203
25.570679	-77.844452
26.243591	-76.164848
26.916504	-77.100624
27.589417	-76.990334
28.262329	-76.399544
28.935242	-76.988693
29.608154	-73.721802
30.281067	-76.344116
30.953979	-76.219208
31.626892	-76.051514
32.299805	-75.454659
32.972717	-76.240959
33.645630	-76.115349
34.318542	-75.513893
34.991455	-74.275406
35.664368	-74.288460
36.337280	-74.572441
37.010193	-74.859116
37.683105	-73.560738
38.356018	-75.341309
39.028931	-75.530891
39.701843	-73.975510
40.374756	-73.938644
41.047668	-72.621117
41.720581	-72.232948
42.393494	-73.459831
43.066406	-72.448051
43.739319	-72.277489
44.412231	-71.899544
45.085144	-72.542290
45.758057	-72.182961
46.430969	-70.515121
47.103882	-71.331139
47.776794	-71.850594
48.449707	-71.751495
49.122620	-70.642899
49.795532	-71.233276
50.468445	-68.913101
51.141357	-69.403671
51.814270	-69.737183
52.487183	-68.280602
53.160095	-67.500412
53.833008	-66.892899
54.505920	-66.531212
55.178833	-67.220261
55.851746	-65.812737
56.524658	-66.405350
57.197571	-65.500694
57.870483	-64.571266
58.543396	-65.694679
59.216309	-66.009651
59.889221	-65.094582
60.562134	-63.082302
61.235046	-63.668324
61.907959	-64.473969
62.580872	-62.698093
63.253784	-62.670494
63.926697	-64.159470
64.599609	-67.148369
65.272522	-69.051727
65.945435	-69.525002
66.618347	-68.254295
67.291260	-69.020042
67.964172	-68.384949
68.637085	-67.976486
69.309998	-66.816475
69.982910	-66.340096
70.655823	-65.016014
71.328735	-64.971664
72.001648	-64.881828
72.674561	-65.294365
73.347473	-64.275154
74.020386	-63.969414
74.693298	-62.113033
75.366211	-63.771564
76.039124	-63.854633
76.712036	-64.828720
77.384949	-65.000488
78.057861	-63.516933
78.730774	-66.193146
79.403687	-66.820229
80.076599	-66.855072
80.749512	-66.680115
81.422424	-66.305283
82.095337	-66.029633
82.768250	-67.654221
83.441162	-65.501274
84.114075	-62.268166
84.786987	-60.876671
85.459900	-62.379200
86.132812	-61.651302
86.805725	-61.545563
87.478638	-61.403061
88.151550	-62.260193
88.824463	-62.698143
89.497375	-63.491898
90.170288	-61.726181
90.843201	-62.059872
91.516113	-62.656338
92.189026	-63.154091
92.861938	-63.789387
93.534851	-64.573982
94.207764	-65.176994
94.880676	-65.394867
95.553589	-65.363197
96.226501	-66.805763
96.899414	-64.868912
97.572327	-65.914421
98.245239	-65.740150
98.918152	-65.079346
99.591064	-64.225487
100.263977	-63.926212
100.936890	-64.933296
101.609802	-65.248550
102.282715	-65.662102
102.955627	-62.706631
103.628540	-63.047268
104.301453	-61.746487
104.974365	-61.668678
105.647278	-61.232414
106.320190	-61.887386
106.993103	-61.833649
107.666016	-61.739460
108.338928	-61.807438
109.011841	-62.500401
109.684753	-61.434483
110.357666	-62.983932
111.030579	-62.598118
111.703491	-61.364746
112.376404	-61.063026
113.049316	-59.716610
113.722229	-56.259506
114.395142	-57.472210
115.068054	-59.952618
115.740967	-61.436489
116.413879	-61.822369
117.086792	-60.527390
117.759705	-61.760067
118.432617	-61.002674
119.105530	-61.689953
119.778442	-59.431450
