Frequency (Hz)	Level (dB)
0.672913	-91.004227
1.345825	-91.000824
2.018738	-90.962364
2.691650	-90.943703
3.364563	-90.982552
4.037476	-90.412598
4.710388	-90.742867
5.383301	-90.547661
6.056213	-90.224808
6.729126	-89.508377
7.402039	-90.213242
8.074951	-90.036758
8.747864	-90.299515
9.420776	-88.951485
10.093689	-87.695770
10.766602	-87.152527
11.439514	-85.895050
12.112427	-86.048477
12.785339	-85.709763
13.458252	-83.407021
14.131165	-85.145828
14.804077	-84.466881
15.476990	-84.567436
16.149902	-83.391830
16.822815	-83.307304
17.495728	-83.029335
18.168640	-82.537544
18.841553	-81.432564
19.514465	-82.338791
20.187378	-82.656273
20.860291	-80.165031
21.533203	-78.994743
22.206116	-79.692749
22.879028	-76.457031
23.551941	-77.411766
24.224854	-78.042984
24.897766	-79.146889
25.570679	-78.353050
26.243591	-77.095596
26.916504	-76.121651
27.589417	-76.802841
28.262329	-77.302078
28.935242	-77.784462
29.608154	-74.258720
30.281067	-76.285355
30.953979	-77.210060
31.626892	-76.136909
32.299805	-76.129440
32.972717	-76.305855
33.645630	-76.693802
34.318542	-76.467766
34.991455	-75.155823
35.664368	-75.788200
36.337280	-75.933014
37.010193	-75.311310
37.683105	-74.540298
38.356018	-74.935471
39.028931	-74.869072
39.701843	-74.941254
40.374756	-74.570320
41.047668	-73.073875
41.720581	-72.390114
42.393494	-72.407303
43.066406	-72.042992
43.739319	-73.247597
44.412231	-72.365685
45.085144	-72.182610
45.758057	-71.807869
46.430969	-70.450066
47.103882	-72.674461
47.776794	-73.366310
48.449707	-73.059723
49.122620	-70.563370
49.795532	-70.075798
50.468445	-68.987137
51.141357	-68.339241
51.814270	-68.440384
52.487183	-69.285217
53.160095	-69.314041
53.833008	-68.612366
54.505920	-67.256699
55.178833	-67.716484
55.851746	-65.717850
56.524658	-65.434860
57.197571	-66.076851
57.870483	-66.987106
58.543396	-64.458008
59.216309	-67.084534
59.889221	-66.873627
60.562134	-65.427330
61.235046	-66.497749
61.907959	-65.001060
62.580872	-62.528477
63.253784	-62.578396
63.926697	-63.781921
64.599609	-68.000237
65.272522	-68.692856
65.945435	-68.924385
66.618347	-69.605171
67.291260	-68.941727
67.964172	-70.119171
68.637085	-69.353783
69.309998	-67.089470
69.982910	-66.951096
70.655823	-66.024345
71.328735	-65.444710
72.001648	-66.277992
72.674561	-66.134933
73.347473	-63.437126
74.020386	-63.061214
74.693298	-64.398193
75.366211	-62.556503
76.039124	-63.709492
76.712036	-65.050774
77.384949	-65.790573
78.057861	-64.692253
78.730774	-67.191216
79.403687	-66.674492
80.076599	-67.785500
80.749512	-67.961853
81.422424	-68.233566
82.095337	-68.222267
82.768250	-67.164047
83.441162	-65.510162
84.114075	-63.495148
84.786987	-61.373173
85.459900	-64.585205
86.132812	-61.113651
86.805725	-60.493015
87.478638	-62.062576
88.151550	-64.240005
88.824463	-63.544300
89.497375	-62.550842
90.170288	-61.250736
90.843201	-61.583641
91.516113	-63.717464
92.189026	-63.510296
92.861938	-64.295563
93.534851	-66.088722
94.207764	-68.194878
94.880676	-67.498932
95.553589	-66.807327
96.226501	-66.880417
96.899414	-66.462341
97.572327	-66.897247
98.245239	-68.179817
98.918152	-67.065041
99.591064	-66.693161
100.263977	-66.311958
100.936890	-66.601456
101.609802	-65.150757
102.282715	-64.138084
102.955627	-63.079247
103.628540	-64.115677
104.301453	-62.081120
104.974365	-61.496704
105.647278	-63.499641
106.320190	-62.892200
106.993103	-62.523159
107.666016	-62.902935
108.338928	-64.165543
109.011841	-65.021744
109.684753	-64.393631
110.357666	-66.242516
111.030579	-64.819695
111.703491	-62.829998
112.376404	-61.514042
113.049316	-60.575760
113.722229	-55.467083
114.395142	-56.986488
115.068054	-59.644749
115.740967	-62.463364
116.413879	-63.311478
117.086792	-64.122963
117.759705	-65.536705
118.432617	-64.006012
119.105530	-62.642742
119.778442	-61.821632
120.451355	-62.352924
121.124268	-62.622231
121.797180	-64.165604
122.470093	-65.418716
123.143005	-66.107178
123.815918	-65.393944
124.488831	-65.707962
125.161743	-65.705566
125.834656	-63.063213
126.507568	-63.760670
127.180481	-66.408745
127.853394	-62.961540
128.526306	-65.083389
129.199219	-64.113464
129.872131	-64.139816
130.545044	-64.100159
131.217957	-63.257511
131.890869	-64.170876
132.563782	-63.258648
133.236694	-64.326042
133.909607	-64.436127
134.582520	-66.115761
135.255432	-66.054436
135.928345	-65.985718
136.601257	-66.112152
137.274170	-66.580139
137.947083	-66.865494
138.619995	-68.379875
139.292908	-66.628983
139.965820	-68.149872
140.638733	-66.266998
141.311646	-67.096825
141.984558	-67.152870
142.657471	-65.174187
143.330383	-64.358025
144.003296	-64.935234
144.676208	-65.263313
145.349121	-63.755093
146.022034	-63.702850
146.694946	-62.684273
147.367859	-63.825081
148.040771	-65.221725
148.713684	-63.864361
149.386597	-64.736809
150.059509	-64.624710
150.732422	-66.595909
151.405334	-65.738647
152.078247	-66.176270
152.751160	-66.380226
153.424072	-66.243248
154.096985	-66.811134
154.769897	-67.768967
155.442810	-67.181992
156.115723	-66.983116
156.788635	-66.464752
157.461548	-65.319099
158.134460	-65.249008
158.807373	-65.422066
159.480286	-66.913750
160.153198	-67.733864
160.826111	-68.022049
161.499023	-68.262016
162.171936	-68.837692
162.844849	-67.529800
163.517761	-67.558372
164.190674	-68.239502
164.863586	-68.383179
165.536499	-69.682663
166.209412	-69.422150
166.882324	-69.435867
167.555237	-68.603714
168.228149	-68.702850
168.901062	-67.312668
169.573975	-68.828247
170.246887	-70.212570
170.919800	-69.967072
171.592712	-70.142815
172.265625	-69.353821
172.938538	-65.748627
173.611450	-70.140434
174.284363	-69.965057
174.957275	-69.104691
175.630188	-68.072365
176.303101	-68.483307
176.976013	-69.233215
177.648926	-67.731697
178.321838	-68.597534
178.994751	-69.497787
179.667664	-70.228546
