Frequency (Hz)	Level (dB)
0.672913	-93.584976
1.345825	-93.518501
2.018738	-93.570129
2.691650	-93.533966
3.364563	-93.167862
4.037476	-92.528954
4.710388	-92.528191
5.383301	-92.195869
6.056213	-90.470230
6.729126	-89.869331
7.402039	-90.551186
8.074951	-92.118591
8.747864	-89.703011
9.420776	-88.912598
10.093689	-86.627831
10.766602	-86.376534
11.439514	-84.586266
12.112427	-84.044518
12.785339	-84.974724
13.458252	-82.745598
14.131165	-83.865349
14.804077	-82.499847
15.476990	-83.002747
16.149902	-81.130409
16.822815	-82.853691
17.495728	-80.878883
18.168640	-81.260765
18.841553	-79.280869
19.514465	-81.042168
20.187378	-80.582001
20.860291	-78.629372
21.533203	-79.083244
22.206116	-78.575111
22.879028	-76.644569
23.551941	-78.104950
24.224854	-76.875229
24.897766	-76.507973
25.570679	-78.189972
26.243591	-76.626114
26.916504	-75.946815
27.589417	-76.337044
28.262329	-75.458527
28.935242	-75.904243
29.608154	-74.647194
30.281067	-77.038155
30.953979	-75.446602
31.626892	-73.758720
32.299805	-74.228371
32.972717	-75.027023
33.645630	-75.917740
34.318542	-75.986816
34.991455	-75.156471
35.664368	-75.118141
36.337280	-72.834122
37.010193	-74.044334
37.683105	-74.405579
38.356018	-73.486649
39.028931	-73.949951
39.701843	-73.282127
40.374756	-72.982956
41.047668	-71.117470
41.720581	-70.376205
42.393494	-72.016769
43.066406	-72.332184
43.739319	-72.005310
44.412231	-73.589256
45.085144	-72.460953
45.758057	-72.722565
46.430969	-69.928566
47.103882	-71.400200
47.776794	-71.288879
48.449707	-70.994286
49.122620	-70.094429
49.795532	-69.246559
50.468445	-68.405312
51.141357	-67.728767
51.814270	-69.396698
52.487183	-68.435402
53.160095	-66.918579
53.833008	-67.240509
54.505920	-66.045692
55.178833	-65.775574
55.851746	-66.739304
56.524658	-66.042427
57.197571	-65.247612
57.870483	-65.525108
58.543396	-64.179192
59.216309	-64.469086
59.889221	-65.085503
60.562134	-63.676495
61.235046	-63.560062
61.907959	-63.079830
62.580872	-61.283726
63.253784	-62.295292
63.926697	-63.031494
64.599609	-66.415466
65.272522	-69.109810
65.945435	-68.628197
66.618347	-67.121353
67.291260	-67.746002
67.964172	-68.700409
68.637085	-68.082352
69.309998	-67.583183
69.982910	-65.736839
70.655823	-65.049301
71.328735	-65.842377
72.001648	-65.167694
72.674561	-63.888817
73.347473	-63.228458
74.020386	-62.306408
74.693298	-63.379539
75.366211	-62.332005
76.039124	-62.740501
76.712036	-64.061020
77.384949	-65.198021
78.057861	-64.546616
78.730774	-65.881905
79.403687	-65.594330
80.076599	-66.293480
80.749512	-66.534073
81.422424	-65.793289
82.095337	-66.569321
82.768250	-66.154968
83.441162	-64.614197
84.114075	-61.821075
84.786987	-61.214012
85.459900	-61.253395
86.132812	-60.950253
86.805725	-59.646137
87.478638	-61.800503
88.151550	-63.032734
88.824463	-61.303764
89.497375	-62.759930
90.170288	-59.984200
90.843201	-60.044468
91.516113	-62.090942
92.189026	-63.134651
92.861938	-65.237877
93.534851	-64.871887
94.207764	-64.399376
94.880676	-64.854271
95.553589	-64.194809
96.226501	-65.017197
96.899414	-64.138046
97.572327	-65.622162
98.245239	-65.035576
98.918152	-63.858719
99.591064	-64.855492
100.263977	-63.588589
100.936890	-64.746117
101.609802	-64.932961
102.282715	-63.081875
102.955627	-61.794743
103.628540	-60.938427
104.301453	-61.259941
104.974365	-60.754784
105.647278	-60.667530
106.320190	-61.317207
106.993103	-62.744957
107.666016	-60.811832
108.338928	-62.139069
109.011841	-61.534515
109.684753	-62.539593
110.357666	-62.448193
111.030579	-62.605408
111.703491	-61.863010
112.376404	-60.042763
113.049316	-60.243237
113.722229	-56.125053
114.395142	-58.244526
115.068054	-59.159595
115.740967	-60.281693
116.413879	-61.924767
117.086792	-61.368637
117.759705	-60.584698
118.432617	-58.876507
119.105530	-61.353573
119.778442	-58.846775
120.451355	-60.596363
121.124268	-60.022869
121.797180	-61.467255
122.470093	-60.331303
123.143005	-62.396305
123.815918	-63.931885
124.488831	-62.031033
125.161743	-62.104492
125.834656	-61.838074
126.507568	-61.986164
127.180481	-61.935326
127.853394	-62.274246
128.526306	-61.861004
129.199219	-61.751526
129.872131	-61.961498
130.545044	-60.855099
131.217957	-61.913483
131.890869	-61.810028
132.563782	-61.258408
133.236694	-62.479664
133.909607	-62.962864
134.582520	-63.340763
135.255432	-62.922424
135.928345	-64.201286
136.601257	-63.564205
137.274170	-62.838863
137.947083	-63.902767
138.619995	-63.720402
139.292908	-64.469795
139.965820	-64.145332
140.638733	-64.167778
141.311646	-61.772587
141.984558	-62.742203
142.657471	-64.402779
143.330383	-62.075428
144.003296	-64.229332
144.676208	-62.844341
145.349121	-62.652813
146.022034	-61.811970
146.694946	-61.993977
147.367859	-63.891148
148.040771	-63.535751
148.713684	-62.788876
149.386597	-65.236519
150.059509	-63.943237
150.732422	-62.638325
151.405334	-63.954849
152.078247	-65.664345
152.751160	-65.521103
153.424072	-64.812561
154.096985	-64.499001
154.769897	-65.137146
155.442810	-65.477356
156.115723	-64.861771
156.788635	-64.694519
157.461548	-63.804390
158.134460	-65.122261
158.807373	-64.297424
159.480286	-66.928177
160.153198	-65.750168
160.826111	-66.481567
161.499023	-66.838127
162.171936	-67.531410
162.844849	-67.253098
163.517761	-68.140335
164.190674	-67.152130
164.863586	-67.482086
165.536499	-66.306702
166.209412	-67.439621
166.882324	-68.457695
167.555237	-67.139000
168.228149	-67.080368
168.901062	-68.021477
169.573975	-67.251404
170.246887	-67.273979
170.919800	-68.333862
171.592712	-67.437248
172.265625	-67.009491
172.938538	-66.286720
173.611450	-67.596130
174.284363	-68.107460
174.957275	-68.257881
175.630188	-67.022888
176.303101	-67.676453
176.976013	-66.980057
177.648926	-65.846146
178.321838	-66.962921
178.994751	-67.178818
179.667664	-68.133698
180.340576	-68.681000
181.013489	-68.474144
181.686401	-69.932396
182.359314	-69.520515
183.032227	-68.962372
183.705139	-69.203529
184.378052	-71.486794
185.050964	-69.440346
185.723877	-69.782455
186.396790	-70.195320
187.069702	-69.920296
187.742615	-72.071609
188.415527	-71.026199
189.088440	-71.885559
189.761353	-71.605675
190.434265	-69.952530
191.107178	-71.704704
191.780090	-71.047607
192.453003	-72.515373
193.125916	-72.374748
