Frequency (Hz)	Level (dB)
0.672913	-91.604652
1.345825	-91.623482
2.018738	-91.654968
2.691650	-91.350517
3.364563	-91.523460
4.037476	-90.722847
4.710388	-90.956329
5.383301	-90.995476
6.056213	-89.797333
6.729126	-88.790283
7.402039	-90.279602
8.074951	-91.251892
8.747864	-90.847610
9.420776	-89.375793
10.093689	-87.801765
10.766602	-85.133476
11.439514	-85.203018
12.112427	-85.096527
12.785339	-85.093246
13.458252	-83.057449
14.131165	-85.528793
14.804077	-83.917091
15.476990	-84.472656
16.149902	-82.772125
16.822815	-84.519348
17.495728	-83.123985
18.168640	-82.822510
18.841553	-80.381546
19.514465	-80.344818
20.187378	-80.672417
20.860291	-80.137352
21.533203	-80.127296
22.206116	-78.847321
22.879028	-76.628609
23.551941	-77.300079
24.224854	-76.742783
24.897766	-78.120613
25.570679	-77.898369
26.243591	-76.365402
26.916504	-75.854530
27.589417	-75.894218
28.262329	-74.948929
28.935242	-77.793091
29.608154	-74.030060
30.281067	-76.107788
30.953979	-76.698242
31.626892	-75.978233
32.299805	-76.005798
32.972717	-76.947586
33.645630	-76.622894
34.318542	-75.854279
34.991455	-75.050537
35.664368	-75.801895
36.337280	-74.020172
37.010193	-74.152519
37.683105	-74.253464
38.356018	-74.931503
39.028931	-73.642471
39.701843	-74.628563
40.374756	-73.048576
41.047668	-73.131523
41.720581	-73.122269
42.393494	-72.883888
43.066406	-71.782936
43.739319	-71.047279
44.412231	-71.550797
45.085144	-72.479713
45.758057	-72.132179
46.430969	-70.335213
47.103882	-71.240990
47.776794	-71.158012
48.449707	-72.099594
49.122620	-70.773155
49.795532	-70.341980
50.468445	-69.028191
51.141357	-68.714005
51.814270	-67.589211
52.487183	-68.755203
53.160095	-68.863625
53.833008	-66.559090
54.505920	-65.761658
55.178833	-66.194679
55.851746	-67.034332
56.524658	-65.962036
57.197571	-65.242653
57.870483	-63.869240
58.543396	-65.533730
59.216309	-64.177483
59.889221	-65.497314
60.562134	-64.827141
61.235046	-64.061607
61.907959	-62.946301
62.580872	-62.263233
63.253784	-62.375969
63.926697	-64.118889
64.599609	-65.853790
65.272522	-68.842003
65.945435	-69.085091
66.618347	-68.526108
67.291260	-67.993462
67.964172	-68.488861
68.637085	-68.267502
69.309998	-64.990814
69.982910	-65.965660
70.655823	-65.771484
71.328735	-64.707649
72.001648	-64.205711
72.674561	-64.436707
73.347473	-63.182045
74.020386	-62.744648
74.693298	-63.424244
75.366211	-61.671787
76.039124	-63.660027
76.712036	-64.535568
77.384949	-66.011589
78.057861	-66.445900
78.730774	-65.978722
79.403687	-67.278839
80.076599	-67.709099
80.749512	-68.038490
81.422424	-67.893097
82.095337	-68.464554
82.768250	-67.253067
83.441162	-64.652382
84.114075	-62.899242
84.786987	-62.352020
85.459900	-62.153694
86.132812	-61.286575
86.805725	-61.064213
87.478638	-61.318253
88.151550	-62.111206
88.824463	-63.639713
89.497375	-62.129539
90.170288	-61.710197
90.843201	-61.386753
91.516113	-62.513126
92.189026	-63.903957
92.861938	-63.608143
93.534851	-65.635254
94.207764	-68.101479
94.880676	-67.189545
95.553589	-66.436272
96.226501	-68.546265
96.899414	-68.798058
97.572327	-66.292450
98.245239	-67.577301
98.918152	-66.021660
99.591064	-66.473587
100.263977	-66.246979
100.936890	-66.904190
101.609802	-66.122520
102.282715	-65.681473
102.955627	-64.484604
103.628540	-62.277924
104.301453	-62.881367
104.974365	-62.537720
105.647278	-62.876980
106.320190	-61.573940
106.993103	-62.118519
107.666016	-62.659927
108.338928	-63.783291
109.011841	-64.634880
109.684753	-64.644958
110.357666	-64.294434
111.030579	-65.112495
111.703491	-64.050201
112.376404	-62.344044
113.049316	-59.542915
113.722229	-55.707214
114.395142	-56.850292
115.068054	-60.788937
115.740967	-63.164890
116.413879	-62.711536
117.086792	-63.542759
117.759705	-62.491489
118.432617	-60.223721
119.105530	-63.882042
119.778442	-58.228279
120.451355	-63.510971
121.124268	-61.772583
121.797180	-63.682407
122.470093	-63.643291
123.143005	-63.876728
123.815918	-66.130966
124.488831	-66.455772
125.161743	-65.477486
125.834656	-65.137489
126.507568	-65.182777
127.180481	-65.550629
127.853394	-64.065559
128.526306	-64.281029
129.199219	-64.190788
129.872131	-64.415367
