Frequency (Hz)	Level (dB)
0.672913	-94.418419
1.345825	-94.502312
2.018738	-94.235718
2.691650	-94.253372
3.364563	-94.118469
4.037476	-92.931686
4.710388	-94.834633
5.383301	-93.579376
6.056213	-93.380531
6.729126	-91.417999
7.402039	-91.146851
8.074951	-92.006424
8.747864	-91.666466
9.420776	-90.532730
10.093689	-85.480949
10.766602	-86.825989
11.439514	-84.829094
12.112427	-83.885689
12.785339	-85.947723
13.458252	-86.229340
14.131165	-85.347847
14.804077	-84.376228
15.476990	-84.927689
16.149902	-84.698997
16.822815	-85.071281
17.495728	-83.484138
18.168640	-83.109100
18.841553	-81.009911
19.514465	-84.217255
20.187378	-80.731628
20.860291	-78.731728
21.533203	-80.751678
22.206116	-82.254494
22.879028	-77.297852
23.551941	-77.703423
24.224854	-75.382568
24.897766	-76.566322
25.570679	-76.680573
26.243591	-76.690704
26.916504	-75.912003
27.589417	-75.073372
28.262329	-73.810081
28.935242	-76.904755
29.608154	-72.989861
30.281067	-78.451523
30.953979	-74.845291
31.626892	-76.873085
32.299805	-74.424202
32.972717	-77.340416
33.645630	-75.848007
34.318542	-75.400757
34.991455	-76.812378
35.664368	-76.053703
36.337280	-74.870918
37.010193	-74.337082
37.683105	-74.678520
38.356018	-73.594360
39.028931	-73.365074
39.701843	-74.334656
40.374756	-72.947502
41.047668	-73.980453
41.720581	-72.727600
42.393494	-73.913170
43.066406	-73.525848
43.739319	-69.320808
44.412231	-72.769485
45.085144	-72.656036
45.758057	-70.975571
46.430969	-70.962990
47.103882	-70.116104
47.776794	-73.480774
48.449707	-73.427597
49.122620	-71.794144
49.795532	-70.522377
50.468445	-69.845505
51.141357	-69.458252
51.814270	-68.373924
52.487183	-67.633575
53.160095	-70.290321
53.833008	-66.953377
54.505920	-64.649506
55.178833	-65.010185
55.851746	-66.380409
56.524658	-65.823120
57.197571	-64.796761
57.870483	-63.887535
58.543396	-65.598236
59.216309	-63.553520
59.889221	-66.022110
60.562134	-65.034584
61.235046	-65.475739
61.907959	-62.398293
62.580872	-62.631783
63.253784	-61.548340
63.926697	-64.349243
64.599609	-66.987518
65.272522	-67.121025
65.945435	-67.552315
66.618347	-66.936142
67.291260	-69.248802
67.964172	-68.554062
68.637085	-70.962227
69.309998	-66.395515
69.982910	-65.311798
70.655823	-65.108231
71.328735	-64.175484
72.001648	-63.891346
72.674561	-65.282776
73.347473	-62.806152
74.020386	-62.140961
74.693298	-67.595337
75.366211	-61.708588
76.039124	-64.803741
76.712036	-65.837448
77.384949	-65.088371
78.057861	-67.079742
78.730774	-66.321289
79.403687	-68.446068
80.076599	-68.424782
80.749512	-68.603424
81.422424	-67.738297
82.095337	-70.649132
82.768250	-69.725708
83.441162	-65.791641
84.114075	-63.650192
84.786987	-60.596325
85.459900	-62.404671
86.132812	-61.067135
86.805725	-62.411766
87.478638	-63.205441
88.151550	-62.465767
88.824463	-63.831615
89.497375	-63.352787
90.170288	-61.265987
90.843201	-61.599194
91.516113	-62.537586
92.189026	-66.392708
92.861938	-63.281548
93.534851	-67.461128
94.207764	-68.952194
94.880676	-68.490372
95.553589	-65.944283
96.226501	-70.576561
96.899414	-69.084251
97.572327	-66.352898
98.245239	-67.528412
98.918152	-66.162987
99.591064	-67.634880
100.263977	-69.795555
100.936890	-67.261230
101.609802	-67.118469
102.282715	-67.088028
102.955627	-65.869720
103.628540	-63.004208
104.301453	-62.370869
104.974365	-63.569027
105.647278	-62.633057
106.320190	-60.660942
106.993103	-61.976776
107.666016	-63.788639
108.338928	-64.049850
109.011841	-66.360229
109.684753	-65.768272
110.357666	-64.525940
111.030579	-65.050354
111.703491	-65.468529
112.376404	-67.098770
113.049316	-59.539757
113.722229	-56.594898
114.395142	-57.076321
115.068054	-62.332573
115.740967	-63.027767
116.413879	-63.720932
117.086792	-61.880379
117.759705	-60.347881
118.432617	-60.212528
119.105530	-62.578892
119.778442	-58.573833
120.451355	-63.003433
121.124268	-60.656853
121.797180	-62.379429
122.470093	-63.878223
123.143005	-64.539078
123.815918	-64.910141
124.488831	-66.830833
125.161743	-66.829384
125.834656	-63.836582
126.507568	-64.363365
127.180481	-63.414623
127.853394	-64.270905
128.526306	-63.287903
129.199219	-63.507793
129.872131	-64.099121
130.545044	-67.100128
131.217957	-65.591637
131.890869	-66.937187
132.563782	-63.857159
133.236694	-66.537811
133.909607	-67.592941
134.582520	-67.735870
135.255432	-66.229721
135.928345	-67.811447
136.601257	-65.065125
137.274170	-64.717773
137.947083	-66.406494
138.619995	-67.591072
139.292908	-65.950485
139.965820	-68.473053
140.638733	-66.264755
141.311646	-66.948639
141.984558	-65.940582
142.657471	-63.785988
143.330383	-65.051613
144.003296	-65.927345
144.676208	-66.428810
145.349121	-64.368111
146.022034	-62.213600
146.694946	-62.593277
147.367859	-65.644775
148.040771	-64.599548
148.713684	-64.349144
149.386597	-65.154755
150.059509	-66.934303
150.732422	-65.777596
151.405334	-66.070396
152.078247	-67.938622
152.751160	-67.524399
153.424072	-67.745728
154.096985	-68.410698
154.769897	-69.174622
155.442810	-69.330765
156.115723	-67.573303
156.788635	-71.290741
157.461548	-69.298744
158.134460	-70.073898
158.807373	-68.459625
159.480286	-65.223534
160.153198	-70.312630
160.826111	-68.854126
161.499023	-68.901917
162.171936	-67.856720
162.844849	-66.608643
163.517761	-67.472862
164.190674	-71.066666
164.863586	-68.931381
165.536499	-68.808601
166.209412	-67.874901
166.882324	-70.071114
167.555237	-70.032295
168.228149	-71.424522
168.901062	-70.243103
169.573975	-69.590240
170.246887	-70.842690
170.919800	-68.637955
171.592712	-71.866737
172.265625	-70.355721
172.938538	-68.838829
173.611450	-71.921341
174.284363	-69.984772
174.957275	-70.129471
175.630188	-66.336105
176.303101	-69.913467
176.976013	-69.855400
177.648926	-67.152435
178.321838	-71.211067
178.994751	-69.840302
179.667664	-70.225296
180.340576	-72.713333
181.013489	-73.167068
181.686401	-69.377182
182.359314	-72.550179
183.032227	-71.542198
183.705139	-70.561310
184.378052	-71.809227
185.050964	-73.529007
185.723877	-74.686859
186.396790	-73.583191
187.069702	-71.504356
187.742615	-73.963585
188.415527	-73.644630
189.088440	-76.449715
189.761353	-74.050392
190.434265	-73.344833
191.107178	-75.637032
191.780090	-73.681923
192.453003	-72.626526
193.125916	-72.180283
193.798828	-72.357742
194.471741	-74.344498
195.144653	-73.198975
195.817566	-75.089531
196.490479	-73.730995
197.163391	-75.608681
197.836304	-75.215576
198.509216	-73.219643
199.182129	-77.200691
199.855042	-74.897011
200.527954	-75.034515
201.200867	-72.313492
201.873779	-73.393074
202.546692	-73.976967
203.219604	-75.232300
203.892517	-75.019905
204.565430	-73.948532
205.238342	-75.203117
205.911255	-71.824646
206.584167	-76.200058
207.257080	-76.835228
207.929993	-75.163132
208.602905	-75.475029
209.275818	-74.065277
209.948730	-74.357468
210.621643	-74.568718
211.294556	-76.642220
211.967468	-73.420181
212.640381	-75.909821
213.313293	-74.707344
213.986206	-71.989716
214.659119	-75.166794
215.332031	-74.564636
216.004944	-79.422592
216.677856	-75.955711
217.350769	-76.916687
218.023682	-76.711540
218.696594	-75.434486
219.369507	-77.893440
220.042419	-75.103546
220.715332	-74.178932
221.388245	-74.248962
222.061157	-79.438438
222.734070	-77.415848
223.406982	-73.560028
224.079895	-74.527122
224.752808	-79.429230
225.425720	-77.087418
226.098633	-78.526375
226.771545	-77.373604
227.444458	-76.451874
228.117371	-76.852226
228.790283	-74.622391
229.463196	-76.378532
230.136108	-77.702866
230.809021	-74.754547
231.481934	-76.944916
232.154846	-76.730995
232.827759	-77.596901
233.500671	-77.582008
234.173584	-76.781937
234.846497	-76.162682
235.519409	-77.001884
236.192322	-75.752716
236.865234	-73.889801
237.538147	-74.322350
238.211060	-74.909836
238.883972	-74.489288
239.556885	-75.104004
240.229797	-76.112244
240.902710	-77.689926
241.575623	-77.388969
242.248535	-79.180946
242.921448	-76.855721
243.594360	-76.007843
244.267273	-75.587463
244.940186	-75.683418
245.613098	-76.333771
246.286011	-75.522697
246.958923	-78.550484
247.631836	-78.492340
248.304749	-75.202530
248.977661	-77.176682
249.650574	-76.677200
250.323486	-81.851288
250.996399	-77.586433
251.669312	-74.964699
252.342224	-75.634575
253.015137	-77.658287
253.688049	-78.076241
254.360962	-75.631615
255.033875	-77.807823
255.706787	-75.600731
256.379700	-78.446777
257.052612	-76.989464
257.725525	-77.763382
258.398438	-81.784157
259.071350	-78.279999
259.744263	-79.107773
260.417175	-77.597862
261.090088	-78.979149
261.763000	-75.166573
262.435913	-75.738457
263.108826	-75.891624
263.781738	-77.836174
264.454651	-78.167229
265.127563	-75.588951
265.800476	-76.412308
266.473389	-78.562569
267.146301	-75.726921
267.819214	-76.191620
268.492126	-75.792259
269.165039	-76.640274
269.837952	-77.454041
270.510864	-80.400978
271.183777	-79.221428
271.856689	-77.606087
272.529602	-78.025604
273.202515	-76.469475
273.875427	-77.478661
274.548340	-77.799698
275.221252	-76.056221
275.894165	-77.515427
276.567078	-77.176430
277.239990	-80.743111
277.912903	-78.147392
278.585815	-76.285995
279.258728	-77.012108
279.931641	-76.410530
280.604553	-77.342079
281.277466	-77.269753
281.950378	-76.821930
282.623291	-73.425407
283.296204	-74.500908
283.969116	-79.374138
284.642029	-77.868744
285.314941	-78.707634
285.987854	-78.098709
286.660767	-76.973595
287.333679	-81.054573
288.006592	-78.485657
288.679504	-76.609978
289.352417	-76.825493
290.025330	-78.184982
290.698242	-78.174225
291.371155	-76.412308
292.044067	-77.956581
292.716980	-78.076546
293.389893	-77.365593
294.062805	-75.916557
294.735718	-77.900764
295.408630	-77.633080
296.081543	-77.987793
296.754456	-76.526031
297.427368	-77.039520
298.100281	-78.812584
298.773193	-78.358665
299.446106	-78.009140
300.119019	-78.196411
300.791931	-78.153015
301.464844	-78.527328
302.137756	-78.276321
302.810669	-77.433182
303.483582	-77.879837
304.156494	-77.266777
304.829407	-77.596764
305.502319	-78.133858
306.175232	-77.075722
306.848145	-77.335571
307.521057	-77.116211
308.193970	-75.714684
308.866882	-76.690155
309.539795	-78.364189
310.212708	-76.844772
310.885620	-77.138168
311.558533	-77.670654
312.231445	-78.463417
312.904358	-77.580849
