Frequency (Hz)	Level (dB)
0.672913	-91.597084
1.345825	-91.652870
2.018738	-91.562515
2.691650	-91.498550
3.364563	-91.218941
4.037476	-90.524529
4.710388	-91.404037
5.383301	-90.637024
6.056213	-89.240761
6.729126	-89.064972
7.402039	-88.645355
8.074951	-89.831490
8.747864	-88.436295
9.420776	-88.319138
10.093689	-86.551643
10.766602	-85.557793
11.439514	-84.666168
12.112427	-83.950264
12.785339	-84.111404
13.458252	-82.992065
14.131165	-83.842590
14.804077	-83.299339
15.476990	-82.945213
16.149902	-81.515282
16.822815	-81.875511
17.495728	-81.026466
18.168640	-80.578369
18.841553	-79.342499
19.514465	-80.645210
20.187378	-79.929344
20.860291	-79.529610
21.533203	-79.105499
22.206116	-78.178284
22.879028	-76.587296
23.551941	-76.619560
24.224854	-77.105530
24.897766	-77.976402
25.570679	-76.743301
26.243591	-76.248260
26.916504	-76.407242
27.589417	-75.696678
28.262329	-74.473282
28.935242	-75.969978
29.608154	-72.701370
30.281067	-75.378082
30.953979	-74.978722
31.626892	-74.976364
32.299805	-75.308937
32.972717	-74.601128
33.645630	-74.142738
34.318542	-74.412193
34.991455	-73.699020
35.664368	-74.313789
36.337280	-74.276817
37.010193	-72.606255
37.683105	-72.832779
38.356018	-73.674103
39.028931	-73.550591
39.701843	-73.393593
40.374756	-72.512398
41.047668	-70.905602
41.720581	-71.828224
42.393494	-70.573608
43.066406	-71.785065
43.739319	-70.911041
44.412231	-70.069069
45.085144	-69.917122
45.758057	-70.046181
46.430969	-68.143600
47.103882	-71.294014
47.776794	-69.370529
48.449707	-70.380531
49.122620	-69.698334
49.795532	-68.611610
50.468445	-67.688629
51.141357	-66.887482
51.814270	-67.404579
52.487183	-68.440697
53.160095	-66.460823
53.833008	-66.380325
54.505920	-66.223877
55.178833	-63.925430
55.851746	-65.877052
56.524658	-64.323936
57.197571	-63.741512
57.870483	-62.894699
58.543396	-63.537621
59.216309	-62.911385
59.889221	-63.418938
60.562134	-62.507805
61.235046	-62.847805
61.907959	-60.709183
62.580872	-59.811596
63.253784	-59.595345
63.926697	-61.637672
64.599609	-63.365368
65.272522	-65.984741
65.945435	-65.494102
66.618347	-65.239395
67.291260	-66.685394
67.964172	-65.048096
68.637085	-65.721695
69.309998	-64.234390
69.982910	-62.833000
70.655823	-60.846436
71.328735	-61.873322
72.001648	-61.579132
72.674561	-60.823280
73.347473	-60.876244
74.020386	-58.624615
74.693298	-60.326813
75.366211	-59.994099
76.039124	-61.614944
76.712036	-60.011635
77.384949	-61.022148
78.057861	-61.645260
78.730774	-62.431042
79.403687	-63.361759
80.076599	-62.323704
80.749512	-63.755234
81.422424	-62.317661
82.095337	-64.164108
82.768250	-63.296799
83.441162	-61.005051
84.114075	-58.993557
84.786987	-57.301167
85.459900	-58.832024
86.132812	-58.220573
86.805725	-55.545246
87.478638	-58.043541
88.151550	-58.583614
88.824463	-58.625340
89.497375	-58.945801
90.170288	-58.262917
90.843201	-57.231411
91.516113	-57.900440
92.189026	-59.304676
92.861938	-60.375275
93.534851	-61.699814
94.207764	-60.808815
