Frequency (Hz)	Level (dB)
0.672913	-87.107018
1.345825	-87.245514
2.018738	-87.184158
2.691650	-87.189804
3.364563	-87.333427
4.037476	-86.617149
4.710388	-87.047615
5.383301	-86.819267
6.056213	-86.514648
6.729126	-86.442085
7.402039	-86.076790
8.074951	-86.603508
8.747864	-86.632874
9.420776	-86.060448
10.093689	-85.639565
10.766602	-85.103088
11.439514	-82.627884
12.112427	-83.886833
12.785339	-82.723305
13.458252	-81.848564
14.131165	-83.746872
14.804077	-83.736610
15.476990	-82.824432
16.149902	-81.770279
16.822815	-83.044647
17.495728	-82.635551
18.168640	-82.185272
18.841553	-80.124496
19.514465	-80.691414
20.187378	-80.818748
20.860291	-79.924706
21.533203	-78.369370
22.206116	-77.986290
22.879028	-76.574921
23.551941	-77.009895
24.224854	-76.378555
24.897766	-77.631508
25.570679	-76.081947
26.243591	-76.197304
26.916504	-76.190208
27.589417	-76.011986
28.262329	-75.002823
28.935242	-77.000389
29.608154	-73.899643
30.281067	-75.250114
30.953979	-75.073509
31.626892	-75.205582
32.299805	-73.855377
32.972717	-75.219246
33.645630	-75.269180
34.318542	-76.278687
34.991455	-74.564705
35.664368	-74.549248
36.337280	-74.070007
37.010193	-74.270332
37.683105	-73.779068
38.356018	-74.700821
39.028931	-74.547478
39.701843	-73.944397
40.374756	-72.669418
41.047668	-72.581337
41.720581	-72.548477
42.393494	-71.251175
43.066406	-70.988213
43.739319	-70.773682
44.412231	-70.845917
45.085144	-71.030518
45.758057	-70.416183
46.430969	-67.999680
47.103882	-69.783424
47.776794	-69.188148
48.449707	-69.372368
49.122620	-69.419548
49.795532	-69.232094
50.468445	-66.645920
51.141357	-67.189072
51.814270	-67.420525
52.487183	-67.287575
53.160095	-66.134827
53.833008	-65.828369
54.505920	-65.901260
55.178833	-63.759304
55.851746	-64.580566
56.524658	-63.350266
57.197571	-62.736679
57.870483	-61.241970
58.543396	-62.613266
59.216309	-62.947788
59.889221	-63.393417
60.562134	-63.055153
61.235046	-62.418240
61.907959	-61.129837
62.580872	-60.073490
63.253784	-59.923340
63.926697	-61.369091
64.599609	-63.979515
65.272522	-66.238396
65.945435	-65.920708
66.618347	-65.376831
67.291260	-67.630836
67.964172	-66.526291
68.637085	-66.019592
69.309998	-64.772476
69.982910	-63.748505
70.655823	-62.090755
71.328735	-61.330769
72.001648	-62.689129
72.674561	-62.140808
73.347473	-61.273006
74.020386	-60.185284
74.693298	-60.182510
75.366211	-60.799763
76.039124	-61.786304
76.712036	-61.027073
77.384949	-62.196323
78.057861	-63.306919
78.730774	-63.371296
79.403687	-63.377029
80.076599	-63.350361
80.749512	-64.331314
81.422424	-64.662453
82.095337	-66.003792
82.768250	-63.356869
83.441162	-62.446835
84.114075	-58.702938
84.786987	-58.597210
85.459900	-59.095745
86.132812	-58.061684
86.805725	-55.152466
87.478638	-58.410316
88.151550	-59.994678
88.824463	-60.140388
89.497375	-59.345570
90.170288	-58.496105
90.843201	-58.213264
91.516113	-59.525349
92.189026	-60.991245
92.861938	-61.683369
93.534851	-60.820744
94.207764	-63.661591
94.880676	-64.162331
95.553589	-63.201641
96.226501	-63.805420
96.899414	-63.072121
97.572327	-62.407604
98.245239	-62.994255
98.918152	-63.116512
99.591064	-62.436779
100.263977	-64.083794
100.936890	-63.520313
101.609802	-63.357029
102.282715	-62.841900
102.955627	-61.096771
103.628540	-60.501312
104.301453	-58.516529
104.974365	-58.930096
105.647278	-58.933559
106.320190	-59.481842
106.993103	-59.245110
107.666016	-59.488155
108.338928	-61.521923
109.011841	-62.090137
109.684753	-62.647549
110.357666	-63.111572
111.030579	-61.295303
111.703491	-61.454384
112.376404	-61.161709
113.049316	-57.470222
113.722229	-54.591522
114.395142	-55.008610
115.068054	-59.582695
115.740967	-61.417282
116.413879	-61.195789
117.086792	-62.766312
117.759705	-62.596409
118.432617	-61.030067
119.105530	-63.474777
119.778442	-59.200851
120.451355	-63.276451
121.124268	-62.424458
121.797180	-63.090111
122.470093	-64.370316
123.143005	-66.699974
123.815918	-65.173058
124.488831	-65.438324
125.161743	-64.681396
125.834656	-65.901695
126.507568	-65.588783
127.180481	-65.457253
127.853394	-65.654846
128.526306	-64.710381
129.199219	-64.449142
129.872131	-64.276817
130.545044	-64.629196
131.217957	-66.503983
131.890869	-66.328545
132.563782	-64.386642
133.236694	-65.885559
133.909607	-65.900253
134.582520	-66.026428
135.255432	-66.428085
135.928345	-67.764214
136.601257	-66.651405
137.274170	-68.136581
137.947083	-69.414490
138.619995	-68.871902
139.292908	-69.185753
139.965820	-69.511803
140.638733	-68.856041
141.311646	-69.487946
141.984558	-67.205482
142.657471	-67.175201
143.330383	-68.763084
144.003296	-68.415512
144.676208	-66.738968
145.349121	-65.874901
146.022034	-64.605042
146.694946	-65.069939
147.367859	-65.731964
148.040771	-66.915283
148.713684	-67.382591
149.386597	-64.924385
150.059509	-67.013481
150.732422	-67.856926
151.405334	-67.354500
152.078247	-67.921577
152.751160	-68.030785
153.424072	-68.380684
154.096985	-68.442902
154.769897	-68.749435
155.442810	-68.993950
156.115723	-68.642761
156.788635	-67.627663
157.461548	-66.885933
158.134460	-68.191994
158.807373	-68.496552
159.480286	-68.607002
160.153198	-69.136734
160.826111	-69.326530
161.499023	-69.657066
162.171936	-68.558372
162.844849	-69.736267
163.517761	-68.651146
164.190674	-69.009888
164.863586	-70.720726
165.536499	-70.754395
166.209412	-71.200928
166.882324	-69.850121
167.555237	-68.973236
168.228149	-70.411697
168.901062	-70.272202
169.573975	-69.202118
170.246887	-69.822945
170.919800	-70.626236
171.592712	-71.180687
172.265625	-70.591751
172.938538	-68.052467
173.611450	-71.277580
174.284363	-71.795998
174.957275	-70.544815
175.630188	-69.762505
176.303101	-71.164886
176.976013	-69.328033
177.648926	-71.645454
178.321838	-71.256607
178.994751	-71.882317
179.667664	-70.886551
180.340576	-73.191772
181.013489	-72.016907
181.686401	-72.353798
182.359314	-74.339310
183.032227	-72.097687
183.705139	-72.702118
184.378052	-71.784630
185.050964	-72.032196
185.723877	-72.621849
186.396790	-72.872177
187.069702	-72.599655
187.742615	-72.695137
188.415527	-73.296288
189.088440	-73.759377
189.761353	-73.844223
190.434265	-75.188980
191.107178	-74.443047
191.780090	-74.203064
192.453003	-73.455452
193.125916	-73.729080
193.798828	-73.736595
194.471741	-75.051041
195.144653	-73.472969
195.817566	-73.959694
196.490479	-74.936852
197.163391	-73.658348
197.836304	-74.347748
198.509216	-73.539314
199.182129	-73.850883
199.855042	-73.279266
200.527954	-74.617218
201.200867	-73.762802
201.873779	-73.844658
202.546692	-74.299950
203.219604	-74.328201
203.892517	-74.193520
204.565430	-74.134651
205.238342	-73.369377
205.911255	-74.138817
206.584167	-74.310646
207.257080	-75.178413
207.929993	-74.857956
208.602905	-74.979454
209.275818	-74.596382
209.948730	-74.269981
210.621643	-75.289635
211.294556	-74.880096
211.967468	-73.467957
212.640381	-74.648964
213.313293	-74.289467
213.986206	-73.059624
214.659119	-74.033966
215.332031	-75.708763
216.004944	-76.147133
216.677856	-75.559822
217.350769	-75.842506
218.023682	-75.920769
218.696594	-74.632065
219.369507	-75.164589
220.042419	-75.666893
220.715332	-74.098068
221.388245	-75.254501
222.061157	-76.773270
222.734070	-76.525070
223.406982	-75.098595
224.079895	-74.053795
224.752808	-76.390427
225.425720	-76.286736
226.098633	-74.953369
226.771545	-75.937454
227.444458	-75.234230
