Frequency (Hz)	Level (dB)
0.672913	-96.721802
1.345825	-96.851723
2.018738	-96.580254
2.691650	-96.692940
3.364563	-96.005836
4.037476	-93.571793
4.710388	-96.591606
5.383301	-96.536430
6.056213	-92.579185
6.729126	-94.822784
7.402039	-93.274147
8.074951	-94.062637
8.747864	-94.015579
9.420776	-90.859978
10.093689	-89.390091
10.766602	-87.633408
11.439514	-88.748093
12.112427	-87.152718
12.785339	-87.884727
13.458252	-86.314682
14.131165	-88.578606
14.804077	-88.286575
15.476990	-84.572639
16.149902	-84.589493
16.822815	-83.975960
17.495728	-85.704285
18.168640	-83.962654
18.841553	-81.475479
19.514465	-83.152260
20.187378	-83.486107
20.860291	-81.812614
21.533203	-84.827370
22.206116	-80.570862
22.879028	-80.385498
23.551941	-76.640587
24.224854	-76.982796
24.897766	-77.392532
25.570679	-78.156517
26.243591	-77.539909
26.916504	-75.368126
27.589417	-76.842110
28.262329	-77.402145
28.935242	-77.367950
29.608154	-75.933167
30.281067	-74.688339
30.953979	-75.973831
31.626892	-76.737999
32.299805	-77.755920
32.972717	-77.220795
33.645630	-76.826012
34.318542	-77.843872
34.991455	-74.951210
35.664368	-73.035973
36.337280	-75.672005
37.010193	-72.203850
37.683105	-75.570053
38.356018	-73.718674
39.028931	-73.143806
39.701843	-74.244644
40.374756	-74.002235
41.047668	-75.381477
41.720581	-72.179253
42.393494	-73.224350
43.066406	-73.816582
43.739319	-72.890488
44.412231	-76.144447
45.085144	-73.844513
45.758057	-71.687820
46.430969	-71.722832
47.103882	-71.480713
47.776794	-71.198524
48.449707	-72.158951
49.122620	-70.998230
49.795532	-72.022324
50.468445	-73.660271
51.141357	-71.825005
51.814270	-73.787834
52.487183	-69.722618
53.160095	-66.528107
53.833008	-67.468330
54.505920	-67.229637
55.178833	-66.309349
55.851746	-64.953491
56.524658	-66.941917
57.197571	-65.818535
57.870483	-67.231781
58.543396	-62.594231
59.216309	-63.797554
59.889221	-66.636360
60.562134	-64.542816
61.235046	-68.292648
61.907959	-63.605312
62.580872	-61.468857
63.253784	-61.169903
63.926697	-63.782310
64.599609	-67.786354
65.272522	-70.125969
65.945435	-72.394745
66.618347	-69.998192
67.291260	-70.762337
67.964172	-71.548958
68.637085	-72.380470
69.309998	-67.199692
69.982910	-68.120110
70.655823	-67.660522
71.328735	-64.291176
72.001648	-67.696030
72.674561	-65.675522
73.347473	-63.518387
74.020386	-61.854076
74.693298	-66.130966
75.366211	-63.855957
76.039124	-64.246429
76.712036	-66.930824
77.384949	-64.922592
78.057861	-69.307503
78.730774	-67.701591
79.403687	-69.175224
80.076599	-70.377419
80.749512	-67.538025
81.422424	-68.984230
82.095337	-70.909721
82.768250	-67.732941
83.441162	-67.066643
84.114075	-67.053734
84.786987	-65.456795
85.459900	-65.185905
86.132812	-62.891159
86.805725	-61.082184
87.478638	-64.796005
88.151550	-63.846825
88.824463	-63.445812
89.497375	-67.074371
90.170288	-66.388397
90.843201	-65.519402
91.516113	-65.632767
92.189026	-67.893097
92.861938	-68.673370
93.534851	-68.083778
94.207764	-70.901695
94.880676	-68.712875
95.553589	-67.644737
96.226501	-70.280968
96.899414	-72.618446
97.572327	-69.642845
98.245239	-68.391998
98.918152	-66.303215
99.591064	-70.877060
100.263977	-71.778114
100.936890	-71.158066
101.609802	-69.633423
102.282715	-71.351509
102.955627	-67.469238
103.628540	-65.490639
104.301453	-69.991898
104.974365	-64.481750
105.647278	-66.778603
106.320190	-66.813324
106.993103	-65.903748
107.666016	-68.014412
108.338928	-68.769020
109.011841	-68.950806
109.684753	-68.855995
110.357666	-67.472908
111.030579	-69.280502
111.703491	-67.506813
112.376404	-66.697403
113.049316	-63.251415
113.722229	-59.013981
114.395142	-62.544518
115.068054	-67.247520
115.740967	-66.957588
116.413879	-69.145721
117.086792	-65.970276
117.759705	-65.986145
118.432617	-66.598518
119.105530	-67.359573
119.778442	-64.545959
120.451355	-66.525627
121.124268	-64.373489
121.797180	-67.858589
122.470093	-66.312996
123.143005	-68.214668
123.815918	-71.709473
124.488831	-68.456589
125.161743	-68.720627
125.834656	-68.329010
126.507568	-68.314362
127.180481	-69.926796
127.853394	-71.099922
128.526306	-67.414955
129.199219	-67.009956
129.872131	-65.883156
130.545044	-65.617210
131.217957	-66.983398
131.890869	-67.977501
132.563782	-67.223991
133.236694	-66.647003
133.909607	-67.972786
134.582520	-66.465675
135.255432	-68.467400
135.928345	-70.826187
136.601257	-68.788643
137.274170	-70.260979
137.947083	-68.447258
138.619995	-71.489639
139.292908	-70.223885
139.965820	-70.962158
140.638733	-69.519325
141.311646	-69.834419
141.984558	-65.446548
142.657471	-66.679970
143.330383	-67.839806
144.003296	-64.691574
144.676208	-65.916039
145.349121	-65.002037
146.022034	-65.248497
146.694946	-64.093544
147.367859	-63.736015
148.040771	-65.278046
148.713684	-64.014656
149.386597	-65.989197
150.059509	-63.184097
150.732422	-67.045235
151.405334	-66.230049
152.078247	-67.777916
152.751160	-65.405296
153.424072	-69.887123
154.096985	-68.213638
154.769897	-66.189034
155.442810	-69.229836
156.115723	-66.516220
156.788635	-63.830177
157.461548	-64.974106
158.134460	-65.170227
158.807373	-62.621899
159.480286	-66.040733
160.153198	-67.267014
160.826111	-64.364891
161.499023	-66.189873
162.171936	-65.446877
162.844849	-64.965569
163.517761	-67.062706
164.190674	-68.634766
164.863586	-65.160805
165.536499	-69.455353
166.209412	-66.794724
166.882324	-66.850014
167.555237	-67.257889
168.228149	-64.938103
168.901062	-66.747849
169.573975	-64.908051
170.246887	-67.342201
170.919800	-65.752777
171.592712	-67.564529
172.265625	-66.901077
172.938538	-63.312386
173.611450	-67.894028
174.284363	-67.509407
174.957275	-64.833153
175.630188	-68.745216
176.303101	-69.200066
176.976013	-60.967846
177.648926	-63.732014
178.321838	-66.237320
178.994751	-66.254517
179.667664	-67.028297
180.340576	-69.206154
181.013489	-68.898323
181.686401	-68.821571
182.359314	-69.362144
183.032227	-68.655884
183.705139	-71.417519
184.378052	-68.978592
185.050964	-69.883430
185.723877	-69.059113
186.396790	-69.609528
187.069702	-69.802773
187.742615	-69.432655
188.415527	-71.290115
189.088440	-70.837555
189.761353	-70.049713
190.434265	-69.647293
191.107178	-70.308357
191.780090	-72.989204
192.453003	-70.963226
193.125916	-70.498466
193.798828	-69.894485
194.471741	-71.269363
195.144653	-70.758446
195.817566	-69.725639
196.490479	-70.805061
197.163391	-70.410851
197.836304	-69.684807
198.509216	-70.789528
199.182129	-71.141960
199.855042	-70.840813
200.527954	-71.326118
201.200867	-71.185173
201.873779	-70.940315
202.546692	-70.169128
203.219604	-72.728645
203.892517	-71.804344
204.565430	-70.084106
205.238342	-66.575462
205.911255	-69.666870
206.584167	-70.197151
207.257080	-72.098038
207.929993	-69.508492
208.602905	-74.191628
209.275818	-71.720543
209.948730	-70.401772
210.621643	-71.300583
211.294556	-73.329720
211.967468	-71.145821
212.640381	-73.192970
213.313293	-68.558846
213.986206	-67.176094
214.659119	-70.730118
215.332031	-70.582657
216.004944	-72.020668
216.677856	-73.384422
217.350769	-72.216942
218.023682	-72.389984
218.696594	-70.411263
219.369507	-71.466240
220.042419	-75.507355
220.715332	-71.764549
221.388245	-74.047691
222.061157	-75.772156
222.734070	-73.973175
223.406982	-72.458130
224.079895	-71.326828
224.752808	-73.182281
225.425720	-72.867012
226.098633	-72.086182
226.771545	-71.969986
227.444458	-73.385490
228.117371	-72.468842
228.790283	-74.684898
229.463196	-70.444023
230.136108	-68.619202
230.809021	-71.686188
231.481934	-72.464958
232.154846	-74.124619
232.827759	-75.235649
233.500671	-72.175438
234.173584	-74.168625
234.846497	-72.269905
235.519409	-72.375107
236.192322	-72.544441
236.865234	-76.331383
237.538147	-74.343094
238.211060	-74.719261
238.883972	-74.036568
239.556885	-75.025452
240.229797	-73.517799
240.902710	-72.992943
241.575623	-73.629272
242.248535	-73.749466
242.921448	-73.361099
243.594360	-71.493240
244.267273	-73.057770
244.940186	-72.556305
245.613098	-72.797455
246.286011	-72.809349
246.958923	-74.696091
247.631836	-72.926834
248.304749	-71.798393
248.977661	-74.088242
249.650574	-71.800705
250.323486	-75.176292
250.996399	-74.932854
251.669312	-76.252357
252.342224	-75.639824
253.015137	-74.249283
253.688049	-73.730049
254.360962	-74.224548
255.033875	-75.543091
255.706787	-73.956551
256.379700	-74.049301
257.052612	-75.153961
257.725525	-78.082619
258.398438	-75.533028
259.071350	-73.267448
259.744263	-73.559570
260.417175	-75.244011
261.090088	-76.437782
261.763000	-74.442261
262.435913	-76.901649
263.108826	-75.746994
263.781738	-74.582115
264.454651	-73.764061
265.127563	-75.705788
265.800476	-77.125092
266.473389	-75.685478
267.146301	-73.211418
267.819214	-73.762955
268.492126	-74.048241
269.165039	-71.549583
269.837952	-76.114014
270.510864	-80.210159
271.183777	-76.349319
271.856689	-77.181580
272.529602	-76.424164
273.202515	-75.872208
273.875427	-75.712936
274.548340	-74.986809
275.221252	-76.127686
275.894165	-75.356110
276.567078	-74.570671
277.239990	-74.155632
277.912903	-77.060753
278.585815	-76.745644
279.258728	-73.685387
279.931641	-75.468193
280.604553	-77.110321
281.277466	-77.275757
281.950378	-75.269379
282.623291	-73.082886
283.296204	-71.521797
283.969116	-74.341599
284.642029	-74.098579
285.314941	-72.764801
285.987854	-77.494293
286.660767	-76.506416
