Frequency (Hz)	Level (dB)
0.672913	-94.107086
1.345825	-94.119614
2.018738	-93.959778
2.691650	-93.995872
3.364563	-93.778549
4.037476	-93.181755
4.710388	-93.120872
5.383301	-92.827286
6.056213	-91.775620
6.729126	-91.218224
7.402039	-92.455864
8.074951	-92.912636
8.747864	-92.058098
9.420776	-90.696213
10.093689	-89.173332
10.766602	-87.406982
11.439514	-86.309357
12.112427	-85.453888
12.785339	-87.031303
13.458252	-85.686920
14.131165	-86.738937
14.804077	-86.899109
15.476990	-86.155502
16.149902	-84.905670
16.822815	-84.064316
17.495728	-85.400520
18.168640	-84.298401
18.841553	-81.690971
19.514465	-82.215477
20.187378	-82.197205
20.860291	-80.568451
21.533203	-79.951790
22.206116	-79.691734
22.879028	-78.821442
23.551941	-78.048584
24.224854	-78.622948
24.897766	-79.122078
25.570679	-78.136734
26.243591	-78.764320
26.916504	-77.589211
27.589417	-76.049553
28.262329	-76.577896
28.935242	-77.528503
29.608154	-72.930687
30.281067	-76.078117
30.953979	-76.305984
31.626892	-75.638863
32.299805	-77.535912
32.972717	-77.214615
33.645630	-76.441254
34.318542	-76.926849
34.991455	-75.745453
35.664368	-74.840988
36.337280	-74.668083
37.010193	-73.770226
37.683105	-75.588715
38.356018	-75.218399
39.028931	-75.140747
39.701843	-74.058044
40.374756	-74.727066
41.047668	-73.878586
41.720581	-72.821823
42.393494	-72.284508
43.066406	-72.943451
43.739319	-71.913956
44.412231	-72.684235
45.085144	-72.451370
45.758057	-72.421738
46.430969	-69.766861
47.103882	-71.943939
47.776794	-71.350677
48.449707	-72.460876
49.122620	-71.438477
49.795532	-70.775780
50.468445	-69.788376
51.141357	-69.233681
51.814270	-71.014153
52.487183	-68.679314
53.160095	-68.048264
53.833008	-66.968445
54.505920	-67.592674
55.178833	-67.269989
55.851746	-65.753174
56.524658	-65.986916
57.197571	-66.389809
57.870483	-66.547478
58.543396	-64.671745
59.216309	-65.379303
59.889221	-65.758232
60.562134	-64.788483
61.235046	-64.728287
61.907959	-64.498436
62.580872	-62.563034
63.253784	-62.572037
63.926697	-64.570724
64.599609	-67.928436
65.272522	-70.634857
65.945435	-69.423805
66.618347	-69.732185
67.291260	-69.864212
67.964172	-69.218819
68.637085	-69.263290
69.309998	-68.036530
69.982910	-66.871078
70.655823	-66.322830
71.328735	-65.431000
72.001648	-66.000748
72.674561	-65.920204
73.347473	-63.860191
74.020386	-63.112324
74.693298	-64.361626
75.366211	-63.265759
76.039124	-63.403408
76.712036	-65.239250
77.384949	-65.849777
78.057861	-68.242302
78.730774	-68.992966
79.403687	-69.011047
80.076599	-69.048256
80.749512	-68.420425
81.422424	-69.896774
82.095337	-68.330605
82.768250	-68.304192
83.441162	-67.556328
84.114075	-65.376602
84.786987	-63.059864
85.459900	-63.578503
86.132812	-61.711479
86.805725	-63.206684
87.478638	-65.073013
88.151550	-64.550804
88.824463	-64.560272
89.497375	-63.488373
90.170288	-64.047745
90.843201	-64.435707
91.516113	-66.373177
92.189026	-68.296379
92.861938	-68.347008
93.534851	-67.441483
94.207764	-68.850708
94.880676	-68.790428
95.553589	-69.350197
