Frequency (Hz)	Level (dB)
0.672913	-94.271782
1.345825	-94.260048
2.018738	-94.270248
2.691650	-94.225708
3.364563	-93.922157
4.037476	-93.162155
4.710388	-93.043945
5.383301	-93.165619
6.056213	-92.124207
6.729126	-91.513252
7.402039	-91.827713
8.074951	-92.206886
8.747864	-90.595154
9.420776	-91.941704
10.093689	-88.730515
10.766602	-88.019249
11.439514	-87.986710
12.112427	-86.262688
12.785339	-86.941635
13.458252	-83.568901
14.131165	-86.228920
14.804077	-85.511360
15.476990	-85.808868
16.149902	-84.120544
16.822815	-84.912369
17.495728	-83.490044
18.168640	-82.534973
18.841553	-82.247803
19.514465	-83.795525
20.187378	-82.764885
20.860291	-80.931168
21.533203	-82.410782
22.206116	-81.228760
22.879028	-80.038788
23.551941	-79.287788
24.224854	-78.947525
24.897766	-79.121178
25.570679	-79.648590
26.243591	-77.650688
26.916504	-78.777245
27.589417	-80.185852
28.262329	-77.897171
28.935242	-79.102226
29.608154	-76.719070
30.281067	-77.924736
30.953979	-77.280014
31.626892	-76.708641
32.299805	-78.397186
32.972717	-77.256920
33.645630	-76.627380
34.318542	-76.138260
34.991455	-77.611458
35.664368	-78.855598
36.337280	-76.359322
37.010193	-78.086082
37.683105	-77.242577
38.356018	-78.068001
39.028931	-77.339966
39.701843	-76.031868
40.374756	-75.252304
41.047668	-74.713814
41.720581	-74.483368
42.393494	-75.123848
43.066406	-75.014404
43.739319	-73.431992
44.412231	-73.248169
45.085144	-73.694763
45.758057	-74.315872
46.430969	-71.316368
47.103882	-74.928978
47.776794	-74.162926
48.449707	-72.857315
49.122620	-74.321808
49.795532	-73.002533
50.468445	-70.956795
51.141357	-70.435364
51.814270	-71.799400
52.487183	-72.107544
53.160095	-70.993080
53.833008	-69.300697
54.505920	-69.586586
55.178833	-69.906219
55.851746	-69.204597
56.524658	-68.543327
57.197571	-67.450272
57.870483	-67.958153
58.543396	-66.813530
59.216309	-66.844566
59.889221	-67.264816
60.562134	-67.514084
61.235046	-65.117867
61.907959	-66.748497
62.580872	-66.785645
63.253784	-62.748730
63.926697	-65.784225
64.599609	-69.139732
65.272522	-71.202682
65.945435	-71.084633
66.618347	-69.310982
67.291260	-69.948769
67.964172	-69.922218
68.637085	-70.556168
69.309998	-68.179146
69.982910	-66.772102
70.655823	-68.233444
71.328735	-68.374207
72.001648	-67.900047
72.674561	-66.847549
73.347473	-65.604980
74.020386	-64.902664
74.693298	-64.498917
75.366211	-63.967403
76.039124	-65.741875
76.712036	-65.630539
77.384949	-66.851982
78.057861	-66.909187
78.730774	-66.708633
79.403687	-68.069542
80.076599	-69.861046
80.749512	-70.597115
81.422424	-68.605438
82.095337	-70.034599
82.768250	-68.955215
83.441162	-67.912437
84.114075	-63.953053
84.786987	-62.873611
85.459900	-63.620934
86.132812	-62.303623
86.805725	-62.352489
87.478638	-63.181812
88.151550	-64.316559
88.824463	-64.462891
89.497375	-63.409218
90.170288	-63.199478
90.843201	-63.739319
91.516113	-63.352451
92.189026	-66.111641
92.861938	-66.675461
93.534851	-66.890991
94.207764	-67.596291
94.880676	-67.239799
95.553589	-67.134941
96.226501	-67.626411
96.899414	-68.372475
97.572327	-69.920036
98.245239	-68.729813
98.918152	-67.724075
99.591064	-66.914062
100.263977	-66.922661
100.936890	-68.438522
101.609802	-67.961571
102.282715	-65.514244
102.955627	-65.077080
103.628540	-63.490570
104.301453	-62.769836
104.974365	-63.639942
105.647278	-63.850986
106.320190	-64.352196
106.993103	-63.552280
107.666016	-63.259663
108.338928	-64.463791
109.011841	-64.106125
109.684753	-64.540001
110.357666	-64.666420
111.030579	-64.884727
111.703491	-64.474365
112.376404	-63.050980
113.049316	-60.245510
113.722229	-57.774281
114.395142	-58.290146
115.068054	-61.438457
115.740967	-63.707855
116.413879	-63.715172
117.086792	-64.216873
117.759705	-64.219856
118.432617	-63.721043
119.105530	-63.326202
119.778442	-59.493851
120.451355	-61.539612
121.124268	-61.712898
121.797180	-64.527054
122.470093	-63.287880
123.143005	-65.284920
123.815918	-65.006447
124.488831	-64.668755
125.161743	-64.024254
125.834656	-63.006397
126.507568	-63.997295
127.180481	-64.606285
127.853394	-63.708214
128.526306	-63.832569
129.199219	-62.842789
129.872131	-62.308617
130.545044	-62.423626
131.217957	-62.323250
131.890869	-62.465382
132.563782	-61.031776
133.236694	-61.990047
133.909607	-62.667480
134.582520	-62.602085
135.255432	-62.489422
135.928345	-63.563675
136.601257	-62.946484
137.274170	-63.124939
137.947083	-64.141449
138.619995	-64.743675
139.292908	-64.073784
139.965820	-64.713005
140.638733	-65.266563
