Frequency (Hz)	Level (dB)
0.672913	-93.353554
1.345825	-93.310822
2.018738	-93.245438
2.691650	-93.322952
3.364563	-93.522446
4.037476	-92.560036
4.710388	-92.916351
5.383301	-92.694687
6.056213	-92.212616
6.729126	-92.006401
7.402039	-91.995613
8.074951	-92.260109
8.747864	-91.851639
9.420776	-91.380432
10.093689	-89.936523
10.766602	-88.700424
11.439514	-87.812668
12.112427	-88.735588
12.785339	-88.222115
13.458252	-86.883575
14.131165	-88.606209
14.804077	-87.375504
15.476990	-87.225159
16.149902	-86.579666
16.822815	-86.960159
17.495728	-87.619949
18.168640	-85.257164
18.841553	-84.476135
19.514465	-83.945290
20.187378	-84.755913
20.860291	-82.455559
21.533203	-81.404495
22.206116	-82.624146
22.879028	-80.606873
23.551941	-81.180588
24.224854	-81.368904
24.897766	-82.186256
25.570679	-81.182808
26.243591	-81.095245
26.916504	-79.073524
27.589417	-79.818497
28.262329	-79.236176
28.935242	-79.387032
29.608154	-77.557274
30.281067	-79.404503
30.953979	-79.685806
31.626892	-78.928200
32.299805	-78.863853
32.972717	-79.186783
33.645630	-77.765228
34.318542	-78.873573
34.991455	-77.869865
35.664368	-77.861977
36.337280	-78.063538
37.010193	-77.506447
37.683105	-77.247231
38.356018	-76.291199
39.028931	-76.678612
39.701843	-76.196754
40.374756	-75.625778
41.047668	-75.281731
41.720581	-76.161888
42.393494	-75.653320
43.066406	-75.918198
43.739319	-74.440842
44.412231	-75.440994
45.085144	-73.940086
45.758057	-75.072708
46.430969	-72.664558
47.103882	-73.296326
47.776794	-73.198616
48.449707	-74.878838
49.122620	-73.194649
49.795532	-71.828827
50.468445	-71.311768
51.141357	-70.338211
51.814270	-70.303993
52.487183	-71.032631
53.160095	-71.222191
53.833008	-71.187744
54.505920	-69.307449
55.178833	-68.961151
55.851746	-69.460091
56.524658	-67.912498
57.197571	-67.907875
57.870483	-66.547272
58.543396	-67.686050
59.216309	-66.788223
59.889221	-66.890297
60.562134	-66.217010
61.235046	-64.682755
61.907959	-65.787704
62.580872	-64.136330
63.253784	-63.852215
63.926697	-66.347481
64.599609	-68.539291
65.272522	-71.039574
65.945435	-70.749001
66.618347	-70.613426
67.291260	-70.266655
67.964172	-70.401733
68.637085	-70.537224
69.309998	-68.169052
69.982910	-68.540077
70.655823	-68.417374
71.328735	-67.750183
72.001648	-67.346870
72.674561	-66.625671
73.347473	-64.381973
74.020386	-64.280602
74.693298	-63.725277
75.366211	-64.638611
76.039124	-67.050674
76.712036	-66.592140
77.384949	-66.591965
78.057861	-68.057198
78.730774	-67.278488
79.403687	-70.145943
80.076599	-69.917618
80.749512	-69.145699
81.422424	-70.059319
82.095337	-69.299507
82.768250	-68.694710
83.441162	-67.629158
84.114075	-65.842110
84.786987	-66.095772
85.459900	-64.020668
86.132812	-62.152313
86.805725	-62.845413
87.478638	-63.867771
88.151550	-65.089569
88.824463	-64.721390
89.497375	-64.228981
90.170288	-63.213123
90.843201	-64.806335
91.516113	-66.013458
92.189026	-65.262413
92.861938	-66.319321
93.534851	-67.231377
94.207764	-67.989540
94.880676	-68.891335
95.553589	-68.073936
96.226501	-69.685684
96.899414	-71.178635
97.572327	-69.521721
98.245239	-70.244476
98.918152	-67.613510
99.591064	-67.292412
100.263977	-68.236320
100.936890	-69.237061
101.609802	-67.945656
102.282715	-67.428558
102.955627	-66.202179
103.628540	-66.609756
