Frequency (Hz)	Level (dB)
0.672913	-90.798233
1.345825	-90.804909
2.018738	-90.819466
2.691650	-90.815887
3.364563	-90.795319
4.037476	-90.150658
4.710388	-90.439941
5.383301	-90.079399
6.056213	-89.542107
6.729126	-88.937767
7.402039	-88.685753
8.074951	-90.481079
8.747864	-88.378708
9.420776	-88.605125
10.093689	-87.830681
10.766602	-86.684006
11.439514	-85.243095
12.112427	-85.702164
12.785339	-85.205078
13.458252	-82.450226
14.131165	-85.998955
14.804077	-84.520866
15.476990	-83.754158
16.149902	-82.883095
16.822815	-83.887695
17.495728	-83.207314
18.168640	-83.766678
18.841553	-82.323891
19.514465	-82.174065
20.187378	-81.930237
20.860291	-81.247742
21.533203	-80.608719
22.206116	-79.877945
22.879028	-78.766129
23.551941	-79.072716
24.224854	-79.112061
24.897766	-78.810921
25.570679	-77.945908
26.243591	-76.488808
26.916504	-77.551079
27.589417	-76.792610
28.262329	-77.467682
28.935242	-77.449699
29.608154	-74.961868
30.281067	-76.019966
30.953979	-77.020622
31.626892	-75.900108
32.299805	-76.379807
32.972717	-76.032005
33.645630	-75.474693
34.318542	-76.190880
34.991455	-74.449852
35.664368	-75.297890
36.337280	-75.594116
37.010193	-75.563316
37.683105	-74.411606
38.356018	-74.035034
39.028931	-73.265221
39.701843	-73.009064
40.374756	-73.497650
41.047668	-72.142799
41.720581	-70.058952
42.393494	-70.573967
43.066406	-70.637634
43.739319	-72.447571
44.412231	-71.414818
45.085144	-70.915092
45.758057	-71.064102
46.430969	-68.302628
47.103882	-70.979126
47.776794	-69.763351
48.449707	-69.061707
49.122620	-68.612320
49.795532	-68.699730
50.468445	-66.665154
51.141357	-67.025040
51.814270	-67.198845
52.487183	-67.435776
53.160095	-66.015556
53.833008	-66.267952
54.505920	-63.495792
55.178833	-63.896305
55.851746	-63.087944
56.524658	-60.747967
57.197571	-62.238506
57.870483	-61.980610
58.543396	-60.687683
59.216309	-60.572144
59.889221	-61.544403
60.562134	-59.899326
61.235046	-60.530178
61.907959	-59.987404
62.580872	-57.908363
63.253784	-58.380615
63.926697	-59.121117
64.599609	-61.680321
65.272522	-63.700077
65.945435	-63.003635
66.618347	-63.047688
67.291260	-62.652924
67.964172	-63.492756
68.637085	-62.646175
69.309998	-62.143055
69.982910	-60.466331
70.655823	-59.609482
71.328735	-57.835114
72.001648	-60.878304
72.674561	-59.072517
73.347473	-57.013283
74.020386	-57.817848
74.693298	-57.689594
75.366211	-56.344234
76.039124	-59.056316
76.712036	-59.343945
77.384949	-59.549984
78.057861	-60.669014
78.730774	-62.071022
79.403687	-61.065952
80.076599	-60.215328
80.749512	-61.497967
81.422424	-62.123604
82.095337	-62.406055
82.768250	-63.200249
83.441162	-61.357910
84.114075	-59.460354
84.786987	-58.453445
85.459900	-59.509800
86.132812	-58.803463
86.805725	-57.938828
87.478638	-59.615646
88.151550	-60.393440
88.824463	-60.271454
89.497375	-60.447460
90.170288	-60.162170
90.843201	-60.914227
91.516113	-61.383701
92.189026	-61.044971
92.861938	-63.055016
93.534851	-63.752014
94.207764	-63.405247
94.880676	-63.874245
95.553589	-63.887890
96.226501	-64.143425
96.899414	-63.741352
97.572327	-65.596031
98.245239	-65.058395
98.918152	-64.746941
99.591064	-65.082741
100.263977	-64.516457
100.936890	-64.418228
101.609802	-66.071556
102.282715	-64.726608
102.955627	-64.000771
103.628540	-63.738052
104.301453	-63.298046
104.974365	-63.801270
105.647278	-63.631332
106.320190	-64.055939
106.993103	-65.189972
107.666016	-64.044037
108.338928	-65.086716
109.011841	-67.282059
109.684753	-64.842552
110.357666	-65.406693
111.030579	-66.368523
111.703491	-66.106186
112.376404	-66.485519
113.049316	-64.574646
113.722229	-61.536205
114.395142	-63.156700
115.068054	-65.505997
115.740967	-66.723969
116.413879	-66.148605
117.086792	-67.036423
117.759705	-66.977501
118.432617	-65.254082
119.105530	-67.809601
119.778442	-66.762039
120.451355	-66.283203
121.124268	-65.029076
121.797180	-66.517288
122.470093	-67.564651
123.143005	-66.793404
123.815918	-68.612045
124.488831	-68.130569
125.161743	-67.171471
125.834656	-67.165154
126.507568	-68.556091
127.180481	-67.966843
127.853394	-68.203323
128.526306	-67.590660
129.199219	-67.970314
129.872131	-67.614090
130.545044	-66.425980
131.217957	-68.650719
131.890869	-67.984795
132.563782	-67.735733
133.236694	-68.795898
133.909607	-68.581520
134.582520	-68.956558
135.255432	-68.699417
135.928345	-69.001884
136.601257	-69.404678
137.274170	-68.329430
137.947083	-68.102341
138.619995	-69.218849
139.292908	-70.242546
139.965820	-68.453613
140.638733	-69.186455
141.311646	-69.566628
141.984558	-69.858688
142.657471	-70.322037
143.330383	-70.047874
144.003296	-68.750519
144.676208	-68.612976
145.349121	-67.508965
146.022034	-69.250626
146.694946	-69.696320
147.367859	-70.395729
148.040771	-69.376030
148.713684	-68.773964
149.386597	-68.719429
150.059509	-68.864784
150.732422	-68.344673
151.405334	-68.966988
152.078247	-70.445656
152.751160	-68.871307
153.424072	-69.430824
154.096985	-68.428902
154.769897	-68.948692
155.442810	-70.915665
156.115723	-70.441696
156.788635	-69.268051
157.461548	-70.585754
158.134460	-69.240364
158.807373	-69.117043
159.480286	-70.352402
160.153198	-70.317627
160.826111	-69.718040
161.499023	-69.283157
162.171936	-70.955643
162.844849	-69.773460
163.517761	-70.175224
164.190674	-69.864174
164.863586	-68.631790
165.536499	-69.964333
166.209412	-69.192215
166.882324	-70.482117
167.555237	-69.423119
168.228149	-70.098679
168.901062	-70.530319
169.573975	-70.545090
170.246887	-69.854706
170.919800	-70.627968
171.592712	-68.355980
172.265625	-68.647476
172.938538	-69.002655
173.611450	-69.729599
174.284363	-68.902702
174.957275	-70.843864
175.630188	-69.142578
176.303101	-69.881683
176.976013	-70.992081
177.648926	-69.625427
178.321838	-68.525581
178.994751	-69.365936
179.667664	-69.298218
180.340576	-70.440376
181.013489	-71.337936
181.686401	-71.127846
182.359314	-70.459259
183.032227	-70.449242
183.705139	-69.660461
184.378052	-71.666313
185.050964	-70.172195
185.723877	-70.095520
186.396790	-70.277557
187.069702	-69.987419
187.742615	-71.449722
188.415527	-70.622879
189.088440	-70.806999
189.761353	-71.291405
190.434265	-70.537125
191.107178	-71.001030
191.780090	-70.601105
192.453003	-71.619987
193.125916	-71.585190
193.798828	-69.835960
194.471741	-70.882561
195.144653	-70.162651
195.817566	-70.768021
196.490479	-71.865967
197.163391	-70.657295
197.836304	-69.892761
198.509216	-72.145592
199.182129	-72.134399
199.855042	-70.874649
200.527954	-70.180946
201.200867	-70.131447
201.873779	-70.365486
202.546692	-70.635376
203.219604	-70.667969
203.892517	-69.605591
204.565430	-69.796890
205.238342	-70.799736
205.911255	-69.561043
206.584167	-69.750832
207.257080	-71.955322
207.929993	-69.471176
208.602905	-70.979744
209.275818	-72.359756
209.948730	-70.567055
210.621643	-70.209183
211.294556	-69.743393
211.967468	-70.368164
212.640381	-69.960945
213.313293	-71.238113
213.986206	-70.463715
214.659119	-71.489952
215.332031	-71.875351
216.004944	-71.498322
216.677856	-69.767685
217.350769	-69.537582
218.023682	-70.031357
218.696594	-69.774261
219.369507	-71.430061
220.042419	-71.213371
220.715332	-70.270309
221.388245	-70.226616
222.061157	-69.496857
222.734070	-70.719269
223.406982	-71.354340
224.079895	-70.661690
224.752808	-70.205032
225.425720	-69.767776
226.098633	-69.178406
226.771545	-70.250824
227.444458	-69.524261
228.117371	-69.102783
228.790283	-68.894516
229.463196	-69.635452
230.136108	-69.783386
230.809021	-69.768044
231.481934	-68.685600
232.154846	-70.144058
232.827759	-68.598289
233.500671	-68.010124
234.173584	-68.103455
234.846497	-69.088531
235.519409	-70.364487
236.192322	-69.038994
236.865234	-68.041801
237.538147	-67.672325
238.211060	-69.069695
238.883972	-68.894493
239.556885	-68.180565
240.229797	-69.148384
240.902710	-68.706207
241.575623	-67.974976
242.248535	-68.152824
242.921448	-69.052834
243.594360	-68.549240
244.267273	-67.006607
244.940186	-69.131546
245.613098	-67.811035
246.286011	-67.875595
246.958923	-67.463531
247.631836	-67.860062
248.304749	-68.383942
248.977661	-67.829193
249.650574	-67.825829
250.323486	-68.201561
250.996399	-67.804527
251.669312	-67.518044
252.342224	-67.475777
253.015137	-67.504097
253.688049	-67.188004
254.360962	-67.384415
255.033875	-68.481857
255.706787	-66.650658
256.379700	-67.829620
257.052612	-66.582802
257.725525	-66.710876
258.398438	-67.466942
259.071350	-68.368858
259.744263	-67.355583
260.417175	-66.138275
261.090088	-67.617172
261.763000	-67.146484
262.435913	-66.387924
263.108826	-69.809013
263.781738	-66.188347
264.454651	-66.388664
265.127563	-66.955780
265.800476	-66.699127
266.473389	-65.712639
267.146301	-65.789398
267.819214	-64.937653
268.492126	-65.870316
269.165039	-66.095490
269.837952	-66.220985
270.510864	-65.213150
271.183777	-63.801846
271.856689	-66.012817
272.529602	-64.606216
273.202515	-65.328804
273.875427	-64.312805
274.548340	-64.911003
275.221252	-65.462502
275.894165	-63.863274
276.567078	-63.934586
277.239990	-64.960533
277.912903	-64.657852
278.585815	-64.219757
279.258728	-63.742023
279.931641	-64.871330
280.604553	-63.438725
281.277466	-63.436207
281.950378	-63.572971
282.623291	-61.972183
283.296204	-62.572201
283.969116	-63.220226
284.642029	-63.476604
285.314941	-62.132435
285.987854	-63.271702
286.660767	-63.043957
287.333679	-62.655285
288.006592	-62.658485
288.679504	-62.839706
289.352417	-61.585464
290.025330	-60.503212
290.698242	-61.155937
291.371155	-61.915504
292.044067	-61.410160
292.716980	-61.480724
293.389893	-60.758827
294.062805	-61.740826
294.735718	-61.866928
295.408630	-61.173912
296.081543	-61.462643
296.754456	-60.294098
297.427368	-60.142788
298.100281	-60.246201
298.773193	-61.140598
299.446106	-60.524231
300.119019	-62.497978
300.791931	-60.678341
301.464844	-59.776588
302.137756	-61.226204
302.810669	-61.295708
303.483582	-60.662941
304.156494	-60.486893
304.829407	-60.901081
305.502319	-60.855232
306.175232	-60.180943
306.848145	-60.368938
307.521057	-61.758190
308.193970	-61.100521
308.866882	-61.847187
309.539795	-61.960629
310.212708	-61.864105
310.885620	-62.327606
311.558533	-61.566807
312.231445	-62.083851
312.904358	-61.422771
313.577271	-60.589943
314.250183	-60.282990
314.923096	-60.329643
315.596008	-60.780190
316.268921	-60.386078
316.941833	-59.874573
317.614746	-60.036533
318.287659	-59.933212
318.960571	-60.355476
319.633484	-61.245129
320.306396	-61.815598
320.979309	-61.377163
321.652222	-61.784115
322.325134	-61.423000
322.998047	-60.937824
323.670959	-61.494190
324.343872	-62.199375
325.016785	-60.619175
325.689697	-60.572746
326.362610	-61.111935
327.035522	-61.892406
327.708435	-62.496872
328.381348	-61.419590
329.054260	-63.648647
329.727173	-63.454639
330.400085	-62.811321
331.072998	-64.780777
331.745911	-63.533901
332.418823	-64.385834
333.091736	-62.736149
333.764648	-63.931149
334.437561	-63.559361
335.110474	-64.388763
335.783386	-63.362583
336.456299	-64.406929
337.129211	-64.675636
337.802124	-65.519119
338.475037	-65.467171
339.147949	-65.248055
339.820862	-66.025261
340.493774	-65.723305
341.166687	-64.589211
341.839600	-65.543556
342.512512	-66.368698
343.185425	-65.284355
343.858337	-67.201935
344.531250	-65.379417
345.204163	-65.826279
345.877075	-67.166100
346.549988	-68.224457
347.222900	-66.636703
347.895813	-66.835205
348.568726	-67.351395
349.241638	-67.964394
349.914551	-66.951187
350.587463	-66.687317
351.260376	-68.036789
351.933289	-66.531960
352.606201	-66.519974
353.279114	-66.865585
353.952026	-68.014793
354.624939	-68.930946
355.297852	-68.147171
355.970764	-68.424240
356.643677	-68.002007
357.316589	-68.205551
357.989502	-67.750343
358.662415	-68.519287
359.335327	-68.165619
360.008240	-67.543373
360.681152	-68.949219
361.354065	-69.323769
362.026978	-68.818916
362.699890	-68.517838
363.372803	-69.628998
364.045715	-69.670158
364.718628	-69.434052
365.391541	-69.918190
366.064453	-69.428299
366.737366	-67.921692
367.410278	-68.625465
368.083191	-69.509781
368.756104	-69.146301
369.429016	-69.706306
370.101929	-69.161079
370.774841	-70.243210
371.447754	-70.470932
372.120667	-69.198349
372.793579	-70.484138
373.466492	-69.777351
374.139404	-69.584061
374.812317	-72.293663
375.485229	-70.904526
376.158142	-72.044640
376.831055	-70.497665
377.503967	-69.899216
378.176880	-70.570236
378.849792	-71.567413
379.522705	-71.579514
380.195618	-70.557365
380.868530	-71.632576
381.541443	-71.471985
382.214355	-70.957191
382.887268	-71.654747
383.560181	-71.683128
384.233093	-71.722557
384.906006	-70.962967
385.578918	-71.102867
386.251831	-72.520523
386.924744	-71.204575
387.597656	-72.073860
388.270569	-72.337372
388.943481	-72.128395
389.616394	-72.020271
390.289307	-71.383072
390.962219	-71.480484
391.635132	-71.887100
392.308044	-71.181007
392.980957	-71.839119
393.653870	-72.010353
394.326782	-72.082657
394.999695	-71.672844
395.672607	-72.190941
396.345520	-72.025429
397.018433	-71.441704
397.691345	-71.861763
398.364258	-71.500870
399.037170	-71.684097
399.710083	-72.755196
400.382996	-73.674316
401.055908	-72.606987
401.728821	-72.954582
402.401733	-72.893234
403.074646	-73.551071
403.747559	-74.154800
404.420471	-73.523880
405.093384	-73.148499
405.766296	-72.863815
406.439209	-72.582062
407.112122	-73.853607
407.785034	-74.577942
408.457947	-74.063965
409.130859	-73.663582
409.803772	-73.309319
410.476685	-73.048332
411.149597	-72.435173
411.822510	-72.479698
412.495422	-73.043076
413.168335	-73.173653
413.841248	-73.687355
414.514160	-73.213455
415.187073	-73.417976
415.859985	-73.471130
416.532898	-73.296234
417.205811	-72.735161
417.878723	-73.735130
418.551636	-73.316353
419.224548	-73.561714
419.897461	-72.655624
420.570374	-73.489525
421.243286	-74.209091
421.916199	-73.497627
422.589111	-74.015701
423.262024	-74.909195
423.934937	-74.006165
424.607849	-73.900154
425.280762	-73.251915
425.953674	-73.812820
426.626587	-74.240715
427.299500	-74.193115
427.972412	-73.856445
428.645325	-73.613174
429.318237	-74.365715
429.991150	-73.988747
430.664062	-72.902649
431.336975	-73.725555
432.009888	-74.605461
432.682800	-74.736435
433.355713	-74.566742
434.028625	-73.624535
434.701538	-73.150528
435.374451	-73.974304
436.047363	-72.859634
436.720276	-74.949486
437.393188	-73.401146
438.066101	-73.714973
438.739014	-73.310677
439.411926	-73.032257
440.084839	-73.474632
440.757751	-73.743202
441.430664	-73.085480
442.103577	-73.573311
442.776489	-74.210167
443.449402	-73.623222
444.122314	-74.913506
444.795227	-73.619652
445.468140	-73.965027
446.141052	-74.787514
446.813965	-74.448196
447.486877	-75.006546
