Frequency (Hz)	Level (dB)
0.672913	-91.342247
1.345825	-91.418343
2.018738	-91.366737
2.691650	-91.090439
3.364563	-91.170540
4.037476	-90.589981
4.710388	-91.157501
5.383301	-90.943802
6.056213	-90.523895
6.729126	-89.818893
7.402039	-91.135506
8.074951	-91.006401
8.747864	-90.916428
9.420776	-90.063148
10.093689	-89.956329
10.766602	-89.090721
11.439514	-88.009933
12.112427	-88.573914
12.785339	-88.751678
13.458252	-88.405037
14.131165	-88.372879
14.804077	-88.523521
15.476990	-88.407951
16.149902	-87.895691
16.822815	-87.651962
17.495728	-88.826935
18.168640	-88.010139
18.841553	-86.109909
19.514465	-87.875992
20.187378	-88.038902
20.860291	-87.448097
21.533203	-85.037193
22.206116	-86.613335
22.879028	-84.795113
23.551941	-84.260620
24.224854	-84.591080
24.897766	-86.129852
25.570679	-85.233093
26.243591	-86.269829
26.916504	-85.441460
27.589417	-85.819191
28.262329	-86.208557
28.935242	-85.867325
29.608154	-84.273849
30.281067	-86.511887
30.953979	-86.051491
31.626892	-85.931984
32.299805	-85.231346
32.972717	-86.209976
33.645630	-84.382843
34.318542	-85.833130
34.991455	-85.764381
35.664368	-86.275017
36.337280	-84.986679
37.010193	-85.530830
37.683105	-84.648872
38.356018	-86.340462
39.028931	-84.781548
39.701843	-84.242241
40.374756	-85.222801
41.047668	-84.083710
41.720581	-85.709068
42.393494	-84.367073
43.066406	-83.069878
43.739319	-83.916527
44.412231	-83.119942
45.085144	-83.670151
45.758057	-82.346748
46.430969	-83.500984
47.103882	-82.623802
47.776794	-82.239204
48.449707	-82.069962
49.122620	-82.674805
49.795532	-81.567627
50.468445	-82.944321
51.141357	-82.405655
51.814270	-81.327988
52.487183	-81.532745
53.160095	-81.593788
53.833008	-81.186211
54.505920	-80.595993
55.178833	-79.970337
55.851746	-81.075493
56.524658	-80.054131
57.197571	-80.493080
57.870483	-80.196938
58.543396	-80.688629
59.216309	-79.240845
59.889221	-80.597809
60.562134	-80.185234
61.235046	-78.185478
61.907959	-79.358223
62.580872	-78.831238
63.253784	-79.576042
63.926697	-79.573395
64.599609	-81.749832
65.272522	-80.193474
